criterion_id,scheme_id,scheme_short_name,criterion_type,criterion_value,is_mandatory,verification_document_hint,data_source,source_url,collection_date,confidence_score,verification_status,notes
elig-001,sch-001,PMJDY,Age,10 years and above (minor accounts with guardian),Yes,Aadhaar,MyScheme national scheme platform,https://www.myscheme.gov.in/,2026-07-25,74,VST-NEEDS_REVIEW,Minor accounts operated with a guardian
elig-002,sch-001,PMJDY,Citizenship,Indian resident,Yes,Aadhaar,MyScheme national scheme platform,https://www.myscheme.gov.in/,2026-07-25,74,VST-NEEDS_REVIEW,"Resident status, not necessarily domicile of the branch state"
elig-003,sch-002,PMSBY,Age,18 to 70 years,Yes,Aadhaar,MyScheme national scheme platform,https://www.myscheme.gov.in/,2026-07-25,74,VST-NEEDS_REVIEW,Cover ceases at the prescribed exit age
elig-004,sch-002,PMSBY,Banking,Holds a savings bank account with auto-debit consent,Yes,Bank Passbook,MyScheme national scheme platform,https://www.myscheme.gov.in/,2026-07-25,74,VST-NEEDS_REVIEW,Auto-debit consent is the enrolment mechanism
elig-005,sch-003,PMJJBY,Age,18 to 50 years at entry,Yes,Aadhaar,MyScheme national scheme platform,https://www.myscheme.gov.in/,2026-07-25,74,VST-NEEDS_REVIEW,Entry age capped at 50; existing cover continues to exit age
elig-006,sch-004,APY,Age,18 to 40 years at enrolment,Yes,Aadhaar,MyScheme national scheme platform,https://www.myscheme.gov.in/,2026-07-25,72,VST-NEEDS_REVIEW,Minimum 20 years of contribution by design
elig-007,sch-004,APY,Income,Income-tax payers are excluded from government co-contribution,No,PAN,MyScheme national scheme platform,https://www.myscheme.gov.in/,2026-07-25,70,VST-NEEDS_REVIEW,"Exclusion applies to co-contribution, not to enrolment"
elig-008,sch-005,PM-KISAN,Land Holding,Cultivable land held in the applicant's name,Yes,Land Records,MyScheme national scheme platform,https://www.myscheme.gov.in/,2026-07-25,76,VST-NEEDS_REVIEW,Institutional landholders excluded
elig-009,sch-005,PM-KISAN,Exclusion,"Income-tax payers, professionals and higher-grade government employees excluded",Yes,PAN,MyScheme national scheme platform,https://www.myscheme.gov.in/,2026-07-25,74,VST-NEEDS_REVIEW,Exclusion list defined in scheme guidelines
elig-010,sch-006,PMFBY,Occupation,Cultivator of a notified crop in a notified area,Yes,Land Records,MyScheme national scheme platform,https://www.myscheme.gov.in/,2026-07-25,74,VST-NEEDS_REVIEW,Includes tenant farmers and sharecroppers with valid documentation
elig-011,sch-007,KCC,Occupation,"Farmer, including tenant farmer, oral lessee and sharecropper",Yes,Land Records,MyScheme national scheme platform,https://www.myscheme.gov.in/,2026-07-25,74,VST-NEEDS_REVIEW,Extended to animal husbandry and fisheries activity
elig-012,sch-008,PMKSY,Land Holding,Cultivable land with an assured water source,Yes,Land Records,MyScheme national scheme platform,https://www.myscheme.gov.in/,2026-07-25,72,VST-NEEDS_REVIEW,Subsidy share differs by holding size category
elig-013,sch-009,SMAM,Category,"Higher subsidy for SC, ST, small, marginal and women farmers",No,Caste Certificate,MyScheme national scheme platform,https://www.myscheme.gov.in/,2026-07-25,73,VST-NEEDS_REVIEW,"Category affects subsidy percentage, not eligibility"
elig-014,sch-010,PKVY,Other,Membership of a farmer cluster meeting the minimum group size,Yes,PENDING_VERIFICATION,MyScheme national scheme platform,https://www.myscheme.gov.in/,2026-07-25,70,VST-NEEDS_REVIEW,Cluster-based; individual application is not the route
elig-015,sch-011,SHC,Occupation,All farmers holding cultivable land; no income or category test,Yes,Land Records,MyScheme national scheme platform,https://www.myscheme.gov.in/,2026-07-25,72,VST-NEEDS_REVIEW,Universal within the farmer population; service scheme with no screening
elig-016,sch-012,AIF,Business Size,"FPO, PACS, cooperative, agri-entrepreneur or startup",Yes,Udyam Registration,MyScheme national scheme platform,https://www.myscheme.gov.in/,2026-07-25,70,VST-NEEDS_REVIEW,Individual farmers are eligible only for certain project types
elig-017,sch-013,PM-KUSUM,Occupation,"Farmer, farmer group, panchayat or cooperative depending on component",Yes,Land Records,MyScheme national scheme platform,https://www.myscheme.gov.in/,2026-07-25,70,VST-NEEDS_REVIEW,Three components with materially different eligibility
elig-018,sch-014,PMEGP,Age,18 years and above,Yes,Aadhaar,MyScheme national scheme platform,https://www.myscheme.gov.in/,2026-07-25,75,VST-NEEDS_REVIEW,No upper age limit
elig-019,sch-014,PMEGP,Education,Class VIII pass required above a prescribed project cost threshold,No,Educational Certificates,MyScheme national scheme platform,https://www.myscheme.gov.in/,2026-07-25,73,VST-NEEDS_REVIEW,Applies only above the cost threshold
elig-020,sch-014,PMEGP,Other,New enterprise only; existing units and prior subsidy beneficiaries excluded,Yes,PENDING_VERIFICATION,MyScheme national scheme platform,https://www.myscheme.gov.in/,2026-07-25,74,VST-NEEDS_REVIEW,Greenfield requirement
