skill_id,skill_name,will_ai_replace,will_ai_assist,human_advantage,future_demand_with_ai,recommended_ai_tools,automation_potential,industry_adoption_rate,learning_priority,data_source,source_url,collection_date,confidence_score,verification_status,notes
6b6a3246-5d58-4e5e-8841-5249b5ea8ee8,Python Programming,No,Yes,"Debugging, Optimization",Growing,"GitHub Copilot, Code Completion",High,High,High,"WEF Future of Jobs Report 2025, McKinsey Global Institute, NASSCOM AI Adoption Index",https://www.weforum.org/publications/future-of-jobs-report-2025/,2026-07-24,65,VST-NEEDS_REVIEW,[will_ai_replace]: AI adoption forecasts based on industry trends (2025-2030 outlook)
2165f626-a237-4d19-8158-888051b2c797,Full Stack Web Development,No,Yes,"Frontend Design, Code Generation",Growing,"GitHub Copilot, Design AI",Medium,High,High,"WEF Future of Jobs Report 2025, McKinsey Global Institute, NASSCOM AI Adoption Index",https://www.weforum.org/publications/future-of-jobs-report-2025/,2026-07-24,65,VST-NEEDS_REVIEW,[will_ai_replace]: AI adoption forecasts based on industry trends (2025-2030 outlook)
98de4aa6-5ef6-4c22-a9bd-eb2bfc848347,Mobile App Development (Android/iOS),No,Yes,"UI/UX Generation, Code Templates",Growing,"GitHub Copilot, Figma AI",Medium,High,High,"WEF Future of Jobs Report 2025, McKinsey Global Institute, NASSCOM AI Adoption Index",https://www.weforum.org/publications/future-of-jobs-report-2025/,2026-07-24,65,VST-NEEDS_REVIEW,[will_ai_replace]: AI adoption forecasts based on industry trends (2025-2030 outlook)
46b1872f-ad46-4d62-b964-85a598daa13f,Database Administration (SQL/NoSQL),Partial,Yes,"Query Optimization, Monitoring",Stable,"AI Query Optimization, Anomaly Detection",High,Medium,Medium,"WEF Future of Jobs Report 2025, McKinsey Global Institute, NASSCOM AI Adoption Index",https://www.weforum.org/publications/future-of-jobs-report-2025/,2026-07-24,65,VST-NEEDS_REVIEW,[will_ai_replace]: AI adoption forecasts based on industry trends (2025-2030 outlook)
6d378e94-2808-48ab-88a7-4a8117a12d86,Machine Learning Engineer,No,Yes,"Hyperparameter Tuning, Feature Selection",Growing,"AutoML, Hugging Face, MLOps AI",Medium,Very High,Very High,"WEF Future of Jobs Report 2025, McKinsey Global Institute, NASSCOM AI Adoption Index",https://www.weforum.org/publications/future-of-jobs-report-2025/,2026-07-24,65,VST-NEEDS_REVIEW,[will_ai_replace]: AI adoption forecasts based on industry trends (2025-2030 outlook)
f809e001-d1c7-4b1a-896e-ecc81310cc07,Data Scientist,Partial,Yes,"Statistical Analysis, Insight Generation",Growing,"ChatGPT for Analysis, Python Libraries",Medium,Very High,Very High,"WEF Future of Jobs Report 2025, McKinsey Global Institute, NASSCOM AI Adoption Index",https://www.weforum.org/publications/future-of-jobs-report-2025/,2026-07-24,65,VST-NEEDS_REVIEW,[will_ai_replace]: AI adoption forecasts based on industry trends (2025-2030 outlook)
d621a7cc-ae05-4315-b54f-db9c9095e081,AI Model Training,No,Yes,"Dataset Preparation, Model Selection",Growing,"AutoML Frameworks, Hugging Face",High,Very High,Very High,"WEF Future of Jobs Report 2025, McKinsey Global Institute, NASSCOM AI Adoption Index",https://www.weforum.org/publications/future-of-jobs-report-2025/,2026-07-24,65,VST-NEEDS_REVIEW,[will_ai_replace]: AI adoption forecasts based on industry trends (2025-2030 outlook)
f005f7b8-15d0-413b-92dd-1a9cde45aa3f,Big Data Analysis,Partial,Yes,"Pattern Recognition, Forecasting",Stable,"AI Data Discovery, Predictive Analytics",High,High,High,"WEF Future of Jobs Report 2025, McKinsey Global Institute, NASSCOM AI Adoption Index",https://www.weforum.org/publications/future-of-jobs-report-2025/,2026-07-24,65,VST-NEEDS_REVIEW,[will_ai_replace]: AI adoption forecasts based on industry trends (2025-2030 outlook)
89f0fae4-7470-41a9-8c96-170267d50d6e,CNC Machine Operator,Partial,Yes,"Predictive Maintenance, Program Optimization",Stable,"Predictive Analytics, IoT Sensors",Very High,Medium,Medium,"WEF Future of Jobs Report 2025, McKinsey Global Institute, NASSCOM AI Adoption Index",https://www.weforum.org/publications/future-of-jobs-report-2025/,2026-07-24,65,VST-NEEDS_REVIEW,[will_ai_replace]: AI adoption forecasts based on industry trends (2025-2030 outlook)
8834c2ff-c6e9-4bb4-89e1-51fd5e1035fb,CAD/CAM Design,No,Yes,"Design Optimization, Simulation",Growing,"Generative Design AI, Autodesk Fusion 360",High,High,High,"WEF Future of Jobs Report 2025, McKinsey Global Institute, NASSCOM AI Adoption Index",https://www.weforum.org/publications/future-of-jobs-report-2025/,2026-07-24,65,VST-NEEDS_REVIEW,[will_ai_replace]: AI adoption forecasts based on industry trends (2025-2030 outlook)
54808f3c-7c7c-4326-8736-5cdb7c509024,Welding (MIG/TIG/Arc),Partial,Yes,"Quality Control, Equipment Maintenance",Stable,"Computer Vision for QC, Predictive Maintenance",Medium,Low,Low,"WEF Future of Jobs Report 2025, McKinsey Global Institute, NASSCOM AI Adoption Index",https://www.weforum.org/publications/future-of-jobs-report-2025/,2026-07-24,65,VST-NEEDS_REVIEW,[will_ai_replace]: AI adoption forecasts based on industry trends (2025-2030 outlook)
5ed52834-8056-4de7-a537-bfe69e10fc45,Lathe Operation,Partial,Yes,"Predictive Maintenance, Program Optimization",Stable,"Predictive Analytics, IoT Monitoring",Very High,Low,Low,"WEF Future of Jobs Report 2025, McKinsey Global Institute, NASSCOM AI Adoption Index",https://www.weforum.org/publications/future-of-jobs-report-2025/,2026-07-24,65,VST-NEEDS_REVIEW,[will_ai_replace]: AI adoption forecasts based on industry trends (2025-2030 outlook)
22fcaac1-6b74-4c59-bc65-e16f4cf8b23c,Electrician (Domestic Wiring),No,Yes,Fault Detection via IoT,Stable,"Smart Home Integration, Diagnostics",Low,Low,Low,"WEF Future of Jobs Report 2025, McKinsey Global Institute, NASSCOM AI Adoption Index",https://www.weforum.org/publications/future-of-jobs-report-2025/,2026-07-24,65,VST-NEEDS_REVIEW,[will_ai_replace]: AI adoption forecasts based on industry trends (2025-2030 outlook)
125cc855-d61d-4a47-b55f-47edfc2eb436,Industrial Electrician,Partial,Yes,"Predictive Maintenance, Diagnostics",Stable,"Predictive Analytics, IoT Sensors",Medium,Medium,Medium,"WEF Future of Jobs Report 2025, McKinsey Global Institute, NASSCOM AI Adoption Index",https://www.weforum.org/publications/future-of-jobs-report-2025/,2026-07-24,65,VST-NEEDS_REVIEW,[will_ai_replace]: AI adoption forecasts based on industry trends (2025-2030 outlook)
104601f6-e61e-40ce-9e13-11d359bea41c,Power Distribution Technician,Partial,Yes,"Load Forecasting, Grid Optimization",Growing,"Smart Grid AI, Demand Forecasting",Medium,Medium,Medium,"WEF Future of Jobs Report 2025, McKinsey Global Institute, NASSCOM AI Adoption Index",https://www.weforum.org/publications/future-of-jobs-report-2025/,2026-07-24,65,VST-NEEDS_REVIEW,[will_ai_replace]: AI adoption forecasts based on industry trends (2025-2030 outlook)
ce7a97e5-52d6-466e-b4c3-aef5f604f808,Electronics Repair & Maintenance,Partial,Yes,"Fault Diagnosis, Component Testing",Stable,"Computer Vision Diagnostics, IoT Sensors",Medium,Low,Low,"WEF Future of Jobs Report 2025, McKinsey Global Institute, NASSCOM AI Adoption Index",https://www.weforum.org/publications/future-of-jobs-report-2025/,2026-07-24,65,VST-NEEDS_REVIEW,[will_ai_replace]: AI adoption forecasts based on industry trends (2025-2030 outlook)
53571913-32a7-4e23-bb80-2fc9b3a29fbd,PCB Assembly & Soldering,Yes,No,Automation Taking Over,Declining,"Robotic Assembly Lines, Vision Systems",Very High,High,Low,"WEF Future of Jobs Report 2025, McKinsey Global Institute, NASSCOM AI Adoption Index",https://www.weforum.org/publications/future-of-jobs-report-2025/,2026-07-24,65,VST-NEEDS_REVIEW,[will_ai_replace]: AI adoption forecasts based on industry trends (2025-2030 outlook)
64b32311-f2ef-4516-b39b-e6ec02223468,HVAC Technician,Partial,Yes,"Predictive Maintenance, IoT Control",Stable,"Smart HVAC Systems, IoT Sensors",Medium,Low,Low,"WEF Future of Jobs Report 2025, McKinsey Global Institute, NASSCOM AI Adoption Index",https://www.weforum.org/publications/future-of-jobs-report-2025/,2026-07-24,65,VST-NEEDS_REVIEW,[will_ai_replace]: AI adoption forecasts based on industry trends (2025-2030 outlook)
32ae2721-70b4-440b-a83b-63fdfa6988ea,Microcontroller Programming,No,Yes,"Code Generation, Optimization",Growing,"GitHub Copilot, AI Code Assistants",Medium,High,High,"WEF Future of Jobs Report 2025, McKinsey Global Institute, NASSCOM AI Adoption Index",https://www.weforum.org/publications/future-of-jobs-report-2025/,2026-07-24,65,VST-NEEDS_REVIEW,[will_ai_replace]: AI adoption forecasts based on industry trends (2025-2030 outlook)
