mapping_id,scheme_id,scheme_short_name,package006_scheme_id,package006_scheme_name,package006_skill_id,package006_skill_name,package006_certification_id,package006_certification_name,package006_provider_id,package006_provider_name,data_source,source_url,collection_date,confidence_score,verification_status,notes
skm-001,sch-021,PMKVY 4.0,f1554afc-2534-41da-b09b-7a9169f28db6,Pradhan Mantri Kaushal Vikas Yojana 4.0 (PMKVY 4.0) - including Recognition of Prior Learning (RPL),6b6a3246-5d58-4e5e-8841-5249b5ea8ee8,Python Programming,d9a71141-d74a-4bca-8092-53f32af09bad,Skill India Certificate (NSDC-Affiliated Qualification Pack Certification),PENDING_VERIFICATION,PENDING_VERIFICATION,Ministry of Skill Development and Entrepreneurship; Package006 reconciliation,https://msde.gov.in/,2026-07-25,73,VST-NEEDS_REVIEW,Digital skills are a major PMKVY 4.0 job-role family
skm-002,sch-021,PMKVY 4.0,f1554afc-2534-41da-b09b-7a9169f28db6,Pradhan Mantri Kaushal Vikas Yojana 4.0 (PMKVY 4.0) - including Recognition of Prior Learning (RPL),e9a9d72b-0c80-4932-b907-ffc466d58717,Food Processing & Preservation,d9a71141-d74a-4bca-8092-53f32af09bad,Skill India Certificate (NSDC-Affiliated Qualification Pack Certification),PENDING_VERIFICATION,PENDING_VERIFICATION,Ministry of Skill Development and Entrepreneurship; Package006 reconciliation,https://msde.gov.in/,2026-07-25,72,VST-NEEDS_REVIEW,Food processing Qualification Packs are widely offered under PMKVY
skm-003,sch-021,PMKVY 4.0,f1554afc-2534-41da-b09b-7a9169f28db6,Pradhan Mantri Kaushal Vikas Yojana 4.0 (PMKVY 4.0) - including Recognition of Prior Learning (RPL),6b7f03f2-6f23-4fbb-9daf-b13d8b85d4b8,Precision Agriculture & IoT,d9a71141-d74a-4bca-8092-53f32af09bad,Skill India Certificate (NSDC-Affiliated Qualification Pack Certification),PENDING_VERIFICATION,PENDING_VERIFICATION,Ministry of Skill Development and Entrepreneurship; Package006 reconciliation,https://msde.gov.in/,2026-07-25,68,VST-NEEDS_REVIEW,Emerging job role; limited centre availability
skm-004,sch-021,PMKVY 4.0,f1554afc-2534-41da-b09b-7a9169f28db6,Pradhan Mantri Kaushal Vikas Yojana 4.0 (PMKVY 4.0) - including Recognition of Prior Learning (RPL),54808f3c-7c7c-4326-8736-5cdb7c509024,Welding (MIG/TIG/Arc),182f9a8d-758a-4e6e-8c28-b44442d24331,Recognition of Prior Learning (RPL) Certification (NCVET-Regulated),PENDING_VERIFICATION,PENDING_VERIFICATION,Ministry of Skill Development and Entrepreneurship; Package006 reconciliation,https://msde.gov.in/,2026-07-25,72,VST-NEEDS_REVIEW,RPL certifies existing informal-sector welders
skm-005,sch-022,PM-NAPS,fa487617-79d1-4e45-9bc6-542e5bcde35c,"Pradhan Mantri National Apprenticeship Promotion Scheme (PM-NAPS; formerly National Apprenticeship Promotion Scheme, NAPS)",0149a497-5b7b-4883-a1dd-4bedda9ba9c0,Automobile Mechanic (Diesel/Petrol),PENDING_VERIFICATION,PENDING_VERIFICATION,77d80937-c68b-4317-bad7-dc5e72e3f8d5,Industrial Training Institutes (ITI) -- Telangana,Ministry of Skill Development and Entrepreneurship; Package006 reconciliation,https://msde.gov.in/,2026-07-25,72,VST-NEEDS_REVIEW,Apprenticeship in automotive trades is ITI-anchored
skm-006,sch-022,PM-NAPS,fa487617-79d1-4e45-9bc6-542e5bcde35c,"Pradhan Mantri National Apprenticeship Promotion Scheme (PM-NAPS; formerly National Apprenticeship Promotion Scheme, NAPS)",89f0fae4-7470-41a9-8c96-170267d50d6e,CNC Machine Operator,PENDING_VERIFICATION,PENDING_VERIFICATION,c80e09d3-50b0-4b42-804e-4d2066964c9b,Industrial Training Institutes (ITI) -- Andhra Pradesh,Ministry of Skill Development and Entrepreneurship; Package006 reconciliation,https://msde.gov.in/,2026-07-25,71,VST-NEEDS_REVIEW,Machining apprenticeships run through ITI-linked establishments
skm-007,sch-023,DDU-GKY,85313bfd-ac03-448c-8450-f65063e49f19,Deen Dayal Upadhyaya Grameen Kaushalya Yojana (DDU-GKY),41c5ee54-daba-4a8c-963d-b5b5bb6088fd,Garment Manufacturing (Stitching),PENDING_VERIFICATION,PENDING_VERIFICATION,PENDING_VERIFICATION,PENDING_VERIFICATION,Ministry of Skill Development and Entrepreneurship; Package006 reconciliation,https://msde.gov.in/,2026-07-25,70,VST-NEEDS_REVIEW,Apparel is a high-volume DDU-GKY placement sector
skm-008,sch-023,DDU-GKY,85313bfd-ac03-448c-8450-f65063e49f19,Deen Dayal Upadhyaya Grameen Kaushalya Yojana (DDU-GKY),079afaaf-7ba5-4d3c-900f-1ed19563b90f,Warehouse Management,PENDING_VERIFICATION,PENDING_VERIFICATION,PENDING_VERIFICATION,PENDING_VERIFICATION,Ministry of Skill Development and Entrepreneurship; Package006 reconciliation,https://msde.gov.in/,2026-07-25,69,VST-NEEDS_REVIEW,Logistics is a growing rural-to-urban placement sector
skm-009,sch-024,Skill Loan,bdda0042-792c-4745-8bc7-061eae0202d8,"Skill Loan Scheme (IBA Model Scheme for Skill Development, NSDC-linked)",2165f626-a237-4d19-8158-888051b2c797,Full Stack Web Development,PENDING_VERIFICATION,PENDING_VERIFICATION,bb6a6555-cb26-47cb-886f-4a4463de1e0c,Polytechnic Colleges (SBTET) -- Telangana,Ministry of Skill Development and Entrepreneurship; Package006 reconciliation,https://msde.gov.in/,2026-07-25,68,VST-NEEDS_REVIEW,Longer high-fee courses are the typical skill-loan use case
skm-010,sch-018,PM Vishwakarma,PENDING_VERIFICATION,PENDING_VERIFICATION,ef2400ab-5de1-4caa-ae37-f45fda926ea6,Carpentry,PENDING_VERIFICATION,PENDING_VERIFICATION,PENDING_VERIFICATION,PENDING_VERIFICATION,Ministry of Skill Development and Entrepreneurship; Package006 reconciliation,https://msde.gov.in/,2026-07-25,70,VST-NEEDS_REVIEW,PM Vishwakarma is not in Package006 v1.0.0; carpentry is a notified trade
