mapping_id,business_id,business_name,raw_material_name,material_class,package005_crop_id,package005_crop_name,supplier_type,availability,seasonality,price_volatility,data_source,source_url,collection_date,confidence_score,verification_status,notes
rmap-001,mb-001,Rice Milling Unit,Paddy,Agricultural Produce,crop-001,Rice,Farmer / FPO / APMC mandi,High,Seasonal (kharif peak),Medium,Office of Development Commissioner (MSME); MSME-DI project profiles,https://msme.gov.in/,2026-07-25,72,VST-NEEDS_REVIEW,Input is a Package005 crop; referenced by crop_id rather than restated
rmap-002,mb-002,Dal Milling Unit,Pigeon Pea (Toor),Agricultural Produce,crop-010,Pigeon Pea,Farmer / FPO / APMC mandi,Medium,Seasonal (kharif),High,Office of Development Commissioner (MSME); MSME-DI project profiles,https://msme.gov.in/,2026-07-25,70,VST-NEEDS_REVIEW,Input is a Package005 crop; referenced by crop_id rather than restated
rmap-003,mb-002,Dal Milling Unit,Chickpea,Agricultural Produce,crop-009,Chickpea,Farmer / FPO / APMC mandi,Medium,Seasonal (rabi),High,Office of Development Commissioner (MSME); MSME-DI project profiles,https://msme.gov.in/,2026-07-25,70,VST-NEEDS_REVIEW,Input is a Package005 crop; referenced by crop_id rather than restated
rmap-004,mb-003,Cold-Pressed Oil Unit,Groundnut,Agricultural Produce,crop-014,Groundnut,Farmer / FPO / APMC mandi,High,Seasonal (kharif),High,Office of Development Commissioner (MSME); MSME-DI project profiles,https://msme.gov.in/,2026-07-25,71,VST-NEEDS_REVIEW,Input is a Package005 crop; referenced by crop_id rather than restated
rmap-005,mb-003,Cold-Pressed Oil Unit,Sesame,Agricultural Produce,PENDING_VERIFICATION,PENDING_VERIFICATION,Farmer / trader,Medium,Seasonal,High,Office of Development Commissioner (MSME); MSME-DI project profiles,https://msme.gov.in/,2026-07-25,64,VST-NEEDS_REVIEW,"Input is not an agricultural crop, so no Package005 reference applies"
rmap-006,mb-004,Spice Grinding and Packing Unit,Turmeric (dry fingers),Agricultural Produce,crop-035,Turmeric,Farmer / FPO / spice mandi,High,Seasonal (post-harvest),High,Office of Development Commissioner (MSME); MSME-DI project profiles,https://msme.gov.in/,2026-07-25,72,VST-NEEDS_REVIEW,Input is a Package005 crop; referenced by crop_id rather than restated
rmap-007,mb-004,Spice Grinding and Packing Unit,Dry Chilli,Agricultural Produce,crop-036,Chilli,Farmer / FPO / Guntur mandi,High,Seasonal (rabi harvest),Very High,Office of Development Commissioner (MSME); MSME-DI project profiles,https://msme.gov.in/,2026-07-25,72,VST-NEEDS_REVIEW,Input is a Package005 crop; referenced by crop_id rather than restated
rmap-008,mb-004,Spice Grinding and Packing Unit,Coriander Seed,Agricultural Produce,crop-039,Coriander,Farmer / trader,Medium,Seasonal (rabi),High,Office of Development Commissioner (MSME); MSME-DI project profiles,https://msme.gov.in/,2026-07-25,68,VST-NEEDS_REVIEW,Input is a Package005 crop; referenced by crop_id rather than restated
rmap-009,mb-005,Millet Processing Unit,Pearl Millet,Agricultural Produce,crop-005,Pearl Millet,Farmer / FPO,Medium,Seasonal (kharif),Medium,Office of Development Commissioner (MSME); MSME-DI project profiles,https://msme.gov.in/,2026-07-25,68,VST-NEEDS_REVIEW,Input is a Package005 crop; referenced by crop_id rather than restated
rmap-010,mb-005,Millet Processing Unit,Finger Millet,Agricultural Produce,crop-007,Finger Millet,Farmer / FPO,Medium,Seasonal (kharif),Medium,Office of Development Commissioner (MSME); MSME-DI project profiles,https://msme.gov.in/,2026-07-25,66,VST-NEEDS_REVIEW,Input is a Package005 crop; referenced by crop_id rather than restated
rmap-011,mb-006,Fruit Pulp and Beverage Unit,Mango,Agricultural Produce,crop-029,Mango,Farmer / orchard / mandi,Medium,Highly seasonal,High,Office of Development Commissioner (MSME); MSME-DI project profiles,https://msme.gov.in/,2026-07-25,69,VST-NEEDS_REVIEW,Input is a Package005 crop; referenced by crop_id rather than restated
rmap-012,mb-006,Fruit Pulp and Beverage Unit,Tomato,Agricultural Produce,crop-023,Tomato,Farmer / mandi,High,Multi-season,Very High,Office of Development Commissioner (MSME); MSME-DI project profiles,https://msme.gov.in/,2026-07-25,68,VST-NEEDS_REVIEW,Input is a Package005 crop; referenced by crop_id rather than restated
rmap-013,mb-007,Cloud Kitchen,Vegetables and Provisions,Agricultural Produce,PENDING_VERIFICATION,PENDING_VERIFICATION,Local wholesale market,High,Multi-season,High,Office of Development Commissioner (MSME); MSME-DI project profiles,https://msme.gov.in/,2026-07-25,62,VST-NEEDS_REVIEW,"Input is not an agricultural crop, so no Package005 reference applies"
