benefit_id,scheme_id,scheme_short_name,benefit_type,benefit_description,benefit_quantum,disbursement_mode,frequency,data_source,source_url,collection_date,confidence_score,verification_status,notes
ben-001,sch-001,PMJDY,Insurance,Accident insurance cover bundled with the RuPay debit card,PENDING_VERIFICATION,Insurance claim settlement,On event,MyScheme national scheme platform,https://www.myscheme.gov.in/,2026-07-25,72,VST-NEEDS_REVIEW,Cover amount differs by card issue date; re-verify at portal
ben-002,sch-001,PMJDY,Loan,Overdraft facility after satisfactory account operation,PENDING_VERIFICATION,Credit to account,On sanction,MyScheme national scheme platform,https://www.myscheme.gov.in/,2026-07-25,72,VST-NEEDS_REVIEW,Subject to a satisfactory operating history
ben-003,sch-002,PMSBY,Insurance,Accidental death and permanent disability cover,PENDING_VERIFICATION,Insurance claim settlement,On event,MyScheme national scheme platform,https://www.myscheme.gov.in/,2026-07-25,74,VST-NEEDS_REVIEW,Annual auto-debit premium; amounts set by scheme rules
ben-004,sch-003,PMJJBY,Insurance,"Life cover, renewable annually",PENDING_VERIFICATION,Insurance claim settlement,On event,MyScheme national scheme platform,https://www.myscheme.gov.in/,2026-07-25,74,VST-NEEDS_REVIEW,Annual auto-debit premium
ben-005,sch-004,APY,Pension,Guaranteed minimum monthly pension from age 60,PENDING_VERIFICATION,Direct Benefit Transfer,Monthly after 60,MyScheme national scheme platform,https://www.myscheme.gov.in/,2026-07-25,72,VST-NEEDS_REVIEW,Pension slab chosen at enrolment determines contribution
ben-006,sch-005,PM-KISAN,Grant,Income support to land-holding farmer families,PENDING_VERIFICATION,Direct Benefit Transfer,Three instalments per year,MyScheme national scheme platform,https://www.myscheme.gov.in/,2026-07-25,76,VST-NEEDS_REVIEW,Amount per instalment is set by scheme rules; re-verify at portal
ben-007,sch-006,PMFBY,Insurance,Yield-loss cover on notified crops,PENDING_VERIFICATION,Direct Benefit Transfer,Per season on claim,MyScheme national scheme platform,https://www.myscheme.gov.in/,2026-07-25,74,VST-NEEDS_REVIEW,Sum insured is crop and area specific
ben-008,sch-006,PMFBY,Subsidy,Government share of the insurance premium,PENDING_VERIFICATION,Paid to insurer,Per season,MyScheme national scheme platform,https://www.myscheme.gov.in/,2026-07-25,73,VST-NEEDS_REVIEW,"Farmer share differs for kharif, rabi and commercial crops"
ben-009,sch-007,KCC,Loan,Revolving short-term crop production credit,PENDING_VERIFICATION,Credit limit on card/account,Revolving,MyScheme national scheme platform,https://www.myscheme.gov.in/,2026-07-25,74,VST-NEEDS_REVIEW,Collateral-free up to a prescribed limit
ben-010,sch-007,KCC,Interest Subvention,Interest subvention with a prompt-repayment incentive,PENDING_VERIFICATION,Adjusted in loan account,On repayment,MyScheme national scheme platform,https://www.myscheme.gov.in/,2026-07-25,73,VST-NEEDS_REVIEW,Effective rate depends on timely repayment
ben-011,sch-008,PMKSY,Subsidy,Capital subsidy on micro-irrigation installation,PENDING_VERIFICATION,Paid to vendor or reimbursed,One time per installation,MyScheme national scheme platform,https://www.myscheme.gov.in/,2026-07-25,72,VST-NEEDS_REVIEW,Share differs by state and farmer category
ben-012,sch-009,SMAM,Equipment Support,Capital subsidy on farm machinery purchase,PENDING_VERIFICATION,Paid to vendor or reimbursed,One time per machine,MyScheme national scheme platform,https://www.myscheme.gov.in/,2026-07-25,73,VST-NEEDS_REVIEW,Percentage differs by category and machine type
