mapping_id,business_id,business_name,package006_skill_id,package006_skill_name,skill_role,criticality,who_needs_it,data_source,source_url,collection_date,confidence_score,verification_status,notes
kmap-001,mb-001,Rice Milling Unit,e9a9d72b-0c80-4932-b907-ffc466d58717,Food Processing & Preservation,Process operation and quality control,Essential,Operator and supervisor,Package006_Skills_and_Training reconciliation,https://msde.gov.in/,2026-07-25,71,VST-NEEDS_REVIEW,"Skill detail (NSQF level, duration, training route) lives in Package006 and is reached by joining on package006_skill_id; it is not duplicated here"
kmap-002,mb-002,Dal Milling Unit,e9a9d72b-0c80-4932-b907-ffc466d58717,Food Processing & Preservation,Milling operation and grading,Essential,Operator and supervisor,Package006_Skills_and_Training reconciliation,https://msde.gov.in/,2026-07-25,71,VST-NEEDS_REVIEW,"Skill detail (NSQF level, duration, training route) lives in Package006 and is reached by joining on package006_skill_id; it is not duplicated here"
kmap-003,mb-003,Cold-Pressed Oil Unit,e9a9d72b-0c80-4932-b907-ffc466d58717,Food Processing & Preservation,"Extraction, filtration and packing",Essential,Operator,Package006_Skills_and_Training reconciliation,https://msde.gov.in/,2026-07-25,71,VST-NEEDS_REVIEW,"Skill detail (NSQF level, duration, training route) lives in Package006 and is reached by joining on package006_skill_id; it is not duplicated here"
kmap-004,mb-004,Spice Grinding and Packing Unit,e9a9d72b-0c80-4932-b907-ffc466d58717,Food Processing & Preservation,"Grinding, blending and packing",Essential,Operator,Package006_Skills_and_Training reconciliation,https://msde.gov.in/,2026-07-25,71,VST-NEEDS_REVIEW,"Skill detail (NSQF level, duration, training route) lives in Package006 and is reached by joining on package006_skill_id; it is not duplicated here"
kmap-005,mb-005,Millet Processing Unit,e9a9d72b-0c80-4932-b907-ffc466d58717,Food Processing & Preservation,Dehulling and milling operation,Essential,Operator,Package006_Skills_and_Training reconciliation,https://msde.gov.in/,2026-07-25,69,VST-NEEDS_REVIEW,"Skill detail (NSQF level, duration, training route) lives in Package006 and is reached by joining on package006_skill_id; it is not duplicated here"
kmap-006,mb-006,Fruit Pulp and Beverage Unit,e9a9d72b-0c80-4932-b907-ffc466d58717,Food Processing & Preservation,Thermal processing and aseptic handling,Essential,Technician and supervisor,Package006_Skills_and_Training reconciliation,https://msde.gov.in/,2026-07-25,68,VST-NEEDS_REVIEW,"Skill detail (NSQF level, duration, training route) lives in Package006 and is reached by joining on package006_skill_id; it is not duplicated here"
kmap-007,mb-007,Cloud Kitchen,9e12587d-74b2-4945-a9dc-800f8cb801b5,Food Service & Culinary Arts,Food preparation and kitchen operation,Essential,Chef and kitchen staff,Package006_Skills_and_Training reconciliation,https://msde.gov.in/,2026-07-25,68,VST-NEEDS_REVIEW,"Skill detail (NSQF level, duration, training route) lives in Package006 and is reached by joining on package006_skill_id; it is not duplicated here"
kmap-008,mb-008,CNC Machining Job Shop,89f0fae4-7470-41a9-8c96-170267d50d6e,CNC Machine Operator,"Machine setting, programming and operation",Essential,Operator,Package006_Skills_and_Training reconciliation,https://msde.gov.in/,2026-07-25,72,VST-NEEDS_REVIEW,"Skill detail (NSQF level, duration, training route) lives in Package006 and is reached by joining on package006_skill_id; it is not duplicated here"
kmap-009,mb-008,CNC Machining Job Shop,8834c2ff-c6e9-4bb4-89e1-51fd5e1035fb,CAD/CAM Design,Part programming and drawing interpretation,Essential,Programmer,Package006_Skills_and_Training reconciliation,https://msde.gov.in/,2026-07-25,70,VST-NEEDS_REVIEW,"Skill detail (NSQF level, duration, training route) lives in Package006 and is reached by joining on package006_skill_id; it is not duplicated here"
kmap-010,mb-009,Sheet Metal Fabrication Unit,54808f3c-7c7c-4326-8736-5cdb7c509024,Welding (MIG/TIG/Arc),Joining and structural fabrication,Essential,Fabricator,Package006_Skills_and_Training reconciliation,https://msde.gov.in/,2026-07-25,72,VST-NEEDS_REVIEW,"Skill detail (NSQF level, duration, training route) lives in Package006 and is reached by joining on package006_skill_id; it is not duplicated here"
