ecosystem_id,entity_name,entity_type,sponsoring_body,jurisdiction,services_offered,target_stage,sector_focus,official_website,data_source,source_url,collection_date,confidence_score,verification_status,notes
eco-001,Startup India,National Programme,DPIIT; Startup India,National,"Recognition, tax benefit facilitation, seed fund access, public procurement relaxation",Idea to growth,Sector agnostic,https://www.startupindia.gov.in/,DPIIT; Startup India,https://www.startupindia.gov.in/,2026-07-25,76,VST-NEEDS_REVIEW,DPIIT recognition is the gateway to most central startup benefits
eco-002,Atal Incubation Centres,Incubator Network,"Atal Innovation Mission, NITI Aayog",National,"Physical incubation, mentoring, seed support, lab access",Idea to early revenue,Sector agnostic with regional focus,https://aim.gov.in/,"Atal Innovation Mission, NITI Aayog",https://aim.gov.in/,2026-07-25,72,VST-NEEDS_REVIEW,Distributed across states; hosted by academic and non-profit institutions
eco-003,MSME Development Institutes (MSME-DI),Government Institute,"Ministry of Micro, Small and Medium Enterprises",State (multiple offices),"Project profiles, EDP training, technical guidance, scheme facilitation",Pre-establishment to early operation,Manufacturing and services,https://msme.gov.in/,Office of Development Commissioner (MSME); MSME-DI project profiles,https://msme.gov.in/,2026-07-25,73,VST-NEEDS_REVIEW,The most under-used MSME resource; publishes project profiles free of charge
eco-004,MSME Technology Centres (Tool Rooms),Government Institute,"Ministry of Micro, Small and Medium Enterprises",National (multiple centres),"Precision tooling services, skill training, design and prototyping",Operating enterprises,Engineering and tooling,https://msme.gov.in/,Office of Development Commissioner (MSME); MSME-DI project profiles,https://msme.gov.in/,2026-07-25,72,VST-NEEDS_REVIEW,Provides tooling capability MSMEs cannot economically own
eco-005,District Industries Centre (DIC),District Office,State industries department,District,"Scheme facilitation, PMEGP processing, entrepreneur guidance, subsidy claims",Pre-establishment to growth,Sector agnostic,PENDING_VERIFICATION,State industries departments,https://msme.gov.in/,2026-07-25,70,VST-NEEDS_REVIEW,The practical first point of contact for most district-level entrepreneurs
eco-006,"T-Hub, Hyderabad",Incubator / Accelerator,Government of Telangana with academic partners,Telangana,"Incubation, acceleration, corporate innovation, investor access",Early to growth stage,Technology-led,https://t-hub.co/,Government of Telangana,https://t-hub.co/,2026-07-25,70,VST-NEEDS_REVIEW,One of India's largest single-site startup facilities
eco-007,"WE-HUB, Hyderabad",Incubator,Government of Telangana,Telangana,"Women-focused incubation, mentoring, market and funding access",Idea to growth,"Sector agnostic, women-led",https://wehub.telangana.gov.in/,Government of Telangana,https://wehub.telangana.gov.in/,2026-07-25,70,VST-NEEDS_REVIEW,India's first state-led incubator exclusively for women entrepreneurs
eco-008,AP Innovation Society / Startup AP,State Programme,Government of Andhra Pradesh,Andhra Pradesh,"Startup recognition, incubation linkage, state incentive facilitation",Idea to growth,Sector agnostic,PENDING_VERIFICATION,Government of Andhra Pradesh,https://msme.gov.in/,2026-07-25,66,VST-NEEDS_REVIEW,State counterpart to Startup India; Package004 holds the policy record
eco-009,Rural Business Incubators (RBI under ASPIRE),Incubator Network,"Ministry of Micro, Small and Medium Enterprises",National (rural),"Rural enterprise incubation, technology demonstration, skill support",Idea to early operation,Agro-processing and rural industry,https://msme.gov.in/,Office of Development Commissioner (MSME); MSME-DI project profiles,https://msme.gov.in/,2026-07-25,66,VST-NEEDS_REVIEW,ASPIRE scheme vehicle; addresses the rural incubation gap
eco-010,Rural Self Employment Training Institutes (RSETI),Training Institute,Ministry of Rural Development with sponsoring banks,District,Free residential entrepreneurship training with credit linkage,Pre-establishment,Rural micro enterprise,PENDING_VERIFICATION,Ministry of Rural Development,https://rural.nic.in/,2026-07-25,70,VST-NEEDS_REVIEW,Bank-sponsored; Package006 holds the training-provider record
eco-011,Technology Business Incubators (DST-supported),Incubator Network,Department of Science and Technology,National,"Deep-tech incubation, seed support, research linkage",Prototype to early revenue,Science and technology led,https://dst.gov.in/,Department of Science and Technology,https://dst.gov.in/,2026-07-25,68,VST-NEEDS_REVIEW,Hosted at academic and research institutions; research-adjacent focus
eco-012,Export Promotion Councils,Trade Body,Ministry of Commerce and Industry,National (sector-wise),"Buyer linkage, trade fair access, market intelligence, certification guidance",Export-ready enterprises,Sector-specific councils,https://commerce.gov.in/,Ministry of Commerce and Industry,https://commerce.gov.in/,2026-07-25,70,VST-NEEDS_REVIEW,Council membership is often required for export incentive access
