institution_id,institution_name,institution_type,ownership,government_level,scheme_roles,priority_sector_lending,official_website,data_source,source_url,collection_date,confidence_score,verification_status,notes
fi-001,State Bank of India,Public Sector Bank,Government majority,Central,PMMY; Stand-Up India; PMEGP; KCC; PMAY CLSS; Skill Loan,Yes,https://sbi.co.in/,Reserve Bank of India,https://www.rbi.org.in/,2026-07-25,76,VST-NEEDS_REVIEW,Largest scheme-lending footprint among Indian banks
fi-002,Punjab National Bank,Public Sector Bank,Government majority,Central,PMMY; Stand-Up India; PMEGP; KCC; PMAY CLSS,Yes,https://www.pnbindia.in/,Reserve Bank of India,https://www.rbi.org.in/,2026-07-25,74,VST-NEEDS_REVIEW,Lead bank in several north Indian districts
fi-003,Canara Bank,Public Sector Bank,Government majority,Central,PMMY; PMEGP; KCC; Skill Loan; education loans,Yes,https://canarabank.com/,Reserve Bank of India,https://www.rbi.org.in/,2026-07-25,74,VST-NEEDS_REVIEW,Strong presence in southern states
fi-004,Union Bank of India,Public Sector Bank,Government majority,Central,PMMY; Stand-Up India; PMEGP; KCC,Yes,https://www.unionbankofindia.co.in/,Reserve Bank of India,https://www.rbi.org.in/,2026-07-25,74,VST-NEEDS_REVIEW,Lead bank for several Telangana and AP districts
fi-005,Bank of Baroda,Public Sector Bank,Government majority,Central,PMMY; PMEGP; KCC; PMAY CLSS,Yes,https://www.bankofbaroda.in/,Reserve Bank of India,https://www.rbi.org.in/,2026-07-25,73,VST-NEEDS_REVIEW,Wide rural branch network
fi-006,NABARD,Development Financial Institution,Government owned,Central,Refinance for KCC and rural credit; SHG bank linkage; AIF support,Not applicable,https://www.nabard.org/,NABARD,https://www.nabard.org/,2026-07-25,76,VST-NEEDS_REVIEW,Refinances lenders; does not lend directly to most citizens
fi-007,SIDBI,Development Financial Institution,Government owned,Central,MSME refinance; CGTMSE administration; Fund of Funds for Startups,Not applicable,https://www.sidbi.in/,SIDBI,https://www.sidbi.in/,2026-07-25,75,VST-NEEDS_REVIEW,Apex MSME financier; largely an institutional lender
fi-008,NSIC (National Small Industries Corporation),Public Sector Enterprise,Government owned,Central,Raw material assistance; bank credit facilitation; marketing support,Not applicable,https://www.nsic.co.in/,"Ministry of Micro, Small and Medium Enterprises",https://www.nsic.co.in/,2026-07-25,72,VST-NEEDS_REVIEW,Support services rather than direct term lending
fi-009,Regional Rural Banks,Regional Rural Bank,Government sponsored,State,KCC; PMMY; SHG credit linkage; PMEGP,Yes,PENDING_VERIFICATION,Reserve Bank of India,https://www.rbi.org.in/,2026-07-25,71,VST-NEEDS_REVIEW,Sponsored by public sector banks; district-level rural focus
fi-010,District Central Cooperative Banks,Cooperative Bank,Cooperative,District,KCC; crop loans; SHG lending,Yes,PENDING_VERIFICATION,NABARD; state cooperative departments,https://www.nabard.org/,2026-07-25,69,VST-NEEDS_REVIEW,Significant crop-loan share in many districts; governance quality varies
fi-011,Primary Agricultural Credit Societies (PACS),Cooperative Society,Cooperative,Village,Crop loans; AIF-eligible infrastructure projects,Not applicable,PENDING_VERIFICATION,NABARD; Ministry of Cooperation,https://www.nabard.org/,2026-07-25,68,VST-NEEDS_REVIEW,Village-level cooperative credit; AIF-eligible for infrastructure
fi-012,Small Finance Banks,Small Finance Bank,Private,Central,PMMY; micro credit; Jan Suraksha enrolment,Yes,PENDING_VERIFICATION,Reserve Bank of India,https://www.rbi.org.in/,2026-07-25,70,VST-NEEDS_REVIEW,Licensed with a mandated small-ticket and unserved focus
