id,scheme_name,scheme_type,jurisdiction,administering_body,target_beneficiaries,eligibility_summary,funding_benefit_summary,application_portal,official_website,data_source,source_url,collection_date,confidence_score,verification_status,notes
7cec84a2-0477-4c50-8ee0-dcfcb1a0fa39,National Means-cum-Merit Scholarship Scheme (NMMSS),Central Scheme,National,"Department of School Education and Literacy, Ministry of Education",Meritorious economically weaker Class 9-12 students in govt/govt-aided schools,"Class 9-12 students in Government/Government-aided/local body schools; passed Class 7 with min 55% marks (relaxed for SC/ST); family annual income not exceeding Rs 3.5 lakh; students of Kendriya Vidyalayas/Jawahar Navodaya Vidyalayas not eligible; selection via state-conducted NMMS exam","Rs 12,000 per annum (Rs 1,000 per month), disbursed via DBT; approx. 100,000 scholarships awarded nationally each year","National Scholarship Portal (scholarships.gov.in)",https://www.education.gov.in/en/nmms,"WebSearch cross-check (education.gov.in, myscheme.gov.in listed among results; content summarized via secondary aggregators buddy4study.com and sabscholarship.com)",https://www.education.gov.in/en/nmms,2026-07-21,78,VST-NEEDS_REVIEW,"Long-running, stable scheme; amount (Rs 12,000/yr) consistent across multiple sources for several years. Could not directly fetch education.gov.in (blocked); relied on WebSearch snippet plus secondary corroboration."
83c31166-3a09-4082-9750-88e97cdccc3f,Central Sector Scheme of Scholarships (CSSS) for College and University Students,Central Scheme,National,"Department of Higher Education, Ministry of Education",Meritorious UG/PG students from economically weaker families,"Indian nationals scoring at least 80th percentile (varies by board/year) in Class 12 boards; enrolled full-time in recognized UG/PG courses; family gross annual income not exceeding Rs 4.5 lakh; not availing any other scholarship","UG: Rs 10,000/year for up to 3 years; PG: Rs 20,000/year for up to 2 years; approx. 82,000 fresh scholarships/year, equally split between boys and girls","National Scholarship Portal (scholarships.gov.in)",https://scholarships.gov.in/,"WebSearch cross-check (multiple secondary aggregators: buddy4study.com, vajiramandravi.com, careers360.com)",https://news.careers360.com/cbse-central-sector-scheme-of-scholarship-2025-applications-open-scholarships-gov-in-csss-application,2026-07-21,72,VST-NEEDS_REVIEW,"Could not directly fetch scholarships.gov.in (403). Eligibility percentage cutoff for Class 12 varies by year/board list published annually - verify current cutoff list before publishing to end users."
6c56cd07-0881-4798-9aa6-09db9b565e5e,AICTE Pragati Scholarship for Girls,Central Scheme,National,All India Council for Technical Education (AICTE),Girl students in technical diploma/degree courses,"Girl student admitted to 1st year of degree/diploma technical course (or 2nd year via lateral entry) at AICTE-approved institution; family annual income not exceeding Rs 8 lakh; max 2 girls per family; not availing any other central/state/AICTE scholarship concurrently","Rs 50,000 per annum for duration of course (max 3 years degree / 2 years lateral-entry diploma); 10,000 scholarships/year (5,000 degree + 5,000 diploma)","National Scholarship Portal (scholarships.gov.in)",https://www.aicte-india.org/schemes/students-development-schemes,"WebSearch cross-check (buddy4study.com, indiascholarships.in, multiple aggregators consistent on Rs 50,000 figure)",https://www.buddy4study.com/scholarship/aicte-pragati-scholarship-for-girls,2026-07-21,74,VST-NEEDS_REVIEW,"AICTE official site not directly fetched (blocked); figures consistent across independent secondary sources."
89e09809-5fa0-4a59-9404-22e96cb6a018,AICTE Saksham Scholarship for Specially Abled Students,Central Scheme,National,All India Council for Technical Education (AICTE),Specially-abled students in technical diploma/degree courses,"Student with benchmark disability of min 40%; admitted to 1st year of diploma/degree program (or 2nd year lateral entry) at AICTE-approved institution; family annual income not exceeding Rs 8 lakh","Rs 50,000 per annum for full course duration","National Scholarship Portal (scholarships.gov.in)",https://www.aicte-india.org/schemes/students-development-schemes,"WebSearch cross-check (buddy4study.com, teachersbadi.in, schemesinindia.in, mahadevmaitri.org)",https://www.buddy4study.com/article/saksham-scholarship-scheme,2026-07-21,74,VST-NEEDS_REVIEW,"Companion scheme to Pragati; AICTE official site not directly fetched (blocked)."
370ecaeb-8f64-4a83-861e-68c838707bae,INSPIRE Scholarship - Scholarship for Higher Education (SHE),Central Scheme,National,Department of Science and Technology (DST),"Top-performing students (age 17-22) pursuing Natural/Basic Sciences at UG/Integrated MSc level","Top 1% in Class 12 boards pursuing B.Sc/B.S./Integrated M.Sc in Natural/Basic Sciences; OR top 10,000 rank in JEE Main/Advanced or NEET pursuing Natural/Basic Sciences; OR admitted to IISERs/NISER/DAE-CBS/Visva-Bharati direct entry; OR KVPY/NTSE/JBNSTS scholars or International Olympiad medallists; must maintain 60%+ marks (7.0 GPA) for renewal","Rs 80,000 per annum for up to 5 years, plus mentorship and summer research internship opportunities; approx. 10,000 scholars selected annually","online-inspire.gov.in",https://dst.gov.in/inspire-scheme-innovation-science-pursuit-inspired-research,"WebSearch cross-check (dst.gov.in and indiascienceandtechnology.gov.in listed among results; corroborated by buddy4study.com, sabscholarship.com)",https://www.online-inspire.gov.in/Content/SHEFAQs.pdf,2026-07-21,80,VST-NEEDS_REVIEW,"DST/ISTI portal appeared directly in search results, increasing confidence; direct WebFetch of online-inspire.gov.in not attempted due to blocking pattern seen on other gov.in domains."
16527b60-0af2-4aa4-a17a-3c4490bf52f1,Prime Minister's Scholarship Scheme (PMSS) for Wards of Ex-Servicemen/Ex-Coast Guard,Central Scheme,National,"Kendriya Sainik Board (KSB), Ministry of Defence",Dependent wards/widows of Ex-Servicemen and Ex-Coast Guard personnel,"Wards/widows of Ex-Servicemen, Ex-Coast Guard personnel and CAPF (as applicable) pursuing professional/technical degree courses; admission in 1st year (lateral entry excluded); min 60% in qualifying exam (10+2/Diploma/Graduation); PG not covered except MBA/MCA","Rs 2,500/month for boys, Rs 3,000/month for girls; approx. 5,500 wards selected per academic year","Kendriya Sainik Board portal (ksb.gov.in) / National Scholarship Portal",https://ksb.gov.in/,"WebSearch cross-check (bajajfinserv.in, nsphelp.in, yojanagyan.in, anantamias.com - multiple aggregators consistent)",https://www.bajajfinserv.in/prime-minister-pm-scholarship-scheme,2026-07-21,70,VST-NEEDS_REVIEW,"This is the PMSS under PM-USP umbrella; official ksb.gov.in not directly fetched. Verify current-year application window before publishing (varies Aug-Dec by year)."
a3ceb40e-0520-460c-8161-37ae108bd673,National Fellowship for Scheduled Caste Students (NFSC),Central Scheme,National,"Department of Social Justice and Empowerment, Ministry of Social Justice and Empowerment",SC students pursuing M.Phil/PhD,"SC candidate; qualified UGC-NET/UGC-CSIR NET JRF (Junior Research Fellowship) test; admitted to full-time M.Phil/PhD at UGC-recognized university/institute; family income not exceeding Rs 6 lakh","JRF: approx. Rs 37,000/month; SRF: approx. Rs 42,000/month; plus HRA and contingency grant; approx. 2,000 new slots/year (500 Science + 1,500 Humanities/Social Science)","National Scholarship Portal (scholarships.gov.in)",https://socialjustice.gov.in/schemes/29,"WebSearch cross-check (socialjustice.gov.in and nsfdc.nic.in listed among results; corroborated by buddy4study.com, schemesinindia.in)",https://socialjustice.gov.in/schemes/29,2026-07-21,80,VST-NEEDS_REVIEW,"JRF/SRF monthly rates reflect the 2023 UGC fellowship revision; verify against current-year notification as rates are subject to periodic government revision."
03b67238-27db-41dc-a6fe-f79188416ecd,National Overseas Scholarship (NOS) for SC etc. Candidates,Central Scheme,National,"Department of Social Justice and Empowerment, Ministry of Social Justice and Empowerment","SC, Denotified/Nomadic/Semi-Nomadic Tribes (DNT), landless agricultural labourers, traditional artisans","Belongs to SC/DNT/landless agricultural labourer/traditional artisan category; pursuing/admitted to Master's (under 35 yrs) or PhD (under 40 yrs) at a recognized foreign university, priority to QS top-500; family annual income not exceeding Rs 8 lakh","Covers tuition fee, maintenance allowance, airfare and other allowances per approved norms (exact current per-country rates PENDING_VERIFICATION); approx. 125 scholarships/year overall, ~115 reserved for SC candidates",https://nosmsje.gov.in/,https://nosmsje.gov.in/,"WebSearch cross-check (nosmsje.gov.in and socialjustice.gov.in listed among results; corroborated by buddy4study.com, gyandhan.com, wemakescholars.com)",https://socialjustice.gov.in/schemes/28,2026-07-21,78,VST-NEEDS_REVIEW,"Exact maintenance-allowance amounts vary by destination country and are revised periodically - marked PENDING_VERIFICATION rather than quoting an unverified figure seen only in a page title."
a15db115-5f7f-4e10-b023-1ca8fb827cd6,Top Class Education Scheme for SC Students,Central Scheme,National,"Department of Social Justice and Empowerment, Ministry of Social Justice and Empowerment",SC students admitted to notified 'top class' institutions for UG/PG study,"SC category; admission (on general merit) to notified top-class institution for full-time UG/PG course; family annual income not exceeding Rs 8 lakh; max 2 siblings per family can avail","Full tuition fee and non-refundable charges (capped at Rs 2 lakh/annum for private institutions, no cap for government institutions); academic allowance Rs 86,000 in first year and Rs 41,000 in subsequent years","National Scholarship Portal (scholarships.gov.in)",https://tcs.dosje.gov.in/,"WebSearch cross-check (socialjustice.gov.in, tcs.dosje.gov.in, india.gov.in listed among results; corroborated by buddy4study.com, indiascholarships.in)",https://socialjustice.gov.in/schemes/27,2026-07-21,80,VST-NEEDS_REVIEW,"Multiple official domains (socialjustice.gov.in, tcs.dosje.gov.in) appeared in search results corroborating figures."
62a934be-b68d-4d7e-8658-80d3f2e69d46,Post-Matric Scholarship for Minorities,Central Scheme,National,Ministry of Minority Affairs,"Students from notified minority communities (Muslim, Christian, Sikh, Buddhist, Jain, Parsi), Class 11 to PG","Belongs to one of 6 notified minority communities; resident of India; min 50% marks in previous qualifying exam; family annual income not exceeding Rs 2 lakh; covers school, ITI/ITC, and higher education courses","Covers admission/tuition fee plus maintenance allowance (rate differs for day scholars vs hostellers and by course level); exact current per-slab rates PENDING_VERIFICATION","National Scholarship Portal (scholarships.gov.in)",https://www.minorityaffairs.gov.in/,"WebSearch cross-check (minorityaffairs.gov.in and indiascienceandtechnology.gov.in listed among results; corroborated by testbook.com, mahadevmaitri.org, indiascholarships.in)",https://www.minorityaffairs.gov.in/show_content.php?lang=1&level=2&ls_id=163&lid=165,2026-07-21,76,VST-NEEDS_REVIEW,"A single secondary source claimed a flat 'up to Rs 10,000/year' figure that conflicts with the scheme's known fee+maintenance structure; treated that specific number as unreliable and marked PENDING_VERIFICATION instead."
7b3b63b2-bd52-4dec-888c-0c54b8dd71a2,Merit-cum-Means Scholarship for Minorities,Central Scheme,National,Ministry of Minority Affairs,Minority students in professional/technical UG/PG courses,"Belongs to a notified minority community; pursuing full-time professional/technical UG/PG course at a recognized institute; min 50% marks or equivalent in previous qualifying exam; family annual income not exceeding Rs 2.5 lakh; no backlog and regular attendance required for renewal","Covers course fee plus maintenance allowance (exact current rate PENDING_VERIFICATION)","National Scholarship Portal (scholarships.gov.in)",https://www.minorityaffairs.gov.in/,"WebSearch cross-check (minorityaffairs.gov.in and indiascienceandtechnology.gov.in listed among results; corroborated by buddy4study.com, india.gov.in)",https://www.minorityaffairs.gov.in/show_content.php?lang=1&level=1&ls_id=775&lid=827,2026-07-21,76,VST-NEEDS_REVIEW,"Income ceiling of Rs 2.5 lakh consistent across sources; specific rupee benefit amount not found in a reliably current official snippet, so left as PENDING_VERIFICATION."
ac4a8392-851b-4d36-b6c3-a87b25952454,PM YASASVI (PM Young Achievers Scholarship Award Scheme for Vibrant India),Central Scheme,National,"Department of Social Justice and Empowerment, Ministry of Social Justice and Empowerment","OBC, EBC and Denotified/Nomadic/Semi-Nomadic Tribes (DNT) students, Class 9-12","Belongs to OBC/EBC/DNT category; studying Class 9-12 in recognized govt/govt-aided/private school; family annual income not exceeding Rs 2.5 lakh; selection via NTA-conducted YET exam for pre-matric/top-class tiers","Class 9 & 10: up to Rs 75,000 per annum; Class 11 & 12: up to Rs 1,25,000 per annum","National Scholarship Portal (scholarships.gov.in)",https://yet.nta.ac.in/,"WebSearch cross-check (careers360.com news article, buddy4study.com, schemesinindia.in - consistent figures)",https://news.careers360.com/pm-yasasvi-scholarship-offers-up-rs-125-lakh-applications-open-for-obc-students-in-class-9-11,2026-07-21,75,VST-NEEDS_REVIEW,"Scheme merges/succeeds earlier 'Top Class Education for OBC' and pre-matric OBC scholarships under one NTA-administered exam (YET); verify scope against current-year NSP guidelines."
1941aece-7903-4301-9ab3-c5a485eed3d8,National Fellowship for Higher Education of ST Students (NFST),Central Scheme,National,Ministry of Tribal Affairs,ST students pursuing M.Phil/PhD,"ST candidate; passed PG examination in concerned subject; registered for regular full-time M.Phil/PhD at UGC-recognized university/institute; approx. 750 slots/year across all subjects","JRF/SRF monthly fellowship plus HRA and contingency grant per UGC norms (reported figures vary by source - exact current rate PENDING_VERIFICATION)",https://fellowship.tribal.gov.in/,https://tribal.nic.in/ScholarshiP.aspx,"WebSearch cross-check (fellowship.tribal.gov.in and tribal.nic.in listed among results; scholarships.gov.in PDF guideline also found)",https://fellowship.tribal.gov.in/,2026-07-21,74,VST-NEEDS_REVIEW,"Formerly known as Rajiv Gandhi National Fellowship (RGNF) for ST students, renamed NFST. One source quoted JRF/SRF rates (~Rs 25,000/28,000 per month) that appear to be pre-2023-revision figures, conflicting with the ~Rs 37,000/42,000 rates reported for the analogous SC fellowship (NFSC) - treated as unreliable and marked PENDING_VERIFICATION."
b5a5b898-269f-47c4-b4be-141745cf81ad,Top Class Education Scheme for ST Students,Central Scheme,National,Ministry of Tribal Affairs,ST students admitted to notified top-class institutions for UG/PG professional courses,"ST category; admitted to one of ~265 identified top-class institutes for professional courses (management, medicine, engineering, IT, law, etc.); family annual income not exceeding Rs 6 lakh","Full tuition fee and other allowances per scheme norms; centrally sponsored, states/UTs administer applications and DBT disbursal","National Scholarship Portal (scholarships.gov.in) / state tribal welfare portal",https://tribal.nic.in/topclass/,"WebSearch cross-check (tribal.nic.in and pib.gov.in listed among results; corroborated by galaxyeduworld.com, scholarshipsinindia.com)",https://tribal.nic.in/topclass/,2026-07-21,76,VST-NEEDS_REVIEW,"FY2026-27 Union Budget allocation for ST higher-education fellowship/scholarship reported at Rs 340 crore per careers360.com budget analysis - budget line, not per-student amount."
671ec614-6fa5-45b1-a07c-b8f7baacdc0c,National Fellowship for Persons with Disabilities (NFPwD),Central Scheme,National,"Department of Empowerment of Persons with Disabilities (DEPwD), Ministry of Social Justice and Empowerment (implemented via UGC)",Students with benchmark disability pursuing M.Phil/PhD,"Indian national with benchmark disability (40%+) per Rights of Persons with Disabilities Act 2016, valid disability certificate; registered for regular full-time M.Phil/PhD; cannot hold another scholarship/stipend concurrently","JRF: approx. Rs 31,000/month; SRF: approx. Rs 35,500/month (2025-26 rates); contingency grant (Rs 10,000 JRF / Rs 20,500 SRF per annum for Humanities/Social Sciences) plus HRA; fellowship tenure up to 5 years",https://depwd.gov.in/en/scholarship/,https://depwd.gov.in/en/scholarship/,"WebSearch cross-check (depwd.gov.in listed among results; corroborated by depwd.maharashtra.gov.in mirror)",https://depwd.gov.in/en/scholarship/,2026-07-21,78,VST-NEEDS_REVIEW,"Rates cited as '2025-26' by source; verify against 2026-27 notification. Also note discrepancy with NFSC's higher JRF/SRF rates for the same academic year - both figures reported independently but not reconciled; flagged for review."
a937aa97-dfa9-46bd-84e6-7c0d0a8cf06e,Telangana ePASS Pre-Matric Scholarship,State Scheme,Telangana,"Telangana State Backward Classes Welfare / SC/ST/Minority Welfare Departments (jointly via TG ePASS)","SC, ST, BC, EBC, Minority and Disabled Welfare students, Class 5-10","Permanent resident (domicile) of Telangana; enrolled in recognized school Class 5-10; passed previous qualifying exam; min 75% attendance per quarter; not admitted via management quota/spot admission; annual family income below Rs 2,00,000 (urban SC/ST/BC/Minority), Rs 1,50,000 (rural BC/Minority), or Rs 1,00,000 (EBC/Disabled)","Covers tuition/admission fee and maintenance allowance per category slab (exact current rupee slabs PENDING_VERIFICATION); disbursed via DBT",https://telanganaepass.cgg.gov.in/,https://telanganaepass.cgg.gov.in/,"WebSearch cross-check (telanganaepass.cgg.gov.in listed among results; corroborated by teachersbadi.in, buddy4study.com, leverageedu.com)",https://telanganaepass.cgg.gov.in/,2026-07-21,68,VST-NEEDS_REVIEW,"Official telanganaepass.cgg.gov.in returned HTTP 403 on direct WebFetch attempt; relied on WebSearch snippets citing the same domain plus secondary aggregators."
