mapping_id,business_id,business_name,package004_dataset,package004_opportunity_id,package004_opportunity_name,relationship,data_source,source_url,collection_date,confidence_score,verification_status,notes
imap-001,mb-001,Rice Milling Unit,food_agro_processing_micro_enterprises,c73efe76-0b1f-442f-aa71-3e80151eed23,Small-Scale Flour/Atta Milling Unit,Adjacent,Package004_Industries reconciliation,https://msme.gov.in/,2026-07-25,66,VST-NEEDS_REVIEW,Closest Package004 milling counterpart; Package004 covers flour rather than paddy
imap-002,mb-002,Dal Milling Unit,food_agro_processing_micro_enterprises,4610e10b-9613-4bf1-84e8-c384aeb2b28a,Small-Scale Multi-Product Food Processing Unit,Adjacent,Package004_Industries reconciliation,https://msme.gov.in/,2026-07-25,64,VST-NEEDS_REVIEW,No dedicated dal-milling opportunity in Package004 v1.0.0
imap-003,mb-003,Cold-Pressed Oil Unit,food_agro_processing_micro_enterprises,5655ea20-8695-4016-9fa6-1bce946c65be,Cold-Pressed Groundnut/Sesame Oil (Kachi Ghani) Unit,Same opportunity,Package004_Industries reconciliation,https://msme.gov.in/,2026-07-25,74,VST-NEEDS_REVIEW,Exact one-to-one counterpart
imap-004,mb-004,Spice Grinding and Packing Unit,food_agro_processing_micro_enterprises,78a4f890-744c-4711-8e00-820942e61569,Turmeric Processing & Powder-Making Unit,Same opportunity,Package004_Industries reconciliation,https://msme.gov.in/,2026-07-25,74,VST-NEEDS_REVIEW,Exact counterpart for the turmeric variant
imap-005,mb-004,Spice Grinding and Packing Unit,food_agro_processing_micro_enterprises,d5040e06-e388-4614-965b-0db927afb97d,"Chilli Processing, Grading & Powder-Making Unit",Same opportunity,Package004_Industries reconciliation,https://msme.gov.in/,2026-07-25,74,VST-NEEDS_REVIEW,Exact counterpart for the chilli variant
imap-006,mb-004,Spice Grinding and Packing Unit,food_agro_processing_micro_enterprises,d6969e3f-af59-44f5-b9a3-9e269e45ee4b,Masala Powder Manufacturing Unit (Small Scale),Same opportunity,Package004_Industries reconciliation,https://msme.gov.in/,2026-07-25,72,VST-NEEDS_REVIEW,Exact counterpart for the blended-masala variant
imap-007,mb-005,Millet Processing Unit,food_agro_processing_micro_enterprises,f9e0a76d-4cae-4d96-8a05-dd2ba5414372,Small-Scale Millet Processing Unit,Same opportunity,Package004_Industries reconciliation,https://msme.gov.in/,2026-07-25,73,VST-NEEDS_REVIEW,Exact one-to-one counterpart
imap-008,mb-006,Fruit Pulp and Beverage Unit,food_agro_processing_micro_enterprises,4610e10b-9613-4bf1-84e8-c384aeb2b28a,Small-Scale Multi-Product Food Processing Unit,Broader Package004 record,Package004_Industries reconciliation,https://msme.gov.in/,2026-07-25,66,VST-NEEDS_REVIEW,Fruit pulp falls inside the multi-product scope
imap-009,mb-009,Sheet Metal Fabrication Unit,construction_skilled_trade_services,7d86d50a-9e93-488e-bf9b-c7e2ce6e480e,Welding & Metal Fabrication,Same opportunity,Package004_Industries reconciliation,https://msme.gov.in/,2026-07-25,72,VST-NEEDS_REVIEW,Exact one-to-one counterpart
imap-010,mb-012,Electrical Panel Manufacturing,construction_skilled_trade_services,105647eb-2df0-42a7-980b-4bd9639d262d,Electrical Contracting (Licensed Supervisor/Contractor),Adjacent,Package004_Industries reconciliation,https://msme.gov.in/,2026-07-25,66,VST-NEEDS_REVIEW,Package004 covers contracting service; this is panel manufacture
imap-011,mb-014,Custom Software Development Firm,digital_technology_livelihoods,DTL002,Small IT Services Firm / Software Development Startup,Same opportunity,Package004_Industries reconciliation,https://msme.gov.in/,2026-07-25,73,VST-NEEDS_REVIEW,Exact one-to-one counterpart
imap-012,mb-015,SaaS Product Startup,digital_technology_livelihoods,DTL002,Small IT Services Firm / Software Development Startup,Adjacent,Package004_Industries reconciliation,https://msme.gov.in/,2026-07-25,66,VST-NEEDS_REVIEW,Package004 does not separate product from services model
imap-013,mb-016,AI Solutions and Consulting,digital_technology_livelihoods,DTL011,Data Analytics Services,Adjacent,Package004_Industries reconciliation,https://msme.gov.in/,2026-07-25,64,VST-NEEDS_REVIEW,Closest Package004 counterpart; no dedicated AI opportunity exists there
imap-014,mb-017,Digital Marketing Agency,digital_technology_livelihoods,DTL006,Digital Marketing Agency,Same opportunity,Package004_Industries reconciliation,https://msme.gov.in/,2026-07-25,73,VST-NEEDS_REVIEW,Exact one-to-one counterpart
