agency_id,agency_name,agency_type,government_level,jurisdiction,primary_role,sectors_covered,official_website,data_source,source_url,collection_date,confidence_score,verification_status,notes
ag-001,Ministry of Agriculture and Farmers Welfare,Central Ministry,Central,National,"Policy, scheme design and central funding for agriculture",Agriculture,https://agricoop.gov.in/,Government of India,https://agricoop.gov.in/,2026-07-25,78,VST-NEEDS_REVIEW,Implements through state agriculture departments
ag-002,"Ministry of Micro, Small and Medium Enterprises",Central Ministry,Central,National,"MSME policy, credit facilitation and enterprise development",MSME; Entrepreneurship,https://msme.gov.in/,Government of India,https://msme.gov.in/,2026-07-25,77,VST-NEEDS_REVIEW,"Operates through DC-MSME, MSME-DIs and KVIC"
ag-003,Ministry of Education,Central Ministry,Central,National,School and higher education policy and central scholarship schemes,Education; Scholarships,https://www.education.gov.in/,Government of India,https://www.education.gov.in/,2026-07-25,77,VST-NEEDS_REVIEW,"Two departments: school education, and higher education"
ag-004,Ministry of Health and Family Welfare,Central Ministry,Central,National,"Health policy, national health missions and insurance schemes",Healthcare,https://mohfw.gov.in/,Government of India,https://mohfw.gov.in/,2026-07-25,77,VST-NEEDS_REVIEW,PM-JAY is executed by the National Health Authority
ag-005,Ministry of Skill Development and Entrepreneurship,Central Ministry,Central,National,"Skilling policy, apprenticeship and certification framework",Skill Development,https://msde.gov.in/,Government of India,https://msde.gov.in/,2026-07-25,77,VST-NEEDS_REVIEW,"Operates through NSDC, DGT and NCVET"
ag-006,Ministry of Rural Development,Central Ministry,Central,National,"Rural employment, livelihoods, housing and social assistance",Employment; Livelihood; Housing; Social Welfare,https://rural.nic.in/,Government of India,https://rural.nic.in/,2026-07-25,76,VST-NEEDS_REVIEW,Largest scheme portfolio by beneficiary count
ag-007,Department of Financial Services,Central Department,Central,National,"Financial inclusion, Jan Suraksha and banking-linked schemes",Financial Inclusion; Insurance,https://financialservices.gov.in/,Ministry of Finance,https://financialservices.gov.in/,2026-07-25,76,VST-NEEDS_REVIEW,Coordinates public sector banks for scheme delivery
ag-008,National Health Authority,Central Authority,Central,National,Implementation of Ayushman Bharat PM-JAY,Healthcare,https://nha.gov.in/,Ministry of Health and Family Welfare,https://nha.gov.in/,2026-07-25,75,VST-NEEDS_REVIEW,State Health Agencies execute at state level
ag-009,NABARD,Development Financial Institution,Central,National,Refinance and development support for agriculture and rural sectors,Agriculture; Livelihood,https://www.nabard.org/,NABARD,https://www.nabard.org/,2026-07-25,76,VST-NEEDS_REVIEW,Refinances banks rather than lending directly to most citizens
ag-010,SIDBI,Development Financial Institution,Central,National,"MSME refinance, credit guarantee administration and fund-of-funds",MSME,https://www.sidbi.in/,SIDBI,https://www.sidbi.in/,2026-07-25,75,VST-NEEDS_REVIEW,Administers CGTMSE jointly with the MSME Ministry
ag-011,KVIC (Khadi and Village Industries Commission),Statutory Body,Central,National,PMEGP nodal agency and village industry promotion,Entrepreneurship; MSME,https://www.kvic.gov.in/,Ministry of MSME,https://www.kvic.gov.in/,2026-07-25,74,VST-NEEDS_REVIEW,One of three PMEGP implementing agencies with KVIB and DIC
ag-012,NSDC (National Skill Development Corporation),Public Private Partnership,Central,National,"Skill scheme implementation, training partner empanelment and funding",Skill Development,https://nsdcindia.org/,Ministry of Skill Development and Entrepreneurship,https://nsdcindia.org/,2026-07-25,75,VST-NEEDS_REVIEW,Operates Skill India Digital and Sector Skill Councils
ag-013,District Industries Centre (DIC),District Office,State,District,"District-level MSME facilitation, PMEGP processing and subsidy claims",MSME; Entrepreneurship,PENDING_VERIFICATION,State industries departments,https://msme.gov.in/,2026-07-25,70,VST-NEEDS_REVIEW,The practical first point of contact for enterprise schemes
ag-014,District Collector / District Administration,District Office,State,District,"District-level convergence, grievance redress and welfare scheme oversight",All sectors,PENDING_VERIFICATION,State governments,https://www.india.gov.in/,2026-07-25,68,VST-NEEDS_REVIEW,Chairs district-level convergence committees for most schemes
ag-015,State Agriculture Department,State Department,State,State,Delivery of central and state agriculture schemes at field level,Agriculture,PENDING_VERIFICATION,State governments,https://agricoop.gov.in/,2026-07-25,70,VST-NEEDS_REVIEW,Extension delivery through KVKs and block offices
ag-016,State Skill Development Mission / Corporation,State Agency,State,State,State-level skilling delivery and convergence with central schemes,Skill Development,PENDING_VERIFICATION,State governments; MSDE,https://msde.gov.in/,2026-07-25,69,VST-NEEDS_REVIEW,TSSDC and APSSDC are the Telangana and AP bodies
ag-017,Gram Panchayat,Local Body,Local,Village,"Work demand registration, beneficiary identification and social audit",Employment; Housing; Social Welfare,PENDING_VERIFICATION,Ministry of Panchayati Raj,https://panchayat.gov.in/,2026-07-25,70,VST-NEEDS_REVIEW,The statutory entry point for MGNREGA and PMAY-G
ag-018,Common Service Centre (CSC),Service Delivery Network,Central,National (village level),Assisted digital application filing for citizen schemes,All sectors,https://csc.gov.in/,CSC e-Governance Services India Limited,https://csc.gov.in/,2026-07-25,72,VST-NEEDS_REVIEW,Village Level Entrepreneur model; service charges apply
ag-019,MeeSeva (Telangana) / AP Seva,Service Delivery Network,State,Telangana; Andhra Pradesh,Assisted certificate issuance and scheme application counters,All sectors,https://ts.meeseva.telangana.gov.in/,State governments,https://ts.meeseva.telangana.gov.in/,2026-07-25,71,VST-NEEDS_REVIEW,Primary channel for revenue certificates in both states
ag-020,Scheduled Commercial Banks,Financial Institution,Central,National,"Credit delivery, subsidy routing and DBT crediting",Financial Inclusion; MSME; Agriculture; Housing,PENDING_VERIFICATION,Reserve Bank of India; Department of Financial Services,https://financialservices.gov.in/,2026-07-25,73,VST-NEEDS_REVIEW,The actual delivery point for every credit-linked scheme
