owned_attribute,entity_type,owner_package
accreditation,Institution,Package002_Education
ai_readiness,MSME,Package008_MSME
ai_readiness,Machinery,Package005_Agriculture
application_mode,GovernmentScheme,Package007_Government_Schemes
area_sq_km,District,Package001_Geography
automation_level,MSME,Package008_MSME
automation_level,Machinery,Package005_Agriculture
automation_risk,Skill,Package006_Skills_and_Training
availability,RawMaterial,Package008_MSME
avg_yield_tons_per_ha,Crop,Package005_Agriculture
benefit_summary,GovernmentScheme,Package007_Government_Schemes
business_name,MSME,Package008_MSME
buyer_type,Market,Package008_MSME
capital_city,State,Package001_Geography
certification_name,Certification,Package006_Skills_and_Training
channel_name,Market,Package008_MSME
channel_type,Market,Package008_MSME
country_name,Country,Package001_Geography
country_name,ExportCountry,Package001_Geography
crop_name,Crop,Package005_Agriculture
crop_suitability,Soil,Package005_Agriculture
difficulty,MSME,Package008_MSME
difficulty_level,Skill,Package006_Skills_and_Training
digital_intensity,Market,Package008_MSME
district_headquarters,District,Package001_Geography
district_name,District,Package001_Geography
duration_days,Crop,Package005_Agriculture
eligibility,GovernmentScheme,Package007_Government_Schemes
entry_barrier,Market,Package008_MSME
financial_assistance,GovernmentScheme,Package007_Government_Schemes
growing_seasons,ClimateZone,Package005_Agriculture
humidity_percent,ClimateZone,Package005_Agriculture
industrial_policy_name,State,Package001_Geography
institution_name,FinancialInstitution,Package007_Government_Schemes
investment_range_summary,BusinessOpportunity,Package004_Industries
iso_code,Country,Package001_Geography
issuing_body,Certification,Package006_Skills_and_Training
latitude,District,Package001_Geography
launch_year,GovernmentScheme,Package007_Government_Schemes
learning_duration,Skill,Package006_Skills_and_Training
licenses_required_summary,BusinessOpportunity,Package004_Industries
literacy_rate_pct,District,Package001_Geography
longitude,District,Package001_Geography
machinery_equipment_summary,BusinessOpportunity,Package004_Industries
machinery_name,Machinery,Package005_Agriculture
major_districts,Crop,Package005_Agriculture
major_states,Crop,Package005_Agriculture
mandal_count,District,Package001_Geography
material_class,RawMaterial,Package008_MSME
ministry,GovernmentScheme,Package007_Government_Schemes
nsqf_level,Certification,Package006_Skills_and_Training
nsqf_level,Skill,Package006_Skills_and_Training
pH_range_max,Soil,Package005_Agriculture
pH_range_min,Soil,Package005_Agriculture
population,District,Package001_Geography
power_hp,Machinery,Package005_Agriculture
price_volatility,RawMaterial,Package008_MSME
priority_sector_lending,FinancialInstitution,Package007_Government_Schemes
profitability_outlook,MSME,Package008_MSME
provider_name,TrainingProvider,Package006_Skills_and_Training
rainfall_mm,Crop,Package005_Agriculture
rainfall_mm_max,ClimateZone,Package005_Agriculture
rainfall_mm_min,ClimateZone,Package005_Agriculture
raw_material_name,RawMaterial,Package008_MSME
raw_materials_summary,BusinessOpportunity,Package004_Industries
recognition_level,Certification,Package006_Skills_and_Training
salary_range,Skill,Package006_Skills_and_Training
scheme_name,GovernmentScheme,Package007_Government_Schemes
scheme_roles,FinancialInstitution,Package007_Government_Schemes
scientific_name,Crop,Package005_Agriculture
seasonality,RawMaterial,Package008_MSME
sex_ratio,District,Package001_Geography
skill_name,Skill,Package006_Skills_and_Training
soil_color,Soil,Package005_Agriculture
soil_name,Soil,Package005_Agriculture
soil_type_preferred,Crop,Package005_Agriculture
state_code,State,Package001_Geography
state_gdp_inr_cr,State,Package001_Geography
state_name,State,Package001_Geography
subsidy_scheme,Machinery,Package005_Agriculture
supplier_type,RawMaterial,Package008_MSME
technology_level,MSME,Package008_MSME
temperature_max_c,ClimateZone,Package005_Agriculture
temperature_min_c,ClimateZone,Package005_Agriculture
texture,Soil,Package005_Agriculture
training_providers_summary,BusinessOpportunity,Package004_Industries
udyam_classification,MSME,Package008_MSME
university_type,Institution,Package002_Education
validity_period,Certification,Package006_Skills_and_Training
water_requirement_mm,Crop,Package005_Agriculture
zone_name,ClimateZone,Package005_Agriculture
