mapping_id,scheme_id,scheme_short_name,package001_dist_id,dist_ref,district_name,state_scope,district_level_agency,application_channel,district_specific_variation,data_source,source_url,collection_date,confidence_score,verification_status,notes
dsm-0001,sch-014,PMEGP,a0248e18-5e38-4b14-8c0b-dfa7105971dd,TG-ADB,Adilabad,Telangana,District Industries Centre / KVIB,"Online application, district task force appraisal",PENDING_VERIFICATION,Package001_Geography district master; scheme guidelines,https://www.myscheme.gov.in/,2026-07-25,72,VST-NEEDS_REVIEW,Every district has a DIC; the task force is constituted at district level
dsm-0002,sch-014,PMEGP,5eedf97f-f311-4ec9-ac9e-03da47fde723,TG-KBA,Kumuram Bheem Asifabad,Telangana,District Industries Centre / KVIB,"Online application, district task force appraisal",PENDING_VERIFICATION,Package001_Geography district master; scheme guidelines,https://www.myscheme.gov.in/,2026-07-25,72,VST-NEEDS_REVIEW,Every district has a DIC; the task force is constituted at district level
dsm-0003,sch-014,PMEGP,24e7d017-1120-4f39-b6e3-8eb6c8f93e82,TG-MCL,Mancherial,Telangana,District Industries Centre / KVIB,"Online application, district task force appraisal",PENDING_VERIFICATION,Package001_Geography district master; scheme guidelines,https://www.myscheme.gov.in/,2026-07-25,72,VST-NEEDS_REVIEW,Every district has a DIC; the task force is constituted at district level
dsm-0004,sch-014,PMEGP,1b1a69fd-b7d2-4547-9898-fef4ae0f28ec,TG-NRM,Nirmal,Telangana,District Industries Centre / KVIB,"Online application, district task force appraisal",PENDING_VERIFICATION,Package001_Geography district master; scheme guidelines,https://www.myscheme.gov.in/,2026-07-25,72,VST-NEEDS_REVIEW,Every district has a DIC; the task force is constituted at district level
dsm-0005,sch-014,PMEGP,b6fb561d-e551-4b7a-b15b-6f81e5a3ec20,TG-NZB,Nizamabad,Telangana,District Industries Centre / KVIB,"Online application, district task force appraisal",PENDING_VERIFICATION,Package001_Geography district master; scheme guidelines,https://www.myscheme.gov.in/,2026-07-25,72,VST-NEEDS_REVIEW,Every district has a DIC; the task force is constituted at district level
dsm-0006,sch-014,PMEGP,3606f526-a8fe-4eee-892c-ca996b59b03e,TG-JGT,Jagtial,Telangana,District Industries Centre / KVIB,"Online application, district task force appraisal",PENDING_VERIFICATION,Package001_Geography district master; scheme guidelines,https://www.myscheme.gov.in/,2026-07-25,72,VST-NEEDS_REVIEW,Every district has a DIC; the task force is constituted at district level
dsm-0007,sch-014,PMEGP,e17d2fa9-1dfa-4d56-83d5-9f962d6e3469,TG-PDP,Peddapalli,Telangana,District Industries Centre / KVIB,"Online application, district task force appraisal",PENDING_VERIFICATION,Package001_Geography district master; scheme guidelines,https://www.myscheme.gov.in/,2026-07-25,72,VST-NEEDS_REVIEW,Every district has a DIC; the task force is constituted at district level
dsm-0008,sch-014,PMEGP,e08443e2-2ae2-4e3b-a41d-68c06063d269,TG-KMR,Kamareddy,Telangana,District Industries Centre / KVIB,"Online application, district task force appraisal",PENDING_VERIFICATION,Package001_Geography district master; scheme guidelines,https://www.myscheme.gov.in/,2026-07-25,72,VST-NEEDS_REVIEW,Every district has a DIC; the task force is constituted at district level
dsm-0009,sch-014,PMEGP,165eaf89-5d17-4efa-b5d8-6909d8f0e84f,TG-RSL,Rajanna Sircilla,Telangana,District Industries Centre / KVIB,"Online application, district task force appraisal",PENDING_VERIFICATION,Package001_Geography district master; scheme guidelines,https://www.myscheme.gov.in/,2026-07-25,72,VST-NEEDS_REVIEW,Every district has a DIC; the task force is constituted at district level
dsm-0010,sch-014,PMEGP,086394be-1e67-4761-a069-e9d2dd6f7bd0,TG-KRM,Karimnagar,Telangana,District Industries Centre / KVIB,"Online application, district task force appraisal",PENDING_VERIFICATION,Package001_Geography district master; scheme guidelines,https://www.myscheme.gov.in/,2026-07-25,72,VST-NEEDS_REVIEW,Every district has a DIC; the task force is constituted at district level
dsm-0011,sch-014,PMEGP,9fed3cf2-18e0-4c2d-9355-80d3b34b1ebd,TG-JSB,Jayashankar Bhupalpally,Telangana,District Industries Centre / KVIB,"Online application, district task force appraisal",PENDING_VERIFICATION,Package001_Geography district master; scheme guidelines,https://www.myscheme.gov.in/,2026-07-25,72,VST-NEEDS_REVIEW,Every district has a DIC; the task force is constituted at district level
dsm-0012,sch-014,PMEGP,13bb4a71-c81b-4eb8-8d27-59bf21d96c85,TG-SNG,Sangareddy,Telangana,District Industries Centre / KVIB,"Online application, district task force appraisal",PENDING_VERIFICATION,Package001_Geography district master; scheme guidelines,https://www.myscheme.gov.in/,2026-07-25,72,VST-NEEDS_REVIEW,Every district has a DIC; the task force is constituted at district level
dsm-0013,sch-014,PMEGP,3a1a968d-5bd8-433b-8b99-5d2b04b69269,TG-MDK,Medak,Telangana,District Industries Centre / KVIB,"Online application, district task force appraisal",PENDING_VERIFICATION,Package001_Geography district master; scheme guidelines,https://www.myscheme.gov.in/,2026-07-25,72,VST-NEEDS_REVIEW,Every district has a DIC; the task force is constituted at district level
dsm-0014,sch-014,PMEGP,d764f4a1-46b2-4a6b-915a-a39fda0a4cb5,TG-SDP,Siddipet,Telangana,District Industries Centre / KVIB,"Online application, district task force appraisal",PENDING_VERIFICATION,Package001_Geography district master; scheme guidelines,https://www.myscheme.gov.in/,2026-07-25,72,VST-NEEDS_REVIEW,Every district has a DIC; the task force is constituted at district level
dsm-0015,sch-014,PMEGP,681ac702-6fec-4db9-bac5-1e06183fa4ed,TG-JNG,Jangaon,Telangana,District Industries Centre / KVIB,"Online application, district task force appraisal",PENDING_VERIFICATION,Package001_Geography district master; scheme guidelines,https://www.myscheme.gov.in/,2026-07-25,72,VST-NEEDS_REVIEW,Every district has a DIC; the task force is constituted at district level
dsm-0016,sch-014,PMEGP,b53a2b5f-f3fe-4b18-82ee-893431e3579c,TG-HNK,Hanumakonda,Telangana,District Industries Centre / KVIB,"Online application, district task force appraisal",PENDING_VERIFICATION,Package001_Geography district master; scheme guidelines,https://www.myscheme.gov.in/,2026-07-25,72,VST-NEEDS_REVIEW,Every district has a DIC; the task force is constituted at district level
dsm-0017,sch-014,PMEGP,479e0ee3-c2bf-404c-b3fa-f3bc106aff50,TG-WGL,Warangal,Telangana,District Industries Centre / KVIB,"Online application, district task force appraisal",PENDING_VERIFICATION,Package001_Geography district master; scheme guidelines,https://www.myscheme.gov.in/,2026-07-25,72,VST-NEEDS_REVIEW,Every district has a DIC; the task force is constituted at district level
dsm-0018,sch-014,PMEGP,ab5c6cd0-4983-46bb-8ca1-18ec2e543843,TG-MLG,Mulugu,Telangana,District Industries Centre / KVIB,"Online application, district task force appraisal",PENDING_VERIFICATION,Package001_Geography district master; scheme guidelines,https://www.myscheme.gov.in/,2026-07-25,72,VST-NEEDS_REVIEW,Every district has a DIC; the task force is constituted at district level
dsm-0019,sch-014,PMEGP,71ae6871-0548-4995-8bdc-82ffb8894157,TG-BKG,Bhadradri Kothagudem,Telangana,District Industries Centre / KVIB,"Online application, district task force appraisal",PENDING_VERIFICATION,Package001_Geography district master; scheme guidelines,https://www.myscheme.gov.in/,2026-07-25,72,VST-NEEDS_REVIEW,Every district has a DIC; the task force is constituted at district level
dsm-0020,sch-014,PMEGP,be21fb05-1905-4012-b551-90e8d2d8eddb,TG-KHM,Khammam,Telangana,District Industries Centre / KVIB,"Online application, district task force appraisal",PENDING_VERIFICATION,Package001_Geography district master; scheme guidelines,https://www.myscheme.gov.in/,2026-07-25,72,VST-NEEDS_REVIEW,Every district has a DIC; the task force is constituted at district level
dsm-0021,sch-014,PMEGP,7abca5e0-8c8c-4ad9-9557-8765700d9b92,TG-MBD,Mahabubabad,Telangana,District Industries Centre / KVIB,"Online application, district task force appraisal",PENDING_VERIFICATION,Package001_Geography district master; scheme guidelines,https://www.myscheme.gov.in/,2026-07-25,72,VST-NEEDS_REVIEW,Every district has a DIC; the task force is constituted at district level
dsm-0022,sch-014,PMEGP,031f932a-8114-46ad-8b13-854d1bb0cc75,TG-SRY,Suryapet,Telangana,District Industries Centre / KVIB,"Online application, district task force appraisal",PENDING_VERIFICATION,Package001_Geography district master; scheme guidelines,https://www.myscheme.gov.in/,2026-07-25,72,VST-NEEDS_REVIEW,Every district has a DIC; the task force is constituted at district level
dsm-0023,sch-014,PMEGP,0cb70c34-070b-4d0b-904a-562214df7d76,TG-NLG,Nalgonda,Telangana,District Industries Centre / KVIB,"Online application, district task force appraisal",PENDING_VERIFICATION,Package001_Geography district master; scheme guidelines,https://www.myscheme.gov.in/,2026-07-25,72,VST-NEEDS_REVIEW,Every district has a DIC; the task force is constituted at district level
dsm-0024,sch-014,PMEGP,81165142-90a8-4e0f-9ea2-dbbe6eff1702,TG-YDB,Yadadri Bhuvanagiri,Telangana,District Industries Centre / KVIB,"Online application, district task force appraisal",PENDING_VERIFICATION,Package001_Geography district master; scheme guidelines,https://www.myscheme.gov.in/,2026-07-25,72,VST-NEEDS_REVIEW,Every district has a DIC; the task force is constituted at district level
dsm-0025,sch-014,PMEGP,26232aa3-0bcb-4082-93dd-724331f31f8a,TG-MCG,Medchal-Malkajgiri,Telangana,District Industries Centre / KVIB,"Online application, district task force appraisal",PENDING_VERIFICATION,Package001_Geography district master; scheme guidelines,https://www.myscheme.gov.in/,2026-07-25,72,VST-NEEDS_REVIEW,Every district has a DIC; the task force is constituted at district level
