opportunity_id,opportunity_name,opportunity_type,input_crop,finished_product,investment_band,capacity_indicative,skill_requirement,market_demand,value_add_potential,licenses_required,linked_scheme,data_source,source_url,collection_date,confidence_score,verification_status,notes
ap-001,Rice Mill,Primary Processing,Paddy,"Polished rice, bran, husk, broken rice",PENDING_VERIFICATION,PENDING_VERIFICATION,Semi-skilled,High,Medium,FSSAI licence; Udyam registration; State pollution consent (where applicable),PM Formalisation of Micro Food Processing Enterprises (PMFME),Ministry of Food Processing Industries (MoFPI),https://mofpi.gov.in/,2026-07-24,70,VST-NEEDS_REVIEW,Bran sold to oil extractors; husk used as boiler fuel
ap-002,Dal Mill,Primary Processing,"Pigeon Pea, Chickpea, Moong, Urad","Split dal, chuni, husk",PENDING_VERIFICATION,PENDING_VERIFICATION,Semi-skilled,High,High,FSSAI licence; Udyam registration; State pollution consent (where applicable),PM Formalisation of Micro Food Processing Enterprises (PMFME),Ministry of Food Processing Industries (MoFPI),https://mofpi.gov.in/,2026-07-24,70,VST-NEEDS_REVIEW,Milling recovery drives margin; chuni sold as cattle feed
ap-003,Cold-Pressed Oil Unit,Primary Processing,"Groundnut, Sesame, Mustard, Coconut","Cold-pressed edible oil, oil cake",PENDING_VERIFICATION,PENDING_VERIFICATION,Semi-skilled,Very High,High,FSSAI licence; Udyam registration; State pollution consent (where applicable),PM Formalisation of Micro Food Processing Enterprises (PMFME),Ministry of Food Processing Industries (MoFPI),https://mofpi.gov.in/,2026-07-24,69,VST-NEEDS_REVIEW,Premium health-oil positioning; oil cake is a second revenue line
ap-004,Millet Processing Unit,Primary Processing,"Pearl Millet, Sorghum, Finger Millet, Foxtail Millet","Dehulled millet, millet flour, rava, ready-mix",PENDING_VERIFICATION,PENDING_VERIFICATION,Semi-skilled,High,Very High,FSSAI licence; Udyam registration; State pollution consent (where applicable),PM Formalisation of Micro Food Processing Enterprises (PMFME),Ministry of Food Processing Industries (MoFPI),https://mofpi.gov.in/,2026-07-24,66,VST-NEEDS_REVIEW,Nutri-cereal demand growing; dehulling is the key unit operation
ap-005,Turmeric Powder Unit,Secondary Processing,Turmeric (dry fingers),"Turmeric powder, curcumin-grade material",PENDING_VERIFICATION,PENDING_VERIFICATION,Semi-skilled,Very High,Very High,FSSAI licence; Udyam registration; State pollution consent (where applicable),PM Formalisation of Micro Food Processing Enterprises (PMFME),ICAR-IISR; Spices Board of India,https://www.indianspices.com/,2026-07-24,70,VST-NEEDS_REVIEW,Curcumin content determines grade and realisation
ap-006,Chilli Powder Unit,Secondary Processing,Dry Chilli,"Chilli powder, flakes, oleoresin feedstock",PENDING_VERIFICATION,PENDING_VERIFICATION,Semi-skilled,Very High,Very High,FSSAI licence; Udyam registration; State pollution consent (where applicable),PM Formalisation of Micro Food Processing Enterprises (PMFME),ICAR-IISR; Spices Board of India,https://www.indianspices.com/,2026-07-24,70,VST-NEEDS_REVIEW,Colour value (ASTA) and pungency set price bands
ap-007,Fruit Pulp Unit,Secondary Processing,"Mango, Guava, Tomato","Aseptic fruit pulp, concentrate",PENDING_VERIFICATION,PENDING_VERIFICATION,Skilled,High,High,FSSAI licence; Udyam registration; State pollution consent (where applicable),MoFPI Unit Scheme; AIF,Ministry of Food Processing Industries (MoFPI),https://mofpi.gov.in/,2026-07-24,67,VST-NEEDS_REVIEW,Highly seasonal; aseptic packing enables year-round sales
ap-008,Pickle Unit,Secondary Processing,"Mango, Lemon, Chilli, Mixed Vegetables",Pickles in oil and brine,PENDING_VERIFICATION,PENDING_VERIFICATION,Semi-skilled,Medium,High,FSSAI licence; Udyam registration; State pollution consent (where applicable),PM Formalisation of Micro Food Processing Enterprises (PMFME),Ministry of Food Processing Industries (MoFPI),https://mofpi.gov.in/,2026-07-24,66,VST-NEEDS_REVIEW,Strong regional taste preferences; low entry barrier
ap-009,Jam and Fruit Preserve Unit,Secondary Processing,"Mango, Guava, Papaya, Mixed Fruit","Jam, jelly, marmalade, fruit bar",PENDING_VERIFICATION,PENDING_VERIFICATION,Semi-skilled,Medium,High,FSSAI licence; Udyam registration; State pollution consent (where applicable),PM Formalisation of Micro Food Processing Enterprises (PMFME),Ministry of Food Processing Industries (MoFPI),https://mofpi.gov.in/,2026-07-24,65,VST-NEEDS_REVIEW,Sugar and pectin standards are FSSAI-specified
ap-010,Jaggery Unit,Primary Processing,Sugarcane,"Jaggery blocks, powder jaggery, liquid jaggery",PENDING_VERIFICATION,PENDING_VERIFICATION,Semi-skilled,High,High,FSSAI licence; Udyam registration; State pollution consent (where applicable),PM Formalisation of Micro Food Processing Enterprises (PMFME),Ministry of Agriculture & Farmers Welfare,https://agricoop.gov.in/,2026-07-24,68,VST-NEEDS_REVIEW,Decentralised alternative to mill supply; chemical-free variants command premiums
ap-011,Cold Storage Facility,Infrastructure,"Potato, Onion, Fruits, Vegetables",Storage service (rental capacity),PENDING_VERIFICATION,PENDING_VERIFICATION,Skilled,Very High,Medium,Cold storage licence; State pollution consent,MIDH; Agriculture Infrastructure Fund (AIF),Ministry of Agriculture & Farmers Welfare,https://agricoop.gov.in/,2026-07-24,67,VST-NEEDS_REVIEW,"Revenue is rental per tonne-month, not product sale"
