mapping_id,business_id,business_name,package005_crop_id,package005_crop_name,package005_processing_opportunity_id,package005_processing_opportunity_name,value_add_stage,data_source,source_url,collection_date,confidence_score,verification_status,notes
amap-001,mb-001,Rice Milling Unit,crop-001,Rice,ap-001,Rice Mill,Primary Processing,Package005_Agriculture reconciliation,https://agricoop.gov.in/,2026-07-25,73,VST-NEEDS_REVIEW,Direct counterpart on both the crop and processing side
amap-002,mb-002,Dal Milling Unit,crop-010,Pigeon Pea,ap-002,Dal Mill,Primary Processing,Package005_Agriculture reconciliation,https://agricoop.gov.in/,2026-07-25,72,VST-NEEDS_REVIEW,Toor is the principal dal-milling feedstock
amap-003,mb-002,Dal Milling Unit,crop-009,Chickpea,ap-002,Dal Mill,Primary Processing,Package005_Agriculture reconciliation,https://agricoop.gov.in/,2026-07-25,71,VST-NEEDS_REVIEW,Chana dal is the second major line
amap-004,mb-003,Cold-Pressed Oil Unit,crop-014,Groundnut,ap-003,Cold-Pressed Oil Unit,Primary Processing,Package005_Agriculture reconciliation,https://agricoop.gov.in/,2026-07-25,73,VST-NEEDS_REVIEW,Direct counterpart on both sides
amap-005,mb-004,Spice Grinding and Packing Unit,crop-035,Turmeric,ap-005,Turmeric Powder Unit,Secondary Processing,Package005_Agriculture reconciliation,https://agricoop.gov.in/,2026-07-25,74,VST-NEEDS_REVIEW,Direct counterpart on both sides
amap-006,mb-004,Spice Grinding and Packing Unit,crop-036,Chilli,ap-006,Chilli Powder Unit,Secondary Processing,Package005_Agriculture reconciliation,https://agricoop.gov.in/,2026-07-25,74,VST-NEEDS_REVIEW,Direct counterpart on both sides
amap-007,mb-005,Millet Processing Unit,crop-005,Pearl Millet,ap-004,Millet Processing Unit,Primary Processing,Package005_Agriculture reconciliation,https://agricoop.gov.in/,2026-07-25,71,VST-NEEDS_REVIEW,Direct counterpart on both sides
amap-008,mb-005,Millet Processing Unit,crop-007,Finger Millet,ap-004,Millet Processing Unit,Primary Processing,Package005_Agriculture reconciliation,https://agricoop.gov.in/,2026-07-25,69,VST-NEEDS_REVIEW,Second millet line in the same unit
amap-009,mb-006,Fruit Pulp and Beverage Unit,crop-029,Mango,ap-007,Fruit Pulp Unit,Secondary Processing,Package005_Agriculture reconciliation,https://agricoop.gov.in/,2026-07-25,70,VST-NEEDS_REVIEW,Direct counterpart on both sides
amap-010,mb-006,Fruit Pulp and Beverage Unit,crop-023,Tomato,ap-007,Fruit Pulp Unit,Secondary Processing,Package005_Agriculture reconciliation,https://agricoop.gov.in/,2026-07-25,68,VST-NEEDS_REVIEW,Tomato paste runs on the same pulping line
amap-011,mb-027,Cold Storage Facility,PENDING_VERIFICATION,PENDING_VERIFICATION,ap-011,Cold Storage Facility,Post-Harvest Infrastructure,Package005_Agriculture reconciliation,https://agricoop.gov.in/,2026-07-25,70,VST-NEEDS_REVIEW,Crop-agnostic infrastructure; serves multiple crops
amap-012,mb-030,Packaging Materials Unit,PENDING_VERIFICATION,PENDING_VERIFICATION,ap-012,Food Packaging Unit,Packaging,Package005_Agriculture reconciliation,https://agricoop.gov.in/,2026-07-25,68,VST-NEEDS_REVIEW,Crop-agnostic; packaging serves all processed food lines
amap-013,mb-033,Bio-Fertiliser and Vermicompost Unit,PENDING_VERIFICATION,PENDING_VERIFICATION,ap-015,Vermicompost Unit,Input Manufacturing,Package005_Agriculture reconciliation,https://agricoop.gov.in/,2026-07-25,69,VST-NEEDS_REVIEW,Crop-agnostic agricultural input
amap-014,mb-039,Drone Services Enterprise,PENDING_VERIFICATION,PENDING_VERIFICATION,ap-001,Rice Mill,Service to Production,Package005_Agriculture reconciliation,https://agricoop.gov.in/,2026-07-25,58,VST-NEEDS_REVIEW,"Weak link: drone services support cultivation, not milling; retained to record the agriculture adjacency"
