source_id,name,category,state,country,url,source_type,collector,parser,frequency,reliability,status,tags,item_key,classify_as,notes
fix-rss-001,Fixture: government scheme notifications (RSS 2.0),Testing,TG,IN,collection/fixtures/scheme_notifications.rss,RSS,knowledge_engine.collectors.rss_collector.RSSCollector,knowledge_engine.parsers.rss_parser.RSSParser,DAILY,50,ACTIVE,fixture;rss;scheme,guid,,Local fixture. Exercises the RSS path end to end in tests and in `collection.cli run` with no network.
fix-atom-001,Fixture: skill development council announcements (Atom),Testing,IN,IN,collection/fixtures/skill_council.atom,ATOM,knowledge_engine.collectors.rss_collector.RSSCollector,knowledge_engine.parsers.rss_parser.RSSParser,DAILY,50,ACTIVE,fixture;atom;skill,id,,Local fixture. Atom uses <entry> and <id> where RSS uses <item> and <guid>; both go through one parser.
fix-json-001,Fixture: district industries centre openings (JSON Feed),Testing,AP,IN,collection/fixtures/district_industries.jsonfeed,JSON_FEED,knowledge_engine.collectors.json_collector.JSONCollector,knowledge_engine.parsers.json_parser.JSONParser,WEEKLY,50,ACTIVE,fixture;json;district,id,,Local fixture. JSON Feed 1.1 — items live under `items`; the parser's record_path handles that.
fix-csv-001,Fixture: training provider register (CSV),Testing,TG,IN,collection/fixtures/training_providers.csv,CSV,knowledge_engine.collectors.csv_collector.CSVCollector,knowledge_engine.parsers.csv_parser.CSVParser,MONTHLY,50,ACTIVE,fixture;csv;training,provider_code,TrainingProvider,Local fixture. A register rather than a feed — the same pipeline, with a stable primary key instead of a GUID.
pib-msme-001,Press Information Bureau — Ministry of MSME releases,Government,IN,IN,https://www.pib.gov.in/RssMain.aspx?ModId=6&Lang=1&Regid=3,RSS,knowledge_engine.collectors.rss_collector.RSSCollector,knowledge_engine.parsers.rss_parser.RSSParser,DAILY,85,PENDING_VERIFICATION,government;msme;scheme;press,guid,,"Candidate. NOT fetched until someone runs `collection.cli verify pib-msme-001` from a network that can reach it — this sandbox cannot (proxy 403). A URL nobody has proved reachable must not sit on a dashboard as green."
msme-gov-001,Ministry of MSME — announcements,Government,IN,IN,https://msme.gov.in/rss.xml,RSS,knowledge_engine.collectors.rss_collector.RSSCollector,knowledge_engine.parsers.rss_parser.RSSParser,DAILY,85,PENDING_VERIFICATION,government;msme;scheme,guid,,Candidate. Same rule: verify before activating.
ncs-jobs-001,National Career Service — job and training notices,Government,IN,IN,https://www.ncs.gov.in/rss/feed.xml,RSS,knowledge_engine.collectors.rss_collector.RSSCollector,knowledge_engine.parsers.rss_parser.RSSParser,DAILY,80,PENDING_VERIFICATION,government;jobs;training;skill,guid,,Candidate. Verify before activating.
tg-industries-001,Telangana Industries & Commerce — notifications,Government,TG,IN,https://industries.telangana.gov.in/feed,RSS,knowledge_engine.collectors.rss_collector.RSSCollector,knowledge_engine.parsers.rss_parser.RSSParser,WEEKLY,80,PENDING_VERIFICATION,government;district-industries;msme;telangana,guid,,Candidate. Verify before activating.
ap-industries-001,Andhra Pradesh Industries — notifications,Government,AP,IN,https://apindustries.gov.in/APIndus/feed,RSS,knowledge_engine.collectors.rss_collector.RSSCollector,knowledge_engine.parsers.rss_parser.RSSParser,WEEKLY,80,PENDING_VERIFICATION,government;district-industries;msme;andhra,guid,,Candidate. Verify before activating.
data-gov-001,data.gov.in — catalogue API,Government,IN,IN,https://api.data.gov.in/catalog,REST_API,knowledge_engine.collectors.api_collector.APICollector,knowledge_engine.parsers.json_parser.JSONParser,MONTHLY,90,PENDING_VERIFICATION,government;dataset;open-data,id,,Candidate. Needs an API key in the environment before it can be verified; see collection/README.md.
pypi-rss-001,PyPI newest packages (RSS 2.0) — pipeline validation only,Testing,IN,IN,https://pypi.org/rss/updates.xml,RSS,knowledge_engine.collectors.rss_collector.RSSCollector,knowledge_engine.parsers.rss_parser.RSSParser,DAILY,50,PAUSED,fixture;rss;validation,guid,,"A REAL third-party RSS feed on the public internet, reachable from this sandbox when the government feeds are not (the proxy allows pypi.org for package installs). It exists to prove the network leg — conditional fetch, ETag, 304, real RSS 2.0 parsing — against a server we do not control. PAUSED so it never runs on a schedule: its items are Python package releases and are not ValueWeave knowledge. Exercise it with `collection.cli verify pypi-rss-001`, which fetches without touching the queue."
