machinery_id,machinery_name,machinery_type,function,investment_inr,fuel_type,capacity,power_hp,annual_maintenance_inr,automation_level,ai_readiness,subsidy_scheme,data_source,source_url,collection_date,confidence_score,verification_status,notes
fm-001,Tractor (35-45 HP),Land Preparation,"Primary tillage, haulage, PTO power source for implements",PENDING_VERIFICATION,Diesel,35-45 HP class,40,PENDING_VERIFICATION,Basic,Emerging,Sub-Mission on Agricultural Mechanization (SMAM),Ministry of Agriculture & Farmers Welfare,https://agricoop.gov.in/,2026-07-24,72,VST-NEEDS_REVIEW,Price varies by make/model; no single official figure - sentinel used
fm-002,Rotavator,Land Preparation,Secondary tillage and soil pulverisation,PENDING_VERIFICATION,Tractor PTO,5-7 ft working width,PENDING_VERIFICATION,PENDING_VERIFICATION,Mechanical,Low,Sub-Mission on Agricultural Mechanization (SMAM),Ministry of Agriculture & Farmers Welfare,https://agricoop.gov.in/,2026-07-24,71,VST-NEEDS_REVIEW,Tractor-mounted; no independent power rating
fm-003,Seed Drill / Seed-cum-Ferti Drill,Sowing,Line sowing with simultaneous fertiliser placement,PENDING_VERIFICATION,Tractor PTO,9-13 rows,PENDING_VERIFICATION,PENDING_VERIFICATION,Mechanical,Emerging,Sub-Mission on Agricultural Mechanization (SMAM),Ministry of Agriculture & Farmers Welfare,https://agricoop.gov.in/,2026-07-24,71,VST-NEEDS_REVIEW,Precision sowing reduces seed rate materially
fm-004,Combine Harvester,Harvesting,"Cutting, threshing and cleaning in a single pass",PENDING_VERIFICATION,Diesel,4-7 ft cutter bar,PENDING_VERIFICATION,PENDING_VERIFICATION,Mechanical,Emerging,Sub-Mission on Agricultural Mechanization (SMAM),Ministry of Agriculture & Farmers Welfare,https://agricoop.gov.in/,2026-07-24,70,VST-NEEDS_REVIEW,"Predominantly accessed via custom-hiring, not owned"
fm-005,Power Tiller,Land Preparation,Tillage for small and fragmented holdings,PENDING_VERIFICATION,Diesel,8-13 HP class,10,PENDING_VERIFICATION,Basic,Low,Sub-Mission on Agricultural Mechanization (SMAM),Ministry of Agriculture & Farmers Welfare,https://agricoop.gov.in/,2026-07-24,71,VST-NEEDS_REVIEW,Suited to smallholdings and terraced fields
fm-006,Agricultural Drone,Crop Protection,Aerial spraying of pesticide and nutrient solutions,PENDING_VERIFICATION,Battery,10-16 litre tank,N/A,PENDING_VERIFICATION,Advanced,Very High,SMAM Drone component; Kisan Drone promotion,Ministry of Agriculture & Farmers Welfare,https://agricoop.gov.in/,2026-07-24,64,VST-NEEDS_REVIEW,DGCA licensing and operator certification required
fm-007,Boom Sprayer,Crop Protection,Tractor-mounted wide-swath chemical application,PENDING_VERIFICATION,Tractor PTO,200-600 litre tank,PENDING_VERIFICATION,PENDING_VERIFICATION,Mechanical,Low,Sub-Mission on Agricultural Mechanization (SMAM),Ministry of Agriculture & Farmers Welfare,https://agricoop.gov.in/,2026-07-24,71,VST-NEEDS_REVIEW,Far higher coverage rate than knapsack spraying
fm-008,Cold Storage Unit,Post-Harvest,Temperature-controlled storage of perishables,PENDING_VERIFICATION,Electric,PENDING_VERIFICATION,N/A,PENDING_VERIFICATION,Automated,High,MIDH; Agriculture Infrastructure Fund (AIF),Ministry of Agriculture & Farmers Welfare,https://agricoop.gov.in/,2026-07-24,68,VST-NEEDS_REVIEW,Cost scales with capacity and chamber count
fm-009,Solar Dryer,Post-Harvest,"Solar drying of spices, fruit and vegetable produce",PENDING_VERIFICATION,Solar,PENDING_VERIFICATION,N/A,PENDING_VERIFICATION,Semi-Automated,Medium,MIDH; MNRE solar programmes,Ministry of Food Processing Industries (MoFPI),https://mofpi.gov.in/,2026-07-24,64,VST-NEEDS_REVIEW,Retains colour and volatile oils better than open-sun drying
fm-010,Rice Mill (Mini),Processing,"Paddy dehusking, polishing and grading",PENDING_VERIFICATION,Electric,PENDING_VERIFICATION,PENDING_VERIFICATION,PENDING_VERIFICATION,Semi-Automated,Medium,PMFME; MoFPI schemes,Ministry of Food Processing Industries (MoFPI),https://mofpi.gov.in/,2026-07-24,68,VST-NEEDS_REVIEW,"By-products (bran, husk) materially affect unit economics"
fm-011,Oil Expeller (Cold Press),Processing,Mechanical cold-press oil extraction from oilseed,PENDING_VERIFICATION,Electric,PENDING_VERIFICATION,PENDING_VERIFICATION,PENDING_VERIFICATION,Semi-Automated,Low,PMFME; MoFPI schemes,Ministry of Food Processing Industries (MoFPI),https://mofpi.gov.in/,2026-07-24,67,VST-NEEDS_REVIEW,Oil cake is a significant secondary revenue stream
fm-012,Dal Mill (Mini),Processing,Dehusking and splitting of pulses into dal,PENDING_VERIFICATION,Electric,PENDING_VERIFICATION,PENDING_VERIFICATION,PENDING_VERIFICATION,Semi-Automated,Medium,PMFME; MoFPI schemes,Ministry of Food Processing Industries (MoFPI),https://mofpi.gov.in/,2026-07-24,68,VST-NEEDS_REVIEW,Milling recovery percentage is the key profitability driver
fm-013,Packaging Machine (Form-Fill-Seal),Packaging,"Automated filling, sealing and date-coding of retail packs",PENDING_VERIFICATION,Electric,PENDING_VERIFICATION,PENDING_VERIFICATION,PENDING_VERIFICATION,Automated,Medium,PMFME; MoFPI schemes,Ministry of Food Processing Industries (MoFPI),https://mofpi.gov.in/,2026-07-24,65,VST-NEEDS_REVIEW,Required for FSSAI-compliant retail-ready packaging
fm-014,Cold Chain / Reefer Transport,Post-Harvest Logistics,Refrigerated movement of perishables to market,PENDING_VERIFICATION,Diesel,PENDING_VERIFICATION,PENDING_VERIFICATION,PENDING_VERIFICATION,Automated,High,MoFPI Cold Chain scheme; AIF,Ministry of Food Processing Industries (MoFPI),https://mofpi.gov.in/,2026-07-24,65,VST-NEEDS_REVIEW,Unbroken cold chain is mandatory for most fresh exports
fm-015,Micro-Irrigation System (Drip),Irrigation,Targeted root-zone water and nutrient delivery,PENDING_VERIFICATION,Electric / Solar pump,Per-acre configuration,PENDING_VERIFICATION,PENDING_VERIFICATION,Mechanical,Emerging,PMKSY Per Drop More Crop,Ministry of Jal Shakti; PMKSY,https://pmksy.gov.in/,2026-07-24,70,VST-NEEDS_REVIEW,Subsidy share differs by state and farmer category
fm-016,Automatic Weather Station (IoT),Monitoring,On-farm capture of weather and soil-moisture telemetry,PENDING_VERIFICATION,Solar / Battery,Multi-sensor array,N/A,PENDING_VERIFICATION,Digital,Very High,PENDING_VERIFICATION,ICAR; India Meteorological Department,https://icar.org.in/,2026-07-24,62,VST-NEEDS_REVIEW,Foundation layer for advisory and precision-agriculture services
