dataset_name,package,file_path,record_count,status,mode_used,jurisdiction_coverage,confidence_min,confidence_max,confidence_avg,verification_status,last_updated
medical_regulatory_bodies_and_health_missions,Package003_Healthcare,datasets/medical_regulatory_bodies_and_health_missions.csv,24,RELEASED_RC2,WebSearch-only (WebFetch blocked by org policy),Andhra Pradesh;National;Telangana,81,88,84.1,VST-NEEDS_REVIEW,2026-07-22
medical_colleges_telangana_andhra_pradesh,Package003_Healthcare,datasets/medical_colleges_telangana_andhra_pradesh.csv,58,RELEASED_RC2,WebSearch-only (WebFetch blocked by org policy),Andhra Pradesh;Telangana,80,88,87.1,VST-NEEDS_REVIEW,2026-07-22
government_hospitals_telangana_andhra_pradesh,Package003_Healthcare,datasets/government_hospitals_telangana_andhra_pradesh.csv,55,RELEASED_RC2,WebSearch-only (WebFetch blocked by org policy),Andhra Pradesh;Telangana,78,88,85.1,VST-NEEDS_REVIEW,2026-07-22
government_health_insurance_schemes,Package003_Healthcare,datasets/government_health_insurance_schemes.csv,9,RELEASED_RC2,WebSearch-only (WebFetch blocked by org policy),Andhra Pradesh;National;Telangana,82,88,85.6,VST-NEEDS_REVIEW,2026-07-22
primary_health_centres_phc,Package003_Healthcare,BLOCKED,0,BLOCKED,N/A,Telangana;Andhra Pradesh,,,,,
community_health_centres_chc,Package003_Healthcare,BLOCKED,0,BLOCKED,N/A,Telangana;Andhra Pradesh,,,,,
urban_health_centres,Package003_Healthcare,BLOCKED,0,BLOCKED,N/A,Telangana;Andhra Pradesh,,,,,
private_hospitals_general,Package003_Healthcare,QUEUED,0,QUEUED,N/A,Telangana;Andhra Pradesh,,,,,
super_specialty_hospitals,Package003_Healthcare,QUEUED,0,QUEUED,N/A,Telangana;Andhra Pradesh,,,,,
childrens_hospitals,Package003_Healthcare,QUEUED,0,QUEUED,N/A,Telangana;Andhra Pradesh,,,,,
maternity_hospitals,Package003_Healthcare,QUEUED,0,QUEUED,N/A,Telangana;Andhra Pradesh,,,,,
cancer_hospitals,Package003_Healthcare,QUEUED,0,QUEUED,N/A,Telangana;Andhra Pradesh,,,,,
eye_hospitals,Package003_Healthcare,QUEUED,0,QUEUED,N/A,Telangana;Andhra Pradesh,,,,,
dental_hospitals,Package003_Healthcare,QUEUED,0,QUEUED,N/A,Telangana;Andhra Pradesh,,,,,
diagnostic_centres,Package003_Healthcare,QUEUED,0,QUEUED,N/A,Telangana;Andhra Pradesh,,,,,
blood_banks,Package003_Healthcare,QUEUED,0,QUEUED,N/A,Telangana;Andhra Pradesh,,,,,
organ_donation_centres,Package003_Healthcare,QUEUED,0,QUEUED,N/A,Telangana;Andhra Pradesh,,,,,
dialysis_centres,Package003_Healthcare,QUEUED,0,QUEUED,N/A,Telangana;Andhra Pradesh,,,,,
ambulance_services,Package003_Healthcare,QUEUED,0,QUEUED,N/A,Telangana;Andhra Pradesh,,,,,
emergency_services_general,Package003_Healthcare,QUEUED,0,QUEUED,N/A,Telangana;Andhra Pradesh,,,,,
trauma_centres,Package003_Healthcare,QUEUED,0,QUEUED,N/A,Telangana;Andhra Pradesh,,,,,
mental_health_centres,Package003_Healthcare,QUEUED,0,QUEUED,N/A,Telangana;Andhra Pradesh,,,,,
rehabilitation_centres,Package003_Healthcare,QUEUED,0,QUEUED,N/A,Telangana;Andhra Pradesh,,,,,
telemedicine_services,Package003_Healthcare,QUEUED,0,QUEUED,N/A,National,,,,,
public_health_laboratories,Package003_Healthcare,QUEUED,0,QUEUED,N/A,Telangana;Andhra Pradesh,,,,,
health_helplines,Package003_Healthcare,QUEUED,0,QUEUED,N/A,National,,,,,
vaccination_programmes,Package003_Healthcare,QUEUED,0,QUEUED,N/A,National,,,,,
disease_surveillance,Package003_Healthcare,QUEUED,0,QUEUED,N/A,National,,,,,
public_health_campaigns,Package003_Healthcare,QUEUED,0,QUEUED,N/A,National,,,,,
national_health_programmes_beyond_insurance,Package003_Healthcare,QUEUED,0,QUEUED,N/A,National,,,,,
pharmaceutical_support_services,Package003_Healthcare,QUEUED,0,QUEUED,N/A,National,,,,,
health_ngos,Package003_Healthcare,QUEUED,0,QUEUED,N/A,Telangana;Andhra Pradesh,,,,,
remaining_states_uts_all_domains,Package003_Healthcare,QUEUED,0,QUEUED,N/A,All India except TG/AP,,,,,
