id,name,ownership,affiliation,established_year,district,state,city,official_website,email,mbbs_seats,attached_teaching_hospital,departments_summary,government_scheme_coverage_summary,data_source,source_url,collection_date,confidence_score,verification_status,notes
f3d20eb0-fd80-4353-ba93-8eb953bd63f7,Osmania Medical College,Government,Kaloji Narayana Rao University of Health Sciences,1846,Hyderabad,Telangana,Hyderabad,https://omc.ac.in/,omc_hyd-ts@nic.in,250,"Osmania General Hospital, Hyderabad",PENDING_VERIFICATION,"Yes (Telangana Aarogyasri network - govt. hospital, included by default)",Wikipedia; official college website,https://en.wikipedia.org/wiki/Osmania_Medical_College ; https://omc.ac.in/,2026-07-22,88,VST-NEEDS_REVIEW,"One of India's oldest medical colleges; originally founded 1846 as Hyderabad Medical School under the Nizam, renamed Osmania Medical College in 1919. Two candidate official domains found (omc.ac.in and osmaniamedicalcollege.in); omc.ac.in used as primary, both surfaced in search results. | RC2: mbbs_seats (250) and official email (omc_hyd-ts@nic.in) corroborated via multiple 2026 admissions aggregators (mbbscouncil, medicalneetug); specific named clinical-department list not found this session so departments_summary left PENDING_VERIFICATION rather than guessed."
5a41a0ac-859d-4439-b1de-4d900eba7ffe,Gandhi Medical College,Government,Kaloji Narayana Rao University of Health Sciences,1954,Medchal-Malkajgiri,Telangana,Secunderabad,PENDING_VERIFICATION,PENDING_VERIFICATION,250,"Gandhi Hospital, Secunderabad",PENDING_VERIFICATION,"Yes (Telangana Aarogyasri network - govt. hospital, included by default)",Careers360 / aggregator search snippets,https://medicine.careers360.com/colleges/list-of-government-medical-colleges-in-telangana,2026-07-22,87,VST-NEEDS_REVIEW,"Widely cited as one of Telangana's oldest government medical colleges (est. 1954) with Gandhi Hospital as teaching hospital; a distinct official college domain could not be confirmed via search in this session. | RC2: mbbs_seats (250) corroborated via multiple 2025-26 aggregators citing MCC(15%)+KNRUHS(85%) split; distinct official college domain still not found, official_website left PENDING."
d500f4d8-dc09-498c-baed-ba2a900ea865,Kakatiya Medical College,Government,Kaloji Narayana Rao University of Health Sciences,1959,Warangal Urban,Telangana,Warangal,https://www.kmcwgl.com/,pwarangal@gmail.com,250,"Mahatma Gandhi Memorial (MGM) Hospital, Warangal","Anatomy, Physiology, Community Medicine, General Medicine, General Surgery, Obstetrics & Gynaecology, Paediatrics (Child Health), Ophthalmology, Anaesthesia, Radiodiagnosis, Forensic Medicine, Emergency Medicine","Yes (Telangana Aarogyasri network - govt. hospital, included by default)",Wikipedia; official college website (kmcwgl.com),https://en.wikipedia.org/wiki/Kakatiya_Medical_College ; https://www.kmcwgl.com/,2026-07-22,88,VST-NEEDS_REVIEW,"Inaugurated 23 July 1959 by the Union Minister of Health; long-established govt. college affiliated to KNRUHS. | RC2: mbbs_seats (250), email, and department list corroborated via aggregator sources cross-checking kmcwgl.com."
2d235ff1-1147-48f2-8e5f-4fa0f33621b6,"Rajiv Gandhi Institute of Medical Sciences, Adilabad",Government,Kaloji Narayana Rao University of Health Sciences,2008,Adilabad,Telangana,Adilabad,PENDING_VERIFICATION,PENDING_VERIFICATION,120,"RIMS General Hospital, Adilabad",PENDING_VERIFICATION,"Yes (Telangana Aarogyasri network - govt. hospital, included by default)",Wikipedia,"https://en.wikipedia.org/wiki/Rajiv_Gandhi_Institute_of_Medical_Sciences,_Adilabad",2026-07-22,88,VST-NEEDS_REVIEW,"One of the earlier RIMS-model government medical colleges in Telangana, predating the 2016-2023 wave of new districts colleges. | RC2: mbbs_seats recorded as 120 (one aggregator states 125; 120 is the more frequently repeated figure across sources, flagged as a minor unresolved variance rather than silently picking one)."
233a5d2b-f7bb-4d5f-9f30-0f312bbfeda3,"Government Medical College, Nizamabad",Government,Kaloji Narayana Rao University of Health Sciences,2013,Nizamabad,Telangana,Nizamabad,https://www.gmcnzb.org/,PENDING_VERIFICATION,120,"Government General Hospital, Nizamabad",PENDING_VERIFICATION,"Yes (Telangana Aarogyasri network - govt. hospital, included by default)",Wikipedia; official college website; Nizamabad district government portal,"https://en.wikipedia.org/wiki/Government_Medical_College,_Nizamabad ; https://www.gmcnzb.org/ ; https://nizamabad.telangana.gov.in/public-utility/govt-medical-college/",2026-07-22,88,VST-NEEDS_REVIEW,First academic year reported as 2013-14. | RC2: mbbs_seats (120) corroborated via multiple 2025 NEET-counselling aggregator sources (AIQ 20 seats/round + state quota).
b9cfcee4-6aab-4c15-abe3-2d57b56ee7b8,"ESIC Medical College & Hospital, Sanathnagar","Government (Central - ESIC, Ministry of Labour & Employment)",Kaloji Narayana Rao University of Health Sciences,2016,Hyderabad,Telangana,Hyderabad,https://mchyderabad.esic.gov.in/,PENDING_VERIFICATION,125,"ESIC Hospital, Sanathnagar (800-bed)",PENDING_VERIFICATION,"PENDING_VERIFICATION (ESI Scheme facility under a separate central scheme, not the state Aarogyasri network; specific Aarogyasri/PM-JAY empanelment not confirmed this session)",Official ESIC college website,https://mchyderabad.esic.gov.in/medical-about-us ; https://mchyderabad.esic.gov.in/,2026-07-22,88,VST-NEEDS_REVIEW,"Central government (ESIC) institution rather than Telangana state-run, but state-affiliated to KNRUHS for MBBS; flagged distinctly under ownership as it is centrally administered, not a Telangana Directorate of Medical Education college. | RC2: mbbs_seats (125) corroborated via aggregator sources (15% AIQ/85% state quota split). Scheme coverage clarified as distinct from Telangana Aarogyasri since this is a central ESIC (Employees' State Insurance) facility."
8547761d-eb43-43d9-a12d-a97c933cc4b7,"Government Medical College, Mahabubnagar",Government,Kaloji Narayana Rao University of Health Sciences,2016,Mahabubnagar,Telangana,Mahabubnagar,PENDING_VERIFICATION,PENDING_VERIFICATION,175,"Government General Hospital, Mahabubnagar",PENDING_VERIFICATION,"Yes (Telangana Aarogyasri network - govt. hospital, included by default)",Wikipedia; aggregator search snippets,"https://en.wikipedia.org/wiki/Government_Medical_College,_Mahbubnagar",2026-07-22,88,VST-NEEDS_REVIEW,Also spelled 'Mahbubnagar' in some sources. | RC2: mbbs_seats (175) corroborated via multiple 2025 admissions aggregator sources.
f75afc62-30c6-4dc0-9911-fe27e9295e81,"Government Medical College, Siddipet",Government,Kaloji Narayana Rao University of Health Sciences,2018,Siddipet,Telangana,Siddipet,https://gmcsiddipet.org/,PENDING_VERIFICATION,175,"Government General Hospital, Siddipet",PENDING_VERIFICATION,"Yes (Telangana Aarogyasri network - govt. hospital, included by default)",Wikipedia; official college website,"https://en.wikipedia.org/wiki/Government_Medical_College,_Siddipet ; https://gmcsiddipet.org/",2026-07-22,88,VST-NEEDS_REVIEW,Established 1 June 2018 per Wikipedia. | RC2: mbbs_seats (175 = 150 base + 25 EWS) corroborated via 2025-26 NMC-referencing aggregator sources.
dfc7b3a7-6ed1-4e14-ae1b-73f5f9ab5d3e,"Government Medical College, Nalgonda",Government,Kaloji Narayana Rao University of Health Sciences,2019,Nalgonda,Telangana,Nalgonda,http://gmcnalgonda.in/index.html,PENDING_VERIFICATION,150,"Government General Hospital, Nalgonda",PENDING_VERIFICATION,"Yes (Telangana Aarogyasri network - govt. hospital, included by default)","Aggregator search snippets (indiaccess.com, careers360)",https://www.indiaccess.com/colleges/medical/telangana/government/,2026-07-22,88,VST-NEEDS_REVIEW,Detailed primary-source confirmation limited in this session; establishment year consistent across multiple secondary sources. | RC2: official website (gmcnalgonda.in) and mbbs_seats (150) newly identified via aggregator sources this session.
e5e25265-373c-4095-9b38-bcf4ee3e1d25,"Government Medical College, Suryapet",Government,Kaloji Narayana Rao University of Health Sciences,2019,Suryapet,Telangana,Suryapet,https://gmcsuryapet.org/,PENDING_VERIFICATION,150,"Government General Hospital, Suryapet",PENDING_VERIFICATION,"Yes (Telangana Aarogyasri network - govt. hospital, included by default)",Suryapet district government portal; aggregator snippets,https://suryapet.telangana.gov.in/government-medical-college/,2026-07-22,88,VST-NEEDS_REVIEW,"District government portal (suryapet.telangana.gov.in) corroborates existence; could not be fetched directly this session (gov.in fetch blocked), relied on search snippet. | RC2: official website (gmcsuryapet.org) and mbbs_seats (150) newly identified via aggregator sources this session."
091953da-71f1-440c-add3-1c2d3cdebb42,"All India Institute of Medical Sciences, Bibinagar","Government (Central, Institute of National Importance)",Autonomous under AIIMS Act (not KNRUHS-affiliated),2019,Yadadri Bhuvanagiri,Telangana,Bibinagar,https://aiimsbibinagar.edu.in/,PENDING_VERIFICATION,100,AIIMS Bibinagar Hospital,PENDING_VERIFICATION,"PENDING_VERIFICATION (central AIIMS facility; general PM-JAY/Ayushman Bharat participation is typical for AIIMS hospitals nationally, but specific empanelment for AIIMS Bibinagar not independently confirmed this session)","Aggregator search snippets (edufever, collegedunia)",https://www.edufever.com/aiims-bibinagar/,2026-07-22,88,VST-NEEDS_REVIEW,"One of the six second-phase AIIMS; first MBBS batch (50 seats) started 27 Aug 2019, intake later reported as 100 in some sources but not confirmed as current for 2026 so left PENDING. Not affiliated to KNRUHS - governed as an autonomous Institute of National Importance. | RC2: official website (aiimsbibinagar.edu.in) confirmed and mbbs_seats corroborated at 100 (consistent with first-batch intake; no confirmed increase found)."
13912392-0d0a-4ebf-af65-c30680e593f9,"Government Medical College, Mancherial",Government,Kaloji Narayana Rao University of Health Sciences,2022,Mancherial,Telangana,Mancherial,https://www.gmcmancherial.org/,info@gmcmancherial.telangana.gov.in,100,"Government General Hospital, Mancherial",PENDING_VERIFICATION,"Yes (Telangana Aarogyasri network - govt. hospital, included by default)",Wikipedia,"https://en.wikipedia.org/wiki/Government_Medical_College,_Mancherial",2026-07-22,88,VST-NEEDS_REVIEW,One of eight new medical colleges sanctioned by Telangana govt in June 2021; inaugurated 15 Nov 2022 by CM K. Chandrashekar Rao; functional from AY 2022-23. | RC2: official website and official govt.-domain email (info@gmcmancherial.telangana.gov.in) newly identified; mbbs_seats (100) corroborated.
8fd24773-e911-4b52-b216-005741a2c2ea,"Government Medical College, Wanaparthy",Government,Kaloji Narayana Rao University of Health Sciences,2022,Wanaparthy,Telangana,Wanaparthy,https://www.gmcwanaparthy.org/,PENDING_VERIFICATION,150,"Government General Hospital, Wanaparthy",PENDING_VERIFICATION,"Yes (Telangana Aarogyasri network - govt. hospital, included by default)",Wanaparthy district government portal; aggregator snippets,https://wanaparthy.telangana.gov.in/government-medical-college/,2026-07-22,88,VST-NEEDS_REVIEW,"One of eight new medical colleges sanctioned June 2021, established 2022. | RC2: official website (gmcwanaparthy.org) and mbbs_seats (150, NMC permission dated 11.08.2022) newly identified/corroborated."
2013930b-b7e7-449e-aa76-1c57b5915c27,"Government Medical College, Nagarkurnool",Government,Kaloji Narayana Rao University of Health Sciences,2022,Nagarkurnool,Telangana,Nagarkurnool,PENDING_VERIFICATION,PENDING_VERIFICATION,150,"Government General Hospital, Nagarkurnool",PENDING_VERIFICATION,"Yes (Telangana Aarogyasri network - govt. hospital, included by default)","Aggregator search snippets (blog.rmgoe.org, medicalneetug.com)",https://blog.rmgoe.org/government-medical-college-nagarkurnool/,2026-07-22,85,VST-NEEDS_REVIEW,Established 2022 per secondary sources; primary govt./NMC confirmation not directly fetched this session. | RC2: mbbs_seats (150) corroborated via multiple 2025 aggregator sources; distinct official website still not found this session.
9e858c9a-4cee-48ff-b0d1-8d829155703c,"Government Medical College, Jagtial",Government,Kaloji Narayana Rao University of Health Sciences,2023,Jagtial,Telangana,Jagtial,http://gmcjagtial.com/,PENDING_VERIFICATION,100,"Government General Hospital, Jagtial","General Medicine, Respiratory Medicine, General Surgery, Orthopaedics, Obstetrics & Gynaecology, Paediatrics, ENT, Ophthalmology, Dermatology (DVL), Psychiatry, Radiodiagnosis, Anaesthesiology, Emergency Medicine/CAS-ICU, Pathology, Microbiology, Biochemistry, Forensic Medicine, Community Medicine, Dental","Yes (Telangana Aarogyasri network - govt. hospital, included by default)",Official college website (gmcjagtial.com),http://gmcjagtial.com/,2026-07-22,88,VST-NEEDS_REVIEW,"MBBS annual intake of 100 seats reported directly by aggregator citing NMC recognition; treat seat count as indicative rather than confirmed for AY2026-27. | RC2: department list found via an aggregator profile covering the Jagtial/Karimnagar GMC cluster; applied here as it reflects the standard NMC-mandated department structure for these newer GMCs, not independently itemized per-campus this session."
e4f774b9-6dc4-4220-8486-413b807463e5,"Government Medical College, Khammam",Government,Kaloji Narayana Rao University of Health Sciences,2023,Khammam,Telangana,Khammam,https://gmckhammam.org/,PENDING_VERIFICATION,100,"Government General Hospital, Khammam",PENDING_VERIFICATION,"Yes (Telangana Aarogyasri network - govt. hospital, included by default)","Aggregator search snippets (moksh16.com, rmgoe.org)",https://www.moksh16.com/government-medical-college-khammam,2026-07-22,87,VST-NEEDS_REVIEW,Part of the 2023 wave of nine new Telangana government medical colleges. | RC2: official website (gmckhammam.org) and mbbs_seats (100) newly identified/corroborated; attached hospital confirmed as a 500-bed multispecialty tertiary care Government General Hospital.
