mapping_id,scheme_id,scheme_short_name,package004_dataset,package004_opportunity_name,industry_sector,investment_stage,enterprise_size,data_source,source_url,collection_date,confidence_score,verification_status,notes
indm-001,sch-014,PMEGP,food_agro_processing_micro_enterprises,Turmeric Processing & Powder-Making Unit,Food Processing,New enterprise (greenfield),Micro,Ministry of MSME; Package004_Industries reconciliation,https://msme.gov.in/,2026-07-25,73,VST-NEEDS_REVIEW,PMEGP margin money is the standard route for a new spice unit
indm-002,sch-014,PMEGP,food_agro_processing_micro_enterprises,Andhra-Style Pickle (Avakaya/Mixed) Making Unit,Food Processing,New enterprise (greenfield),Micro,Ministry of MSME; Package004_Industries reconciliation,https://msme.gov.in/,2026-07-25,72,VST-NEEDS_REVIEW,Classic PMEGP food-processing project profile
indm-003,sch-014,PMEGP,construction_skilled_trade_services,Welding & Metal Fabrication,Construction & Trades,New enterprise (greenfield),Micro,Ministry of MSME; Package004_Industries reconciliation,https://msme.gov.in/,2026-07-25,71,VST-NEEDS_REVIEW,Fabrication workshops are a common PMEGP activity
indm-004,sch-015,PMMY,food_agro_processing_micro_enterprises,Small-Scale Flour/Atta Milling Unit,Food Processing,Working capital / small expansion,Micro,Ministry of MSME; Package004_Industries reconciliation,https://msme.gov.in/,2026-07-25,72,VST-NEEDS_REVIEW,Kishore-category MUDRA is typical for a small mill
indm-005,sch-015,PMMY,digital_technology_livelihoods,Digital Marketing Agency,Technology Services,Early stage,Micro,Ministry of MSME; Package004_Industries reconciliation,https://msme.gov.in/,2026-07-25,70,VST-NEEDS_REVIEW,Low-asset service business; MUDRA suits equipment and working capital
indm-006,sch-016,Stand-Up India,food_agro_processing_micro_enterprises,Cold-Pressed Groundnut/Sesame Oil (Kachi Ghani) Unit,Food Processing,New enterprise (greenfield),Small,Ministry of MSME; Package004_Industries reconciliation,https://msme.gov.in/,2026-07-25,71,VST-NEEDS_REVIEW,Greenfield requirement fits a first-time SC/ST or woman promoter
indm-007,sch-017,CGTMSE,construction_skilled_trade_services,Welding & Metal Fabrication,Construction & Trades,Growth (collateral-constrained),Micro to Small,Ministry of MSME; Package004_Industries reconciliation,https://msme.gov.in/,2026-07-25,71,VST-NEEDS_REVIEW,Guarantee cover substitutes for absent collateral
indm-008,sch-019,PMFME,food_agro_processing_micro_enterprises,Small-Scale Millet Processing Unit,Food Processing,Formalisation / upgradation,Micro,Ministry of MSME; Package004_Industries reconciliation,https://msme.gov.in/,2026-07-25,72,VST-NEEDS_REVIEW,Millets are a frequent ODOP product; PMFME is the fitted scheme
indm-009,sch-019,PMFME,food_agro_processing_micro_enterprises,"Chilli Processing, Grading & Powder-Making Unit",Food Processing,Formalisation / upgradation,Micro,Ministry of MSME; Package004_Industries reconciliation,https://msme.gov.in/,2026-07-25,72,VST-NEEDS_REVIEW,Guntur chilli is a strong ODOP candidate
indm-010,sch-019,PMFME,food_agro_processing_micro_enterprises,FPO-Level Primary Millet Processing Unit,Food Processing,Collective enterprise,Micro (FPO),Ministry of MSME; Package004_Industries reconciliation,https://msme.gov.in/,2026-07-25,71,VST-NEEDS_REVIEW,PMFME explicitly supports FPO and SHG collective units
indm-011,sch-020,SISFS,digital_technology_livelihoods,Small IT Services Firm / Software Development Startup,Technology,Ideation to prototype,Startup,Ministry of MSME; Package004_Industries reconciliation,https://msme.gov.in/,2026-07-25,68,VST-NEEDS_REVIEW,Seed fund targets pre-revenue DPIIT-recognised startups
indm-012,sch-018,PM Vishwakarma,construction_skilled_trade_services,Carpentry,Construction & Trades,Artisan / own-account,Micro (artisan),Ministry of MSME; Package004_Industries reconciliation,https://msme.gov.in/,2026-07-25,70,VST-NEEDS_REVIEW,Carpenter is one of the eighteen notified trades
