certification_id,certification_name,issuing_body,certification_type,related_skill_names,nsqf_level,validity_period,recognition_level,cost_indicator,data_source,source_url,collection_date,confidence_score,verification_status,notes
d9a71141-d74a-4bca-8092-53f32af09bad,Skill India Certificate (NSDC-Affiliated Qualification Pack Certification),"National Skill Development Corporation (NSDC) and Sector Skill Councils, under Ministry of Skill Development & Entrepreneurship",Government Skill Certificate,Vocational Training;Employability Skills;Sector-Specific Trade Skills,Level 1-8 (varies by specific Qualification Pack),PENDING_VERIFICATION,National,Free (when delivered under government-funded schemes such as PMKVY); Paid — moderate (via private training partners),NSDC official website - National Occupational Standards and Model Curriculum listings,https://nsdcindia.org/national-occupational-standards-and-model-curriculum; https://nsdcindia.org/nos-listing/12,2026-07-24,72,VST-NEEDS_REVIEW,[validity_period]: no single validity figure applies to the generic Skill India/NSDC certificate label -- validity/renewal terms vary by specific Qualification Pack and job role; see individual job-role QP files on nsdcindia.org for specifics.
182f9a8d-758a-4e6e-8c28-b44442d24331,Recognition of Prior Learning (RPL) Certification (NCVET-Regulated),"National Council for Vocational Education and Training (NCVET), implemented via Sector Skill Councils / NSDC",Government Skill Certificate,Prior Learning Assessment;Sector-Specific Vocational Skills,Level 1-8 (varies by Qualification Pack assessed),PENDING_VERIFICATION,National,"Free to candidate (assessment cost borne by government scheme; certified candidates may receive a monetary payout, e.g. INR 500 under PMKVY-RPL)","NCVET Final RPL Guidelines, 2023",https://ncvet.gov.in/wp-content/uploads/2023/08/Final-RPL-guidelines.pdf,2026-07-24,76,VST-NEEDS_REVIEW,[validity_period]: RPL Guidelines document reviewed does not specify a fixed post-certification validity period.
6ba3c520-060b-41fa-9c35-b54f4df40ae0,Automotive Service Technician (Two and Three Wheelers) - ASC/Q1411,Automotive Skills Development Council (ASDC),Vocational Qualification,Two-Wheeler Servicing;Three-Wheeler Servicing;Automotive Electrical Systems;Automotive Mechanical Repair,4,PENDING_VERIFICATION,National,"Paid — moderate (fee varies by training partner, e.g. TCS iON); free when delivered under government-funded schemes like PMKVY",NSDC job role listing; Careers360 course listing,https://nsdcindia.org/automotive-service-technician-two-and-three-wheelers; https://www.careers360.com/courses-certifications/automotive-skills-development-council-auto-service-technician-two-wheelers-asc-q1411-nsqf-level-4-course,2026-07-24,74,VST-NEEDS_REVIEW,[validity_period]: certificate validity/recertification interval not stated in sources reviewed.
b5201694-37b0-4961-865c-023e2fef006b,Domestic Data Entry Operator - SSC/Q2212,IT-ITeS Sector Skill Council NASSCOM (SSC NASSCOM),Vocational Qualification,Data Entry;Typing Speed & Accuracy;Basic Computer Operation;MS Office Usage,4,PENDING_VERIFICATION,National,Free (when delivered under government-funded schemes like PMKVY); Paid — low to moderate via private training providers,NSDC job role listing; National Qualification Register (NQR) Qualification File,https://nsdcindia.org/domestic-data-entry-operator; https://nqr.gov.in/qualification/file/QF_SSC2212_Domestic%20Data%20Entry%20Operator_V3.pdf,2026-07-24,74,VST-NEEDS_REVIEW,[validity_period]: not stated in sources reviewed.
6337652f-6862-4478-8479-18097f737347,Field Technician - Computing & Peripherals - ELE/Q4601,Electronics Sector Skills Council of India (ESSCI),Vocational Qualification,Computer Hardware Repair;Peripheral Installation & Troubleshooting;Laptop Servicing;Customer-Premise Technical Support,4,PENDING_VERIFICATION,National,Free (when delivered under government-funded schemes like PMKVY); Paid — low to moderate via private training providers,ESSCI Qualification Pack; NSDC job role listing,https://www.essc-india.org/images/QPs/Field%20Technician%20-%20Computing%20&%20Peripherals%20-%20ELE_Q4601_v3.0.pdf; https://nsdcindia.org/field-technician-computing-and-peripherals,2026-07-24,75,VST-NEEDS_REVIEW,[validity_period]: not stated in sources reviewed.
7f3cf0a7-0220-4a4b-966c-1f31a34a797c,CNC Operator - Turning - CSC/Q0115,Capital Goods Skill Council (CGSC),Vocational Qualification,CNC Turning Machine Operation;Metal Machining;Tooling & Workholding Setup;Quality Inspection of Machined Parts,4,PENDING_VERIFICATION,National,PENDING_VERIFICATION,NSDC job role listing; Capital Goods Skill Council Qualification Pack,https://nsdcindia.org/cnc-operator-turning; https://www.buzzwuzz.com/CGSSC/wp-content/uploads/2024/04/CNC-Operator-Turning_CSC_Q0115_v3.0.pdf,2026-07-24,74,VST-NEEDS_REVIEW,[validity_period]/[cost_indicator]: not stated in sources reviewed.
30a9dd82-2b36-4cf9-ab2d-6e19d4b0e80b,NIELIT 'O' Level (Foundation Course in IT),National Institute of Electronics & Information Technology (NIELIT),Government Skill Certificate,Computer Fundamentals;Programming Basics;IT Applications;Web Design Basics,"4-5 (multiple 'O Level' qualification variants registered on the National Qualification Register at both NSQF Level 4 and Level 5, differing by course code/version and notional hours)",Registration valid for 5 years,National (also recognized as equivalent to Foundation Course in IT for Central Government employment purposes; MoU-based equivalence with Taiwan's TQC certification),PENDING_VERIFICATION,NIELIT official 'O' Level page; National Qualification Register (NQR),https://www.nielit.in/content/o%E2%80%99-level-it; https://nqr.gov.in/qualifications-register/search?field_qualification_title__value=o+level,2026-07-24,72,VST-NEEDS_REVIEW,[nsqf_level]: NQR search results show multiple registered 'O Level' entries at differing NSQF levels; exact level depends on specific course code/enrollment cohort. [cost_indicator]: fee schedule not confirmed in sources reviewed.
f3ddf13d-8b55-4481-b163-313fb250dff1,Course on Computer Concepts (CCC),National Institute of Electronics & Information Technology (NIELIT),Government Skill Certificate,Basic Computer Literacy;Internet & Email Usage;Digital Literacy;MS Office Basics,3,Lifetime (certificate does not expire),National,"Paid — low (exam fee approx. INR 500; course fee approx. INR 3,500 for General/OBC category, with fee waiver for SC/ST candidates)",NIELIT official course page; NIELIT exam FAQ aggregator,https://www.nielit.in/content/course-computer-concepts-ccc; https://examjila.in/content/ccc-course-faqs/,2026-07-24,74,VST-NEEDS_REVIEW,
7928ddbf-d483-481b-ab02-c797ea33f2d2,Cisco Certified Network Associate (CCNA),Cisco Systems,Vendor/Industry Certification,Networking Fundamentals;Network Security;Routing & Switching;IP Connectivity,Not NSQF-aligned,3 years (recertify via exam or 40 Continuing Education credits),International,"Paid — high (exam fee approx. USD 300 / INR 27,000-32,000 in India; total cost with training approx. INR 35,000-1,10,000)","Third-party certification cost aggregators (uninets, networkershome) referencing Cisco/Pearson VUE pricing",https://www.uninets.com/blog/ccna-exam-fees; https://www.networkershome.com/ccna-certification-cost-india/,2026-07-24,58,VST-NEEDS_REVIEW,"[cost_indicator]: figures sourced from third-party aggregators, not Cisco's own pricing page, as cisco.com pricing pages were not directly verifiable in this environment; treat as indicative."
d6f12c47-638b-4882-9bac-e5cec6b1ce1b,Microsoft Certified: Azure Fundamentals (AZ-900),Microsoft,Vendor/Industry Certification,Cloud Computing Fundamentals;Microsoft Azure;Cloud Service Models;Cloud Security Basics,Not NSQF-aligned,No formal expiry (lifetime validity; the only Azure certification Microsoft does not require renewal for),International,"Paid — moderate (approx. USD 99 / INR ~3,700 plus taxes; free vouchers occasionally available via Microsoft Virtual Training Days)",Third-party certification cost aggregators referencing Microsoft/Pearson VUE pricing,https://www.knowledgehut.com/blog/cloud-computing/az-900-certification-cost; https://www.examcert.app/blog/az-900-exam-cost-2026/,2026-07-24,58,VST-NEEDS_REVIEW,"[cost_indicator]: figures sourced from third-party aggregators, not microsoft.com directly, as that domain's live pricing page was not directly verifiable in this environment; treat as indicative."
cabcde99-f0ff-4a2e-9fc9-7bb41f999ad7,Microsoft Office Specialist (MOS),Microsoft (administered via Certiport),Vendor/Industry Certification,MS Word;MS Excel;MS PowerPoint;Office Productivity Tools,Not NSQF-aligned,PENDING_VERIFICATION,International,Paid — moderate (approx. USD 100 per exam),Certiport official program page; aggregator discussion of India pricing,https://certiport.pearsonvue.com/Certifications/Microsoft/MOS/Overview.aspx; https://www.quora.com/How-much-does-Microsoft-Office-specialist-certification-cost-in-India,2026-07-24,55,VST-NEEDS_REVIEW,[validity_period]: sources conflict -- some describe MOS certificates as having lifelong validity while others cite a 2-year validity for specific tracks (e.g. Excel Expert); marked PENDING_VERIFICATION pending an authoritative Microsoft/Certiport policy page.
6c103e18-130e-48a1-b668-58bd24ffb7fe,AWS Certified Cloud Practitioner,Amazon Web Services (AWS),Vendor/Industry Certification,Cloud Computing Fundamentals;AWS Cloud Services;Cloud Economics;Cloud Security Basics,Not NSQF-aligned,3 years,International,Paid — moderate (exam fee reported as approx. USD 100 by some sources and USD 139 by others; see notes),Third-party certification cost aggregators referencing AWS/Pearson VUE pricing,https://thisisanitsupportgroup.com/blog/aws-cloud-practitioner-certification-cost-complete-guide/; https://certpath.dev/blog/how-much-does-aws-cloud-practitioner-cost,2026-07-24,56,VST-NEEDS_REVIEW,[cost_indicator]: sources disagree on exact exam fee (USD 100 vs USD 139); figure not independently confirmed on aws.amazon.com in this environment.
