mapping_id,support_entity_type,entity_name,package002_institution_id,package002_institution_name,package006_provider_id,package006_provider_name,supports_business_categories,support_nature,data_source,source_url,collection_date,confidence_score,verification_status,notes
emap-001,Technical University,Jawaharlal Nehru Technological University Hyderabad,11aec6c8-707c-4f14-939e-c451e18d3d88,Jawaharlal Nehru Technological University Hyderabad,PENDING_VERIFICATION,PENDING_VERIFICATION,Engineering; Electronics; Industrial Automation,Technical talent pipeline; incubation and innovation cell,Package002_Education and Package006 reconciliation,https://www.education.gov.in/,2026-07-25,70,VST-NEEDS_REVIEW,Affiliating body for a large share of Telangana engineering colleges
emap-002,Central University,University of Hyderabad,372d53cd-e3c3-415c-8ca6-a6d17d28ee07,University of Hyderabad,PENDING_VERIFICATION,PENDING_VERIFICATION,Artificial Intelligence; Information Technology,Research talent; entrepreneurship cell,Package002_Education and Package006 reconciliation,https://www.education.gov.in/,2026-07-25,68,VST-NEEDS_REVIEW,Research-led rather than industry-facing
emap-003,State University,Osmania University,937b69b2-c808-4432-82a8-40c39ee0d038,Osmania University,PENDING_VERIFICATION,PENDING_VERIFICATION,Information Technology; Creative Industries; Education and Training,Graduate talent pipeline,Package002_Education and Package006 reconciliation,https://www.education.gov.in/,2026-07-25,66,VST-NEEDS_REVIEW,Largest general-education intake in Telangana
emap-004,State University,Kakatiya University,2ed46023-bd75-4442-952b-9b8d06dec6f5,Kakatiya University,PENDING_VERIFICATION,PENDING_VERIFICATION,Food Processing; Agriculture and Allied,Regional graduate pipeline in north Telangana,Package002_Education and Package006 reconciliation,https://www.education.gov.in/,2026-07-25,64,VST-NEEDS_REVIEW,Serves the Warangal industrial and agricultural belt
emap-005,ITI Network,Industrial Training Institutes (ITI) -- Telangana,PENDING_VERIFICATION,PENDING_VERIFICATION,77d80937-c68b-4317-bad7-dc5e72e3f8d5,Industrial Training Institutes (ITI) -- Telangana,Engineering; Construction; Electric Vehicles,Trade-certified shop-floor workforce,Package002_Education and Package006 reconciliation,https://www.education.gov.in/,2026-07-25,70,VST-NEEDS_REVIEW,Package006 holds the provider record and its trade detail
emap-006,ITI Network,Industrial Training Institutes (ITI) -- Andhra Pradesh,PENDING_VERIFICATION,PENDING_VERIFICATION,c80e09d3-50b0-4b42-804e-4d2066964c9b,Industrial Training Institutes (ITI) -- Andhra Pradesh,Engineering; Construction; Electric Vehicles,Trade-certified shop-floor workforce,Package002_Education and Package006 reconciliation,https://www.education.gov.in/,2026-07-25,70,VST-NEEDS_REVIEW,Package006 holds the provider record and its trade detail
emap-007,Polytechnic Network,Polytechnic Colleges (SBTET) -- Telangana,PENDING_VERIFICATION,PENDING_VERIFICATION,bb6a6555-cb26-47cb-886f-4a4463de1e0c,Polytechnic Colleges (SBTET) -- Telangana,Engineering; Electronics; Industrial Automation,Diploma-level technician pipeline,Package002_Education and Package006 reconciliation,https://www.education.gov.in/,2026-07-25,69,VST-NEEDS_REVIEW,Diploma holders are the standard supervisory intake for MSME manufacturing
emap-008,Polytechnic Network,Polytechnic Colleges (SBTET) -- Andhra Pradesh,PENDING_VERIFICATION,PENDING_VERIFICATION,4fa3ad1e-b5f1-43c0-b7c1-8662246ec0f9,Polytechnic Colleges (SBTET) -- Andhra Pradesh,Engineering; Electronics; Industrial Automation,Diploma-level technician pipeline,Package002_Education and Package006 reconciliation,https://www.education.gov.in/,2026-07-25,69,VST-NEEDS_REVIEW,Diploma holders are the standard supervisory intake for MSME manufacturing
emap-009,Skill Institute,National Skill Training Institutes (NSTI),PENDING_VERIFICATION,PENDING_VERIFICATION,01491c63-dca5-4e81-9e03-9129a1cece57,National Skill Training Institutes (NSTI) & NSTI (Women) Network -- DGT,Engineering; Textiles and Apparel,Instructor training and advanced trade skills,Package002_Education and Package006 reconciliation,https://www.education.gov.in/,2026-07-25,66,VST-NEEDS_REVIEW,Trains the trainers for the ITI network
emap-010,Skill Mission,TASK -- Telangana Academy for Skill and Knowledge,PENDING_VERIFICATION,PENDING_VERIFICATION,cd4a0557-d0d2-4a50-8e7c-78408f5b6759,TASK -- Telangana Academy for Skill and Knowledge,Information Technology; Artificial Intelligence,Industry-aligned finishing programmes,Package002_Education and Package006 reconciliation,https://www.education.gov.in/,2026-07-25,66,VST-NEEDS_REVIEW,Bridges the graduate-to-employable gap for technology roles
emap-011,Skill Corporation,APSSDC -- Andhra Pradesh State Skill Development Corporation,PENDING_VERIFICATION,PENDING_VERIFICATION,9d801387-aa24-4f25-9432-1e29cfbc12e0,APSSDC -- Andhra Pradesh State Skill Development Corporation,Engineering; Industrial Automation; Electric Vehicles,State skilling delivery and industry partnership,Package002_Education and Package006 reconciliation,https://www.education.gov.in/,2026-07-25,66,VST-NEEDS_REVIEW,Operates Siemens Centres of Excellence in Andhra Pradesh
emap-012,Construction Academy,"National Academy of Construction (NAC), Hyderabad",PENDING_VERIFICATION,PENDING_VERIFICATION,feeb280d-3870-455e-9c4d-548fbffb1bc3,"National Academy of Construction (NAC), Hyderabad",Construction,Construction trade and supervisory training,Package002_Education and Package006 reconciliation,https://www.education.gov.in/,2026-07-25,66,VST-NEEDS_REVIEW,Sector-specific; supports the construction MSME workforce
emap-013,IT Institute,NIELIT -- Hyderabad Centre,PENDING_VERIFICATION,PENDING_VERIFICATION,c498cb8c-dc18-4cab-9092-24afbf1f3029,NIELIT -- Hyderabad Centre,Information Technology; Electronics,IT and electronics certification,Package002_Education and Package006 reconciliation,https://www.education.gov.in/,2026-07-25,66,VST-NEEDS_REVIEW,Government IT-certification route for MSME staff
