soil_id,soil_name,description,pH_range_min,pH_range_max,soil_color,texture,major_states,crop_suitability,data_source,source_url,collection_date,confidence_score,verification_status,notes
st-001,Black Soil,Regur soil rich in organic matter and minerals,7.0,8.5,Black,Clayey,"Maharashtra, Telangana, Karnataka, MP","Cotton, Groundnut, Sugarcane, Chickpea",ICAR-NBSS&LUP,https://icar.org.in/,2026-07-24,78,VST-NEEDS_REVIEW,Vertisol; high fertility
st-002,Red Soil,Iron oxide rich lateritic soil,5.5,7.5,Red,Loamy,"Karnataka, Telangana, Andhra Pradesh","Rice, Sugarcane, Millets, Pulses",ICAR-NBSS&LUP,https://icar.org.in/,2026-07-24,77,VST-NEEDS_REVIEW,Covers 47% India; requires amendments
st-003,Alluvial,Young sedimentary soil from river deposits,7.0,8.0,Light Brown,Loamy,"Uttar Pradesh, Punjab, Haryana","Rice, Wheat, Sugarcane, Vegetables",ICAR,https://icar.org.in/,2026-07-24,78,VST-NEEDS_REVIEW,Most fertile; irrigation dependent
st-004,Laterite,Weathered acidic soil with high iron content,4.5,6.5,Red-Brown,Clayey,"Kerala, Karnataka, Odisha, Assam","Tea, Coffee, Spices, Plantation crops",ICAR-NBSS&LUP,https://icar.org.in/,2026-07-24,76,VST-NEEDS_REVIEW,High rainfall zone; leaching
st-005,Sandy,Loose granular soil with low fertility,6.5,7.5,Yellow,Sandy,"Rajasthan, Gujarat, Punjab","Groundnut, Millets, Sugarcane",ICAR,https://icar.org.in/,2026-07-24,75,VST-NEEDS_REVIEW,Low water holding; drip suitable
st-006,Loamy,"Balanced mixture of sand, silt, and clay",6.5,7.5,Brown,Loamy,Multiple states,Most crops; ideal texture,ICAR,https://icar.org.in/,2026-07-24,77,VST-NEEDS_REVIEW,Most versatile; ideal balance
st-007,Clay,Fine particles with high water retention,7.0,8.5,Light Brown,Clayey,Multiple states,"Rice, Cotton, Sugarcane",ICAR,https://icar.org.in/,2026-07-24,75,VST-NEEDS_REVIEW,Poor drainage; waterlogging risk
st-008,Saline,Salt-affected soil with high sodium content,8.0,9.5,Whitish,Loamy,"Punjab, Haryana, Rajasthan, Gujarat",Specialized halophytes; reclamation needed,ICAR-CAZRI,https://icar.org.in/,2026-07-24,72,VST-NEEDS_REVIEW,Requires desalination; reclamation ongoing
st-009,Acidic,Soil with low pH; high in hydrogen ions,4.0,6.5,Brown-Red,Loamy,"Himachal Pradesh, Assam, Odisha","Tea, Coffee, Pineapple, specific crops",ICAR,https://icar.org.in/,2026-07-24,73,VST-NEEDS_REVIEW,Lime amendment needed; costly
st-010,Alkaline,Soil with high pH; bicarbonate/carbonate rich,8.5,9.5,Grayish,Loamy,"Uttar Pradesh, Punjab","Wheat, Sugarcane, Barley",ICAR,https://icar.org.in/,2026-07-24,74,VST-NEEDS_REVIEW,Micronutrient deficiency risk
