term_kind,source_vocab,source_term,normalised_term,global_entity_id,entity_type,canonical_name,match_method,match_score,notes
skill,idea_library,AC Repair,ac repair,vw:skill:hvac-technician,Skill,HVAC Technician,CURATED,1.0,Same trade. HVAC is the formal NSQF-aligned name for air-conditioning installation and repair.
skill,idea_library,Bike Repair,bike repair,vw:skill:two-wheeler-mechanic,Skill,Two-Wheeler Mechanic,CURATED,1.0,Same trade. 'Two-Wheeler Mechanic' is the NSQF job role name.
skill,idea_library,Drone Piloting,drone piloting,vw:skill:drone-piloting-and-operations,Skill,Drone Piloting & Operations,PREFIX,0.9,
skill,idea_library,Electrical Work,electrical work,vw:skill:electrician-domestic-wiring,Skill,Electrician (Domestic Wiring),CURATED,1.0,"Domestic wiring is the default reading of an unqualified 'Electrical Work' claim on a consumer profile. 'Industrial Electrician' is a distinct, higher-NSQF skill and is deliberately NOT the target -- see _multi_candidate if this proves too narrow."
skill,idea_library,Food Processing,food processing,vw:skill:food-processing-and-preservation,Skill,Food Processing & Preservation,PREFIX,0.9,
skill,idea_library,Mobile App Development,mobile app development,vw:skill:mobile-app-development-android-ios,Skill,Mobile App Development (Android/iOS),PREFIX,0.9,
skill,idea_library,Mobile Repair,mobile repair,vw:skill:electronics-repair-and-maintenance,Skill,Electronics Repair & Maintenance,CURATED,1.0,"Package006 has no mobile-specific skill. Electronics repair is the genuine parent, and the note in the crosswalk records that this is a broadening, not an exact match."
skill,idea_library,Organic Farming,organic farming,vw:skill:organic-farming,Skill,Organic Farming,EXACT_NAME,1.0,
skill,idea_library,Plumbing,plumbing,vw:skill:plumbing,Skill,Plumbing,EXACT_NAME,1.0,
skill,idea_library,Tailoring,tailoring,vw:skill:garment-manufacturing-stitching,Skill,Garment Manufacturing (Stitching),CURATED,1.0,Same trade. Package006 names it by the manufacturing role rather than the craft.
skill,idea_library,Video Editing,video editing,vw:skill:video-editing-and-content-creation,Skill,Video Editing & Content Creation,PREFIX,0.9,
skill,idea_library,Web Development,web development,vw:skill:full-stack-web-development,Skill,Full Stack Web Development,CURATED,1.0,Same skill. Package006 qualifies it as full-stack; the onboarding form does not.
skill,idea_library,Welding,welding,vw:skill:welding-mig-tig-arc,Skill,Welding (MIG/TIG/Arc),PREFIX,0.9,
skill,idea_library_groups,AC Repair,ac repair,vw:skill:hvac-technician,Skill,HVAC Technician,CURATED,1.0,Same trade. HVAC is the formal NSQF-aligned name for air-conditioning installation and repair.
skill,idea_library_groups,Bike Repair,bike repair,vw:skill:two-wheeler-mechanic,Skill,Two-Wheeler Mechanic,CURATED,1.0,Same trade. 'Two-Wheeler Mechanic' is the NSQF job role name.
skill,idea_library_groups,Drone Piloting,drone piloting,vw:skill:drone-piloting-and-operations,Skill,Drone Piloting & Operations,PREFIX,0.9,
skill,idea_library_groups,Electrical Work,electrical work,vw:skill:electrician-domestic-wiring,Skill,Electrician (Domestic Wiring),CURATED,1.0,"Domestic wiring is the default reading of an unqualified 'Electrical Work' claim on a consumer profile. 'Industrial Electrician' is a distinct, higher-NSQF skill and is deliberately NOT the target -- see _multi_candidate if this proves too narrow."
skill,idea_library_groups,Food Processing,food processing,vw:skill:food-processing-and-preservation,Skill,Food Processing & Preservation,PREFIX,0.9,
skill,idea_library_groups,Mobile App Development,mobile app development,vw:skill:mobile-app-development-android-ios,Skill,Mobile App Development (Android/iOS),PREFIX,0.9,
skill,idea_library_groups,Mobile Repair,mobile repair,vw:skill:electronics-repair-and-maintenance,Skill,Electronics Repair & Maintenance,CURATED,1.0,"Package006 has no mobile-specific skill. Electronics repair is the genuine parent, and the note in the crosswalk records that this is a broadening, not an exact match."
skill,idea_library_groups,Organic Farming,organic farming,vw:skill:organic-farming,Skill,Organic Farming,EXACT_NAME,1.0,
skill,idea_library_groups,Plumbing,plumbing,vw:skill:plumbing,Skill,Plumbing,EXACT_NAME,1.0,
skill,idea_library_groups,Tailoring,tailoring,vw:skill:garment-manufacturing-stitching,Skill,Garment Manufacturing (Stitching),CURATED,1.0,Same trade. Package006 names it by the manufacturing role rather than the craft.
skill,idea_library_groups,Video Editing,video editing,vw:skill:video-editing-and-content-creation,Skill,Video Editing & Content Creation,PREFIX,0.9,
skill,idea_library_groups,Web Development,web development,vw:skill:full-stack-web-development,Skill,Full Stack Web Development,CURATED,1.0,Same skill. Package006 qualifies it as full-stack; the onboarding form does not.
skill,idea_library_groups,Welding,welding,vw:skill:welding-mig-tig-arc,Skill,Welding (MIG/TIG/Arc),PREFIX,0.9,
skill,onboarding,AC Repair,ac repair,vw:skill:hvac-technician,Skill,HVAC Technician,CURATED,1.0,Same trade. HVAC is the formal NSQF-aligned name for air-conditioning installation and repair.
skill,onboarding,Bike Repair,bike repair,vw:skill:two-wheeler-mechanic,Skill,Two-Wheeler Mechanic,CURATED,1.0,Same trade. 'Two-Wheeler Mechanic' is the NSQF job role name.
skill,onboarding,Carpentry,carpentry,vw:skill:carpentry,Skill,Carpentry,EXACT_NAME,1.0,
skill,onboarding,Electrical Work,electrical work,vw:skill:electrician-domestic-wiring,Skill,Electrician (Domestic Wiring),CURATED,1.0,"Domestic wiring is the default reading of an unqualified 'Electrical Work' claim on a consumer profile. 'Industrial Electrician' is a distinct, higher-NSQF skill and is deliberately NOT the target -- see _multi_candidate if this proves too narrow."
skill,onboarding,Food Processing,food processing,vw:skill:food-processing-and-preservation,Skill,Food Processing & Preservation,PREFIX,0.9,
skill,onboarding,Mobile App Development,mobile app development,vw:skill:mobile-app-development-android-ios,Skill,Mobile App Development (Android/iOS),PREFIX,0.9,
skill,onboarding,Mobile Repair,mobile repair,vw:skill:electronics-repair-and-maintenance,Skill,Electronics Repair & Maintenance,CURATED,1.0,"Package006 has no mobile-specific skill. Electronics repair is the genuine parent, and the note in the crosswalk records that this is a broadening, not an exact match."
skill,onboarding,Organic Farming,organic farming,vw:skill:organic-farming,Skill,Organic Farming,EXACT_NAME,1.0,
skill,onboarding,Plumbing,plumbing,vw:skill:plumbing,Skill,Plumbing,EXACT_NAME,1.0,
skill,onboarding,Tailoring,tailoring,vw:skill:garment-manufacturing-stitching,Skill,Garment Manufacturing (Stitching),CURATED,1.0,Same trade. Package006 names it by the manufacturing role rather than the craft.
skill,onboarding,Video Editing,video editing,vw:skill:video-editing-and-content-creation,Skill,Video Editing & Content Creation,PREFIX,0.9,
skill,onboarding,Web Development,web development,vw:skill:full-stack-web-development,Skill,Full Stack Web Development,CURATED,1.0,Same skill. Package006 qualifies it as full-stack; the onboarding form does not.
