skill_id,skill_name,category_id,category_name,description,difficulty_level,nsqf_level,learning_duration,demand_level,automation_risk,ai_augmentation_level,future_demand,self_employment_score,startup_opportunity,practical_ratio,theory_ratio,recommended_age,minimum_qualification,industry_relevance,salary_range,district_relevance,career_growth,data_source,source_url,collection_date,confidence_score,verification_status,notes
6b6a3246-5d58-4e5e-8841-5249b5ea8ee8,Python Programming,e02aa4f6-958e-4b08-b598-f7f355bcb2f2,Soft Skills & Communication,"Programming with Python for applications, data analysis, and scripting.",Intermediate,4,3-4 months,High,Low,Medium,Growing,65,High,60,40,18-40,Class 12 + Certificate,Technology,"₹25,000-50,000",Urban,Python Programming specialist → Senior specialist → Manager → Leader,NPTEL,https://nptel.ac.in,2026-07-24,75,VST-NEEDS_REVIEW,[category_id]: mapped to Soft Skills & Communication
2165f626-a237-4d19-8158-888051b2c797,Full Stack Web Development,e02aa4f6-958e-4b08-b598-f7f355bcb2f2,Soft Skills & Communication,End-to-end web application development.,Advanced,5,4-6 months,High,Low,Medium,Growing,70,High,70,30,20-45,Diploma in IT,Technology,"₹35,000-70,000",Urban,Full Stack Web Development specialist → Senior specialist → Manager → Leader,NASSCOM,https://www.nasscom.in,2026-07-24,72,VST-NEEDS_REVIEW,[category_id]: mapped to Soft Skills & Communication
98de4aa6-5ef6-4c22-a9bd-eb2bfc848347,Mobile App Development (Android/iOS),e02aa4f6-958e-4b08-b598-f7f355bcb2f2,Soft Skills & Communication,Native and cross-platform mobile application development.,Advanced,5,4-5 months,High,Low,Medium,Growing,75,High,75,25,20-45,Diploma in IT,Technology,"₹30,000-65,000",Urban,Mobile App Development (Android/iOS) specialist → Senior specialist → Manager → Leader,Google,https://developer.android.com,2026-07-24,70,VST-NEEDS_REVIEW,[category_id]: mapped to Soft Skills & Communication
46b1872f-ad46-4d62-b964-85a598daa13f,Database Administration (SQL/NoSQL),e02aa4f6-958e-4b08-b598-f7f355bcb2f2,Soft Skills & Communication,"Database design, administration, and optimization.",Intermediate,4,3 months,Medium,Medium,Medium,Stable,40,Low,65,35,22-50,BCA,Technology,"₹28,000-60,000",Urban,Database Administration (SQL/NoSQL) specialist → Senior specialist → Manager → Leader,Oracle,https://www.oracle.com,2026-07-24,70,VST-NEEDS_REVIEW,[category_id]: mapped to Soft Skills & Communication
6d378e94-2808-48ab-88a7-4a8117a12d86,Machine Learning Engineer,e02aa4f6-958e-4b08-b598-f7f355bcb2f2,Soft Skills & Communication,Designing and implementing machine learning algorithms.,Expert,6,6-8 months,High,Low,High,Growing,60,Medium,60,40,22-50,B.Tech,Finance,"₹45,000-100,000",Urban,Machine Learning Engineer specialist → Senior specialist → Manager → Leader,NASSCOM,https://www.nasscom.in,2026-07-24,72,VST-NEEDS_REVIEW,[category_id]: mapped to Soft Skills & Communication
f809e001-d1c7-4b1a-896e-ecc81310cc07,Data Scientist,e02aa4f6-958e-4b08-b598-f7f355bcb2f2,Soft Skills & Communication,Extracting insights from data using statistics and analytics.,Advanced,5,5-6 months,High,Low,High,Growing,55,Medium,55,45,22-50,B.Tech,Finance,"₹40,000-90,000",Urban,Data Scientist specialist → Senior specialist → Manager → Leader,McKinsey,https://www.mckinsey.com,2026-07-24,70,VST-NEEDS_REVIEW,[category_id]: mapped to Soft Skills & Communication
d621a7cc-ae05-4315-b54f-db9c9095e081,AI Model Training,e02aa4f6-958e-4b08-b598-f7f355bcb2f2,Soft Skills & Communication,"Training, fine-tuning, and optimizing AI models.",Advanced,5,4 months,High,Low,High,Growing,50,Medium,70,30,22-45,B.Tech,Technology,"₹40,000-80,000",Urban,AI Model Training specialist → Senior specialist → Manager → Leader,Hugging Face,https://huggingface.co,2026-07-24,68,VST-NEEDS_REVIEW,[category_id]: mapped to Soft Skills & Communication
f005f7b8-15d0-413b-92dd-1a9cde45aa3f,Big Data Analysis,e02aa4f6-958e-4b08-b598-f7f355bcb2f2,Soft Skills & Communication,Analyzing large-scale datasets using distributed computing.,Advanced,5,5 months,Medium,Medium,Medium,Growing,35,Low,65,35,22-50,B.Tech,Finance,"₹35,000-75,000",Urban,Big Data Analysis specialist → Senior specialist → Manager → Leader,Databricks,https://www.databricks.com,2026-07-24,67,VST-NEEDS_REVIEW,[category_id]: mapped to Soft Skills & Communication
89f0fae4-7470-41a9-8c96-170267d50d6e,CNC Machine Operator,e02aa4f6-958e-4b08-b598-f7f355bcb2f2,Soft Skills & Communication,Operating and programming CNC machines for precision manufacturing.,Intermediate,3,6-12 months,High,High,Medium,Stable,30,Low,80,20,18-55,Class 10,Manufacturing,"₹18,000-35,000",Urban,CNC Machine Operator specialist → Senior specialist → Manager → Leader,DGT,https://dgt.gov.in,2026-07-24,76,VST-NEEDS_REVIEW,[category_id]: mapped to Soft Skills & Communication
8834c2ff-c6e9-4bb4-89e1-51fd5e1035fb,CAD/CAM Design,e02aa4f6-958e-4b08-b598-f7f355bcb2f2,Soft Skills & Communication,Computer-aided design and manufacturing for product development.,Intermediate,4,3-4 months,High,Low,High,Growing,50,Medium,70,30,18-45,Diploma,Manufacturing,"₹20,000-45,000",Urban,CAD/CAM Design specialist → Senior specialist → Manager → Leader,Autodesk,https://www.autodesk.com,2026-07-24,72,VST-NEEDS_REVIEW,[category_id]: mapped to Soft Skills & Communication
