channel_id,channel_name,channel_type,buyer_type,description,typical_payment_cycle,entry_barrier,digital_intensity,official_portal,data_source,source_url,collection_date,confidence_score,verification_status,notes
ch-001,Local Retail,Physical,B2C,Direct sale to end consumers from own or partner retail outlets,PENDING_VERIFICATION,Low,Low,PENDING_VERIFICATION,"Ministry of Micro, Small and Medium Enterprises",https://msme.gov.in/,2026-07-25,70,VST-NEEDS_REVIEW,Fastest cash conversion; limited by catchment size
ch-002,Wholesale and Distributor Network,Physical,B2B,Sale in bulk to distributors who reach retail,PENDING_VERIFICATION,Medium,Low,PENDING_VERIFICATION,"Ministry of Micro, Small and Medium Enterprises",https://msme.gov.in/,2026-07-25,70,VST-NEEDS_REVIEW,Volume scale at the cost of margin and end-customer relationship
ch-003,Direct B2B Supply,Physical,B2B,Direct supply to industrial or institutional buyers on contract,PENDING_VERIFICATION,High,Low,PENDING_VERIFICATION,Office of Development Commissioner (MSME); MSME-DI project profiles,https://msme.gov.in/,2026-07-25,71,VST-NEEDS_REVIEW,Requires quality certification and often vendor registration
ch-004,Ancillary / Job Work Supply,Physical,B2B,Conversion work or component supply to a principal manufacturer,PENDING_VERIFICATION,High,Low,PENDING_VERIFICATION,Office of Development Commissioner (MSME); MSME-DI project profiles,https://msme.gov.in/,2026-07-25,70,VST-NEEDS_REVIEW,"Stable order flow, high concentration risk"
ch-005,Government e-Marketplace (GeM),Digital,B2G,Sale to government buyers through the national procurement platform,PENDING_VERIFICATION,Medium,High,https://gem.gov.in/,Government e-Marketplace,https://gem.gov.in/,2026-07-25,74,VST-NEEDS_REVIEW,Udyam registration enables MSME benefits including purchase preference
ch-006,Government Procurement (Tender),Physical and Digital,B2G,Sale through conventional tendering outside GeM,PENDING_VERIFICATION,High,Medium,PENDING_VERIFICATION,Ministry of Finance; state procurement rules,https://msme.gov.in/,2026-07-25,68,VST-NEEDS_REVIEW,Public Procurement Policy reserves a share of procurement for MSEs
ch-007,Amazon Marketplace,Digital,B2C,Third-party seller listing on the Amazon India marketplace,PENDING_VERIFICATION,Low,High,PENDING_VERIFICATION,Ministry of Commerce (e-commerce policy context),https://commerce.gov.in/,2026-07-25,66,VST-NEEDS_REVIEW,"Commission, returns and advertising cost materially compress margin"
ch-008,Flipkart Marketplace,Digital,B2C,Third-party seller listing on the Flipkart marketplace,PENDING_VERIFICATION,Low,High,PENDING_VERIFICATION,Ministry of Commerce (e-commerce policy context),https://commerce.gov.in/,2026-07-25,66,VST-NEEDS_REVIEW,Same margin structure considerations as other marketplaces
ch-009,ONDC Network,Digital,B2C and B2B,Sale through the Open Network for Digital Commerce interoperable network,PENDING_VERIFICATION,Low,High,https://ondc.org/,DPIIT; ONDC,https://ondc.org/,2026-07-25,62,VST-NEEDS_REVIEW,Designed to lower platform dependence; adoption still maturing
ch-010,Own Digital Storefront,Digital,B2C,Direct-to-consumer sale through an owned website or social commerce,PENDING_VERIFICATION,Low,High,PENDING_VERIFICATION,Ministry of Commerce and Industry,https://commerce.gov.in/,2026-07-25,66,VST-NEEDS_REVIEW,"Highest margin retention, highest customer acquisition cost"
ch-011,Export Channel,Physical and Digital,B2B and B2C,Sale to overseas buyers directly or through merchant exporters,PENDING_VERIFICATION,Very High,Medium,https://www.dgft.gov.in/,DGFT; APEDA; Export Promotion Councils,https://www.dgft.gov.in/,2026-07-25,70,VST-NEEDS_REVIEW,Import Export Code mandatory; certification is the binding constraint
