mapping_id,industry_name,skill_id,skill_name,demand_level,required_skill_level,market_opportunity,data_source,source_url,collection_date,confidence_score,verification_status,notes
3358049b-9c62-4a11-89c6-66ef30e767a3,Technology (IT Services),6b6a3246-5d58-4e5e-8841-5249b5ea8ee8,Python Programming,High,Required,High,"NASSCOM Industry Skills Mapping, LinkedIn Jobs Report",https://www.nasscom.in/knowledge-center,2026-07-24,68,VST-NEEDS_REVIEW,[demand_level]: based on industry job openings and growth forecasts
546f7f3d-5bcd-45e0-97c2-e55b18a87b25,Technology (IT Services),2165f626-a237-4d19-8158-888051b2c797,Full Stack Web Development,High,Required,High,"NASSCOM Industry Skills Mapping, LinkedIn Jobs Report",https://www.nasscom.in/knowledge-center,2026-07-24,68,VST-NEEDS_REVIEW,[demand_level]: based on industry job openings and growth forecasts
d23a86c6-ac45-424b-99d5-4fa275e4b93f,Technology (IT Services),46b1872f-ad46-4d62-b964-85a598daa13f,Database Administration (SQL/NoSQL),High,Required,High,"NASSCOM Industry Skills Mapping, LinkedIn Jobs Report",https://www.nasscom.in/knowledge-center,2026-07-24,68,VST-NEEDS_REVIEW,[demand_level]: based on industry job openings and growth forecasts
f5edb314-6c94-46aa-8fec-a9b3a4090354,Technology (IT Services),232d5672-24d6-4570-8688-4592c87a3a47,Ethical Hacking & Penetration Testing,High,Preferred,High,"NASSCOM Industry Skills Mapping, LinkedIn Jobs Report",https://www.nasscom.in/knowledge-center,2026-07-24,68,VST-NEEDS_REVIEW,[demand_level]: based on industry job openings and growth forecasts
f5a50c18-9fe1-4c74-bc88-0522210c7ec0,Finance & Banking,f809e001-d1c7-4b1a-896e-ecc81310cc07,Data Scientist,High,Required,High,"NASSCOM Industry Skills Mapping, LinkedIn Jobs Report",https://www.nasscom.in/knowledge-center,2026-07-24,68,VST-NEEDS_REVIEW,[demand_level]: based on industry job openings and growth forecasts
67fd6b46-b1d2-4c18-9d40-425f0e3c75ac,Finance & Banking,6d378e94-2808-48ab-88a7-4a8117a12d86,Machine Learning Engineer,Medium,Preferred,High,"NASSCOM Industry Skills Mapping, LinkedIn Jobs Report",https://www.nasscom.in/knowledge-center,2026-07-24,68,VST-NEEDS_REVIEW,[demand_level]: based on industry job openings and growth forecasts
5f05bd21-e565-471d-8594-27b8885b0e3d,Finance & Banking,PENDING_VERIFICATION,Business Analyst,High,Required,High,"NASSCOM Industry Skills Mapping, LinkedIn Jobs Report",https://www.nasscom.in/knowledge-center,2026-07-24,68,VST-NEEDS_REVIEW,[demand_level]: based on industry job openings and growth forecasts
ad134a93-09da-428b-a295-e312844fac24,Finance & Banking,PENDING_VERIFICATION,Tally Accounting Software,Medium,Required,Medium,"NASSCOM Industry Skills Mapping, LinkedIn Jobs Report",https://www.nasscom.in/knowledge-center,2026-07-24,68,VST-NEEDS_REVIEW,[demand_level]: based on industry job openings and growth forecasts
97a05d54-f8ff-4a41-a500-1accbeff5630,Manufacturing (Automotive),89f0fae4-7470-41a9-8c96-170267d50d6e,CNC Machine Operator,High,Required,High,"NASSCOM Industry Skills Mapping, LinkedIn Jobs Report",https://www.nasscom.in/knowledge-center,2026-07-24,68,VST-NEEDS_REVIEW,[demand_level]: based on industry job openings and growth forecasts
6d4eb6f2-bc5f-4588-90c6-e7657b398598,Manufacturing (Automotive),8834c2ff-c6e9-4bb4-89e1-51fd5e1035fb,CAD/CAM Design,High,Required,High,"NASSCOM Industry Skills Mapping, LinkedIn Jobs Report",https://www.nasscom.in/knowledge-center,2026-07-24,68,VST-NEEDS_REVIEW,[demand_level]: based on industry job openings and growth forecasts
403522db-d6a5-4f58-828f-104f3b5f7e4b,Manufacturing (Automotive),b064e4d0-4bf8-485b-a951-0e0b3ee86f0c,Industrial Robotics,High,Preferred,High,"NASSCOM Industry Skills Mapping, LinkedIn Jobs Report",https://www.nasscom.in/knowledge-center,2026-07-24,68,VST-NEEDS_REVIEW,[demand_level]: based on industry job openings and growth forecasts
820da09f-a4a3-448c-9382-21ddb8d7c067,Manufacturing (Automotive),54808f3c-7c7c-4326-8736-5cdb7c509024,Welding (MIG/TIG/Arc),Medium,Required,High,"NASSCOM Industry Skills Mapping, LinkedIn Jobs Report",https://www.nasscom.in/knowledge-center,2026-07-24,68,VST-NEEDS_REVIEW,[demand_level]: based on industry job openings and growth forecasts
f77c71ef-acac-48cc-9536-b9d54eaa31ea,Manufacturing (General),5ed52834-8056-4de7-a537-bfe69e10fc45,Lathe Operation,High,Required,High,"NASSCOM Industry Skills Mapping, LinkedIn Jobs Report",https://www.nasscom.in/knowledge-center,2026-07-24,68,VST-NEEDS_REVIEW,[demand_level]: based on industry job openings and growth forecasts
b5a486b2-6b00-4b2e-be2c-1f3451f56a3d,Manufacturing (General),4fce613f-3b4b-4d3b-be7f-2bd80afb74f0,PLC Programming & Control Systems,High,Preferred,High,"NASSCOM Industry Skills Mapping, LinkedIn Jobs Report",https://www.nasscom.in/knowledge-center,2026-07-24,68,VST-NEEDS_REVIEW,[demand_level]: based on industry job openings and growth forecasts
480f5f43-86ae-42e8-86ea-d39d50d083a6,Manufacturing (Electronics),53571913-32a7-4e23-bb80-2fc9b3a29fbd,PCB Assembly & Soldering,High,Required,High,"NASSCOM Industry Skills Mapping, LinkedIn Jobs Report",https://www.nasscom.in/knowledge-center,2026-07-24,68,VST-NEEDS_REVIEW,[demand_level]: based on industry job openings and growth forecasts
b98f1c17-e24e-4535-9a8a-5d67cd70c7f2,Manufacturing (Electronics),32ae2721-70b4-440b-a83b-63fdfa6988ea,Microcontroller Programming,Medium,Preferred,High,"NASSCOM Industry Skills Mapping, LinkedIn Jobs Report",https://www.nasscom.in/knowledge-center,2026-07-24,68,VST-NEEDS_REVIEW,[demand_level]: based on industry job openings and growth forecasts
72f0988e-2c7d-446a-9101-a0bf1a22c2de,Construction & Real Estate,22fcaac1-6b74-4c59-bc65-e16f4cf8b23c,Electrician (Domestic Wiring),High,Required,High,"NASSCOM Industry Skills Mapping, LinkedIn Jobs Report",https://www.nasscom.in/knowledge-center,2026-07-24,68,VST-NEEDS_REVIEW,[demand_level]: based on industry job openings and growth forecasts
28449fdc-cf03-43ca-8e9c-41ec37167434,Construction & Real Estate,24328d37-c789-4100-9a1d-5ecfdf10f0e5,Plumbing,High,Required,High,"NASSCOM Industry Skills Mapping, LinkedIn Jobs Report",https://www.nasscom.in/knowledge-center,2026-07-24,68,VST-NEEDS_REVIEW,[demand_level]: based on industry job openings and growth forecasts
af0a8bdd-b6e4-4488-840b-9e80f78c2b7b,Construction & Real Estate,ef2400ab-5de1-4caa-ae37-f45fda926ea6,Carpentry,High,Required,High,"NASSCOM Industry Skills Mapping, LinkedIn Jobs Report",https://www.nasscom.in/knowledge-center,2026-07-24,68,VST-NEEDS_REVIEW,[demand_level]: based on industry job openings and growth forecasts
347a2082-4bc5-41b6-89b8-d02e2537ef37,Construction & Real Estate,c8bcd555-1120-4d12-90a7-336fe27250bc,Masonry & Brickwork,High,Required,High,"NASSCOM Industry Skills Mapping, LinkedIn Jobs Report",https://www.nasscom.in/knowledge-center,2026-07-24,68,VST-NEEDS_REVIEW,[demand_level]: based on industry job openings and growth forecasts
