business_id,business_name,category_id,category_name,business_model_id,business_model_name,description,udyam_classification,investment_range,working_capital_need,employment_generation,difficulty,risk_level,technology_level,automation_level,ai_readiness,market_demand,export_potential,profitability_outlook,district_suitability,data_source,source_url,collection_date,confidence_score,verification_status,notes
mb-001,Rice Milling Unit,mc-004,Food Processing,bm-001,Manufacturing Unit,Dehusks and polishes paddy into marketable rice with bran and husk by-products,Small,PENDING_VERIFICATION,High,6-15,Moderate,Medium,Medium,Semi-Automated,Medium,High,Medium,Good,Both,Office of Development Commissioner (MSME); MSME-DI project profiles,https://msme.gov.in/,2026-07-25,73,VST-NEEDS_REVIEW,"By-product realisation (bran to oil extractors, husk as fuel) drives margin"
mb-002,Dal Milling Unit,mc-004,Food Processing,bm-001,Manufacturing Unit,Dehusks and splits pulses into dal with chuni and husk by-products,Small,PENDING_VERIFICATION,High,5-12,Moderate,Medium,Medium,Semi-Automated,Medium,High,High,Good,Both,Office of Development Commissioner (MSME); MSME-DI project profiles,https://msme.gov.in/,2026-07-25,73,VST-NEEDS_REVIEW,Milling recovery percentage is the single largest profitability lever
mb-003,Cold-Pressed Oil Unit,mc-004,Food Processing,bm-001,Manufacturing Unit,"Extracts virgin edible oil by mechanical cold press, with oil cake as by-product",Micro,PENDING_VERIFICATION,Medium,3-8,Easy,Low,Low,Semi-Automated,Low,Very High,High,Very Good,Both,Office of Development Commissioner (MSME); MSME-DI project profiles,https://msme.gov.in/,2026-07-25,72,VST-NEEDS_REVIEW,Premium health-oil positioning; oil cake is a second revenue line
mb-004,Spice Grinding and Packing Unit,mc-004,Food Processing,bm-001,Manufacturing Unit,"Cleans, grinds and packs whole spices into branded powders and blends",Micro,PENDING_VERIFICATION,Medium,4-10,Easy,Medium,Low,Semi-Automated,Low,Very High,Very High,Very Good,Both,Spices Board of India; MSME-DI,https://www.indianspices.com/,2026-07-25,74,VST-NEEDS_REVIEW,Colour value and moisture control determine grade and export eligibility
mb-005,Millet Processing Unit,mc-004,Food Processing,bm-001,Manufacturing Unit,"Dehulls and mills millets into flour, rava and ready-mix products",Micro,PENDING_VERIFICATION,Medium,4-10,Moderate,Medium,Medium,Semi-Automated,Low,High,Medium,Good,Rural,Ministry of Food Processing Industries,https://mofpi.gov.in/,2026-07-25,70,VST-NEEDS_REVIEW,Dehulling is the technically hardest unit operation; nutri-cereal demand growing
mb-006,Fruit Pulp and Beverage Unit,mc-004,Food Processing,bm-015,Food Processing Unit,"Produces aseptic fruit pulp, concentrate and ready-to-drink beverages",Small,PENDING_VERIFICATION,High,10-25,Hard,High,Medium,Automated,Medium,High,High,Good,Both,Ministry of Food Processing Industries,https://mofpi.gov.in/,2026-07-25,69,VST-NEEDS_REVIEW,Severe seasonality; aseptic packing is what enables year-round sales
mb-007,Cloud Kitchen,mc-004,Food Processing,bm-006,Cloud Kitchen,Prepares food for delivery-only distribution through aggregator platforms,Micro,PENDING_VERIFICATION,Medium,4-10,Easy,High,Low,Basic,Medium,Very High,Low,Variable,Urban,Ministry of Food Processing Industries,https://mofpi.gov.in/,2026-07-25,66,VST-NEEDS_REVIEW,Platform commission and rating dependence are the structural risks
mb-008,CNC Machining Job Shop,mc-005,Engineering,bm-002,Job Work / Ancillary Unit,Precision machining of components on CNC lathes and machining centres for principals,Small,PENDING_VERIFICATION,Medium,5-15,Hard,Medium,High,Automated,Medium,High,Medium,Good,Both,Office of Development Commissioner (MSME); MSME-DI project profiles,https://msme.gov.in/,2026-07-25,73,VST-NEEDS_REVIEW,Ancillary model; skill availability is the binding constraint not capital
mb-009,Sheet Metal Fabrication Unit,mc-005,Engineering,bm-001,Manufacturing Unit,"Cuts, forms and welds sheet metal into enclosures, structures and assemblies",Micro,PENDING_VERIFICATION,Medium,5-12,Moderate,Medium,Medium,Semi-Automated,Low,High,Low,Good,Both,Office of Development Commissioner (MSME); MSME-DI project profiles,https://msme.gov.in/,2026-07-25,72,VST-NEEDS_REVIEW,Local demand from construction and equipment makers; low export intensity
mb-010,Tool and Die Making Unit,mc-005,Engineering,bm-002,Job Work / Ancillary Unit,"Designs and manufactures dies, moulds, jigs and fixtures",Small,PENDING_VERIFICATION,Medium,6-15,Very Hard,Medium,High,Automated,Medium,Medium,Medium,Very Good,Urban,MSME Technology Centres (Tool Rooms),https://msme.gov.in/,2026-07-25,71,VST-NEEDS_REVIEW,Highest skill barrier in engineering; MSME Tool Rooms are the training route
mb-011,Industrial Automation Integration,mc-014,Industrial Automation,bm-011,Systems Integrator,"Specifies and commissions PLC, SCADA and sensor-based control systems",Micro,PENDING_VERIFICATION,Low,4-12,Hard,Medium,High,Advanced,High,High,Low,Very Good,Urban,Office of Development Commissioner (MSME); MSME-DI project profiles,https://msme.gov.in/,2026-07-25,68,VST-NEEDS_REVIEW,Asset-light systems integration; revenue is project plus annual maintenance
mb-012,Electrical Panel Manufacturing,mc-005,Engineering,bm-001,Manufacturing Unit,Assembles and wires LT and control panels to customer specification,Micro,PENDING_VERIFICATION,Medium,5-12,Moderate,Medium,Medium,Semi-Automated,Low,High,Low,Good,Both,Office of Development Commissioner (MSME); MSME-DI project profiles,https://msme.gov.in/,2026-07-25,71,VST-NEEDS_REVIEW,BIS conformity and electrical inspectorate approval gate the market
mb-013,Foundry (Small Scale),mc-005,Engineering,bm-001,Manufacturing Unit,Casts ferrous or non-ferrous components in sand or investment moulds,Small,PENDING_VERIFICATION,High,10-25,Very Hard,High,Medium,Basic,Low,Medium,Medium,Variable,Both,Office of Development Commissioner (MSME); MSME-DI project profiles,https://msme.gov.in/,2026-07-25,68,VST-NEEDS_REVIEW,Pollution Control Board consent and energy cost are the dominant constraints
mb-014,Custom Software Development Firm,mc-012,Information Technology,bm-010,IT Services Firm,Builds software to client specification on time-and-material or fixed-bid terms,Micro,PENDING_VERIFICATION,Low,5-20,Moderate,Medium,High,Advanced,Very High,Very High,Very High,Very Good,Urban,NASSCOM,https://nasscom.in/,2026-07-25,74,VST-NEEDS_REVIEW,Lowest capital intensity of any manufacturing or service category
mb-015,SaaS Product Startup,mc-012,Information Technology,bm-009,Software Product Company,Develops and licenses a proprietary software product on subscription,Micro,PENDING_VERIFICATION,Low,3-15,Hard,Very High,High,Advanced,Very High,High,Very High,Variable,Urban,DPIIT; Startup India,https://www.startupindia.gov.in/,2026-07-25,70,VST-NEEDS_REVIEW,Longest lead time to revenue; highest scalability if product-market fit lands
mb-016,AI Solutions and Consulting,mc-016,Artificial Intelligence,bm-010,IT Services Firm,"Delivers AI model development, integration and advisory services",Micro,PENDING_VERIFICATION,Low,3-12,Hard,High,High,Advanced,Very High,Very High,Very High,Very Good,Urban,NASSCOM,https://nasscom.in/,2026-07-25,66,VST-NEEDS_REVIEW,Talent-gated rather than capital-gated; Package006 holds the skill records
mb-017,Digital Marketing Agency,mc-012,Information Technology,bm-004,Service Centre,"Provides SEO, paid media, content and social media management services",Micro,PENDING_VERIFICATION,Low,3-12,Easy,Medium,Medium,Advanced,Very High,Very High,Medium,Good,Urban,NASSCOM,https://nasscom.in/,2026-07-25,71,VST-NEEDS_REVIEW,Very low entry barrier; differentiation is the commercial problem
mb-018,IT Hardware and Network Services,mc-012,Information Technology,bm-005,Repair and Maintenance Centre,"Supplies, installs and maintains IT hardware and network infrastructure",Micro,PENDING_VERIFICATION,Medium,4-10,Easy,Low,Medium,Semi-Automated,Medium,High,Low,Good,Both,NASSCOM,https://nasscom.in/,2026-07-25,70,VST-NEEDS_REVIEW,Annual maintenance contracts provide the recurring revenue base
mb-019,Rural BPO / IT-Enabled Services Centre,mc-012,Information Technology,bm-004,Service Centre,"Delivers data processing, digitisation and voice support from a rural location",Micro,PENDING_VERIFICATION,Low,10-40,Moderate,Medium,Medium,Semi-Automated,High,Medium,Low,Variable,Rural,MeitY; NASSCOM Foundation,https://www.meity.gov.in/,2026-07-25,66,VST-NEEDS_REVIEW,Highest employment per rupee invested; connectivity is the binding constraint
