id,name,type,jurisdiction,administering_body,target_beneficiaries,support_offered_summary,eligibility_summary,official_website,data_source,source_url,collection_date,confidence_score,verification_status,notes
67a51de6-450f-4b3e-a59f-fc88a1d6078d,Prime Minister's Employment Generation Programme (PMEGP),Central Scheme,National,"Ministry of Micro, Small and Medium Enterprises (MoMSME); implemented through Khadi and Village Industries Commission (KVIC) as nodal agency, with KVIB and DIC","New/aspiring micro-entrepreneurs, individuals aged 18+, especially in rural and semi-urban areas setting up new manufacturing or service micro-enterprises","Credit-linked capital subsidy of approximately 15% to 35% of project cost (varies by category - general/special, urban/rural); project cost ceiling up to Rs 50 lakh for manufacturing and Rs 20 lakh for service units; mandatory Entrepreneurship Development Programme (EDP) training for beneficiaries","New units only (no expansion of existing units); age 18+; educational qualification requirements vary by project cost slab; special quota for SC/ST/OBC/minorities/women/ex-servicemen/PwD","https://www.kviconline.gov.in/pmegp","WebSearch aggregated (Cashfree, Sarkari Yojana, HDFC Bank, District Industries Centre Puducherry)","https://www.cashfree.com/blog/pmegp-scheme-subsidy-rates-eligibility-how-to-apply/; https://sarkariyojana.com/prime-minister-employment-generation-programme-pmegp/",2026-07-22,80,VST-NEEDS_REVIEW,"Scheme continuation approved for FY2021-22 to FY2025-26; confirm post-FY26 continuation status via official MSME/KVIC notification when direct fetch is possible. Exact subsidy % bands (urban/rural, general/special category) should be verified against current KVIC guidelines before publishing precise figures."
6b41e575-64da-48d6-89d2-f987a772ae5a,Stand-Up India Scheme,Central Scheme,National,"Department of Financial Services (DFS), Ministry of Finance; monitored by Small Industries Development Bank of India (SIDBI); implemented via scheduled commercial banks","SC/ST entrepreneurs and women entrepreneurs (at least one SC/ST borrower and one woman borrower per bank branch) setting up greenfield enterprises","Composite bank loan (term loan + working capital) between Rs 10 lakh and Rs 1 crore per borrower for greenfield ventures in manufacturing, services, trading or agri-allied sectors; repayment tenure up to 7 years with moratorium up to 18 months; credit guarantee cover via government-backed guarantee mechanism","At least 51% shareholding/controlling stake held by an SC/ST or woman entrepreneur; greenfield (first-time) project only; borrower age 18+","https://www.standupmitra.in/","WebSearch aggregated (Legal Service India, IBEF, IIFL, News on Air)","https://www.ibef.org/government-schemes/stand-up-india; https://www.newsonair.gov.in/fm-nirmala-sitharaman-announces-revamped-stand-up-india-scheme-for-sc-st-and-women-entrepreneurs",2026-07-22,80,VST-NEEDS_REVIEW,"A revamp was announced by the Union Finance Minister in March 2026 reportedly proposing to raise the loan ceiling to Rs 2 crore for women/SC/ST entrepreneurs; as of collection date this appeared to be an announcement/notification-stage change (dated May 5, 2026 per one source) rather than fully confirmed on the official portal - treat revised loan ceiling as PENDING_VERIFICATION until confirmed on standupmitra.in."
cdfa9071-e272-450e-9e93-42b783b525eb,Pradhan Mantri Mudra Yojana (PMMY),Central Scheme,National,"Micro Units Development and Refinance Agency (MUDRA) under Department of Financial Services, Ministry of Finance; loans disbursed via banks, NBFCs, MFIs and RRBs","Non-corporate, non-farm small/micro entrepreneurs and income-generating small business owners across manufacturing, trading and services","Collateral-free loans in four tiers: Shishu (up to Rs 50,000), Kishor (above Rs 50,000 up to Rs 5 lakh), Tarun (above Rs 5 lakh up to Rs 10 lakh), and Tarun Plus (above Rs 10 lakh up to Rs 20 lakh, introduced in Union Budget 2024-25 for entrepreneurs who have satisfactorily repaid a previous Tarun loan)","Existing or aspiring non-farm micro/small business owners with a viable business plan; Tarun Plus limited to borrowers with a clean repayment record on a prior Tarun loan","https://www.mudra.org.in/","WebSearch aggregated (Sarkari Yojana, Stashfin, Matribhumi Samachar, Yojana Vichar)","https://www.stashfin.com/blogs/mudra-loan-india-pmmy-guide; https://matribhumisamachar.com/en/2026/04/25/pm-mudra-loan-yojana-2026-complete-guide-to-shishu-kishore-tarun-and-tarun-plus/",2026-07-22,82,VST-NEEDS_REVIEW,"Tarun Plus tier confirmed as a 2024-25 Budget addition; loan-tier thresholds are widely and consistently reported across sources, giving reasonable confidence, but interest rates are lender-determined (not fixed by MUDRA) and were not independently verified."
ddd44f23-9053-4e11-a79e-d6136d76bf2c,Startup India,Central Scheme,National,"Department for Promotion of Industry and Internal Trade (DPIIT), Ministry of Commerce and Industry","DPIIT-recognized startups (private limited companies, LLPs, registered partnership firms, and per a 2026 framework update, cooperative societies) incorporated within the scheme's eligibility window","DPIIT recognition certificate; 3-year income tax holiday under Section 80-IAC (100% profit deduction for 3 consecutive years out of first 10 years); angel tax exemption; 80% patent filing fee rebate; self-certification under select labour/environmental laws; Credit Guarantee Scheme for Startups (CGSS) offering guarantees up to Rs 10 crore via SEBI-registered AIFs/lending institutions; SIDBI Fund of Funds 2.0 (Rs 10,000 crore corpus) for equity investment into AIFs; Rs 50 lakh seed grant route reported","Entity age typically under 10 years from incorporation (turnover cap reported at Rs 200 crore in a 2026 framework update, Rs 300 crore for a new Deep Tech category with a 20-year recognition window); entity must be working toward innovation/improvement of products, processes or services, or be a scalable business model","https://www.startupindia.gov.in/","WebSearch aggregated (Legal Service India, myHQ, Vakilsearch, RegisterKaro, Patron Accounting)","https://www.legalserviceindia.com/Legal-Articles/startup-india-registration-benefits-2026/; https://vakilsearch.com/article/startup-india-dpiit-registration/",2026-07-22,78,VST-NEEDS_REVIEW,"2026 framework details (turnover cap raised to Rs 200 crore, new Deep Tech category with Rs 300 crore cap and 20-year window, cooperative societies made eligible) appear consistently across secondary sources but were not confirmed via a primary DPIIT circular in this session - mark expanded eligibility terms as PENDING_VERIFICATION pending direct portal confirmation."
76276b69-b037-49dd-9a49-71621a789dfd,National Skill Development Corporation (NSDC),Incubator/Skill Body,National,"Ministry of Skill Development and Entrepreneurship (MSDE); NSDC is a not-for-profit Public-Private-Partnership company","Youth and workers seeking vocational/skill training, jobseekers, and industry partners requiring skilled workforce; indirectly supports MSME entrepreneurs via skilled labour pipeline and NSDC-affiliated training partners","Skill India Digital Hub (SIDH) e-learning platform (reported approximately 7,100 courses in 23 languages); NSDC JobX placement/career platform; funding and accreditation support to training partners and sector skill councils; planned 50 Future Skills Centres and 10 NSDC International Academies; organizes IndiaSkills national competitions feeding into WorldSkills","Open to Indian youth/jobseekers generally through registered training partners; specific course eligibility (age, education) varies by training partner and scheme","https://www.nsdcindia.org/","WebSearch aggregated (NSDC official site, Vajiram & Ravi, BankBazaar, Newkerala)","https://www.nsdcindia.org/; https://www.newkerala.com/news/a/over-650-youth-compete-indiaskills-national-competition-263.htm",2026-07-22,78,VST-NEEDS_REVIEW,"NSDC underwent a governance overhaul ('NSDC 2.0') from August 2023 with revised board/mandate; the organization's legal name remains National Skill Development Corporation. Course counts and centre-expansion figures are self-reported/press figures and should be treated as approximate."
f1bb9e45-a283-473b-94f9-3d1a4eb9d702,Credit Guarantee Fund Trust for Micro and Small Enterprises (CGTMSE),Central Scheme,National,"Ministry of Micro, Small and Medium Enterprises (MoMSME) and Small Industries Development Bank of India (SIDBI), jointly (Trust structure)","Micro and small enterprises (new and existing) seeking collateral-free credit from member lending institutions (banks, NBFCs, some regional rural/cooperative banks)","Credit guarantee cover on collateral-free loans to MSEs, with guarantee coverage commonly cited at 50-85% depending on loan size, borrower category (women/SC-ST/NER etc.) and lending institution type; no collateral or third-party guarantee required for covered loans up to prescribed limits","Micro and small enterprises (as defined under the MSME Act, i.e. investment/turnover thresholds) availing eligible credit facilities from a CGTMSE member lending institution","https://www.cgtmse.in/","WebSearch aggregated (CGTMSE official site, Vajiram & Ravi, BankBazaar, Ministry of MSME PDF)","https://www.cgtmse.in/; https://msme.gov.in/sites/default/files/CredirGuranteeFundScheme_1.pdf",2026-07-22,80,VST-NEEDS_REVIEW,"Guarantee coverage percentage is tiered and category-dependent (reported range 50-85%); exact slab-wise percentages were not itemized with full confidence in this session and should be verified against the current CGTMSE scheme document before publishing specific tier figures."
24e05f50-05c6-4ea7-a200-e57bcdffb356,PM Vishwakarma Yojana,Central Scheme,National,"Ministry of Micro, Small and Medium Enterprises (MoMSME), jointly with Ministry of Skill Development and Entrepreneurship and other line ministries; delivered via Common Service Centres (CSC)","Traditional artisans and craftspeople (18 identified trades, e.g. carpenters, blacksmiths, goldsmiths, potters, cobblers, tailors, etc.) engaged in hereditary/traditional trades using hand tools","Free skill training with stipend of Rs 500/day during training; toolkit incentive e-voucher of Rs 15,000; collateral-free credit support up to Rs 3 lakh in two tranches at 5% concessional interest (Tranche 1 up to Rs 1 lakh/18-month tenure, Tranche 2 up to Rs 2 lakh/30-month tenure, second tranche conditional on satisfactory first-tranche repayment and basic/advanced training completion); digital transaction incentive and marketing support","Artisan/craftsperson engaged in one of 18 notified trades, registered via Aadhaar-based biometric authentication at a Common Service Centre, one member per family per trade","https://pmvishwakarma.gov.in/","WebSearch aggregated (multiple scheme-tracker sites; original launch Sept 17 2023)","https://schemesinindia.in/central/pm-vishwakarma-yojana; https://www.egovtschemes.com/pm-vishwakarma-yojana/",2026-07-22,80,VST-NEEDS_REVIEW,"Scheme launched 17 September 2023; benefit structure (Rs 15,000 toolkit, Rs 500/day stipend, Rs 3 lakh total loan at 5%) reported as unchanged into 2026 across sources, but figures should be cross-checked against the official pmvishwakarma.gov.in portal, which could not be directly fetched this session."
25c96ad2-fd04-4fc3-be91-0b81a83dc706,District Industries Centre (DIC),Support Body/Corporation,National,"Ministry of Micro, Small and Medium Enterprises (MoMSME) at national policy level; individual DICs operationally run by respective State Industries/Commerce Departments (one DIC per district, including all districts of Telangana and Andhra Pradesh)","Aspiring and existing micro, small and cottage/village entrepreneurs at the district level","Single-window facilitation at district level: MSME/Udyam registration assistance, project report and financial guidance, raw material and marketing assistance, disbursal/nodal role for schemes such as PMEGP, state industrial incentive processing, technical and managerial guidance, entrepreneurship training coordination","Any prospective or existing micro/small entrepreneur within the district; no separate DIC-specific registration fee, generally requires in-person visit (online-only registration not typically available)","https://www.dcmsme.gov.in/","WebSearch aggregated (SMFG India Credit, Paisabazaar, Credlix, Bajaj Finserv, AP district portals)","https://www.smfgindiacredit.com/knowledge-center/district-industries-centers.aspx; https://www.paisabazaar.com/business-loan/district-industries-centers/",2026-07-22,75,VST-NEEDS_REVIEW,"Treated per task instructions as a single generic entity describing the DIC role/model rather than one row per district (there are 33 districts in Telangana and 26 in Andhra Pradesh, each with its own DIC office). DIC scheme was initiated in 1978 by the Central Government and is implemented identically in principle across all TG and AP districts, though functionally each district's DIC is administered by the respective state government's Industries & Commerce Department; district-level contact points differ but the mandate, services and eligibility described here apply uniformly in both states."
fab28f7a-922b-434b-b525-a362dacf4bf9,T-IDEA (Telangana Industrial Development and Entrepreneurship Advancement),State Scheme,Telangana,"Industries and Commerce Department, Government of Telangana (incentive claims processed via TS-iPASS/Mee Seva and TGIIC-linked industrial areas)","Micro, small, medium, large and mega manufacturing/service enterprises setting up or expanding in Telangana","Capital investment subsidy (reported approximately 15% of eligible investment, capped around Rs 20 lakh for MSEs per one source); 100% SGST reimbursement for 5 years for Micro & Small Enterprises; interest subsidy ('Pavala Vaddi') reported up to 9% p.a. on term loans for 5 years; stamp duty exemption/reimbursement on land transactions; land cost rebate up to 25% (capped, reported around Rs 10 lakh)","New or expanding industrial units registered under the Telangana Industrial Policy Framework (2015 policy book); specific subsidy tier depends on enterprise category (micro/small/medium/large) and investment size","https://tgfps.telangana.gov.in/t-idea/","WebSearch aggregated (KP IAS Academy, TGFPS, Dhruva Industrial Consultants, India SME Forum)","https://kpiasacademy.com/telangana-t-idea-industrial/; https://tgfps.telangana.gov.in/t-idea/; https://www.indiasmeforum.org/state_scheme_details.php?id=232",2026-07-22,72,VST-NEEDS_REVIEW,"For FY2023-24, 2,239 claims were reportedly approved with incentives totaling Rs 345.98 crore (per secondary source, not independently confirmed). A separate, newer Telangana MSME Policy-2024 (launched Sept 2024) offers different/overlapping subsidy figures (25% capital subsidy up to Rs 30 lakh) for MSMEs - unclear from available sources whether MSME Policy-2024 supersedes T-IDEA rates for MSME-category units or operates alongside it; flagged as a conflict requiring clarification from the Telangana Industries Department before finalizing exact current subsidy percentages."
0cacc78b-fc48-4f70-8335-c743ca693bf1,T-PRIDE (Telangana Programme for Rapid Incubation of Dalit Entrepreneurs),State Scheme,Telangana,"Industries and Commerce Department, Government of Telangana","Scheduled Caste (SC), Scheduled Tribe (ST) and Physically Handicapped (PHC) entrepreneurs in Telangana","Enhanced subsidies, funding support and incentives (in addition to/on top of T-IDEA-type incentives) targeted at SC/ST/PHC entrepreneurs; preferential allotment of industrial plots in industrial parks/estates for SC/ST/PHC entrepreneurs","Entrepreneur must belong to SC, ST, or physically-challenged (PHC) category and be setting up an eligible manufacturing/service enterprise in Telangana","https://tgfps.telangana.gov.in/t-idea/","WebSearch aggregated (KP IAS Academy, MSME Council, Dhruva Industrial Consultants)","https://kpiasacademy.com/telangana-t-pride-dalit/; https://msmecouncil.org/schemes-and-incentives/state-schemes/schemes-and-initiatives-by-telangana-government/ts-pride-telangana-state-program-for-rapid-incubation-of-dalit-entrepreneurs/",2026-07-22,70,VST-NEEDS_REVIEW,"Also referenced as 'TS-PRIDE' in some secondary sources; exact current subsidy percentages/quantum for T-PRIDE specifically (distinct from base T-IDEA incentives) were not clearly itemized in available sources and should be verified against the official Telangana Industrial Policy Framework document."
