provider_id,provider_name,provider_type,jurisdiction,sample_locations_or_reach,skills_offered_summary,certification_pathways,official_website,data_source,source_url,collection_date,confidence_score,verification_status,notes
77d80937-c68b-4317-bad7-dc5e72e3f8d5,Industrial Training Institutes (ITI) -- Telangana,ITI,Telangana,"283 ITIs statewide as of the 2025 admissions prospectus (63 government + 220 private), spread across all Telangana districts including Hyderabad, Warangal, Karimnagar, Nalgonda and Khammam.","DGT Craftsmen Training Scheme (CTS) trades: Electrician, Fitter, Welder, Mechanic Motor Vehicle, COPA (Computer Operator & Programming Assistant), Diesel Mechanic, Turner, and other engineering/non-engineering trades; admission generally requires SSC (10th) pass or equivalent.",NCVET-recognized National Trade Certificate (NTC) awarded after the DGT/NCVET All India Trade Test (AITT); trades are NSQF-level mapped and recognized for government/PSU technical recruitment.,https://iti.telangana.gov.in/,"Telangana State ITI Admissions Prospectus 2025, Government of Telangana",https://iti.telangana.gov.in/assets/pdf2025/Prospectus_2025.pdf,2026-07-24,76,VST-NEEDS_REVIEW,"[sample_locations_or_reach]: figure (283 total; 63 govt/220 private) is drawn from the 2025 admissions prospectus; a 2026 prospectus PDF exists at the same domain (assets/pdf2026/Prospectus_2026.pdf) but was not directly parsed for an updated count in this pass, so the 2025 figure is used as the most recently confirmed count."
c80e09d3-50b0-4b42-804e-4d2066964c9b,Industrial Training Institutes (ITI) -- Andhra Pradesh,ITI,Andhra Pradesh,83 government ITIs statewide per a November 2023 state-government modernization announcement (part of a combined 83 ITI + 87 polytechnic + 26 skill-college upgrade programme); additional private ITIs also operate. Visakhapatnam ITI Cluster was selected as India's first PM-SETU pilot cluster (reported 2025-26).,"DGT Craftsmen Training Scheme (CTS) trades broadly matching the national ITI curriculum: Electrician, Fitter, Welder, Mechanic Motor Vehicle, COPA, and other engineering/non-engineering trades. Government ITIs in AP reported approximately 98% seat utilisation in 2024-25 per state skilling data cited in press coverage.",NCVET-recognized National Trade Certificate (NTC) via DGT/NCVET All India Trade Test (AITT); NSQF-aligned.,https://iti.ap.gov.in/,Careers360 news reporting on AP government's Rs 100 crore ITI/polytechnic/skill-college modernization announcement (Nov 2023) and AP PM-SETU/Vizag ITI Cluster coverage (2026),https://news.careers360.com/andhra-pradesh-cm-launch-rs-100-crore-programme-modernise-skill-development-institutes; https://news.careers360.com/andhra-pradesh-ap-govt-knowledge-hub-of-world-provide-skill-training-over-20-million-youth-jobs,2026-07-24,58,VST-NEEDS_REVIEW,[sample_locations_or_reach]: exact current government-ITI count could not be confirmed via a directly loaded iti.ap.gov.in or labour.ap.gov.in page -- WebFetch to .ap.gov.in domains returned blocked/403 in this environment. The 83-institute figure is from a Nov 2023 news report citing an official state announcement and may have changed since; treat as approximate pending direct department confirmation.
bb6a6555-cb26-47cb-886f-4a4463de1e0c,Polytechnic Colleges (SBTET) -- Telangana,Polytechnic,Telangana,"Secondary sources give inconsistent statewide totals (approximately 92 to 128 government + private polytechnics combined); institutions are spread across Hyderabad, Warangal, Nizamabad and Karimnagar among other districts. The authoritative current count is the TG POLYCET participating-college list published annually by SBTET Telangana.","Three-year engineering diploma programmes: Civil, Mechanical, Electrical & Electronics, Electronics & Communication, Computer Science, and Automobile Engineering.","SBTET Telangana diploma certification, NSQF-aligned; lateral entry into B.Tech (2nd year) via TG ECET.",https://polycet.sbtet.telangana.gov.in/,"Aggregated secondary reporting (Careers360, JNTU Fast Result, SmartUpdate24) citing SBTET Telangana POLYCET participating-college data",https://engineering.careers360.com/articles/top-10-polytechnic-colleges-in-telangana-2026-govt-private-list; https://polycet.sbtet.telangana.gov.in/,2026-07-24,56,VST-NEEDS_REVIEW,"[sample_locations_or_reach]: sources disagree substantially on the exact total (92, 120 and 128 are all cited across different education portals); WebFetch to sbtet.telangana.gov.in / polycet.sbtet.telangana.gov.in was not possible in this environment (gov.in-adjacent domain restrictions), so no single authoritative figure could be directly confirmed. Treat the range as approximate pending direct SBTET confirmation."
4fa3ad1e-b5f1-43c0-b7c1-8662246ec0f9,Polytechnic Colleges (SBTET) -- Andhra Pradesh,Polytechnic,Andhra Pradesh,"AP POLYCET 2026 counselling covered 88 government polytechnic colleges (other secondary sources cite figures ranging from 29 to 84 government colleges, and a combined total of roughly 180 government + private); locations include Visakhapatnam, Vijayawada, Guntur, Tirupati and Kurnool.","Three-year engineering diploma programmes: Civil, Mechanical, Electrical, Electronics & Communication, Computer Science, and Automobile Engineering; SBTET AP regulates the fee structure for government colleges (reported government-seat capacity of roughly 29,000).","SBTET Andhra Pradesh diploma certification, NSQF-aligned; lateral entry into B.Tech via AP ECET.",https://sbtet.ap.gov.in/,Secondary reporting on AP POLYCET 2026 counselling data; CollegeDekho/Collegedunia aggregation,https://careeredutech.com/ap-polycet-2026-result-rank-card-counselling/,2026-07-24,56,VST-NEEDS_REVIEW,"[sample_locations_or_reach]: secondary sources give inconsistent totals (88 government per 2026 POLYCET counselling vs. 29 or ~84 government cited elsewhere, and ~180 total including ~147 private in another source); WebFetch to sbtet.ap.gov.in was not possible in this environment (gov.in-adjacent domain restrictions). Treat the count as approximate pending direct SBTET AP confirmation."
32c60a39-4624-427e-92a7-5d82555d82e4,"Government Polytechnic, Masab Tank (Hyderabad)",Polytechnic,Telangana,"Masab Tank, Hyderabad, Telangana -- a single flagship campus (not a multi-location network).","NBA-accredited three-year diploma programmes across Civil, Mechanical, Computer Science, Automobile, Electronics & Communication, Electrical & Electronics, and Pharmacy engineering; one of the oldest polytechnics in the state, established 1923 (originally with Electrical & Mechanical disciplines).",SBTET Telangana diploma certification; NBA accreditation for select programmes; NSQF-aligned; lateral entry to B.Tech via TG ECET.,https://gptmasb.dte.telangana.gov.in/,"Institution's official Telangana DTE-hosted website (via search snippet); corroborated by Wikipedia and education-portal listings (CollegeDekho, UniversityKart)","https://gptmasb.dte.telangana.gov.in/; https://en.wikipedia.org/wiki/Government_Polytechnic,_Hyderabad",2026-07-24,62,VST-NEEDS_REVIEW,"[official_website]: hosted on a *.telangana.gov.in subdomain; direct WebFetch to gov.in-adjacent domains returned blocked/403 in this environment, so content is based on search-result snippets and secondary corroboration (Wikipedia, CollegeDekho, UniversityKart) rather than a directly rendered official page."
338efb2e-711d-4253-8465-b2983a4a0954,Engineering Colleges -- AICTE Community College Scheme (Vocational Add-on Programmes),Engineering College,National,"AICTE-approved engineering/technical institutions nationwide may opt into the scheme; the clearest documented implementation found is Assam Engineering Institute (approved for Automobile-Vehicle Testing and Construction-Building Technology, Level I/II, 100 seats per level). The scheme is structurally open to eligible AICTE-approved institutions in Telangana and Andhra Pradesh, though no specific TG/AP institutional adopter was directly confirmed in this research pass.","Short-cycle, NSQF-aligned vocational certificate/diploma add-on trades delivered using existing engineering-college infrastructure, e.g. automobile vehicle testing and building/construction technology.","AICTE-approved Community College certificate/diploma, NSQF-level-mapped; can feed into further diploma/degree pathways within the AICTE technical-education framework.",https://www.aicte-india.org/,AICTE official website; National Skills Network summary of AICTE skill-development initiatives; Assam Engineering Institute scheme page as illustrative implementation,https://nationalskillsnetwork.in/aicte-skill-development/; https://aei.ac.in/aicte-community-college-scheme/,2026-07-24,60,VST-NEEDS_REVIEW,"[sample_locations_or_reach]: no Telangana- or Andhra Pradesh-specific institution running the AICTE Community College Scheme was directly confirmed; row documents a genuine, currently-existing national AICTE scheme that TG/AP engineering colleges are eligible to join, using the best-documented national example (Assam Engineering Institute) as an illustration rather than a TG/AP-located instance."
01491c63-dca5-4e81-9e03-9129a1cece57,National Skill Training Institutes (NSTI) & NSTI (Women) Network -- DGT,Government Skill Body,National,"14 NSTIs and 19 NSTI(W)s function across India under the Directorate General of Training (DGT). Hyderabad hosts three campuses: NSTI (Women) Hyderabad at ATI Campus, Vidya Nagar; NSTI Hyderabad-1; and NSTI Hyderabad-2 (Vidya Nagar).","Craft Instructor Training Scheme (CITS) for training ITI instructors, Advanced Vocational Training Scheme (AVTS), and various advanced technical/vocational trade courses; also delivers entrepreneurship-oriented need-based training.",DGT-issued CITS/AVTS certificates recognized under the NCVET framework; CITS graduates form the instructor cadre feeding into the national ITI network.,https://dgt.gov.in/,"DGT and NSTI institutional websites (nstiwhyderabad.dgt.gov.in, nstihyderabad2.dgt.gov.in, dgt.gov.in) via search snippets",https://nstiwhyderabad.dgt.gov.in/en/about-us; https://nstihyderabad2.dgt.gov.in/en/about-us; https://dgt.gov.in/en/node/688,2026-07-24,74,VST-NEEDS_REVIEW,"[official_website / source_url]: dgt.gov.in and its NSTI subdomains are Government of India domains; direct WebFetch was blocked (403) in this environment, so facts are drawn from search-engine snippets of these official pages rather than a direct page load."
ff60e196-183b-4323-b6d0-d012e68ca47a,"Young India Skills University (YISU), Hyderabad",Skill University,Telangana,"Hyderabad, Telangana (single university under a Public-Private Partnership Act); statewide reach as Telangana's dedicated skill university.","17 identified priority sectors including Pharma, Construction, Banking & Financial Services, E-Commerce & Logistics, Retail, and Animation/VFX/Gaming; reported to offer 17 courses and train around 20,000 people annually.","University-awarded diplomas/degrees under the Young India Skills University, Telangana (Public-Private Partnership) Act 2024; industry-aligned curricula co-designed with private-sector partners.",https://www.yisu.in/,Telangana State Portal press releases (2024); The South First and Deccan Chronicle news coverage of the enabling Assembly bill,https://www.telangana.gov.in/news/press-releases/2024/07/cm-announces-the-establishment-of-skill-university/; https://thesouthfirst.com/telangana/telangana-assembly-passes-bill-to-set-up-skill-university-in-state/; https://www.yisu.in/,2026-07-24,73,VST-NEEDS_REVIEW,"[skills_offered_summary]: '17 courses / 20,000 trained per year' figure is from a July 2024 Telangana State Portal press release near the university's founding; a direct WebFetch of yisu.in was not performed to reconfirm current-year figures, so this should be treated as an early-stage baseline rather than the latest annual figure."
cd4a0557-d0d2-4a50-8e7c-78408f5b6759,TASK -- Telangana Academy for Skill and Knowledge,Government Skill Body,Telangana,"Headquartered in Hyderabad; delivers programmes through partner engineering colleges across Telangana in collaboration with IIIT-Hyderabad, NIT Warangal, IIT Hyderabad and BITS Pilani.","Technology skilling in collaboration with Oracle, Infosys, Google, IBM, Microsoft, Autodesk and SAP; Personal Impact Skills, Organization Impact Skills and Technical Skills; sector programmes such as a Hindustan Coca-Cola Beverages tie-up to skill 10,000 unemployed youth and a Cotelligent partnership for cybersecurity training/placement.","Industry-partner certificates (Oracle, Microsoft, SAP, etc.) delivered through TASK-run bootcamps and college tie-ups; not a single standalone TASK certification but a facilitation/aggregation model.",https://www.task.telangana.gov.in/,Vikaspedia best-practices profile of TASK; Telangana IT Department (it.telangana.gov.in) initiative page; Telangana Web Directory,https://en.vikaspedia.in/viewcontent/social-welfare/skill-development/best-practices-on-skill-development/telangana-academy-for-skill-knowledge; https://it.telangana.gov.in/initiatives/task/; https://www.task.telangana.gov.in/,2026-07-24,73,VST-NEEDS_REVIEW,"[official_website]: task.telangana.gov.in is a Government of Telangana domain; direct WebFetch was blocked in this environment, so facts rely on search snippets of the official site plus the Vikaspedia and it.telangana.gov.in secondary profiles."
9d801387-aa24-4f25-9432-1e29cfbc12e0,APSSDC -- Andhra Pradesh State Skill Development Corporation,Government Skill Body,Andhra Pradesh,"Academic and non-academic training centres across all 26 districts of Andhra Pradesh; reported network includes 26 skill colleges and 192 training hubs, with 55 industry partners engaged as 'skill spokes'.","Naipunya Vikasam Schools programme (social/tribal welfare schools), Employability Skill Centres (ESC) at degree and engineering colleges, CM Skill Excellence Centers (with Siemens and Dassault Systemes), ITI-linked training, Youth Training Centres (YTCs), job facilitation and Entrepreneurship Development Programmes (EDP).","Sector-specific certifications delivered via industry partners (e.g. Siemens, Dassault Systemes) and mapped to NCVET/NSQF-aligned job roles; job placement/facilitation is a core outcome tracked by APSSDC.",https://www.apssdc.in/home/,APSSDC official website (via search snippet); Government of Andhra Pradesh district portal (tirupati.ap.gov.in/apssdc); India.gov.in National Portal service listing,https://www.apssdc.in/home/; https://tirupati.ap.gov.in/apssdc/; https://services.india.gov.in/service/detail/apssdc-registration-for-skill-training-and-placement-in-andhra-pradesh,2026-07-24,71,VST-NEEDS_REVIEW,"[official_website]: apssdc.in and the .ap.gov.in district portal were not directly WebFetch-able in this environment (blocked/403), so the '26 skill colleges / 192 hubs / 55 industry spokes' figures rely on search-result snippets rather than a directly loaded page; treat as a recent but not pinpoint-dated snapshot."
