mapping_id,business_id,business_name,machinery_name,machinery_role,package005_machinery_id,package005_machinery_name,investment_category,automation_level,is_essential,data_source,source_url,collection_date,confidence_score,verification_status,notes
mmap-001,mb-001,Rice Milling Unit,Rice Mill (Mini),Primary processing,fm-010,Rice Mill (Mini),Core Plant,Semi-Automated,Yes,Office of Development Commissioner (MSME); MSME-DI project profiles,https://msme.gov.in/,2026-07-25,72,VST-NEEDS_REVIEW,Machine also exists in Package005 farm_machinery; referenced by id rather than restated
mmap-002,mb-001,Rice Milling Unit,Paddy Cleaner and Destoner,Pre-cleaning,PENDING_VERIFICATION,PENDING_VERIFICATION,Core Plant,Semi-Automated,Yes,Office of Development Commissioner (MSME); MSME-DI project profiles,https://msme.gov.in/,2026-07-25,68,VST-NEEDS_REVIEW,No Package005 counterpart: this machine is outside the agricultural machinery scope
mmap-003,mb-001,Rice Milling Unit,Packaging Machine (Form-Fill-Seal),Packing,fm-013,Packaging Machine (Form-Fill-Seal),Ancillary,Automated,No,Office of Development Commissioner (MSME); MSME-DI project profiles,https://msme.gov.in/,2026-07-25,68,VST-NEEDS_REVIEW,Machine also exists in Package005 farm_machinery; referenced by id rather than restated
mmap-004,mb-002,Dal Milling Unit,Dal Mill (Mini),Primary processing,fm-012,Dal Mill (Mini),Core Plant,Semi-Automated,Yes,Office of Development Commissioner (MSME); MSME-DI project profiles,https://msme.gov.in/,2026-07-25,72,VST-NEEDS_REVIEW,Machine also exists in Package005 farm_machinery; referenced by id rather than restated
mmap-005,mb-002,Dal Milling Unit,Grader and Polisher,Finishing,PENDING_VERIFICATION,PENDING_VERIFICATION,Core Plant,Semi-Automated,Yes,Office of Development Commissioner (MSME); MSME-DI project profiles,https://msme.gov.in/,2026-07-25,66,VST-NEEDS_REVIEW,No Package005 counterpart: this machine is outside the agricultural machinery scope
mmap-006,mb-003,Cold-Pressed Oil Unit,Oil Expeller (Cold Press),Extraction,fm-011,Oil Expeller (Cold Press),Core Plant,Semi-Automated,Yes,Office of Development Commissioner (MSME); MSME-DI project profiles,https://msme.gov.in/,2026-07-25,72,VST-NEEDS_REVIEW,Machine also exists in Package005 farm_machinery; referenced by id rather than restated
mmap-007,mb-003,Cold-Pressed Oil Unit,Filter Press,Clarification,PENDING_VERIFICATION,PENDING_VERIFICATION,Core Plant,Mechanical,Yes,Office of Development Commissioner (MSME); MSME-DI project profiles,https://msme.gov.in/,2026-07-25,66,VST-NEEDS_REVIEW,No Package005 counterpart: this machine is outside the agricultural machinery scope
mmap-008,mb-003,Cold-Pressed Oil Unit,Bottling and Capping Line,Packing,PENDING_VERIFICATION,PENDING_VERIFICATION,Ancillary,Semi-Automated,No,Office of Development Commissioner (MSME); MSME-DI project profiles,https://msme.gov.in/,2026-07-25,65,VST-NEEDS_REVIEW,No Package005 counterpart: this machine is outside the agricultural machinery scope
mmap-009,mb-004,Spice Grinding and Packing Unit,Pulveriser / Impact Mill,Grinding,PENDING_VERIFICATION,PENDING_VERIFICATION,Core Plant,Semi-Automated,Yes,Office of Development Commissioner (MSME); MSME-DI project profiles,https://msme.gov.in/,2026-07-25,68,VST-NEEDS_REVIEW,No Package005 counterpart: this machine is outside the agricultural machinery scope
mmap-010,mb-004,Spice Grinding and Packing Unit,Solar Dryer,Pre-drying,fm-009,Solar Dryer,Ancillary,Automated,No,Office of Development Commissioner (MSME); MSME-DI project profiles,https://msme.gov.in/,2026-07-25,67,VST-NEEDS_REVIEW,Machine also exists in Package005 farm_machinery; referenced by id rather than restated
mmap-011,mb-004,Spice Grinding and Packing Unit,Packaging Machine (Form-Fill-Seal),Packing,fm-013,Packaging Machine (Form-Fill-Seal),Core Plant,Automated,Yes,Office of Development Commissioner (MSME); MSME-DI project profiles,https://msme.gov.in/,2026-07-25,68,VST-NEEDS_REVIEW,Machine also exists in Package005 farm_machinery; referenced by id rather than restated
mmap-012,mb-005,Millet Processing Unit,Millet Dehuller,Dehulling,PENDING_VERIFICATION,PENDING_VERIFICATION,Core Plant,Semi-Automated,Yes,Office of Development Commissioner (MSME); MSME-DI project profiles,https://msme.gov.in/,2026-07-25,66,VST-NEEDS_REVIEW,No Package005 counterpart: this machine is outside the agricultural machinery scope
