category_id,category_name,category_group,description,typical_crops_examples,cultivation_mode,value_add_potential,data_source,source_url,collection_date,confidence_score,verification_status,notes
cc-001,Food Grains,Field Crops,Cereal staples forming the base of India's food security system,"Rice, Wheat, Maize, Barley",Open Field,Medium,ICAR; Ministry of Agriculture & Farmers Welfare,https://icar.org.in/,2026-07-24,78,VST-NEEDS_REVIEW,Largest acreage group; MSP-procured
cc-002,Millets,Field Crops,Nutri-cereals; drought-tolerant coarse grains,"Pearl Millet, Sorghum, Finger Millet, Foxtail Millet",Open Field,High,ICAR-IIMR (Indian Institute of Millets Research),https://icar.org.in/,2026-07-24,76,VST-NEEDS_REVIEW,Priority group under national nutri-cereals push
cc-003,Pulses,Field Crops,Leguminous protein crops that also fix atmospheric nitrogen,"Chickpea, Pigeon Pea, Moong, Urad, Lentil",Open Field,High,ICAR-IIPR (Indian Institute of Pulses Research),https://icar.org.in/,2026-07-24,77,VST-NEEDS_REVIEW,National Food Security Mission - Pulses focus
cc-004,Oil Seeds,Field Crops,Oil-bearing crops feeding the edible-oil and oil-cake economy,"Groundnut, Soybean, Sunflower, Safflower, Mustard",Open Field,High,ICAR-IIOR (Indian Institute of Oilseeds Research),https://icar.org.in/,2026-07-24,77,VST-NEEDS_REVIEW,Edible-oil import substitution priority
cc-005,Commercial Crops,Field Crops,Non-food cash crops supplying industrial value chains,"Sugarcane, Cotton, Tobacco, Jute",Open Field,High,Ministry of Agriculture & Farmers Welfare; Commodity Boards,https://agricoop.gov.in/,2026-07-24,75,VST-NEEDS_REVIEW,Mill/industry-linked procurement
cc-006,Vegetables,Horticulture,Short-duration high-value vegetable crops,"Tomato, Potato, Onion, Brinjal, Okra, Cabbage",Open Field / Protected,Very High,ICAR-IIVR; MIDH,https://icar.org.in/,2026-07-24,76,VST-NEEDS_REVIEW,MIDH-supported; high perishability
cc-007,Fruits,Horticulture,Perennial and semi-perennial fruit crops,"Mango, Banana, Citrus, Grapes, Guava, Pomegranate",Orchard,Very High,ICAR-IIHR; MIDH,https://icar.org.in/,2026-07-24,76,VST-NEEDS_REVIEW,Long gestation; strong export pull
cc-008,Spices,Horticulture,Aromatic and pungent spice crops,"Turmeric, Chilli, Black Pepper, Cardamom, Coriander, Cumin",Open Field / Plantation,Very High,ICAR-IISR; Spices Board of India,https://www.indianspices.com/,2026-07-24,77,VST-NEEDS_REVIEW,India is the largest global spice exporter
cc-009,Medicinal Plants,Horticulture,Herbal and aromatic crops for AYUSH and nutraceutical use,"Ashwagandha, Tulsi, Brahmi, Shatavari, Aloe Vera",Open Field,Very High,National Medicinal Plants Board (NMPB); Ministry of Ayush,https://nmpb.nic.in/,2026-07-24,70,VST-NEEDS_REVIEW,Buy-back contracts common; quality testing critical
cc-010,Plantation Crops,Plantation,Long-duration perennial estate crops,"Coconut, Arecanut, Tea, Coffee, Rubber, Cashew",Plantation,High,"Commodity Boards (Coconut, Tea, Coffee, Rubber)",https://agricoop.gov.in/,2026-07-24,75,VST-NEEDS_REVIEW,Board-regulated; multi-decade crop cycles
