mapping_id,business_id,business_name,package007_scheme_id,package007_scheme_short_name,relevance,applicable_stage,support_nature,data_source,source_url,collection_date,confidence_score,verification_status,notes
smap-001,mb-001,Rice Milling Unit,sch-019,PMFME,Primary,Establishment,Credit-linked capital subsidy,Package007_Government_Schemes reconciliation,https://www.myscheme.gov.in/,2026-07-25,72,VST-NEEDS_REVIEW,"Scheme detail (benefit, eligibility, process) lives in Package007 and is reached by joining on package007_scheme_id; it is not duplicated here"
smap-002,mb-001,Rice Milling Unit,sch-014,PMEGP,Primary,Establishment,Margin money subsidy on bank loan,Package007_Government_Schemes reconciliation,https://www.myscheme.gov.in/,2026-07-25,72,VST-NEEDS_REVIEW,"Scheme detail (benefit, eligibility, process) lives in Package007 and is reached by joining on package007_scheme_id; it is not duplicated here"
smap-003,mb-001,Rice Milling Unit,sch-017,CGTMSE,Secondary,Establishment,Collateral-free credit enablement,Package007_Government_Schemes reconciliation,https://www.myscheme.gov.in/,2026-07-25,70,VST-NEEDS_REVIEW,"Scheme detail (benefit, eligibility, process) lives in Package007 and is reached by joining on package007_scheme_id; it is not duplicated here"
smap-004,mb-002,Dal Milling Unit,sch-019,PMFME,Primary,Establishment,Credit-linked capital subsidy,Package007_Government_Schemes reconciliation,https://www.myscheme.gov.in/,2026-07-25,72,VST-NEEDS_REVIEW,"Scheme detail (benefit, eligibility, process) lives in Package007 and is reached by joining on package007_scheme_id; it is not duplicated here"
smap-005,mb-002,Dal Milling Unit,sch-014,PMEGP,Primary,Establishment,Margin money subsidy on bank loan,Package007_Government_Schemes reconciliation,https://www.myscheme.gov.in/,2026-07-25,71,VST-NEEDS_REVIEW,"Scheme detail (benefit, eligibility, process) lives in Package007 and is reached by joining on package007_scheme_id; it is not duplicated here"
smap-006,mb-003,Cold-Pressed Oil Unit,sch-019,PMFME,Primary,Establishment,Credit-linked capital subsidy,Package007_Government_Schemes reconciliation,https://www.myscheme.gov.in/,2026-07-25,72,VST-NEEDS_REVIEW,"Scheme detail (benefit, eligibility, process) lives in Package007 and is reached by joining on package007_scheme_id; it is not duplicated here"
smap-007,mb-003,Cold-Pressed Oil Unit,sch-014,PMEGP,Primary,Establishment,Margin money subsidy on bank loan,Package007_Government_Schemes reconciliation,https://www.myscheme.gov.in/,2026-07-25,71,VST-NEEDS_REVIEW,"Scheme detail (benefit, eligibility, process) lives in Package007 and is reached by joining on package007_scheme_id; it is not duplicated here"
smap-008,mb-004,Spice Grinding and Packing Unit,sch-019,PMFME,Primary,Establishment,Credit-linked capital subsidy with ODOP focus,Package007_Government_Schemes reconciliation,https://www.myscheme.gov.in/,2026-07-25,73,VST-NEEDS_REVIEW,"Scheme detail (benefit, eligibility, process) lives in Package007 and is reached by joining on package007_scheme_id; it is not duplicated here"
smap-009,mb-004,Spice Grinding and Packing Unit,sch-015,PMMY,Secondary,Working capital,Collateral-free micro credit,Package007_Government_Schemes reconciliation,https://www.myscheme.gov.in/,2026-07-25,70,VST-NEEDS_REVIEW,"Scheme detail (benefit, eligibility, process) lives in Package007 and is reached by joining on package007_scheme_id; it is not duplicated here"
smap-010,mb-005,Millet Processing Unit,sch-019,PMFME,Primary,Establishment,Credit-linked capital subsidy with ODOP focus,Package007_Government_Schemes reconciliation,https://www.myscheme.gov.in/,2026-07-25,71,VST-NEEDS_REVIEW,"Scheme detail (benefit, eligibility, process) lives in Package007 and is reached by joining on package007_scheme_id; it is not duplicated here"
