recommendation_id,profile_code,profile_description,profile_attributes,scheme_id,scheme_short_name,priority_score,priority_rank,recommendation_basis,suggested_next_scheme_id,related_scheme_ids,future_opportunity,data_source,source_url,collection_date,confidence_score,verification_status,notes
rec-001,PROF-STUDENT-SC,Scheduled Caste student entering higher education from a low-income household,category=SC; stage=post-matric; income=below ceiling; age=17-23,sch-028,PMS-SC,92,1,Category and stage match exactly; oldest and widest SC post-matric scheme,sch-026,sch-026;sch-024,Skill certification after graduation via PMKVY 4.0,Rule-based synthesis over this package's eligibility_criteria.csv,https://www.myscheme.gov.in/,2026-07-25,60,VST-NEEDS_REVIEW,"priority_score is a deterministic rule-engine input derived from eligibility overlap, not an empirical outcome measure"
rec-002,PROF-STUDENT-SC,Scheduled Caste student entering higher education from a low-income household,category=SC; stage=post-matric; income=below ceiling; age=17-23,sch-026,CSSS,74,2,Applies only if the class XII percentile threshold is met,sch-024,sch-025;sch-028,Higher education completion then skill loan for specialisation,Rule-based synthesis over this package's eligibility_criteria.csv,https://www.myscheme.gov.in/,2026-07-25,60,VST-NEEDS_REVIEW,"priority_score is a deterministic rule-engine input derived from eligibility overlap, not an empirical outcome measure"
rec-003,PROF-STUDENT-SC,Scheduled Caste student entering higher education from a low-income household,category=SC; stage=post-matric; income=below ceiling; age=17-23,sch-024,Skill Loan,61,3,Relevant only for a fee-bearing vocational course alongside or after study,PENDING_VERIFICATION,sch-021,Employment through certified skilling,Rule-based synthesis over this package's eligibility_criteria.csv,https://www.myscheme.gov.in/,2026-07-25,60,VST-NEEDS_REVIEW,"priority_score is a deterministic rule-engine input derived from eligibility overlap, not an empirical outcome measure"
rec-004,PROF-STUDENT-CLASS8,"Class VIII student in a government school, household below the income ceiling",category=any; stage=class VIII; income=below ceiling; age=13-14,sch-025,NMMSS,90,1,Precisely the target stage and income profile for this scheme,sch-026,sch-027;sch-030,Continue to CSSS at higher-education stage,Rule-based synthesis over this package's eligibility_criteria.csv,https://www.myscheme.gov.in/,2026-07-25,60,VST-NEEDS_REVIEW,"priority_score is a deterministic rule-engine input derived from eligibility overlap, not an empirical outcome measure"
rec-005,PROF-STUDENT-CLASS8,"Class VIII student in a government school, household below the income ceiling",category=any; stage=class VIII; income=below ceiling; age=13-14,sch-030,PM POSHAN,78,2,"Automatic entitlement at the school, no application needed",PENDING_VERIFICATION,sch-029,Retention through secondary stage,Rule-based synthesis over this package's eligibility_criteria.csv,https://www.myscheme.gov.in/,2026-07-25,60,VST-NEEDS_REVIEW,"priority_score is a deterministic rule-engine input derived from eligibility overlap, not an empirical outcome measure"
rec-006,PROF-FARMER-SMALL,"Small farmer with under two hectares, cultivating rice and chilli in a Telangana district","occupation=farmer; landholding=small; crops=rice,chilli; state=Telangana",sch-005,PM-KISAN,94,1,Land-holding farmer family; unconditional income support,sch-007,sch-006;sch-011,Layer crop credit and insurance on the same land record,Rule-based synthesis over this package's eligibility_criteria.csv,https://www.myscheme.gov.in/,2026-07-25,60,VST-NEEDS_REVIEW,"priority_score is a deterministic rule-engine input derived from eligibility overlap, not an empirical outcome measure"
rec-007,PROF-FARMER-SMALL,"Small farmer with under two hectares, cultivating rice and chilli in a Telangana district","occupation=farmer; landholding=small; crops=rice,chilli; state=Telangana",sch-007,KCC,89,2,Working capital need is structural for chilli's high input cost,sch-006,sch-005;sch-012,Interest subvention on prompt repayment,Rule-based synthesis over this package's eligibility_criteria.csv,https://www.myscheme.gov.in/,2026-07-25,60,VST-NEEDS_REVIEW,"priority_score is a deterministic rule-engine input derived from eligibility overlap, not an empirical outcome measure"
rec-008,PROF-FARMER-SMALL,"Small farmer with under two hectares, cultivating rice and chilli in a Telangana district","occupation=farmer; landholding=small; crops=rice,chilli; state=Telangana",sch-006,PMFBY,85,3,Both crops are notified and rainfall-exposed,sch-008,sch-007,Yield-loss protection stabilises credit repayment,Rule-based synthesis over this package's eligibility_criteria.csv,https://www.myscheme.gov.in/,2026-07-25,60,VST-NEEDS_REVIEW,"priority_score is a deterministic rule-engine input derived from eligibility overlap, not an empirical outcome measure"
rec-009,PROF-FARMER-SMALL,"Small farmer with under two hectares, cultivating rice and chilli in a Telangana district","occupation=farmer; landholding=small; crops=rice,chilli; state=Telangana",sch-008,PMKSY,76,4,Micro-irrigation raises water efficiency; higher subsidy for small farmers,sch-009,sch-013,Solar pump under PM-KUSUM after drip installation,Rule-based synthesis over this package's eligibility_criteria.csv,https://www.myscheme.gov.in/,2026-07-25,60,VST-NEEDS_REVIEW,"priority_score is a deterministic rule-engine input derived from eligibility overlap, not an empirical outcome measure"
rec-010,PROF-FARMER-SMALL,"Small farmer with under two hectares, cultivating rice and chilli in a Telangana district","occupation=farmer; landholding=small; crops=rice,chilli; state=Telangana",sch-011,SHC,72,5,Free diagnostic that improves input efficiency at zero cost,PENDING_VERIFICATION,sch-010,Organic conversion pathway via PKVY,Rule-based synthesis over this package's eligibility_criteria.csv,https://www.myscheme.gov.in/,2026-07-25,60,VST-NEEDS_REVIEW,"priority_score is a deterministic rule-engine input derived from eligibility overlap, not an empirical outcome measure"
rec-011,PROF-FARMER-ORGANIC,Farmer in a cluster converting to organic turmeric cultivation,occupation=farmer; crops=turmeric; intent=organic conversion,sch-010,PKVY,88,1,Cluster-based organic conversion is exactly this scheme's design,sch-019,sch-011;sch-005,Certified organic turmeric commands an export premium,Rule-based synthesis over this package's eligibility_criteria.csv,https://www.myscheme.gov.in/,2026-07-25,60,VST-NEEDS_REVIEW,"priority_score is a deterministic rule-engine input derived from eligibility overlap, not an empirical outcome measure"
rec-012,PROF-FARMER-ORGANIC,Farmer in a cluster converting to organic turmeric cultivation,occupation=farmer; crops=turmeric; intent=organic conversion,sch-019,PMFME,80,2,Turmeric powder processing captures the value-add margin,sch-012,sch-014,ODOP branding and export market access,Rule-based synthesis over this package's eligibility_criteria.csv,https://www.myscheme.gov.in/,2026-07-25,60,VST-NEEDS_REVIEW,"priority_score is a deterministic rule-engine input derived from eligibility overlap, not an empirical outcome measure"
