category_id,category_name,category_group,description,nic_section_hint,capital_intensity,skill_intensity,typical_udyam_class,data_source,source_url,collection_date,confidence_score,verification_status,notes
mc-001,Manufacturing,Primary Sector Group,Physical goods production across all product classes,Section C - Manufacturing,High,Medium,Micro to Medium,"Ministry of Micro, Small and Medium Enterprises",https://msme.gov.in/,2026-07-25,78,VST-NEEDS_REVIEW,Largest MSME group by Udyam registration count
mc-002,Services,Primary Sector Group,Non-goods commercial activity across professional and personal services,"Sections M, N, S",Low,Medium,Micro to Small,"Ministry of Micro, Small and Medium Enterprises",https://msme.gov.in/,2026-07-25,77,VST-NEEDS_REVIEW,Fastest-growing group; low entry capital
mc-003,Trading,Primary Sector Group,Wholesale and retail buying and reselling without transformation,Section G,Low,Low,Micro,"Ministry of Micro, Small and Medium Enterprises",https://msme.gov.in/,2026-07-25,74,VST-NEEDS_REVIEW,Retail and wholesale trade became Udyam-eligible in 2021
mc-004,Food Processing,Manufacturing Sub-Sector,Transformation of agricultural produce into food products,Division 10-11,Medium,Medium,Micro to Small,Ministry of Food Processing Industries (MoFPI),https://mofpi.gov.in/,2026-07-25,76,VST-NEEDS_REVIEW,PMFME is the dedicated scheme; overlaps Package005 processing layer
mc-005,Engineering,Manufacturing Sub-Sector,"Metal fabrication, machining, tooling and mechanical assembly",Division 25-28,High,High,Micro to Medium,Office of Development Commissioner (MSME); MSME-DI project profiles,https://msme.gov.in/,2026-07-25,75,VST-NEEDS_REVIEW,Ancillary supply to larger industry is the dominant model
mc-006,Electronics,Manufacturing Sub-Sector,Electronic component and assembly manufacturing,Division 26-27,High,High,Small to Medium,Ministry of Electronics and IT (MeitY),https://www.meity.gov.in/,2026-07-25,73,VST-NEEDS_REVIEW,PLI schemes target this sector; import dependence remains high
mc-007,Agriculture and Allied,Primary Sector Group,"Farm-adjacent enterprise including inputs, nursery and allied activity",Section A,Medium,Medium,Micro,Ministry of Agriculture and Farmers Welfare,https://agricoop.gov.in/,2026-07-25,74,VST-NEEDS_REVIEW,"Crop and processing detail lives in Package005, referenced not duplicated"
mc-008,Healthcare,Services Sub-Sector,"Diagnostic, clinical support and medical product enterprise",Division 86,Medium,High,Micro to Small,Ministry of Health and Family Welfare,https://mohfw.gov.in/,2026-07-25,70,VST-NEEDS_REVIEW,Heavily licence-gated; qualification requirements are statutory
mc-009,Textiles and Apparel,Manufacturing Sub-Sector,"Fibre, yarn, fabric and garment manufacturing",Division 13-14,Medium,Medium,Micro to Medium,Ministry of Textiles,https://texmin.nic.in/,2026-07-25,74,VST-NEEDS_REVIEW,Highest employment per unit of investment among manufacturing groups
mc-010,Chemical,Manufacturing Sub-Sector,Industrial and specialty chemical formulation and manufacture,Division 20-21,High,High,Small to Medium,Office of Development Commissioner (MSME); MSME-DI project profiles,https://msme.gov.in/,2026-07-25,71,VST-NEEDS_REVIEW,Pollution Control Board consent is the binding entry constraint
mc-011,Construction,Primary Sector Group,"Building, infrastructure and specialised construction trades",Section F,Medium,Medium,Micro to Small,"Ministry of Micro, Small and Medium Enterprises",https://msme.gov.in/,2026-07-25,73,VST-NEEDS_REVIEW,"Trade-service detail lives in Package004, referenced not duplicated"
mc-012,Information Technology,Services Sub-Sector,"Software development, IT services and IT-enabled services",Division 62-63,Low,High,Micro to Medium,NASSCOM,https://nasscom.in/,2026-07-25,76,VST-NEEDS_REVIEW,Lowest capital intensity of any category; skill-gated instead
mc-013,Renewable Energy,Emerging Sector,"Solar, wind and clean energy equipment, EPC and O&M",Division 35,High,High,Small to Medium,Ministry of New and Renewable Energy (MNRE),https://mnre.gov.in/,2026-07-25,72,VST-NEEDS_REVIEW,Policy-driven demand; PM Surya Ghar expanded the rooftop segment
mc-014,Industrial Automation,Emerging Sector,"PLC, SCADA, sensor and control system integration","Division 28, 33",Medium,High,Micro to Small,Office of Development Commissioner (MSME); MSME-DI project profiles,https://msme.gov.in/,2026-07-25,68,VST-NEEDS_REVIEW,"Systems-integration model; low inventory, high skill"
mc-015,Robotics,Emerging Sector,"Robotic system design, assembly and deployment",Division 28,High,High,Small to Medium,MeitY; industry associations,https://www.meity.gov.in/,2026-07-25,62,VST-NEEDS_REVIEW,Early-stage in India; mostly integration rather than manufacture
mc-016,Artificial Intelligence,Emerging Sector,"AI product development, model deployment and AI-enabled services",Division 62,Low,High,Micro to Small,NASSCOM,https://nasscom.in/,2026-07-25,64,VST-NEEDS_REVIEW,"Capital-light, talent-gated; Package006 holds the skill detail"
mc-017,Electric Vehicles,Emerging Sector,"EV components, assembly, charging infrastructure and service",Division 29-30,High,High,Small to Medium,Ministry of Heavy Industries,https://heavyindustries.gov.in/,2026-07-25,68,VST-NEEDS_REVIEW,Service and charging segments are the realistic MSME entry points
mc-018,Semiconductors,Emerging Sector,"Semiconductor assembly, testing, design services and support",Division 26,Very High,Very High,Medium,MeitY; India Semiconductor Mission,https://www.meity.gov.in/,2026-07-25,58,VST-NEEDS_REVIEW,Fabrication is out of MSME reach; design services and ATMP support are not
mc-019,Logistics and Warehousing,Services Sub-Sector,"Freight, warehousing, cold chain and last-mile distribution",Division 49-52,Medium,Low,Micro to Medium,Ministry of Commerce and Industry,https://commerce.gov.in/,2026-07-25,73,VST-NEEDS_REVIEW,PM Gati Shakti and the National Logistics Policy shape demand
mc-020,Creative Industries,Services Sub-Sector,"Design, media production, content and craft-based enterprise","Division 58-60, 74",Low,High,Micro,Ministry of Information and Broadcasting,https://mib.gov.in/,2026-07-25,66,VST-NEEDS_REVIEW,Highly fragmented; platform distribution changed the economics
mc-021,Tourism and Hospitality,Services Sub-Sector,"Accommodation, food service, tours and experience enterprise","Division 55-56, 79",Medium,Medium,Micro to Small,Ministry of Tourism,https://tourism.gov.in/,2026-07-25,70,VST-NEEDS_REVIEW,Seasonal cash flow is the dominant operational risk
mc-022,Education and Training,Services Sub-Sector,"Coaching, vocational training and edtech enterprise",Division 85,Low,High,Micro to Small,Ministry of Education,https://www.education.gov.in/,2026-07-25,69,VST-NEEDS_REVIEW,"Institution detail lives in Package002, referenced not duplicated"
mc-023,Waste Management,Emerging Sector,"Collection, segregation, treatment and disposal services",Division 38,Medium,Medium,Micro to Small,"Ministry of Environment, Forest and Climate Change",https://moef.gov.in/,2026-07-25,68,VST-NEEDS_REVIEW,Urban local body contracts are the primary revenue route
mc-024,Recycling and Circular Economy,Emerging Sector,"Material recovery, reprocessing and remanufacture",Division 38,Medium,Medium,Micro to Medium,"Ministry of Environment, Forest and Climate Change",https://moef.gov.in/,2026-07-25,66,VST-NEEDS_REVIEW,EPR obligations on producers created a compliance-driven market
