dataset_name,package,file_path,layer,record_count,column_count,primary_key,status,mode_used,confidence_min,confidence_max,confidence_avg,pending_verification_cells,verification_status,last_updated
scheme_categories,Package007_Government_Schemes,datasets/scheme_categories.csv,1 - Reference Taxonomy,24,12,category_id,RELEASED,Knowledge synthesis (WebFetch to .gov.in blocked by org policy),72,78,75.3,0,VST-NEEDS_REVIEW,2026-07-25
required_documents,Package007_Government_Schemes,datasets/required_documents.csv,1 - Reference Taxonomy,15,13,document_id,RELEASED,Knowledge synthesis (WebFetch to .gov.in blocked by org policy),68,78,72.9,0,VST-NEEDS_REVIEW,2026-07-25
implementing_agencies,Package007_Government_Schemes,datasets/implementing_agencies.csv,5 - Institutions,20,14,agency_id,RELEASED,Knowledge synthesis (WebFetch to .gov.in blocked by org policy),68,78,73.8,6,VST-NEEDS_REVIEW,2026-07-25
financial_institutions,Package007_Government_Schemes,datasets/financial_institutions.csv,5 - Institutions,12,14,institution_id,RELEASED,Knowledge synthesis (WebFetch to .gov.in blocked by org policy),68,76,72.7,4,VST-NEEDS_REVIEW,2026-07-25
scheme_application_status,Package007_Government_Schemes,datasets/scheme_application_status.csv,4 - Process,8,15,status_id,RELEASED,Knowledge synthesis (WebFetch to .gov.in blocked by org policy),69,72,70.9,0,VST-NEEDS_REVIEW,2026-07-25
government_schemes,Package007_Government_Schemes,datasets/government_schemes.csv,2 - Core Entity,40,25,scheme_id,RELEASED,Knowledge synthesis (WebFetch to .gov.in blocked by org policy),70,78,74.3,53,VST-NEEDS_REVIEW,2026-07-25
eligibility_criteria,Package007_Government_Schemes,datasets/eligibility_criteria.csv,3 - Eligibility Logic,55,13,criterion_id,RELEASED,Knowledge synthesis (WebFetch to .gov.in blocked by org policy),70,76,72.7,11,VST-NEEDS_REVIEW,2026-07-25
scheme_benefits,Package007_Government_Schemes,datasets/scheme_benefits.csv,6 - Benefits,51,14,benefit_id,RELEASED,Knowledge synthesis (WebFetch to .gov.in blocked by org policy),69,76,72.4,45,VST-NEEDS_REVIEW,2026-07-25
application_process,Package007_Government_Schemes,datasets/application_process.csv,4 - Process,43,16,step_id,RELEASED,Knowledge synthesis (WebFetch to .gov.in blocked by org policy),68,74,72.1,39,VST-NEEDS_REVIEW,2026-07-25
education_scheme_mapping,Package007_Government_Schemes,datasets/education_scheme_mapping.csv,7 - Cross-Package Mapping,7,15,mapping_id,RELEASED,Knowledge synthesis (WebFetch to .gov.in blocked by org policy),68,76,71.6,9,VST-NEEDS_REVIEW,2026-07-25
agriculture_scheme_mapping,Package007_Government_Schemes,datasets/agriculture_scheme_mapping.csv,7 - Cross-Package Mapping,14,15,mapping_id,RELEASED,Knowledge synthesis (WebFetch to .gov.in blocked by org policy),68,76,71.9,8,VST-NEEDS_REVIEW,2026-07-25
skill_scheme_mapping,Package007_Government_Schemes,datasets/skill_scheme_mapping.csv,7 - Cross-Package Mapping,12,17,mapping_id,RELEASED,Knowledge synthesis (WebFetch to .gov.in blocked by org policy),62,73,69.7,42,VST-NEEDS_REVIEW,2026-07-25
industry_scheme_mapping,Package007_Government_Schemes,datasets/industry_scheme_mapping.csv,7 - Cross-Package Mapping,12,14,mapping_id,RELEASED,Knowledge synthesis (WebFetch to .gov.in blocked by org policy),68,73,71.1,0,VST-NEEDS_REVIEW,2026-07-25
district_scheme_mapping,Package007_Government_Schemes,datasets/district_scheme_mapping.csv,7 - Cross-Package Mapping,305,16,mapping_id,RELEASED,Knowledge synthesis (WebFetch to .gov.in blocked by org policy),71,73,71.8,305,VST-NEEDS_REVIEW,2026-07-25
scheme_ai_recommendations,Package007_Government_Schemes,datasets/scheme_ai_recommendations.csv,8 - Recommendation Layer,37,18,recommendation_id,RELEASED,Knowledge synthesis (WebFetch to .gov.in blocked by org policy),60,60,60.0,12,VST-NEEDS_REVIEW,2026-07-25
