category_id,category_name,category_group,description,primary_beneficiary,typical_benefit_type,data_source,source_url,collection_date,confidence_score,verification_status,notes
cat-001,Education,Sector,"School and higher-education access, retention and quality support",Students,Grant; Fee reimbursement; Infrastructure,Ministry of Education,https://www.education.gov.in/,2026-07-25,78,VST-NEEDS_REVIEW,Overlaps Package002_Education
cat-002,Scholarships,Sector,Merit and means-based financial support for students,Students,Scholarship,National Scholarship Portal,https://scholarships.gov.in/,2026-07-25,78,VST-NEEDS_REVIEW,25 scholarship schemes already released in Package002
cat-003,Healthcare,Sector,"Health insurance, treatment assistance and public health delivery",Citizens; Patients,Insurance; Treatment cover,Ministry of Health and Family Welfare,https://mohfw.gov.in/,2026-07-25,77,VST-NEEDS_REVIEW,Overlaps Package003_Healthcare
cat-004,Agriculture,Sector,"Crop production, income support, insurance and farm infrastructure",Farmers,Grant; Subsidy; Insurance; Credit,Ministry of Agriculture and Farmers Welfare,https://agricoop.gov.in/,2026-07-25,78,VST-NEEDS_REVIEW,12 agriculture schemes already released in Package005
cat-005,MSME,Sector,"Micro, small and medium enterprise finance, formalisation and market access",Entrepreneurs; Enterprises,Loan; Credit guarantee; Subsidy,Ministry of MSME,https://msme.gov.in/,2026-07-25,77,VST-NEEDS_REVIEW,Overlaps Package004; Package008_MSME will extend
cat-006,Women,Beneficiary Group,Schemes reserved for or prioritising women beneficiaries,Women,Loan; Grant; Training,Ministry of Women and Child Development,https://wcd.gov.in/,2026-07-25,75,VST-NEEDS_REVIEW,Cross-cutting; overlaps sector categories
cat-007,Youth,Beneficiary Group,"Schemes targeting young citizens for skilling, employment and enterprise",Youth (15-35),Training; Stipend; Loan,Ministry of Youth Affairs and Sports,https://yas.gov.in/,2026-07-25,72,VST-NEEDS_REVIEW,Age bands differ by scheme
cat-008,Scheduled Castes,Beneficiary Group,Schemes reserved for Scheduled Caste beneficiaries,SC citizens,Scholarship; Loan; Grant,Ministry of Social Justice and Empowerment,https://socialjustice.gov.in/,2026-07-25,76,VST-NEEDS_REVIEW,Caste certificate is a universal eligibility document here
cat-009,Scheduled Tribes,Beneficiary Group,Schemes reserved for Scheduled Tribe beneficiaries,ST citizens,Scholarship; Loan; Grant,Ministry of Tribal Affairs,https://tribal.nic.in/,2026-07-25,76,VST-NEEDS_REVIEW,Includes forest-rights and MFP-linked support
cat-010,Backward Classes,Beneficiary Group,Schemes for Other Backward Classes and Economically Backward Classes,OBC/BC/EBC citizens,Scholarship; Loan,Ministry of Social Justice and Empowerment,https://socialjustice.gov.in/,2026-07-25,74,VST-NEEDS_REVIEW,State BC/EBC lists differ from the central OBC list
cat-011,Minorities,Beneficiary Group,Schemes for notified minority communities,Minority communities,Scholarship; Loan; Skill training,Ministry of Minority Affairs,https://minorityaffairs.gov.in/,2026-07-25,74,VST-NEEDS_REVIEW,Six notified minority communities
cat-012,Senior Citizens,Beneficiary Group,"Pension, health and welfare support for the elderly",Citizens 60+,Pension; Health cover,Ministry of Social Justice and Empowerment,https://socialjustice.gov.in/,2026-07-25,73,VST-NEEDS_REVIEW,Age threshold 60 for most; 80 for enhanced benefits
cat-013,Persons with Disabilities,Beneficiary Group,Support for persons with benchmark disabilities,PwD citizens,Scholarship; Aid; Pension,Department of Empowerment of Persons with Disabilities,https://disabilityaffairs.gov.in/,2026-07-25,74,VST-NEEDS_REVIEW,Requires UDID or disability certificate
cat-014,Employment,Sector,"Wage employment, self-employment and job placement support",Workers; Job seekers,Wage; Stipend; Placement,Ministry of Labour and Employment,https://labour.gov.in/,2026-07-25,75,VST-NEEDS_REVIEW,Includes MGNREGA and urban livelihood missions
cat-015,Housing,Sector,Rural and urban housing construction and subsidy,Households,Grant; Interest subsidy,Ministry of Housing and Urban Affairs,https://mohua.gov.in/,2026-07-25,76,VST-NEEDS_REVIEW,PMAY has separate rural and urban verticals
cat-016,Insurance,Instrument,"Life, accident and crop insurance with government premium support",Citizens; Farmers,Insurance,Department of Financial Services,https://financialservices.gov.in/,2026-07-25,76,VST-NEEDS_REVIEW,Jan Suraksha schemes; PMFBY for crops
cat-017,Social Welfare,Sector,"Pension, food security and social assistance",Vulnerable households,Pension; Entitlement,Ministry of Rural Development,https://rural.nic.in/,2026-07-25,74,VST-NEEDS_REVIEW,Includes NSAP pension verticals
cat-018,Financial Inclusion,Instrument,"Banking access, zero-balance accounts and direct benefit transfer",Unbanked citizens,Account access; DBT rails,Department of Financial Services,https://financialservices.gov.in/,2026-07-25,77,VST-NEEDS_REVIEW,PMJDY is the foundational layer for most DBT schemes
cat-019,Livelihood,Sector,"Self-help group formation, community finance and rural livelihoods",Rural households; SHGs,Revolving fund; Credit linkage,Ministry of Rural Development (DAY-NRLM),https://nrlm.gov.in/,2026-07-25,74,VST-NEEDS_REVIEW,SHG-based delivery model
