dataset_name,package,file_path,layer,record_count,column_count,primary_key,status,mode_used,confidence_min,confidence_max,confidence_avg,pending_verification_cells,verification_status,last_updated
msme_categories,Package008_MSME,datasets/msme_categories.csv,1 - Reference Taxonomy,24,14,category_id,RELEASED,Knowledge synthesis (WebFetch to .gov.in blocked by org policy),58,78,70.6,0,VST-NEEDS_REVIEW,2026-07-25
business_models,Package008_MSME,datasets/business_models.csv,1 - Reference Taxonomy,15,14,business_model_id,RELEASED,Knowledge synthesis (WebFetch to .gov.in blocked by org policy),64,76,70.7,15,VST-NEEDS_REVIEW,2026-07-25
license_compliance,Package008_MSME,datasets/license_compliance.csv,4 - Compliance,14,16,license_id,RELEASED,Knowledge synthesis (WebFetch to .gov.in blocked by org policy),66,78,71.4,6,VST-NEEDS_REVIEW,2026-07-25
financial_support,Package008_MSME,datasets/financial_support.csv,5 - Finance,12,15,finance_id,RELEASED,Knowledge synthesis (WebFetch to .gov.in blocked by org policy),62,76,71.2,8,VST-NEEDS_REVIEW,2026-07-25
market_channels,Package008_MSME,datasets/market_channels.csv,7 - Market Access,11,15,channel_id,RELEASED,Knowledge synthesis (WebFetch to .gov.in blocked by org policy),62,74,68.5,19,VST-NEEDS_REVIEW,2026-07-25
ai_business_tools,Package008_MSME,datasets/ai_business_tools.csv,9 - Technology Adoption,12,15,tool_id,RELEASED,Knowledge synthesis (WebFetch to .gov.in blocked by org policy),57,72,63.1,0,VST-NEEDS_REVIEW,2026-07-25
startup_ecosystem,Package008_MSME,datasets/startup_ecosystem.csv,10 - Support Ecosystem,12,15,ecosystem_id,RELEASED,Knowledge synthesis (WebFetch to .gov.in blocked by org policy),66,76,70.2,3,VST-NEEDS_REVIEW,2026-07-25
msme_businesses,Package008_MSME,datasets/msme_businesses.csv,2 - Core Entity,40,26,business_id,RELEASED,Knowledge synthesis (WebFetch to .gov.in blocked by org policy),63,74,69.0,40,VST-NEEDS_REVIEW,2026-07-25
machinery_mapping,Package008_MSME,datasets/machinery_mapping.csv,3 - Input Requirements,64,16,mapping_id,RELEASED,Knowledge synthesis (WebFetch to .gov.in blocked by org policy),61,72,66.8,108,VST-NEEDS_REVIEW,2026-07-25
raw_material_mapping,Package008_MSME,datasets/raw_material_mapping.csv,3 - Input Requirements,33,17,mapping_id,RELEASED,Knowledge synthesis (WebFetch to .gov.in blocked by org policy),60,72,66.5,42,VST-NEEDS_REVIEW,2026-07-25
scheme_mapping,Package008_MSME,datasets/scheme_mapping.csv,6 - Cross-Package Mapping,57,14,mapping_id,RELEASED,Knowledge synthesis (WebFetch to .gov.in blocked by org policy),61,73,67.8,0,VST-NEEDS_REVIEW,2026-07-25
skill_mapping,Package008_MSME,datasets/skill_mapping.csv,6 - Cross-Package Mapping,53,14,mapping_id,RELEASED,Knowledge synthesis (WebFetch to .gov.in blocked by org policy),57,72,66.4,14,VST-NEEDS_REVIEW,2026-07-25
industry_mapping,Package008_MSME,datasets/industry_mapping.csv,6 - Cross-Package Mapping,19,13,mapping_id,RELEASED,Knowledge synthesis (WebFetch to .gov.in blocked by org policy),60,74,68.6,0,VST-NEEDS_REVIEW,2026-07-25
agriculture_business_mapping,Package008_MSME,datasets/agriculture_business_mapping.csv,6 - Cross-Package Mapping,14,14,mapping_id,RELEASED,Knowledge synthesis (WebFetch to .gov.in blocked by org policy),58,74,70.0,8,VST-NEEDS_REVIEW,2026-07-25
education_support_mapping,Package008_MSME,datasets/education_support_mapping.csv,6 - Cross-Package Mapping,13,15,mapping_id,RELEASED,Knowledge synthesis (WebFetch to .gov.in blocked by org policy),64,70,67.4,26,VST-NEEDS_REVIEW,2026-07-25
district_business_mapping,Package008_MSME,datasets/district_business_mapping.csv,6 - Cross-Package Mapping,32,16,mapping_id,RELEASED,Knowledge synthesis (WebFetch to .gov.in blocked by org policy),62,74,67.9,0,VST-NEEDS_REVIEW,2026-07-25
export_opportunities,Package008_MSME,datasets/export_opportunities.csv,8 - Export,12,15,opportunity_id,RELEASED,Knowledge synthesis (WebFetch to .gov.in blocked by org policy),60,72,66.2,0,VST-NEEDS_REVIEW,2026-07-25
investment_intelligence,Package008_MSME,datasets/investment_intelligence.csv,11 - Investment Intelligence,40,20,intelligence_id,RELEASED,Knowledge synthesis (WebFetch to .gov.in blocked by org policy),61,72,67.0,0,VST-NEEDS_REVIEW,2026-07-25
