id,name,category,ownership,managing_organization,district,state,city,address,official_website,contact_number,email,bed_capacity,medical_college_affiliation,teaching_status,specialties_summary,available_services_summary,government_scheme_coverage_summary,emergency_services,data_source,source_url,collection_date,confidence_score,verification_status,notes
aad5e797-2c06-498f-a337-0531e7353427,Osmania General Hospital,Teaching Hospital,State Government,"Directorate of Medical Education, Telangana",Hyderabad,Telangana,Hyderabad,"15-5-104, Begum Bazar, Afzal Gunj, Hyderabad, Telangana 500012",PENDING_VERIFICATION,+91-40-23538846,PENDING_VERIFICATION,1168 (source estimates range 1000-1168),Osmania Medical College,Teaching,"General Medicine, Surgery, Cardiology, Neurology, Nephrology, Orthopedics, Pediatrics, Gynecology, ENT, Dermatology, Urology, Radiology, Trauma & Emergency",24x7 Trauma & Emergency department; surgical services subsidized/free under government schemes,Rajiv Aarogyasri (listed as empanelled per aggregator/scheme directories); Ayushman Bharat PM-JAY (listed as empanelled per publicservicesmap.in),Yes,"Wikipedia; Medindia; Yappe; hospital directories (WebSearch snippets only, no direct fetch)",https://en.wikipedia.org/wiki/Osmania_General_Hospital ; https://www.medindia.net/directories/hospitals/osmania-general-hospital-hyderabad-telangana-65904.htm,2026-07-22,88,VST-NEEDS_REVIEW,"One of India's oldest hospitals (opened 1910). Bed count varies 1000-1168+ across sources. Official govt website not located; could not WebFetch Wikipedia (blocked) so relying on search snippets. [RC2] Multi-source corroboration (Medindia, angiocare.in Aarogyasri directory, publicservicesmap.in PM-JAY listing) found for specialties and scheme empanelment; a claimed alternate website 'osmaniageneralhospital.org' and phone 9849902978 surfaced but were not independently corroborated, so official_website/contact_number left unchanged."
390331c4-448f-4fc1-ad73-4fabf82bba89,Gandhi Hospital,Teaching Hospital,State Government,"Directorate of Medical Education, Telangana",Hyderabad,Telangana,Secunderabad,"Musheerabad, Padmarao Nagar, Secunderabad, Telangana 500003","gmcsecunderabad.org (college); gandhihospital.telangana.gov.in (hospital, unconfirmed by direct fetch)",+91-40-27502742 / 040-27505566,supdt_gandhihospital@yahoo.co.in,960,Gandhi Medical College,Teaching,"Cardiology, Orthopedics, Pediatrics, Emergency Medicine (general multi-specialty teaching hospital; full department list not itemized in sources checked)",PENDING_VERIFICATION,PENDING_VERIFICATION,PENDING_VERIFICATION,HexaHealth; ZoomInfo; Wikipedia; gmcsecunderabad.org (via search snippet),https://en.wikipedia.org/wiki/Gandhi_Medical_College_and_Hospital ; https://gmcsecunderabad.org/contact-us/,2026-07-22,88,VST-NEEDS_REVIEW,Established 1954. gandhihospital.telangana.gov.in domain found in search results but not fetched directly (gov.in blocked). [RC2] gandhihospital.telangana.gov.in reconfirmed as live official site across multiple search hits; Superintendent's email address found via aggregator (ContactOut) citing the official domain.
4b7bfbfd-0db7-4d52-a71b-51df3eb5b1ee,Niloufer Hospital for Women and Children,Teaching Hospital,State Government,"Directorate of Medical Education, Telangana",Hyderabad,Telangana,Hyderabad,"11-4-721, Niloufer Hospital Road, Red Hills, Lakdikapul, Hyderabad, Telangana 500004",PENDING_VERIFICATION,+91-40-23396552 / +91-40-23301423,nilouferhospital@gmail.com,1200,Osmania Medical College,Teaching,"Burns Management, Cardiology, Interventional Neuroradiology, Obstetrics & Gynaecology, Paediatrics, Maternity, Anaesthesiology, Blood Bank, Child Psychiatry, Microbiology, Pathology, Paediatric & Neonatal ICU, Plastic & Reconstructive Surgery, Polytrauma, Surgical Oncology, Urology",Emergency and inpatient care available at all times; walk-in system for most OPD services,PENDING_VERIFICATION,Yes,Mappls; multiple hospital directories; Wikipedia,https://en.wikipedia.org/wiki/Niloufer_Hospital,2026-07-22,87,VST-NEEDS_REVIEW,"Major referral center for neonatal, paediatric and maternity care for Telangana region; teaching hospital linked to Osmania Medical College network. [RC2] Contact number corroborated across multiple aggregators (Medindia, hospitals-info.in, Bajaj Finserv Health). A domain 'nilouferhospital.in' and a second email 'info@nilouferhospital.com' surfaced only in an AI-summarized snippet, not independently cross-checked, so official_website left PENDING_VERIFICATION."
c7e2704d-9b91-4fc8-9954-316fd8261785,"MGM Hospital, Warangal",Teaching Hospital,State Government,"Directorate of Medical Education, Telangana",Warangal,Telangana,Warangal,"Sherpura, MG Road, Warangal, Telangana 506002",kmcwgl.com (Kakatiya Medical College site),08702446889,PENDING_VERIFICATION,1450,Kakatiya Medical College,Teaching,"Cardiology, Neurology, Oncology, General Medicine, General Surgery (multi-specialty teaching hospital; full department list not itemized in sources checked)",24x7 emergency and inpatient services; ~1800 daily outpatients; flexible insurance/Empanelled TPA arrangements referenced,PENDING_VERIFICATION,PENDING_VERIFICATION,kmcwgl.com; Mappls; thewarangal.com (via WebSearch snippets),https://www.kmcwgl.com/mgmh.html,2026-07-22,87,VST-NEEDS_REVIEW,"Kakatiya Medical College founded 1959; MGM is one of largest hospitals in Telangana with ~1800 daily OP. [RC2] Source explicitly mentions 'Empanelled TPA' insurance arrangements but does not name Aarogyasri/PM-JAY specifically for this hospital, so scheme field left PENDING_VERIFICATION per strict-verification rule."
0c2112c0-aad6-411b-8dfe-d2c0e9c058b5,"Government General Hospital, Nizamabad",Teaching Hospital,State Government,"Directorate of Medical Education, Telangana",Nizamabad,Telangana,Nizamabad,"Beside Bus Stand, Khaleelwadi, Nizamabad, Telangana 503001",gmcnzb.org,08462-223311,ghnzb@gmail.com,500,"Government Medical College, Nizamabad",Teaching,PENDING_VERIFICATION,"20-bed Emergency ward/Casualty (adult medical & surgical), 20-bed Medical ICU, 6-bed Surgical ICU, dedicated round-the-clock emergency operation theatre",PENDING_VERIFICATION,Yes,"Wikipedia (Government General Hospital, Nizamabad); gmcnzb.org","https://en.wikipedia.org/wiki/Government_General_Hospital,_Nizamabad ; https://www.gmcnzb.org/",2026-07-22,88,VST-NEEDS_REVIEW,"New hospital building completed 2012; medical college academic year started 2013. Affiliated with Dr. KNR University of Health Sciences. [RC2] Address, contact number, email, bed capacity (500), and detailed emergency-ward breakdown found via gmcnzb.org official citizen-charter PDF and nizamabad.telangana.gov.in — resolves prior PENDING fields with reasonable corroboration."
b2253a3b-de25-4980-a89c-6a240a817d8d,"Government General Hospital, Suryapet",Teaching Hospital,State Government,"Directorate of Medical Education, Telangana",Suryapet,Telangana,Suryapet,"Thallagadda, Suryapet, Telangana 508213",PENDING_VERIFICATION,PENDING_VERIFICATION,PENDING_VERIFICATION,600 (planned/under-construction new teaching hospital per NMC norms; existing facility functioning),"Government Medical College, Suryapet",Teaching,PENDING_VERIFICATION,"Casualty/Emergency, Modern Labor Room with Maternal ICU, ICU, Surgical ICU, Paediatric ICU, NICU/SNCU, Trauma Care Centre, Dialysis Unit",Rajiv Aarogyasri (state scheme; suryapet.telangana.gov.in/arogya-sri/ page confirms enhanced cover up to Rs 10 lakh at this facility); Ayushman Bharat PM-JAY (empanelled per Drlogy PM-JAY hospital directory),Yes,suryapet.telangana.gov.in (via WebSearch snippet),https://suryapet.telangana.gov.in/government-general-hospital/,2026-07-22,88,VST-NEEDS_REVIEW,"GMC Suryapet established 2019. New 600-bed teaching hospital construction reported ongoing; existing hospital provides emergency, labor room/NICU, trauma, dialysis services. [RC2] CONFLICT: a secondary source (drlogy.com) states the hospital was 'upgraded to a 400 bedded Government General Hospital,' which differs from this row's existing '600 (planned/under-construction)' figure sourced from the official suryapet.telangana.gov.in page. Both are plausible (400 operational vs 600 planned/under construction); original official-domain figure retained, conflict disclosed here per instructions."
c4549d04-a437-4f6d-b445-410e0e5ab496,"Government General Hospital, Kothagudem (Palvancha)",Teaching Hospital,State Government,"Directorate of Medical Education, Telangana",Bhadradri Kothagudem,Telangana,Palvancha,"Besides Sammakka Saarakka temple, opp. KSM Petrol bunk, near 6th Battalion Rd, Palwancha, Telangana 507118",gmckothagudem.org,PENDING_VERIFICATION,gmc.bhadradrkothagudem@gmail.com,350,"Government Medical College, Bhadradri Kothagudem",Teaching,PENDING_VERIFICATION,PENDING_VERIFICATION,PENDING_VERIFICATION,PENDING_VERIFICATION,gmckothagudem.org (via WebSearch snippet); collnod.com,https://gmckothagudem.org/about-us/,2026-07-22,85,VST-NEEDS_REVIEW,"Converted from District Hospital to Government General Hospital (350 beds) in 2021, in two blocks ~2km apart. [RC2] Official contact email confirmed via gmckothagudem.org (About Us / Contact Us pages surfaced directly in search)."
c26b0075-ec01-4655-8d5c-21b7d6af3083,"Government General Hospital, Mancherial",Teaching Hospital,State Government,"Directorate of Medical Education, Telangana",Mancherial,Telangana,Mancherial,"708, Garmilla village, Mancherial tehsil, Mancherial 504208",gmcmancherial.org,PENDING_VERIFICATION,PENDING_VERIFICATION,350+,"Government Medical College, Mancherial",Teaching,"General Medicine, General Surgery, Obstetrics & Gynaecology, Paediatrics, Orthopaedics, Dermatology, Psychiatry, Radiodiagnosis, ENT, Ophthalmology, Anaesthesiology, Pathology, Microbiology, Biochemistry, Forensic Medicine",24-hour Accident & Emergency department; outpatient block with all broad specialties; pharmacy,PENDING_VERIFICATION,PENDING_VERIFICATION,gmcmancherial.org; Grokipedia (via WebSearch snippet),http://www.gmcmancherial.org/about-us/,2026-07-22,86,VST-NEEDS_REVIEW,"Sole government hospital in Mancherial town; serves surrounding Adilabad district areas and neighboring Maharashtra border towns. [RC2] Department list sourced directly from gmcmancherial.org 'About Us' page. CONFLICT: an alternate address surfaced ('19, Mancherial-Chandrapur-Nagpur Road, Iqbal Ahmed Nagar, Mancherial-504208') differing from this row's existing address ('708, Garmilla village, Mancherial tehsil'); not resolved, both may refer to the same campus described differently across sources. Original address retained."
695fef1c-bb67-4334-b2c3-442872b61fa4,"Rajiv Gandhi Institute of Medical Sciences (RIMS), Adilabad",Teaching Hospital,State Government,"Directorate of Medical Education, Telangana",Adilabad,Telangana,Adilabad,"NH 7, Rickshaw Colony, Adilabad, Telangana 504001",rimsadilabad.org,PENDING_VERIFICATION,rimsadilabad@yahoo.com / directorrimsadilabad@yahoo.com,721,"Rajiv Gandhi Institute of Medical Sciences, Adilabad (Government Medical College)",Teaching,"General Medicine, General Surgery, Obstetrics & Gynaecology, Paediatrics, Orthopedics, Skin & STD, TB & Chest Diseases, Anaesthesia, ENT, Ophthalmology, Dentistry","Casualty, Medical ICU, Surgical ICU, Respiratory ICU, Paediatric ICU, NICU; 24x7 emergency","Ayushman Bharat PM-JAY (empanelled, per drlogy.com PM-JAY hospital directory)",Yes,adilabad.telangana.gov.in; Wikipedia; rimsadilabad.org (via WebSearch snippet),"https://en.wikipedia.org/wiki/Rajiv_Gandhi_Institute_of_Medical_Sciences,_Adilabad",2026-07-22,88,VST-NEEDS_REVIEW,Established 2008 (one of the earlier new-generation govt medical colleges in TG). Affiliated to KNR University of Health Sciences. 24x7 casualty/emergency confirmed. [RC2] Official contact emails found via rimsadilabad.org/contact/.
e4f8f21c-d143-4f78-9443-0083695a28ce,"Government General Hospital, Mahabubnagar",Teaching Hospital,State Government,"Directorate of Medical Education, Telangana",Mahabubnagar,Telangana,Mahabubnagar,"PR Colony, Mahbubnagar, Telangana 509001",PENDING_VERIFICATION,PENDING_VERIFICATION,PENDING_VERIFICATION,300 (one source cites 469),"Government Medical College, Mahabubnagar",Teaching,PENDING_VERIFICATION,PENDING_VERIFICATION,PENDING_VERIFICATION,Yes,"Multiple college-listing aggregator sites (tabindia.org, careermarg.com, moksh16.com) via WebSearch snippets","https://en.wikipedia.org/wiki/Government_Medical_College,_Mahbubnagar",2026-07-22,85,VST-NEEDS_REVIEW,"Bed count conflicting (300 vs 469) across secondary sources; no primary govt source directly verified. [RC2] Address found via mahabubnagar.telangana.gov.in / justdial listings, resolving prior PENDING field. Aarogyasri is described only as the state's general flagship scheme in district-level sources, not as an explicit per-hospital empanelment confirmation, so scheme field is left PENDING_VERIFICATION per strict-verification rule."
