document_id,document_name,document_type,issuing_authority,typical_use,is_digital_available,digilocker_available,data_source,source_url,collection_date,confidence_score,verification_status,notes
doc-001,Aadhaar,Identity,Unique Identification Authority of India (UIDAI),Identity and DBT authentication in nearly every scheme,Yes,Yes,UIDAI,https://uidai.gov.in/,2026-07-25,78,VST-NEEDS_REVIEW,Effectively universal; DBT seeding requires bank-Aadhaar linkage
doc-002,PAN,Identity/Tax,Income Tax Department,Tax identity; exclusion screening; enterprise loan applications,Yes,Yes,Income Tax Department,https://www.incometax.gov.in/,2026-07-25,76,VST-NEEDS_REVIEW,Used to apply income-tax-payer exclusion in several schemes
doc-003,Income Certificate,Eligibility,State revenue authority (Tahsildar / MRO),Income-ceiling verification for scholarships and welfare schemes,Yes,Partial,State revenue departments; MeeSeva,https://ts.meeseva.telangana.gov.in/,2026-07-25,72,VST-NEEDS_REVIEW,Validity period and issuing rank differ by state
doc-004,Caste Certificate,Eligibility,State revenue authority,"SC, ST, OBC, BC and EBC category verification",Yes,Partial,State revenue departments; MeeSeva,https://ts.meeseva.telangana.gov.in/,2026-07-25,73,VST-NEEDS_REVIEW,Central OBC and state BC lists are not identical
doc-005,Bonafide / Study Certificate,Education,Head of the educational institution,Confirms current enrolment for scholarship claims,Partial,No,National Scholarship Portal guidance,https://scholarships.gov.in/,2026-07-25,70,VST-NEEDS_REVIEW,Institution-issued; format is not standardised nationally
doc-006,Land Records (Pattadar Passbook / RoR),Asset,State revenue department,Land-holding proof for agriculture schemes,Yes,Partial,"State land records portals (Dharani, Webland)",https://dharani.telangana.gov.in/,2026-07-25,72,VST-NEEDS_REVIEW,Digitisation state varies; tenant farmers often lack documentation
doc-007,Bank Passbook / Account Proof,Financial,Scheduled bank or post office,DBT credit destination and account verification,Yes,No,Department of Financial Services,https://financialservices.gov.in/,2026-07-25,75,VST-NEEDS_REVIEW,Account must be Aadhaar-seeded for most DBT schemes
doc-008,GST Registration Certificate,Business,Goods and Services Tax Network,Business identity for enterprise credit and subsidy claims,Yes,Yes,GSTN,https://www.gst.gov.in/,2026-07-25,74,VST-NEEDS_REVIEW,Required only above the turnover threshold for most schemes
doc-009,Udyam Registration Certificate,Business,Ministry of MSME,MSME classification proof for MSME schemes and credit guarantee,Yes,Yes,"Ministry of Micro, Small and Medium Enterprises",https://udyamregistration.gov.in/,2026-07-25,76,VST-NEEDS_REVIEW,"Replaced Udyog Aadhaar; self-declaration based, PAN and GST linked"
doc-010,Educational Certificates / Marksheets,Education,"Board, university or examining body","Qualification proof for scholarships, skilling and loan schemes",Partial,Yes,National Academic Depository; DigiLocker,https://www.digilocker.gov.in/,2026-07-25,72,VST-NEEDS_REVIEW,DigiLocker availability depends on board or university onboarding
doc-011,Domicile / Residence Certificate,Eligibility,State revenue authority,State-scheme eligibility and district-specific benefit claims,Yes,Partial,State revenue departments,https://ts.meeseva.telangana.gov.in/,2026-07-25,70,VST-NEEDS_REVIEW,Residence-duration requirement differs by state
doc-012,Ration Card,Eligibility,State civil supplies department,Household composition and NFSA entitlement proof,Yes,Partial,Department of Food and Public Distribution,https://dfpd.gov.in/,2026-07-25,72,VST-NEEDS_REVIEW,Also used as a household-unit proxy in several welfare schemes
doc-013,Disability Certificate / UDID,Eligibility,Notified medical authority,Benchmark-disability proof for PwD schemes and relaxations,Yes,Yes,Department of Empowerment of Persons with Disabilities,https://www.swavlambancard.gov.in/,2026-07-25,72,VST-NEEDS_REVIEW,UDID is the standardised national instrument
doc-014,Job Card,Eligibility,Gram Panchayat,MGNREGA work-demand and wage-payment record,Yes,No,Ministry of Rural Development,https://nrega.nic.in/,2026-07-25,73,VST-NEEDS_REVIEW,"Household-level document, issued per household not per worker"
doc-015,Project Report / DPR,Business,Applicant (often with DIC or bank support),Enterprise viability assessment for credit-linked subsidy schemes,No,No,Office of Development Commissioner (MSME),https://msme.gov.in/,2026-07-25,68,VST-NEEDS_REVIEW,Quality of the report materially affects sanction outcomes
