global_entity_id,entity_type,canonical_name,source_package,package_local_id,status,lifecycle_state,created_at,updated_at,confidence_score,verification_status
vw:businessopportunity:agricultural-seed-cleaning-grading-and-processing-unit,BusinessOpportunity,"Agricultural Seed Cleaning, Grading & Processing Unit",Package004_Industries,80ee6c10-ca4f-4c74-8e29-4068c476b3f7,PUBLISHED,PUBLISHED,2026-07-25,2026-07-25,56,VST-NEEDS_REVIEW
vw:businessopportunity:aluminium-fabrication,BusinessOpportunity,Aluminium Fabrication,Package004_Industries,f786fdea-5a59-4c5d-a22f-048cac45ab51,PUBLISHED,PUBLISHED,2026-07-25,2026-07-25,66,VST-NEEDS_REVIEW
vw:businessopportunity:andhra-style-pickle-avakaya-mixed-making-unit,BusinessOpportunity,Andhra-Style Pickle (Avakaya/Mixed) Making Unit,Package004_Industries,75948a86-563f-424d-9fc8-5397d359a42f,PUBLISHED,PUBLISHED,2026-07-25,2026-07-25,60,VST-NEEDS_REVIEW
vw:businessopportunity:borewell-drilling-services,BusinessOpportunity,Borewell Drilling Services,Package004_Industries,0d0899a4-bf4a-4f4b-a099-9ca1d94abfd7,PUBLISHED,PUBLISHED,2026-07-25,2026-07-25,70,VST-NEEDS_REVIEW
vw:businessopportunity:bridal-wear-and-traditional-telugu-dress-rental,BusinessOpportunity,Bridal Wear & Traditional Telugu Dress Rental,Package004_Industries,f5e9e95b-143f-4f40-b2fd-5c552fd5f3ec,PUBLISHED,PUBLISHED,2026-07-25,2026-07-25,76,VST-NEEDS_REVIEW
vw:businessopportunity:carpentry,BusinessOpportunity,Carpentry,Package004_Industries,56074354-4510-49b1-9b42-0e9d35af37e6,PUBLISHED,PUBLISHED,2026-07-25,2026-07-25,85,VST-NEEDS_REVIEW
vw:businessopportunity:chilli-processing-grading-and-powder-making-unit,BusinessOpportunity,"Chilli Processing, Grading & Powder-Making Unit",Package004_Industries,d5040e06-e388-4614-965b-0db927afb97d,PUBLISHED,PUBLISHED,2026-07-25,2026-07-25,66,VST-NEEDS_REVIEW
vw:businessopportunity:cloud-services-consulting,BusinessOpportunity,Cloud Services Consulting,Package004_Industries,DTL009,PUBLISHED,PUBLISHED,2026-07-25,2026-07-25,79,VST-NEEDS_REVIEW
vw:businessopportunity:cold-pressed-coconut-oil-unit,BusinessOpportunity,Cold-Pressed Coconut Oil Unit,Package004_Industries,af9fe48b-21b8-49ec-a5c7-d86dd6f499d6,PUBLISHED,PUBLISHED,2026-07-25,2026-07-25,58,VST-NEEDS_REVIEW
vw:businessopportunity:cold-pressed-groundnut-sesame-oil-kachi-ghani-unit,BusinessOpportunity,Cold-Pressed Groundnut/Sesame Oil (Kachi Ghani) Unit,Package004_Industries,5655ea20-8695-4016-9fa6-1bce946c65be,PUBLISHED,PUBLISHED,2026-07-25,2026-07-25,80,VST-NEEDS_REVIEW
vw:businessopportunity:common-service-centres-csc-one-district-one-product-odop-rural-digital-commerce-,BusinessOpportunity,Common Service Centres (CSC) + One District One Product (ODOP) Rural Digital Commerce Hubs,Package004_Industries,3ffa08ad-30ed-460a-85d2-c199d15bc511,PUBLISHED,PUBLISHED,2026-07-25,2026-07-25,67,VST-NEEDS_REVIEW
vw:businessopportunity:cybersecurity-consulting,BusinessOpportunity,Cybersecurity Consulting,Package004_Industries,DTL010,PUBLISHED,PUBLISHED,2026-07-25,2026-07-25,78,VST-NEEDS_REVIEW
vw:businessopportunity:data-analytics-services,BusinessOpportunity,Data Analytics Services,Package004_Industries,DTL011,PUBLISHED,PUBLISHED,2026-07-25,2026-07-25,80,VST-NEEDS_REVIEW
vw:businessopportunity:digital-marketing-agency,BusinessOpportunity,Digital Marketing Agency,Package004_Industries,DTL006,PUBLISHED,PUBLISHED,2026-07-25,2026-07-25,73,VST-NEEDS_REVIEW
vw:businessopportunity:electrical-contracting-licensed-supervisor-contractor,BusinessOpportunity,Electrical Contracting (Licensed Supervisor/Contractor),Package004_Industries,105647eb-2df0-42a7-980b-4bd9639d262d,PUBLISHED,PUBLISHED,2026-07-25,2026-07-25,79,VST-NEEDS_REVIEW
vw:businessopportunity:electrical-services-domestic-wiring-and-wireman-work,BusinessOpportunity,Electrical Services (Domestic Wiring & Wireman Work),Package004_Industries,f85afee5-671d-4628-8c6b-d64aad7ab166,PUBLISHED,PUBLISHED,2026-07-25,2026-07-25,82,VST-NEEDS_REVIEW
vw:businessopportunity:fpo-level-primary-millet-processing-unit,BusinessOpportunity,FPO-Level Primary Millet Processing Unit,Package004_Industries,6d9daceb-b051-4770-8fb1-ecbbcfd70602,PUBLISHED,PUBLISHED,2026-07-25,2026-07-25,56,VST-NEEDS_REVIEW
vw:businessopportunity:farmer-producer-organisations-fpos-enam-ondc-whatsapp-farmer-groups,BusinessOpportunity,Farmer Producer Organisations (FPOs) + eNAM + ONDC + WhatsApp Farmer Groups,Package004_Industries,7f96f2b0-a0d7-4a4e-9682-53c91488e3ad,PUBLISHED,PUBLISHED,2026-07-25,2026-07-25,81,VST-NEEDS_REVIEW
vw:businessopportunity:freelance-software-it-services-consultant,BusinessOpportunity,Freelance Software/IT Services Consultant,Package004_Industries,DTL001,PUBLISHED,PUBLISHED,2026-07-25,2026-07-25,82,VST-NEEDS_REVIEW
vw:businessopportunity:freelance-web-development,BusinessOpportunity,Freelance Web Development,Package004_Industries,DTL003,PUBLISHED,PUBLISHED,2026-07-25,2026-07-25,79,VST-NEEDS_REVIEW
vw:businessopportunity:general-telangana-style-pickle-making-unit,BusinessOpportunity,General/Telangana-Style Pickle Making Unit,Package004_Industries,cfa4dd2a-5280-453b-9517-dab3c610d04b,PUBLISHED,PUBLISHED,2026-07-25,2026-07-25,56,VST-NEEDS_REVIEW
