category_id,category_name,category_group,description,nsqf_alignment_note,data_source,source_url,collection_date,confidence_score,verification_status,notes
4b7888ff-e90b-4e1c-9184-51126e759a61,Digital Skills,Technology,"Software development, IT services, digital marketing, and general computer-literacy skills applicable across sectors.","ValueWeave-defined category grouping for organizing skills.csv records; not a verbatim official NCVET/NSQF enumerated category list (NCVET does not publish one single flat list matching this grouping) but aligned in spirit with NCVET's National Skills Qualification Framework (NSQF), which assigns levels 1-8 (with intermediate half-levels 2.5/3.5/4.5/5.5/6.5) to qualifications regardless of sector -- see https://ncvet.gov.in/national-skills-qualification-framework/",NCVET National Skills Qualification Framework (NSQF) overview; ValueWeave editorial grouping,https://ncvet.gov.in/national-skills-qualification-framework/; https://ncvet.gov.in/national-skills-qualification-framework/nsqf-notification/,2026-07-24,65,VST-NEEDS_REVIEW,"[category_group/description]: this is a ValueWeave editorial taxonomy for organizing skills.csv, not a verbatim official NCVET category enumeration; NSQF level applicability is per-skill (see skills.csv.nsqf_level), not per-category."
bfaea135-8446-41be-a7cc-4776040ed89e,AI & Data,Technology,"Skills in artificial intelligence tooling, data analysis, and machine-learning-adjacent capabilities increasingly demanded across IT and non-IT sectors alike.","ValueWeave-defined category grouping for organizing skills.csv records; not a verbatim official NCVET/NSQF enumerated category list (NCVET does not publish one single flat list matching this grouping) but aligned in spirit with NCVET's National Skills Qualification Framework (NSQF), which assigns levels 1-8 (with intermediate half-levels 2.5/3.5/4.5/5.5/6.5) to qualifications regardless of sector -- see https://ncvet.gov.in/national-skills-qualification-framework/",NCVET National Skills Qualification Framework (NSQF) overview; ValueWeave editorial grouping,https://ncvet.gov.in/national-skills-qualification-framework/; https://ncvet.gov.in/national-skills-qualification-framework/nsqf-notification/,2026-07-24,65,VST-NEEDS_REVIEW,"[category_group/description]: this is a ValueWeave editorial taxonomy for organizing skills.csv, not a verbatim official NCVET category enumeration; NSQF level applicability is per-skill (see skills.csv.nsqf_level), not per-category."
7a74e250-14a3-491d-ab7c-b718c4ceae91,Mechanical,Engineering & Manufacturing,"Fabrication, machining, welding, HVAC, and additive-manufacturing skills central to India's manufacturing and MSME base.","ValueWeave-defined category grouping for organizing skills.csv records; not a verbatim official NCVET/NSQF enumerated category list (NCVET does not publish one single flat list matching this grouping) but aligned in spirit with NCVET's National Skills Qualification Framework (NSQF), which assigns levels 1-8 (with intermediate half-levels 2.5/3.5/4.5/5.5/6.5) to qualifications regardless of sector -- see https://ncvet.gov.in/national-skills-qualification-framework/",NCVET National Skills Qualification Framework (NSQF) overview; ValueWeave editorial grouping,https://ncvet.gov.in/national-skills-qualification-framework/; https://ncvet.gov.in/national-skills-qualification-framework/nsqf-notification/,2026-07-24,65,VST-NEEDS_REVIEW,"[category_group/description]: this is a ValueWeave editorial taxonomy for organizing skills.csv, not a verbatim official NCVET category enumeration; NSQF level applicability is per-skill (see skills.csv.nsqf_level), not per-category."
0fcae90c-07fb-4a98-9930-0db0a420a298,Electrical,Engineering & Manufacturing,"Wiring, installation, and maintenance skills for electrical systems in residential, commercial, and industrial settings.","ValueWeave-defined category grouping for organizing skills.csv records; not a verbatim official NCVET/NSQF enumerated category list (NCVET does not publish one single flat list matching this grouping) but aligned in spirit with NCVET's National Skills Qualification Framework (NSQF), which assigns levels 1-8 (with intermediate half-levels 2.5/3.5/4.5/5.5/6.5) to qualifications regardless of sector -- see https://ncvet.gov.in/national-skills-qualification-framework/",NCVET National Skills Qualification Framework (NSQF) overview; ValueWeave editorial grouping,https://ncvet.gov.in/national-skills-qualification-framework/; https://ncvet.gov.in/national-skills-qualification-framework/nsqf-notification/,2026-07-24,65,VST-NEEDS_REVIEW,"[category_group/description]: this is a ValueWeave editorial taxonomy for organizing skills.csv, not a verbatim official NCVET category enumeration; NSQF level applicability is per-skill (see skills.csv.nsqf_level), not per-category."
738fc50d-97d4-46c4-ad13-0a26e8ffffcf,Electronics,Engineering & Manufacturing,"Design, assembly, and maintenance of embedded and electronic hardware systems.","ValueWeave-defined category grouping for organizing skills.csv records; not a verbatim official NCVET/NSQF enumerated category list (NCVET does not publish one single flat list matching this grouping) but aligned in spirit with NCVET's National Skills Qualification Framework (NSQF), which assigns levels 1-8 (with intermediate half-levels 2.5/3.5/4.5/5.5/6.5) to qualifications regardless of sector -- see https://ncvet.gov.in/national-skills-qualification-framework/",NCVET National Skills Qualification Framework (NSQF) overview; ValueWeave editorial grouping,https://ncvet.gov.in/national-skills-qualification-framework/; https://ncvet.gov.in/national-skills-qualification-framework/nsqf-notification/,2026-07-24,65,VST-NEEDS_REVIEW,"[category_group/description]: this is a ValueWeave editorial taxonomy for organizing skills.csv, not a verbatim official NCVET category enumeration; NSQF level applicability is per-skill (see skills.csv.nsqf_level), not per-category."
dd740880-0fea-43b0-b64c-34c969b9d5e2,Construction & Civil,Engineering & Manufacturing,"Site-level building trades (masonry, plumbing) and civil construction skills.","ValueWeave-defined category grouping for organizing skills.csv records; not a verbatim official NCVET/NSQF enumerated category list (NCVET does not publish one single flat list matching this grouping) but aligned in spirit with NCVET's National Skills Qualification Framework (NSQF), which assigns levels 1-8 (with intermediate half-levels 2.5/3.5/4.5/5.5/6.5) to qualifications regardless of sector -- see https://ncvet.gov.in/national-skills-qualification-framework/",NCVET National Skills Qualification Framework (NSQF) overview; ValueWeave editorial grouping,https://ncvet.gov.in/national-skills-qualification-framework/; https://ncvet.gov.in/national-skills-qualification-framework/nsqf-notification/,2026-07-24,65,VST-NEEDS_REVIEW,"[category_group/description]: this is a ValueWeave editorial taxonomy for organizing skills.csv, not a verbatim official NCVET category enumeration; NSQF level applicability is per-skill (see skills.csv.nsqf_level), not per-category."
a7592f45-504f-4040-892b-3efe78f7628b,Agriculture,Primary Sector,"Cultivation, allied farming, and agri-technology skills spanning traditional and emerging practices.","ValueWeave-defined category grouping for organizing skills.csv records; not a verbatim official NCVET/NSQF enumerated category list (NCVET does not publish one single flat list matching this grouping) but aligned in spirit with NCVET's National Skills Qualification Framework (NSQF), which assigns levels 1-8 (with intermediate half-levels 2.5/3.5/4.5/5.5/6.5) to qualifications regardless of sector -- see https://ncvet.gov.in/national-skills-qualification-framework/",NCVET National Skills Qualification Framework (NSQF) overview; ValueWeave editorial grouping,https://ncvet.gov.in/national-skills-qualification-framework/; https://ncvet.gov.in/national-skills-qualification-framework/nsqf-notification/,2026-07-24,65,VST-NEEDS_REVIEW,"[category_group/description]: this is a ValueWeave editorial taxonomy for organizing skills.csv, not a verbatim official NCVET category enumeration; NSQF level applicability is per-skill (see skills.csv.nsqf_level), not per-category."
20d2ce4f-d534-4a81-80ed-1e965b7c2b98,Food Processing,Manufacturing,"Processing, preservation, and value-addition skills for agricultural produce.","ValueWeave-defined category grouping for organizing skills.csv records; not a verbatim official NCVET/NSQF enumerated category list (NCVET does not publish one single flat list matching this grouping) but aligned in spirit with NCVET's National Skills Qualification Framework (NSQF), which assigns levels 1-8 (with intermediate half-levels 2.5/3.5/4.5/5.5/6.5) to qualifications regardless of sector -- see https://ncvet.gov.in/national-skills-qualification-framework/",NCVET National Skills Qualification Framework (NSQF) overview; ValueWeave editorial grouping,https://ncvet.gov.in/national-skills-qualification-framework/; https://ncvet.gov.in/national-skills-qualification-framework/nsqf-notification/,2026-07-24,65,VST-NEEDS_REVIEW,"[category_group/description]: this is a ValueWeave editorial taxonomy for organizing skills.csv, not a verbatim official NCVET category enumeration; NSQF level applicability is per-skill (see skills.csv.nsqf_level), not per-category."
cb25e808-2613-43e2-a12d-1ed4bbaf9b66,Automobile & EV,Engineering & Manufacturing,"Servicing and maintenance skills for internal-combustion and electric vehicles, including battery systems.","ValueWeave-defined category grouping for organizing skills.csv records; not a verbatim official NCVET/NSQF enumerated category list (NCVET does not publish one single flat list matching this grouping) but aligned in spirit with NCVET's National Skills Qualification Framework (NSQF), which assigns levels 1-8 (with intermediate half-levels 2.5/3.5/4.5/5.5/6.5) to qualifications regardless of sector -- see https://ncvet.gov.in/national-skills-qualification-framework/",NCVET National Skills Qualification Framework (NSQF) overview; ValueWeave editorial grouping,https://ncvet.gov.in/national-skills-qualification-framework/; https://ncvet.gov.in/national-skills-qualification-framework/nsqf-notification/,2026-07-24,65,VST-NEEDS_REVIEW,"[category_group/description]: this is a ValueWeave editorial taxonomy for organizing skills.csv, not a verbatim official NCVET category enumeration; NSQF level applicability is per-skill (see skills.csv.nsqf_level), not per-category."
7fbbca7b-181e-49aa-978b-f2ceb2e2be4a,Green & Renewable Energy,Engineering & Manufacturing,"Installation and maintenance of solar, wind, and hybrid renewable-energy systems.","ValueWeave-defined category grouping for organizing skills.csv records; not a verbatim official NCVET/NSQF enumerated category list (NCVET does not publish one single flat list matching this grouping) but aligned in spirit with NCVET's National Skills Qualification Framework (NSQF), which assigns levels 1-8 (with intermediate half-levels 2.5/3.5/4.5/5.5/6.5) to qualifications regardless of sector -- see https://ncvet.gov.in/national-skills-qualification-framework/",NCVET National Skills Qualification Framework (NSQF) overview; ValueWeave editorial grouping,https://ncvet.gov.in/national-skills-qualification-framework/; https://ncvet.gov.in/national-skills-qualification-framework/nsqf-notification/,2026-07-24,65,VST-NEEDS_REVIEW,"[category_group/description]: this is a ValueWeave editorial taxonomy for organizing skills.csv, not a verbatim official NCVET category enumeration; NSQF level applicability is per-skill (see skills.csv.nsqf_level), not per-category."
