technology_id,technology_name,technology_type,application,crop_suitability,current_adoption_india,ai_readiness_level,approximate_cost_inr,roi_potential,primary_constraint,data_source,source_url,collection_date,confidence_score,verification_status,notes
apa-001,Satellite Crop Monitoring,Remote Sensing,"Acreage estimation, vegetation index (NDVI) based stress detection, yield mapping",All field crops,Medium,Very High,PENDING_VERIFICATION,High,Cloud cover during monsoon; field-level resolution limits,ISRO/NRSC Bhuvan; ICAR,https://bhuvan.nrsc.gov.in/,2026-07-24,64,VST-NEEDS_REVIEW,Public Bhuvan and FASAL programme data available at no cost
apa-002,IoT Soil and Weather Sensing,Sensor Network,"Continuous soil moisture, soil temperature and micro-climate telemetry",Irrigated horticulture and plantation crops,Low,High,PENDING_VERIFICATION,Medium,Rural connectivity; sensor calibration drift; maintenance,ICAR; India Meteorological Department,https://icar.org.in/,2026-07-24,62,VST-NEEDS_REVIEW,Value depends on advisory layer built on top of raw telemetry
apa-003,Drone-Based Spraying,Aerial Application,Precision application of pesticide and nutrient solutions,"Rice, cotton, sugarcane, maize",Low,Very High,PENDING_VERIFICATION,High,DGCA licensing; trained operator availability; battery endurance,Ministry of Agriculture (Kisan Drone); DGCA,https://agricoop.gov.in/,2026-07-24,63,VST-NEEDS_REVIEW,"Typically delivered as a service by custom-hiring centres, not farmer-owned"
apa-004,Yield Prediction Models,Predictive Analytics,"Pre-harvest yield forecasting from weather, soil and management data",All field crops,Low,Very High,PENDING_VERIFICATION,Medium,Ground-truth data scarcity; model transferability across agro-zones,ICAR; state agricultural universities,https://icar.org.in/,2026-07-24,58,VST-NEEDS_REVIEW,"Mainly used at institutional level for procurement and insurance, not by individual farmers"
apa-005,Disease and Pest Detection,Computer Vision,Image-based identification of disease and pest incidence from leaf or canopy photos,"Rice, wheat, tomato, cotton, chilli",Low,Very High,PENDING_VERIFICATION,High,Training-data coverage for Indian cultivars; early-stage symptom accuracy,ICAR; Kisan Call Centre advisory programmes,https://icar.org.in/,2026-07-24,58,VST-NEEDS_REVIEW,Smartphone-app delivery is the realistic channel for smallholders
apa-006,Computer Vision Grading and Sorting,Computer Vision,"Automated grading of produce by size, colour and defect at pack-house","Fruits, vegetables, spices, pulses",Low,High,PENDING_VERIFICATION,High,Capital cost relative to pack-house throughput,MoFPI; APEDA pack-house standards,https://mofpi.gov.in/,2026-07-24,57,VST-NEEDS_REVIEW,Most economic at FPO or pack-house scale rather than individual farm
apa-007,AI-Enhanced Weather Forecasting,Weather Prediction,Block-level short-range forecasts and agro-advisory generation,All crops,Medium,High,PENDING_VERIFICATION,Medium,Downscaling accuracy to block level; last-mile advisory delivery,India Meteorological Department; Gramin Krishi Mausam Sewa,https://mausam.imd.gov.in/,2026-07-24,66,VST-NEEDS_REVIEW,IMD agro-advisory bulletins are already publicly distributed
apa-008,Farm Robotics (Weeding and Harvest),Autonomous Systems,Autonomous mechanical weeding and selective harvesting,"Vegetables, horticulture, plantation crops",Very Low,Very High,PENDING_VERIFICATION,Medium,Capital cost; small and irregular field geometry; service network,ICAR; IIT research programmes,https://icar.org.in/,2026-07-24,52,VST-NEEDS_REVIEW,Research and pilot stage in India; not commercially deployed at scale
apa-009,Autonomous and Assisted Tractors,Autonomous Systems,"GPS-guided operation, auto-steer and implement control",Large-holding field crops,Very Low,Very High,PENDING_VERIFICATION,Medium,Average holding size; capital cost; RTK correction coverage,ICAR-CIAE; OEM pilot programmes,https://icar.org.in/,2026-07-24,52,VST-NEEDS_REVIEW,Economics depend on holding size; limited fit to fragmented holdings
apa-010,Digital Twin Farm Simulation,Simulation,"Virtual farm replica for scenario planning, advisory and training",All crops (research stage),Very Low,Very High,PENDING_VERIFICATION,Low,Data integration burden; validation against field outcomes,ICAR; academic research programmes,https://icar.org.in/,2026-07-24,50,VST-NEEDS_REVIEW,Concept-validation stage; no production deployment identified in India
