mapping_id,crop_id,crop_name,climate_zone_id,climate_zone_name,season,yield_potential,risk_level,primary_climatic_risk,data_source,source_url,collection_date,confidence_score,verification_status,notes
ccm-001,crop-001,Rice,cz-001,Tropical,Kharif,Optimal,Low,Late-monsoon deficit at panicle initiation,ICAR; Ministry of Agriculture & Farmers Welfare,https://icar.org.in/,2026-07-24,77,VST-NEEDS_REVIEW,"Yield potential is a relative agro-climatic rating, not an absolute tonnage"
ccm-002,crop-001,Rice,cz-007,Wet,Kharif,Good,Medium,Submergence and flood damage,ICAR; Ministry of Agriculture & Farmers Welfare,https://icar.org.in/,2026-07-24,75,VST-NEEDS_REVIEW,"Yield potential is a relative agro-climatic rating, not an absolute tonnage"
ccm-003,crop-002,Wheat,cz-003,Temperate,Rabi,Optimal,Low,Terminal heat stress at grain filling,ICAR; Ministry of Agriculture & Farmers Welfare,https://icar.org.in/,2026-07-24,78,VST-NEEDS_REVIEW,"Yield potential is a relative agro-climatic rating, not an absolute tonnage"
ccm-004,crop-002,Wheat,cz-002,Sub-tropical,Rabi,Good,Medium,Early onset of summer temperatures,ICAR; Ministry of Agriculture & Farmers Welfare,https://icar.org.in/,2026-07-24,76,VST-NEEDS_REVIEW,"Yield potential is a relative agro-climatic rating, not an absolute tonnage"
ccm-005,crop-003,Maize,cz-002,Sub-tropical,Kharif,Optimal,Low,Dry spell at tasselling,ICAR; Ministry of Agriculture & Farmers Welfare,https://icar.org.in/,2026-07-24,76,VST-NEEDS_REVIEW,"Yield potential is a relative agro-climatic rating, not an absolute tonnage"
ccm-006,crop-003,Maize,cz-005,Semi-arid,Kharif,Good,Medium,Erratic rainfall distribution,ICAR; Ministry of Agriculture & Farmers Welfare,https://icar.org.in/,2026-07-24,74,VST-NEEDS_REVIEW,"Yield potential is a relative agro-climatic rating, not an absolute tonnage"
ccm-007,crop-004,Barley,cz-003,Temperate,Rabi,Optimal,Low,Unseasonal warm spells,ICAR; Ministry of Agriculture & Farmers Welfare,https://icar.org.in/,2026-07-24,73,VST-NEEDS_REVIEW,"Yield potential is a relative agro-climatic rating, not an absolute tonnage"
ccm-008,crop-004,Barley,cz-004,Arid,Rabi,Marginal,High,Moisture deficit through grain fill,ICAR; Ministry of Agriculture & Farmers Welfare,https://icar.org.in/,2026-07-24,70,VST-NEEDS_REVIEW,"Yield potential is a relative agro-climatic rating, not an absolute tonnage"
ccm-009,crop-005,Pearl Millet,cz-004,Arid,Kharif,Good,Medium,Extended intra-season dry spells,ICAR; Ministry of Agriculture & Farmers Welfare,https://icar.org.in/,2026-07-24,75,VST-NEEDS_REVIEW,"Yield potential is a relative agro-climatic rating, not an absolute tonnage"
ccm-010,crop-005,Pearl Millet,cz-005,Semi-arid,Kharif,Optimal,Low,Delayed monsoon onset,ICAR; Ministry of Agriculture & Farmers Welfare,https://icar.org.in/,2026-07-24,76,VST-NEEDS_REVIEW,"Yield potential is a relative agro-climatic rating, not an absolute tonnage"
ccm-011,crop-006,Sorghum,cz-005,Semi-arid,Kharif,Optimal,Low,Mid-season drought,ICAR; Ministry of Agriculture & Farmers Welfare,https://icar.org.in/,2026-07-24,76,VST-NEEDS_REVIEW,"Yield potential is a relative agro-climatic rating, not an absolute tonnage"
ccm-012,crop-006,Sorghum,cz-006,Dry,Rabi,Good,Medium,Residual-moisture exhaustion,ICAR; Ministry of Agriculture & Farmers Welfare,https://icar.org.in/,2026-07-24,74,VST-NEEDS_REVIEW,"Yield potential is a relative agro-climatic rating, not an absolute tonnage"
ccm-013,crop-007,Finger Millet,cz-005,Semi-arid,Kharif,Optimal,Low,Erratic rainfall at grain fill,ICAR; Ministry of Agriculture & Farmers Welfare,https://icar.org.in/,2026-07-24,74,VST-NEEDS_REVIEW,"Yield potential is a relative agro-climatic rating, not an absolute tonnage"
