finance_id,finance_source_name,source_type,institution_type,instrument,typical_use,collateral_requirement,linked_package007_scheme_short_name,official_website,data_source,source_url,collection_date,confidence_score,verification_status,notes
fin-001,Scheduled Commercial Banks,Institutional Lender,Public and private sector banks,Term loan; working capital; cash credit,"Plant, machinery and working capital across all MSME categories",Waivable up to a prescribed limit under CGTMSE,PMMY; PMEGP; Stand-Up India,PENDING_VERIFICATION,Reserve Bank of India; Department of Financial Services,https://www.rbi.org.in/,2026-07-25,75,VST-NEEDS_REVIEW,Priority sector lending targets make MSME credit a regulatory obligation
fin-002,Regional Rural Banks,Institutional Lender,Government-sponsored rural bank,Term loan; working capital,Rural micro enterprise and allied activity,Waivable up to a prescribed limit,PMMY; PMEGP,PENDING_VERIFICATION,Reserve Bank of India; NABARD,https://www.nabard.org/,2026-07-25,71,VST-NEEDS_REVIEW,District-level rural reach; sponsored by public sector banks
fin-003,SIDBI,Development Financial Institution,Apex MSME financier,Refinance; direct term loan; fund of funds,MSME refinance and larger direct term lending,Case dependent,PENDING_VERIFICATION,https://www.sidbi.in/,SIDBI,https://www.sidbi.in/,2026-07-25,75,VST-NEEDS_REVIEW,Mostly an institutional lender; administers CGTMSE with the MSME Ministry
fin-004,NABARD,Development Financial Institution,Rural development financier,Refinance; project loan; grant support,"Agri-processing, rural infrastructure and allied enterprise",Case dependent,AIF; KCC,https://www.nabard.org/,NABARD,https://www.nabard.org/,2026-07-25,75,VST-NEEDS_REVIEW,Refinances lenders rather than lending directly to most enterprises
fin-005,CGTMSE Guarantee Cover,Credit Enhancement,Trust (Ministry of MSME and SIDBI),Guarantee cover to the lender,Enables collateral-free credit to micro and small enterprises,Substitutes for collateral,CGTMSE,https://www.cgtmse.in/,CGTMSE,https://www.cgtmse.in/,2026-07-25,74,VST-NEEDS_REVIEW,The borrower does not apply; the lender invokes cover
fin-006,Pradhan Mantri MUDRA Yojana,Government Credit Programme,"Banks, NBFCs and MFIs",Term loan; working capital,Non-farm micro enterprise credit under four size categories,Collateral-free,PMMY,https://www.mudra.org.in/,MUDRA; Department of Financial Services,https://www.mudra.org.in/,2026-07-25,76,VST-NEEDS_REVIEW,"Package007 holds the scheme record; referenced here, not duplicated"
fin-007,Stand-Up India,Government Credit Programme,Scheduled commercial banks,Composite loan (term plus working capital),"Greenfield enterprise by SC, ST and women entrepreneurs",Collateral-free with CGTMSE cover,Stand-Up India,https://www.standupmitra.in/,Stand-Up India portal,https://www.standupmitra.in/,2026-07-25,74,VST-NEEDS_REVIEW,Greenfield and first-time-entrepreneur conditions apply
fin-008,PMEGP Margin Money Subsidy,Government Subsidy,"KVIC, KVIB and DIC with a financing bank",Back-ended margin money subsidy on a bank loan,New micro enterprise creation,Bank-determined; CGTMSE often applied,PMEGP,https://www.kviconline.gov.in/pmegpeportal/,KVIC; PMEGP e-portal,https://www.kviconline.gov.in/pmegpeportal/,2026-07-25,74,VST-NEEDS_REVIEW,"Subsidy is released only after loan disbursement, as a term deposit"
fin-009,NSIC Support Schemes,Government Support,Public sector enterprise,Raw material assistance; bank credit facilitation; bid security,Working capital relief and tender participation support,Scheme dependent,PENDING_VERIFICATION,https://www.nsic.co.in/,National Small Industries Corporation,https://www.nsic.co.in/,2026-07-25,70,VST-NEEDS_REVIEW,Support services rather than direct term lending
fin-010,State Finance Corporations,Institutional Lender,State-level financial institution,Term loan; equipment finance,State-specific industrial and MSME term lending,Case dependent,PENDING_VERIFICATION,PENDING_VERIFICATION,State industries departments,https://msme.gov.in/,2026-07-25,64,VST-NEEDS_REVIEW,Capacity and activity levels differ substantially between states
fin-011,Angel Investors and Angel Networks,Equity Investor,Private individual or syndicate,Equity; convertible instrument,Early-stage technology and scalable ventures,Not applicable (equity),PENDING_VERIFICATION,PENDING_VERIFICATION,DPIIT; Startup India,https://www.startupindia.gov.in/,2026-07-25,62,VST-NEEDS_REVIEW,Relevant to a narrow slice of MSMEs; most are not equity-fundable
fin-012,Venture Capital and SIDBI Fund of Funds,Equity Investor,Fund,Equity; structured instrument,High-growth scalable startups past product validation,Not applicable (equity),SISFS,https://www.sidbivcf.in/,SIDBI; DPIIT,https://www.sidbi.in/,2026-07-25,64,VST-NEEDS_REVIEW,"Fund of Funds for Startups invests through SEBI-registered AIFs, not directly"
