dataset_name,package,file_path,layer,record_count,column_count,primary_key,status,mode_used,confidence_min,confidence_max,confidence_avg,pending_verification_cells,verification_status,last_updated
crop_categories,Package005_Agriculture,datasets/crop_categories.csv,1 - Reference Taxonomy,24,13,category_id,RELEASED,Knowledge synthesis (WebFetch to .gov.in blocked by org policy),57,78,72.1,0,VST-NEEDS_REVIEW,2026-07-24
soil_types,Package005_Agriculture,datasets/soil_types.csv,1 - Reference Taxonomy,10,15,soil_id,RELEASED,Knowledge synthesis (WebFetch to .gov.in blocked by org policy),72,78,75.5,0,VST-NEEDS_REVIEW,2026-07-24
climate_zones,Package005_Agriculture,datasets/climate_zones.csv,1 - Reference Taxonomy,8,16,climate_zone_id,RELEASED,Knowledge synthesis (WebFetch to .gov.in blocked by org policy),72,77,74.9,0,VST-NEEDS_REVIEW,2026-07-24
crops,Package005_Agriculture,datasets/crops.csv,2 - Core Entity,45,25,crop_id,RELEASED,Knowledge synthesis (WebFetch to .gov.in blocked by org policy),66,78,74.4,25,VST-NEEDS_REVIEW,2026-07-24
crop_soil_mapping,Package005_Agriculture,datasets/crop_soil_mapping.csv,3 - Relational Mapping,90,13,mapping_id,RELEASED,Knowledge synthesis (WebFetch to .gov.in blocked by org policy),65,78,73.5,0,VST-NEEDS_REVIEW,2026-07-24
crop_climate_mapping,Package005_Agriculture,datasets/crop_climate_mapping.csv,3 - Relational Mapping,90,15,mapping_id,RELEASED,Knowledge synthesis (WebFetch to .gov.in blocked by org policy),65,78,73.4,0,VST-NEEDS_REVIEW,2026-07-24
farm_machinery,Package005_Agriculture,datasets/farm_machinery.csv,4 - Capital and Technology,16,18,machinery_id,RELEASED,Knowledge synthesis (WebFetch to .gov.in blocked by org policy),62,72,67.9,50,VST-NEEDS_REVIEW,2026-07-24
agri_processing_opportunities,Package005_Agriculture,datasets/agri_processing_opportunities.csv,5 - Value Addition,17,18,opportunity_id,RELEASED,Knowledge synthesis (WebFetch to .gov.in blocked by org policy),62,70,66.9,34,VST-NEEDS_REVIEW,2026-07-24
farmer_producer_organizations,Package005_Agriculture,datasets/farmer_producer_organizations.csv,6 - Institutions,5,12,fpo_id,RELEASED,Knowledge synthesis (WebFetch to .gov.in blocked by org policy),68,75,71.6,0,VST-NEEDS_REVIEW,2026-07-24
agriculture_training,Package005_Agriculture,datasets/agriculture_training.csv,6 - Institutions,7,13,training_id,RELEASED,Knowledge synthesis (WebFetch to .gov.in blocked by org policy),64,77,71.1,0,VST-NEEDS_REVIEW,2026-07-24
agriculture_schemes,Package005_Agriculture,datasets/agriculture_schemes.csv,7 - Government Support,12,13,scheme_id,RELEASED,Knowledge synthesis (WebFetch to .gov.in blocked by org policy),69,78,73.2,0,VST-NEEDS_REVIEW,2026-07-24
crop_disease_management,Package005_Agriculture,datasets/crop_disease_management.csv,8 - Crop Protection,10,14,disease_id,RELEASED,Knowledge synthesis (WebFetch to .gov.in blocked by org policy),65,76,72.4,0,VST-NEEDS_REVIEW,2026-07-24
market_linkages,Package005_Agriculture,datasets/market_linkages.csv,9 - Market Access,6,12,linkage_id,RELEASED,Knowledge synthesis (WebFetch to .gov.in blocked by org policy),66,76,70.0,0,VST-NEEDS_REVIEW,2026-07-24
export_opportunities,Package005_Agriculture,datasets/export_opportunities.csv,10 - Export,8,13,opportunity_id,RELEASED,Knowledge synthesis (WebFetch to .gov.in blocked by org policy),71,77,74.1,0,VST-NEEDS_REVIEW,2026-07-24
ai_precision_agriculture,Package005_Agriculture,datasets/ai_precision_agriculture.csv,11 - AI and Technology Readiness,10,16,technology_id,RELEASED,Knowledge synthesis (WebFetch to .gov.in blocked by org policy),50,66,58.2,10,VST-NEEDS_REVIEW,2026-07-24
agri_business_mapping,Package005_Agriculture,datasets/agri_business_mapping.csv,12 - Cross-Package Spine,30,15,mapping_id,RELEASED,Knowledge synthesis (WebFetch to .gov.in blocked by org policy),62,74,69.0,13,VST-NEEDS_REVIEW,2026-07-24
