mapping_id,scheme_id,scheme_short_name,package005_scheme_id,package005_scheme_name,package005_crop_id,package005_crop_name,farmer_category,farm_activity,data_source,source_url,collection_date,confidence_score,verification_status,notes
agrm-001,sch-005,PM-KISAN,as-001,Pradhan Mantri Kisan Samman Nidhi (PM-KISAN),PENDING_VERIFICATION,PENDING_VERIFICATION,Land-holding farmer families,Income support (crop-agnostic),Ministry of Agriculture and Farmers Welfare; Package005_Agriculture reconciliation,https://agricoop.gov.in/,2026-07-25,76,VST-NEEDS_REVIEW,"Crop-agnostic: support is per landholding, not per crop"
agrm-002,sch-006,PMFBY,as-002,Pradhan Mantri Fasal Bima Yojana (PMFBY),crop-001,Rice,All categories; notified-area cultivators,Crop insurance,Ministry of Agriculture and Farmers Welfare; Package005_Agriculture reconciliation,https://agricoop.gov.in/,2026-07-25,74,VST-NEEDS_REVIEW,Rice is the highest-enrolment notified crop
agrm-003,sch-006,PMFBY,as-002,Pradhan Mantri Fasal Bima Yojana (PMFBY),crop-020,Cotton,All categories; notified-area cultivators,Crop insurance,Ministry of Agriculture and Farmers Welfare; Package005_Agriculture reconciliation,https://agricoop.gov.in/,2026-07-25,73,VST-NEEDS_REVIEW,Cotton is a high-risk rainfed crop with heavy PMFBY uptake
agrm-004,sch-007,KCC,as-009,Kisan Credit Card (KCC),crop-001,Rice,All categories including tenant farmers,Short-term crop credit,Ministry of Agriculture and Farmers Welfare; Package005_Agriculture reconciliation,https://agricoop.gov.in/,2026-07-25,74,VST-NEEDS_REVIEW,Crop loan limits are scale-of-finance based per crop
agrm-005,sch-007,KCC,as-009,Kisan Credit Card (KCC),crop-036,Chilli,All categories including tenant farmers,Short-term crop credit,Ministry of Agriculture and Farmers Welfare; Package005_Agriculture reconciliation,https://agricoop.gov.in/,2026-07-25,72,VST-NEEDS_REVIEW,High input-cost crop; significant working capital need
agrm-006,sch-008,PMKSY,as-007,Pradhan Mantri Krishi Sinchayee Yojana (PMKSY),crop-019,Sugarcane,All categories; higher subsidy for small and marginal,Micro-irrigation,Ministry of Agriculture and Farmers Welfare; Package005_Agriculture reconciliation,https://agricoop.gov.in/,2026-07-25,73,VST-NEEDS_REVIEW,Water-intensive crop; drip conversion is a policy priority
agrm-007,sch-008,PMKSY,as-007,Pradhan Mantri Krishi Sinchayee Yojana (PMKSY),crop-030,Banana,All categories; higher subsidy for small and marginal,Micro-irrigation,Ministry of Agriculture and Farmers Welfare; Package005_Agriculture reconciliation,https://agricoop.gov.in/,2026-07-25,71,VST-NEEDS_REVIEW,High water requirement; drip-suited horticulture crop
agrm-008,sch-009,SMAM,as-005,Sub-Mission on Agri-Mechanization (SMAM),crop-001,Rice,"Small, marginal, SC, ST and women farmers get higher subsidy",Farm mechanisation,Ministry of Agriculture and Farmers Welfare; Package005_Agriculture reconciliation,https://agricoop.gov.in/,2026-07-25,73,VST-NEEDS_REVIEW,Paddy transplanters and combine harvesters are principal SMAM items
agrm-009,sch-010,PKVY,as-003,Paramparagat Krishi Vikas Yojana (PKVY),crop-035,Turmeric,Cluster members willing to convert to organic,Organic conversion,Ministry of Agriculture and Farmers Welfare; Package005_Agriculture reconciliation,https://agricoop.gov.in/,2026-07-25,71,VST-NEEDS_REVIEW,Organic turmeric commands a substantial export premium
agrm-010,sch-010,PKVY,as-003,Paramparagat Krishi Vikas Yojana (PKVY),crop-042,Ashwagandha,Cluster members willing to convert to organic,Organic conversion,Ministry of Agriculture and Farmers Welfare; Package005_Agriculture reconciliation,https://agricoop.gov.in/,2026-07-25,68,VST-NEEDS_REVIEW,Medicinal crops have strong organic-certification demand
agrm-011,sch-011,SHC,as-010,Soil Health Card Scheme,PENDING_VERIFICATION,PENDING_VERIFICATION,All farmers,Soil testing and nutrient advisory,Ministry of Agriculture and Farmers Welfare; Package005_Agriculture reconciliation,https://agricoop.gov.in/,2026-07-25,73,VST-NEEDS_REVIEW,Crop-agnostic diagnostic service
agrm-012,sch-012,AIF,as-008,Agricultural Infrastructure Fund (AIF),crop-023,Tomato,"FPOs, PACS, cooperatives, agri-entrepreneurs",Post-harvest infrastructure,Ministry of Agriculture and Farmers Welfare; Package005_Agriculture reconciliation,https://agricoop.gov.in/,2026-07-25,70,VST-NEEDS_REVIEW,Highly perishable crop; cold storage is the classic AIF project
agrm-013,sch-013,PM-KUSUM,PENDING_VERIFICATION,PENDING_VERIFICATION,crop-001,Rice,"Farmers, farmer groups, panchayats, cooperatives",Solar pump irrigation,Ministry of Agriculture and Farmers Welfare; Package005_Agriculture reconciliation,https://agricoop.gov.in/,2026-07-25,68,VST-NEEDS_REVIEW,PM-KUSUM is not in Package005 v1.0.0; only the crop side resolves
agrm-014,sch-019,PMFME,PENDING_VERIFICATION,PENDING_VERIFICATION,crop-035,Turmeric,"Micro food processors, SHG members, FPOs",Value-add processing,Ministry of Agriculture and Farmers Welfare; Package005_Agriculture reconciliation,https://agricoop.gov.in/,2026-07-25,70,VST-NEEDS_REVIEW,PMFME is not in Package005 v1.0.0; ODOP turmeric districts are the target
