id,name,university_type,state,district,city,affiliation,established_year,official_website,naac_grade,nirf_rank,courses_offered_summary,vice_chancellor,ownership,contact_details,student_services_summary,data_source,source_url,collection_date,confidence_score,verification_status,notes
937b69b2-c808-4432-82a8-40c39ee0d038,Osmania University,State University,Telangana,Hyderabad,Hyderabad,UGC recognized; self-affiliating apex university with affiliated colleges,1918,https://www.osmania.ac.in,A+ (also designated 'University with Potential for Excellence' by UGC),NIRF 2025: Overall #53; University category #30; State Public University #7,"UG/PG/PhD across Arts, Science, Commerce, Law, Engineering, Pharmacy, Business Management","Prof. Kumar Molugaram (26th Vice-Chancellor, in office since 19 Oct 2024; alumnus of OU, PhD from IIT Bombay)",State Government,"Vice-Chancellor's office: 040-27098048 / +91 8331041286; general/toll-free: 1800 547 1417 (10am-6pm), 040-27098043; email vc@osmania.ac.in",Dr. B.R. Ambedkar Central Library on campus (dedicated library/digital-library phone lines); separate Chief Warden office for Hostels & Messes confirms hostel system; sports/NCC/NSS facilities referenced on official site but not itemized in search snippets.,WebSearch aggregation (secondary/portal cross-check; official site inaccessible via WebFetch this session),https://en.wikipedia.org/wiki/Osmania_University; https://telanganatoday.com/osmania-improves-nit-warangal-and-uoh-slip-in-nirf-rankings-2025,2026-07-22,80,VST-NEEDS_REVIEW,"Third-oldest university in southern India; large multi-campus affiliating system with ~300,000 students across constituent/affiliated colleges. RC2 enrichment: current VC (Prof. Kumar Molugaram) identified via Telangana Today coverage and osmania.ac.in VC page; official contact numbers and presence of central library/hostel administration corroborated via osmania.ac.in contact/telephone-directory pages (still WebSearch-snippet sourced, not direct-fetched)."
2ed46023-bd75-4442-952b-9b8d06dec6f5,Kakatiya University,State University,Telangana,Hanumakonda,Warangal,UGC recognized,1976,https://kakatiya.ac.in,"A+ (accredited June 2023, valid five years from 8 Jul 2023) -- corroborated by three independent press sources (The Hans India, Deccan Chronicle, Telangana Today); this supersedes the earlier 'A / 3.02 CGPA' figure recorded in the RC1 pass",PENDING_VERIFICATION,"UG/PG/PhD Arts, Sciences, Commerce, Management, Pharmacy, Law","K. Pratap Reddy (reported as current VC in 2026 search results; note an earlier VC, Prof. Thatikonda Ramesh, was reported around 2023 -- treat with some caution pending official confirmation)",State Government,PENDING_VERIFICATION,PENDING_VERIFICATION,WebSearch aggregation (secondary/portal cross-check; official site inaccessible via WebFetch this session),https://en.wikipedia.org/wiki/Kakatiya_University; https://kakatiya.ac.in/rar-2017,2026-07-22,76,VST-NEEDS_REVIEW,"NAAC grade cited inconsistently across sources (A vs A+); confirm current cycle grade directly with NAAC portal. RC2 enrichment: CONFLICT RESOLVED -- RC1 recorded NAAC grade as 'A (3.02 CGPA, 2023 cycle)' with a flagged possible A+ discrepancy. Three independent 2023 news sources (thehansindia.com, deccanchronicle.com, telanganatoday.com) all report the June 2023 NAAC cycle grade as A+, which is better corroborated than the single-source 'A/3.02' figure and is adopted here. VC name (K. Pratap Reddy) is search-snippet sourced only, with an older, differently-named VC (Thatikonda Ramesh) also appearing in some 2023 sources -- flagged for direct confirmation."
11aec6c8-707c-4f14-939e-c451e18d3d88,Jawaharlal Nehru Technological University Hyderabad,State University,Telangana,Hyderabad,Hyderabad,UGC/AICTE recognized,1972 (restructured as JNTUH 2008),https://jntuh.ac.in,"A+ (2024 cycle; prior cycle was 'A' grade, 2017)",NIRF 2025: Engineering rank #94 (101-150 band),"Engineering, Technology, Pharmacy, Management UG/PG/PhD; affiliating technical university","Prof. T. Kishen Kumar Reddy (current VC, per JNTUH official communications; has also chaired NAAC peer-review committees)",State Government,PENDING_VERIFICATION,PENDING_VERIFICATION,WebSearch aggregation (secondary/portal cross-check; official site inaccessible via WebFetch this session),"https://en.wikipedia.org/wiki/Jawaharlal_Nehru_Technological_University,_Hyderabad; https://education.sakshi.com/en/general-knowledge/education-news/nirf-2025-jntuh-secures-94th-rank-top-engineering-colleges-181571",2026-07-22,80,VST-NEEDS_REVIEW,"Formed in 2008 when original JNTU (est. 1972) was split into 4 universities: JNTUH, JNTUK, JNTUA, and later JNTU-GV. RC2 enrichment: VC name and NAAC 'A+' (2024, up from 'A' in 2017) identified via JNTUH official NAAC-certificate/press-release pages surfaced in WebSearch; not independently fetched."
372d53cd-e3c3-415c-8ca6-a6d17d28ee07,University of Hyderabad,Central University,Telangana,Hyderabad,Hyderabad,UGC recognized; Institute of Eminence (IoE),1974,https://uohyd.ac.in,A+,NIRF 2025: Overall #26; University category #18; Central University #5; Research Institutions #32,"Sciences, Humanities, Social Sciences, Engineering, Management, Law - research-focused UG/PG/PhD","Prof. Anuradha Jonnalagadda Tadakamalla, In-charge Vice-Chancellor (took charge 15 Mar 2026, first woman to hold the post at UoH), succeeding Prof. Basuthkar Jagadeeshwar Rao (10th VC, served 2021-2026)",Central Government,"EPABX 040-23130000 / 040-66790000; Registrar (040) 23010245 / 23132100, registrar@uohyd.ac.in; Library (040) 23010834; Finance Officer (040) 23132200, fo@uohyd.ac.in","23 hostels (10 women's, 13 men's) housing 4,500+ students, 8 with dining halls, run by a dedicated Chief Warden's Office; Indira Gandhi Memorial Library holds 450,000+ books/e-resources/journals.",WebSearch aggregation (secondary/portal cross-check; official site inaccessible via WebFetch this session),https://uohyd.ac.in/; https://www.shiksha.com/articles/university-of-hyderabad-ranking-2024-nirf-qs-world-university-rankings-us-news-the-week-blogId-153549,2026-07-22,82,VST-NEEDS_REVIEW,"Located in Gachibowli; designated Institute of Eminence by Government of India. RC2 enrichment: in-charge VC (Prof. Anuradha Tadakamalla, since 15 Mar 2026) and detailed contact/hostel/library facts sourced from uohyd.ac.in pages surfaced via WebSearch (herald.uohyd.ac.in, uohyd.ac.in/hostels, uohyd.ac.in/important-contacts); still not directly fetched."
c3320dc0-bbc5-4bed-a081-8e7d39a8c832,Maulana Azad National Urdu University,Central University,Telangana,Hyderabad,Hyderabad,UGC recognized; established by Act of Parliament,1998,https://manuu.ac.in,"A+ (3.36 CGPA/4, third accreditation cycle)",PENDING_VERIFICATION,"Urdu-medium UG/PG/PhD programs, Education, Journalism, Law, Engineering; conventional and distance modes",Prof. Syed Ainul Hasan,Central Government,PENDING_VERIFICATION,PENDING_VERIFICATION,WebSearch aggregation (secondary/portal cross-check; official site inaccessible via WebFetch this session),https://en.wikipedia.org/wiki/Maulana_Azad_National_Urdu_University; https://manuu.ac.in/,2026-07-22,80,VST-NEEDS_REVIEW,"All-India jurisdiction central university dedicated to promoting Urdu language education; main campus at Gachibowli. RC2 enrichment: VC and NAAC A+ (3.36 CGPA, 3rd cycle) sourced via manuu.edu.in and archive.siasat.com coverage surfaced in WebSearch."
67ebaa10-de28-49b4-9f30-6142b1818b7d,English and Foreign Languages University,Central University,Telangana,Hyderabad,Hyderabad,UGC recognized; established by Act of Parliament,"1958 (central university status 2006/07, originally CIE/CIEFL)",https://www.efluniversity.ac.in,A grade (re-accredited),PENDING_VERIFICATION,"English and Foreign Languages, Linguistics, Translation Studies UG/PG/PhD","Prof. N. Naga Raju (previously VC of Gangadhar Meher University, Sambalpur)",Central Government,PENDING_VERIFICATION,PENDING_VERIFICATION,WebSearch aggregation (secondary/portal cross-check; official site inaccessible via WebFetch this session),https://en.wikipedia.org/wiki/English_and_Foreign_Languages_University,2026-07-22,78,VST-NEEDS_REVIEW,"Originally Central Institute of English (1958), became Central Institute of English and Foreign Languages (1972), granted central university status and renamed EFLU in 2006/2007. RC2 enrichment: VC (Prof. N Naga Raju) confirmed via a dedicated Telangana Today article on his assumption of office; NAAC 'A' grade corroborated via efluniversity.ac.in and collegedunia snippets."
092654bd-46f7-4d5d-81ce-ffc5ca6352c1,NALSAR University of Law,State University,Telangana,Hyderabad,Hyderabad,UGC/Bar Council of India recognized; National Law University established by Andhra Pradesh state act,1998,https://nalsar.ac.in,PENDING_VERIFICATION,PENDING_VERIFICATION,"BA LLB (Hons), LLM, PhD - Law",Professor Srikrishna Deva Rao (previously VC of NLU Delhi and NLU Odisha),State Government,PENDING_VERIFICATION,PENDING_VERIFICATION,WebSearch aggregation (secondary/portal cross-check; official site inaccessible via WebFetch this session),https://en.wikipedia.org/wiki/NALSAR_University_of_Law; https://nalsar.ac.in/about-nalsar,2026-07-22,78,VST-NEEDS_REVIEW,"Second National Law University established in India; located in Shamirpet, Hyderabad. Classified as State University though it is a National Law University of national repute. RC2 enrichment: VC confirmed via NALSAR's own official page (nalsar.ac.in/Prof-Srikrishna-Deva-Rao). NAAC grade and NIRF rank still not found in any credible current source -- left PENDING_VERIFICATION."
b674a2b9-7070-4df6-ac25-b126a4b26ff3,Indian Institute of Technology Hyderabad,Institute of National Importance,Telangana,Sangareddy,Kandi,UGC/Ministry of Education recognized; Institutes of Technology Act,2008,https://www.iith.ac.in,PENDING_VERIFICATION,NIRF 2025: Engineering #7; Overall #12; Research #15; Innovation #6,"Engineering, Sciences, Design, Liberal Arts UG/PG/PhD","Prof. B. S. Murty, Director (IITs are headed by a Director, not a Vice-Chancellor; took charge 26 Aug 2019, reappointed for a second term 20 Jun 2025)",Central Government,"Hostel Office: office.hostel@iith.ac.in, (040) 2301 6822/6833; cluster phone lines for boys/girls hostels also listed on hostel.iith.ac.in","23 hostel blocks (16 boys, 6 girls), mostly individual rooms with radiant cooling, LAN-enabled; library holds 20,000+ books and 10,000+ periodicals; active sports program incl. inter-IIT and departmental/hostel-level competitions.",WebSearch aggregation (secondary/portal cross-check; official site inaccessible via WebFetch this session),https://www.iith.ac.in/about/aboutiith/; https://www.careerplanb.co/iit-hyderabad-nirf-ranking-2025/,2026-07-22,82,VST-NEEDS_REVIEW,"Located in Sangareddy district (Kandi campus). RC2 enrichment: Director's name/reappointment date sourced from education.gov.in and iith.ac.in pages; hostel/library facts from hostel.iith.ac.in and universitykart.com, surfaced via WebSearch only."
40776488-4bd7-4392-ad9d-6970affdafdf,National Institute of Technology Warangal,Institute of National Importance,Telangana,Hanumakonda,Warangal,UGC/Ministry of Education recognized; NIT Act,1959 (as Regional Engineering College Warangal; NIT status 2002),https://www.nitw.ac.in,A+ grade,NIRF 2025: Engineering #28; Overall #63,"Engineering, Sciences, Management UG/PG/PhD",PENDING_VERIFICATION,Central Government,"Admissions/general enquiry: 0870-245-9191 (toll-free), 8332969703","20 hostel blocks for men + 2 for women, including a large 10-floor, ~1,800-bed 'Ultra-Mega' block; central library (~4,000 sq. m, ~180,000 books/media, 110 journal subscriptions); sports facilities for badminton, basketball, football, cricket, tennis, volleyball, hockey.",WebSearch aggregation (secondary/portal cross-check; official site inaccessible via WebFetch this session),https://leverageedu.com/discover/indian-universities/nit-warangal-nirf-ranking/,2026-07-22,76,VST-NEEDS_REVIEW,"One of the earliest RECs, converted to NIT in 2002. RC2 enrichment: NAAC A+ grade and hostel/library/sports facts corroborated via nitw.ac.in-linked search snippets. Current Director's name could NOT be reliably confirmed for 2026 -- a document referencing 'Prof. NV Ramana Rao' surfaced but appears to be an older source and was not adopted; vice_chancellor/director field left PENDING_VERIFICATION pending direct confirmation."
753bb5c3-0d8a-4768-8365-ae640487f749,BITS Pilani Hyderabad Campus,Deemed University,Telangana,Sangareddy,Hyderabad,UGC deemed-to-be-university (parent institution BITS Pilani),2008,https://www.bits-pilani.ac.in/hyderabad/,"A++ (CGPA 3.68/4, 4th cycle, valid 29 Nov 2024 - 28 Nov 2029) -- this is the institute-wide BITS Pilani accreditation covering all campuses including Hyderabad, not a Hyderabad-campus-specific certificate",PENDING_VERIFICATION,"Engineering, Pharmacy, Sciences, Management UG/PG/PhD","Prof. D. Sriram, Director-in-Charge of the Hyderabad campus (appointment announced 2 Jan 2026; BITS campuses are led by a Director under the parent institute, not a separate VC)",Private Trust/Society,PENDING_VERIFICATION,PENDING_VERIFICATION,WebSearch aggregation (secondary/portal cross-check; official site inaccessible via WebFetch this session),"https://www.bits-pilani.ac.in/hyderabad/about-us/; https://en.wikipedia.org/wiki/Birla_Institute_of_Technology_and_Science,_Pilani_%E2%80%93_Hyderabad_Campus",2026-07-22,78,VST-NEEDS_REVIEW,"Campus of the deemed university BITS Pilani; located at Jawahar Nagar, Shameerpet Mandal, ~27 km from Hyderabad city. Governance uses Director/Vice-Chancellor of parent institute, not a separate VC. RC2 enrichment: Director-in-Charge and institute-wide NAAC A++ (2024-2029) sourced via bits-pilani.ac.in and Deccan Chronicle coverage. Ownership classified Private Trust/Society as BITS Pilani is a deemed university under the BITS (Birla Institute) governance structure."
