career_path_id,path_name,entry_qualification,stage_sequence,skills_required_summary,certifications_involved,typical_duration,exit_outcomes,data_source,source_url,collection_date,confidence_score,verification_status,notes
2e089833-4d1b-48b0-860e-f666c1ee58c0,ITI Electrician to Automation Consultant,10th pass with Science and Mathematics (or equivalent),"10th Pass -> ITI Electrician (NCVT/DGT CTS 2.0, NSQF Level 4, 2 years) -> National Apprenticeship Training Scheme (DGT/NAPS, 1-2 years, leads to National Apprenticeship Certificate) -> Industrial Electrician (2-4 years shop-floor experience) -> Automation Technician (short-term upskilling in PLC/mechatronics via SSC-aligned QPs, e.g. IASC PLC Technician, ESSCI Mechatronics Maintenance Specialist) -> PLC Engineer -> Automation Consultant/Freelance","Electrical wiring and maintenance, motor control, industrial safety, PLC ladder logic programming, SCADA/HMI basics, panel wiring, troubleshooting, client-facing consulting skills at the top stage","National Trade Certificate (NTC, NCVT/DGT) for Electrician; National Apprenticeship Certificate (NAC); private/SSC short-course certificates in PLC & Automation (e.g. PLC Technician QP, IASC; Mechatronics Maintenance Specialist QP, ESSCI)",8-12 years total (2 yrs ITI + 1-2 yrs apprenticeship + 2-4 yrs experience + 1-2 yrs upskilling + several years to reach consultant level),Industrial electrician in manufacturing/utilities; automation/PLC technician or engineer in factories; independent automation consultant or panel-building contractor,DGT/NCVET Electrician CTS 2.0 Qualification File; DGT apprenticeship (NAPS) framework; IASC Sector Skill Council PLC Technician QP; ESSCI Qualification Packs,https://www.nqr.gov.in/sites/default/files/QF_Electrician_CTS2.0_NSQF-4.pdf; https://iascsectorskillcouncil.in/wp-content/uploads/2022/01/QPNOS_PLCTechnician.pdf; https://www.essc-india.org/qualification-packs.php; https://dgt.gov.in,2026-07-24,68,VST-NEEDS_REVIEW,"This is the brief's own worked example, refined after verification. [stage_sequence/NSQF level]: sources conflict on the NSQF level for Electrician -- the current DGT/NCVET CTS 2.0 Qualification File (2022) is titled/filed as NSQF Level 4, while several ITI-directory and secondary sources describe the (older, pre-CTS-2.0 or 2-year composite) Electrician course as NSQF Level 5; both figures appear in circulation and could not be fully reconciled from available sources -- flagged for human review. [stage_sequence]: 'Automation Technician/PLC Engineer/Automation Consultant' stages are a genuinely observed real-world ladder reported by industry/ITI career sources but are not governed by a single DGT-mandated progression QP the way Electrician->Apprenticeship is; PLC/automation upskilling is typically via separate short-term SSC-aligned or private courses rather than a mandatory next NCVET qualification."
49ddf34d-e359-46ac-89a7-769a40db6b2d,ITI Welder to Fabrication Business Owner,10th pass,"10th Pass -> ITI Welder (Fabrication & Fitting) (NCVT/DGT CTS 2.0, NSQF Level 3, 1 year/1200 hrs + 150 hrs OJT) -> DGT Apprenticeship (NAPS, ~1 year, National Apprenticeship Certificate) -> Welder/Fabricator (2-3 years industry experience in construction, manufacturing or shipbuilding) -> Senior/Certified Welder (advanced welding process certifications) -> Fabrication Workshop Supervisor -> Fabrication Business Owner/Contractor (self-employment, often financed via PMEGP/MUDRA)","Arc/gas/MIG/TIG welding techniques, metal fitting and fabrication, reading engineering drawings, welding inspection basics, workshop safety, and business/costing skills at the entrepreneurial stage","National Trade Certificate (NTC, NCVT/DGT) for Welder (Fabrication & Fitting); National Apprenticeship Certificate (NAC); optional advanced welding/inspection certificates from private institutes",6-10 years total (1 yr ITI + ~1 yr apprenticeship + 2-3 yrs experience + several years to accumulate capital/clients for business ownership),"Welder/fabricator in construction, automotive or manufacturing; workshop supervisor; self-employed fabrication contractor or small workshop owner",DGT/NCVT Welder (Fabrication & Fitting) CTS 2.0 Qualification File; ITI trade guides describing self-employment outcomes,https://dgt.gov.in/sites/default/files/Welder%20(Fabrication%20_%20Fitting)_CTS2.0_NSQF-3.pdf; https://syllabus.iti.directory/cts/welder-fabrication-fitting; https://iimskills.com/comprehensive-guide-iti-welder-trade/,2026-07-24,63,VST-NEEDS_REVIEW,"[stage_sequence/NSQF level]: the official DGT CTS 2.0 qualification file for Welder (Fabrication & Fitting) is filed as NSQF Level 3, while some secondary sources describe the Welder trade generally as NSQF Level 4 -- both values appear in circulation; Level 3 (from the primary DGT document) used here but flagged for review. [stage_sequence]: 'Fabrication Business Owner/Contractor' is a genuinely common, industry-observed self-employment outcome explicitly named in DGT course-objective text ('self-employment in welding and fabrication services') but is not itself a certified qualification stage -- no NCVET QP governs the transition from welder to business owner, so this segment is qualitative/entrepreneurial rather than Tier-1 documented."
dff7cbc3-9054-480e-9874-5f48a89a017b,ITI Turner/Machinist to CNC Machine Shop Supervisor,10th pass,"10th Pass -> ITI Turner or Machinist (NCVT/DGT CTS, NSQF Level 4-5, 2 years) -> DGT Apprenticeship (NAPS) -> Machine Operator (conventional lathe/milling, shop-floor experience) -> CNC Machinist 3-Axis (Short-Term Course, NSQF Level 5, 960 hours, entry requires ITI pass in Machinist/Machinist Grinder/Turner/Operator Advanced Machine Tool) -> Lead Machinist/CNC Programmer -> Machine Shop Supervisor (via experience or CITS instructor route)","Precision machining, lathe/milling operation, metrology and measurement, CNC part-program reading and G-code basics, tool selection, quality control, and team supervision at the top stage","National Trade Certificate (NTC, NCVT/DGT) for Turner/Machinist; National Apprenticeship Certificate; CNC Machinist 3-Axis Short-Term Course certificate (NSQF Level 5); optional Craft Instructor Training Scheme (CITS) certificate for supervisory/instructor track",7-12 years total (2 yrs ITI + ~1 yr apprenticeship + 2-4 yrs experience + short CNC course + several years to reach supervisor level),"CNC operator/programmer in automotive, aerospace or general manufacturing; shift/machine shop supervisor; shop-floor engineering manager",DGT/NCVT Turner and Machinist CTS Qualification Files; CNC Machinist 3-Axis Short-Term Course Qualification File; Bharat Skills CITS Machinist & Operator Advance Machine Tool curriculum,https://www.nimilearningonline.in/shortterm_pdf/CNC%20Machinist%203-Axis_STC_NSQF-5.pdf; https://bharatskills.gov.in/pdf/QF_Curriculum/Machinist&OperatorAdvanceMachineToolc.pdf; https://syllabus.iti.directory/cts/turner,2026-07-24,70,VST-NEEDS_REVIEW,"[entry_qualification/stage_sequence]: base ITI Turner/Machinist NSQF level cited as a 4-5 range because different DGT documents and secondary sources give slightly different levels for these long-standing trades; the CNC Machinist 3-Axis short-term course itself is confirmed at NSQF Level 5. [stage_sequence]: 'Machine Shop Supervisor' progression (line leader -> supervisor -> shop foreman/manager) is a widely and consistently industry-documented ladder but relies on experience and internal promotion rather than a single further NCVET qualification, aside from the optional CITS instructor route."
4992bad3-d803-4fdc-b358-8b7f0c70ab61,Digital Marketing Freelancer to Agency Owner,12th pass or graduate (no formal minimum mandated; most entrants have basic computer literacy),"12th Pass/Graduate -> Digital Marketing Assistant (NSDC/Media & Entertainment Skills Council, short-term NSQF-aligned QP) -> Social Media & Digital Marketing Executive (on-the-job skill building in SEO, ads, analytics) -> Digital Marketing Manager (Media & Entertainment Skills Council QP, NSQF Level 6, requires ~3 years work experience) -> Independent Freelance Digital Marketer -> Digital Marketing Agency Owner","SEO, social media management, paid ads (Google/Meta), content creation, analytics/reporting, client acquisition and management, and team-building/business operations at the agency-owner stage","NSDC/Skill India Digital Hub course certificates for Digital Marketing Assistant/Executive; Media & Entertainment Skills Council Digital Marketing Manager QP (NSQF Level 6); numerous private-platform certifications (Google Ads, Google Analytics, Meta Blueprint) that are industry-standard but not NCVET-governed",5-8 years total (short course + 3+ years experience to reach manager/freelance level + additional years to build an agency),In-house digital marketing executive/manager; independent freelance consultant; founder of a small digital marketing agency,NSDC/Skill India Digital Hub course listings; Media & Entertainment Skills Council (MESC) Digital Marketing Manager Qualification File and Model Curriculum,https://nqr.gov.in/sites/default/files/MC_Digital_Marketing_Manager_L6_V1.pdf; https://nqr.gov.in/qualifications/1296; https://www.skillindiadigital.gov.in/courses/detail/4de88bf9-5550-4a46-a13a-1d531546d9ba,2026-07-24,56,VST-NEEDS_REVIEW,"[stage_sequence]: only the early-to-mid stages (Digital Marketing Assistant through Digital Marketing Manager, NSQF Level 6) are backed by an NCVET-recognized qualification file; the 'freelancer' and 'agency owner' stages are genuinely common, widely observed real-world career outcomes in this field but are not certified or tracked by any Sector Skill Council progression map -- this segment is qualitative/entrepreneurial (Tier 5) and confidence is scored accordingly, well below the Tier-1 stages."
6fe0b2af-6ad3-4df3-8fe1-5f5f8da82b53,Solar PV Installer (Suryamitra) to Solar EPC Entrepreneur,8th/10th pass (ITI in Electrician/Fitter or equivalent preferred by many training centres),"8th/10th Pass -> Suryamitra Skill Development Programme (National Institute of Solar Energy/MNRE, ~3 months residential/600 hours, aligned to Solar PV Installer QP SGJ/Q0101, Skill Council for Green Jobs) -> Solar PV Installer/Service Technician (field installation and O&M experience) -> Senior Solar Technician/Site Supervisor -> Solar EPC (Engineering, Procurement, Construction) Entrepreneur or Small Solar Business Owner","Solar PV system design basics, panel and inverter installation, wiring and earthing, battery/BOS components, operation and maintenance, plus the programme's built-in entrepreneurship and soft-skills module for the business-owner stage","Suryamitra Skill Development Programme certificate (NISE/MNRE, NSDC-affiliated training centres, aligned to QP SGJ/Q0101); no separate NCVET QP identified for the EPC-entrepreneur stage",4-8 years total (3-month training + several years of field experience before starting an independent EPC business),Solar PV installation/O&M technician for residential and commercial rooftop or utility-scale projects; site supervisor; independent solar EPC contractor,National Institute of Solar Energy (NISE) Suryamitra Skill Development Programme; Ministry of New and Renewable Energy (MNRE) Skill Development Programme page; NSDC Solar PV Installer (Suryamitra) listing,https://suryamitra.nise.res.in/; https://mnre.gov.in/en/skill-development-programme/; https://nsdcindia.org/solar-pv-installer-suryamitra,2026-07-24,64,VST-NEEDS_REVIEW,"[entry_qualification]: exact minimum entry qualification and age criteria for Suryamitra intake could not be independently confirmed from available (non-.gov.in-fetchable) sources beyond general programme descriptions; 8th/10th pass is the commonly cited minimum across secondary sources. [stage_sequence]: the entrepreneurship/EPC-business stage is explicitly part of the programme's stated objective ('prepare the participant to become an entrepreneur in the solar energy sector') but is not governed by a distinct NCVET qualification, so this final stage is qualitative rather than certification-backed."
898e05ad-2e91-490a-9558-cd59c5343612,ITI Fitter to Manufacturing Supervisor,10th pass,"10th Pass -> ITI Fitter (NCVT/DGT CTS 2.0, NSQF Level 4, 2 years) -> DGT Apprenticeship (NAPS, 1-2 years, National Apprenticeship Certificate) -> Fitter/Production Fitter (2-4 years shop-floor experience) -> Senior Fitter/Line Leader -> Manufacturing Supervisor (via experience, or Craft Instructor Training Scheme/CITS route to become an ITI instructor, or lateral entry into a Diploma in Engineering)","Fitting, assembly, precision measurement, use of hand and machine tools, reading engineering drawings, production-line quality control, and team supervision at the top stage","National Trade Certificate (NTC, NCVT/DGT) for Fitter; National Apprenticeship Certificate (NAC); optional Craft Instructor Training Scheme (CITS) certificate or lateral-entry engineering diploma",7-11 years total (2 yrs ITI + 1-2 yrs apprenticeship + 3-5 yrs experience to reach supervisor level),Production fitter/assembler in manufacturing plants; line leader or shift supervisor; ITI instructor (via CITS); diploma-holder engineer via lateral entry,DGT/NCVT Fitter CTS 2.0 Qualification File; DGT presentation on apprenticeship progression options,https://dgt.gov.in/sites/default/files/2023-12/Fitter_CTS2.0_NSQF-4_0.pdf; https://dgt.gov.in/sites/default/files/v2%20DGT%20long%20presentation%20(2)_0%20(1).pdf,2026-07-24,70,VST-NEEDS_REVIEW,"[stage_sequence/NSQF level]: the current DGT CTS 2.0 Qualification File for Fitter is filed at NSQF Level 4, while some secondary/older sources describe the Fitter trade as NSQF Level 5 or 6 (the latter figure applies to the separate CITS Fitter instructor-training qualification, not the base ITI trade) -- flagged for review to avoid conflating the base trade with the instructor-level qualification."
0ec7ba29-a20f-4177-99f9-9e87552ada0e,Food Processing Technician to FPO Manager,8th/10th pass,"8th/10th Pass -> Multi-Skill Technician (Food Processing) (Food Industry Capacity & Skill Initiative/FICSI, NCVET-approved QP) -> Food Processing Line Technician/Quality Checker (shop-floor experience in a processing unit) -> Senior Technician/Production-in-Charge -> Farmer Producer Organisation (FPO) Manager or CEO (via NABARD/SFAC-facilitated capacity-building training for FPO staff)","Sorting, grading, cleaning and processing of fruits/vegetables, food safety and hygiene (HACCP basics), basic quality testing, and at the FPO-manager stage: procurement, farmer aggregation, business planning, accounts and value-chain/market linkage skills",FICSI-issued Multi-Skill Technician (Food Processing) qualification certificate; no distinct NCVET-recognized qualification/QP identified specifically for the 'FPO Manager' role -- NABARD/SFAC and state agencies run non-certifying capacity-building training programmes for FPO CEOs/Boards of Directors,6-10 years total (short-term technician training + several years of processing-unit and value-chain experience before moving into FPO management),"Line technician/quality checker in a food processing unit; production supervisor; FPO manager/CEO handling farmer aggregation, processing and market linkage",Food Industry Capacity & Skill Initiative (FICSI) Multi-Skill Technician (Food Processing) NCVET-approved Qualification File; NABARD paper on Farmer Producer Organisations (Status & Issues),https://www.ficsi.in/upload/ncvet_approved_sub/01fe134e4436ecf2f6a715d4b9e582fa.pdf; https://www.nqr.gov.in/qualifications/12656; https://www.nabard.org/auth/writereaddata/careernotices/3108183411Paper%20on%20FPOs%20-%20Status%20&%20Issues.pdf,2026-07-24,55,VST-NEEDS_REVIEW,"[certifications_involved / stage_sequence]: the 'FPO Manager' end-stage is a genuine, real-world career destination documented in NABARD/SFAC materials on FPO capacity building, but no NCVET-recognized qualification pack specifically certifies 'FPO Manager' as a job role -- training for this stage is delivered as non-certifying capacity-building by NABARD, SFAC, state departments and Cluster-Based Business Organisations (CBBOs), so this stage is qualitative (Tier 4) rather than Tier-1 QP-backed, and the confidence score reflects that gap."
337f5776-a224-4d81-939c-7a50c8b6d878,Tailoring to Boutique Owner,No formal minimum education mandated; commonly 8th/10th pass entrants,"8th/10th Pass (or no formal minimum) -> Self Employed Tailor training (Apparel Made-ups & Home Furnishing Sector Skill Council/AMHSSC, Qualification Pack AMH/Q1947 v3.0, NCVET-approved) -> Home-based/Freelance Tailor (measurement-taking, cutting, stitching for local clientele) -> Boutique Assistant/Junior Designer (optional stage, working under an established boutique) -> Boutique Owner (independent retail/custom-stitching business)","Garment measurement and pattern making, cutting, machine and hand stitching, finishing and embellishment, basic customer service, and at the boutique-owner stage: pricing, inventory and small-business management","Self Employed Tailor Qualification Pack certificate (AMHSSC, AMH/Q1947, NSQF-aligned, NCVET-approved 24th NSQC meeting, 17-11-2022)",3-6 years total (short-term QP-aligned training + several years building a client base before opening a boutique),Home-based/freelance tailor; boutique or custom-stitching business owner; employment as a skilled tailor in a garment unit or boutique,Apparel Made-ups & Home Furnishing Sector Skill Council (AMHSSC) Self Employed Tailor NSQF Qualification File,https://nqr.gov.in/sites/default/files/Q%20FILES%20Self%20employed%20Tailor%20V3.pdf; https://www.psscive.ac.in/popularisation/self-employed-tailor.pdf; https://sscamh.com/approvedQPNo.php,2026-07-24,72,VST-NEEDS_REVIEW,"This is one of the better-documented entrepreneurial pathways in this dataset: the AMHSSC 'Self Employed Tailor' QP is explicitly designed and NCVET-approved for a self-employment/livelihood outcome, so the tailor-to-boutique-owner trajectory is directly named in the qualification's own scope rather than being an external inference."
39f2f89c-b284-480b-85a8-3bebb247e03f,Drone Pilot to Drone Survey Business Owner,"10th pass, minimum age 18","10th Pass (age 18+) -> DGCA-authorized Remote Pilot Training Organisation (RPTO) course (5-6 days, covers theory and practical flying) -> DGCA Remote Pilot Certificate (RPC) via eGCA portal (drone registration/UIN, assessment) -> Commercial Drone Pilot (agriculture spraying/mapping, infrastructure or crop-monitoring surveys; may operate under schemes such as Namo Drone Didi for women-led SHGs) -> Senior/Certified Surveying Drone Pilot -> Drone Survey Business Owner (independent drone services/survey company)","Drone flight operation and safety, airspace regulations and UIN/RPC compliance, GPS-based mapping/surveying software, basic data processing (orthomosaic/point-cloud outputs for survey work), and business development at the owner stage","DGCA Remote Pilot Certificate (RPC), issued after RPTO training and assessment via the eGCA portal; no distinct NCVET/SSC qualification pack for the 'survey business owner' stage was confirmed in available sources",3-6 years total (under 2 weeks of formal RPTO training/RPC certification + several years building commercial flying experience and clients before establishing an independent survey business),"Commercial drone pilot for agriculture, mapping, or infrastructure-inspection clients; salaried drone operator; independent drone survey/services business owner",DGCA drone licensing process as described by industry RPTO training providers (primary DGCA/eGCA government pages could not be directly fetched due to access restrictions on .gov.in domains),https://www.leher.ag/feeds/blog/dgca-drone-license; https://www.flapone.com/drone/drone-pilot-training/small-remote-pilot-certificate; https://dronexindia.com/admission-dgca-certified-drone-pilot-course,2026-07-24,52,VST-NEEDS_REVIEW,"[data_source/source_url]: direct DGCA/eGCA government documentation could not be fetched (WebFetch to .gov.in domains returns 403 in this environment); the RPC process and entry requirements described here are drawn from industry RPTO training-provider websites describing the government-mandated process, which is a lower-tier secondary source than a primary DGCA circular even though the underlying regulatory facts (RPC requirement, eGCA portal, age/education minimums) are consistent across multiple such sources. [stage_sequence]: 'Drone Survey Business Owner' is a genuinely observed and rapidly growing real-world outcome (agri-drone and survey services) but is not itself a certified qualification stage -- no NCVET/SSC QP for this specific business-owner role was located."
6792a2d7-c790-4055-b6a6-b6833e426bbf,BPO Associate to Team Lead,"12th pass (with computer background), or 10th pass with 2 years relevant experience","12th Pass (or 10th Pass + 2 yrs experience) -> Technical Support Executive/Customer Care Associate (IT-ITeS Sector Skill Council/NASSCOM Qualification Pack, e.g. SSC/Q... Technical Support Executive, NSQF Level 4) -> Senior Associate (voice/non-voice process, 1-2 years experience) -> Technical Support Engineer (higher NOS-count IT-ITeS SSC QP, added technical depth) -> Team Leader (internal promotion based on performance and experience, no distinct NCVET QP identified for this specific title) -> Assistant Manager/Operations Manager","Voice/non-voice customer handling, English/communication skills, CRM and ticketing-tool usage, basic troubleshooting (for technical support roles), process compliance, and at the team-lead stage: team coaching, shift scheduling and performance-metric management","IT-ITeS Sector Skill Council (NASSCOM) Technical Support Executive/Engineer Qualification Pack certificates (NSQF Level 4 and above); Team Leader progression is typically an internal, experience-based promotion rather than a separate certified qualification",3-6 years total (entry QP-aligned training/on-boarding + 2-4 years of performance-based promotion to team lead),Customer support/technical support associate; senior associate or subject-matter expert; team leader; assistant manager in BPO/BPM operations,IT-ITeS Sector Skill Council (NASSCOM) Technical Support Executive and Technical Support Engineer Qualification Packs and Participant Handbooks,https://pursuite-production.s3.amazonaws.com/media/courseware/handbook/48989SSC_Q5101_Technical%20Support%20Engineer_V2.0_PHB.pdf; https://udyogvikas.com/wp-content/uploads/2025/02/QP_Technical-Support-Executive.pdf; https://pursuite-production.s3.amazonaws.com/media/courseware/facilitator_guide/56489NASSCOM_Technical%20Support%20Engineer_FG.pdf,2026-07-24,56,VST-NEEDS_REVIEW,"[stage_sequence/certifications_involved]: a specific NASSCOM/IT-ITeS SSC Qualification Pack for a 'Team Leader' job role in domestic BPO voice process could not be confirmed within the available search budget for this collection run (web search quota was exhausted mid-research); the Associate->Team Leader->Manager ladder itself is extremely widely and consistently documented as the standard BPO/BPM industry career path (Tier 5, qualitative/industry-observed), but the exact QP code for team-lead-level certification remains unverified and needs a follow-up source check -- noted here rather than in a dedicated cell because the overall pathway, not one single field value, is what is unresolved."
