opportunity_id,business_id,business_name,export_product,destination_markets,required_certifications,applicable_standards,export_readiness_barrier,promotion_body,data_source,source_url,collection_date,confidence_score,verification_status,notes
exp-001,mb-004,Spice Grinding and Packing Unit,Turmeric and chilli powder; spice blends,"UAE, United States, Bangladesh, Malaysia, United Kingdom",FSSAI; IEC; Spices Board registration (RCMC); ISO 22000 or HACCP for most buyers,Pesticide residue limits; aflatoxin limits; ASTA colour value,Residue compliance and lab testing capability,Spices Board of India,Spices Board of India; APEDA,https://www.indianspices.com/,2026-07-25,72,VST-NEEDS_REVIEW,India's largest spice export category; residue compliance is the binding constraint
exp-002,mb-003,Cold-Pressed Oil Unit,Cold-pressed groundnut and sesame oil,"United States, United Kingdom, UAE, Singapore",FSSAI; IEC; APEDA registration; organic certification for the premium segment,Aflatoxin limits; free fatty acid limits; labelling rules,Aflatoxin control in groundnut sourcing,APEDA (Agricultural and Processed Food Products Export Development Authority),APEDA (Agricultural and Processed Food Products Export Development Authority),https://apeda.gov.in/,2026-07-25,68,VST-NEEDS_REVIEW,Premium health-oil positioning is what makes the export economics work
exp-003,mb-002,Dal Milling Unit,"Split pulses (toor, chana dal)","United States, United Kingdom, UAE, Nepal, Sri Lanka",FSSAI; IEC; APEDA registration; phytosanitary certificate,Grain size and damage limits; moisture; fumigation requirements,Consistent grade sorting at export volume,APEDA (Agricultural and Processed Food Products Export Development Authority),APEDA (Agricultural and Processed Food Products Export Development Authority),https://apeda.gov.in/,2026-07-25,67,VST-NEEDS_REVIEW,Export policy on pulses changes with domestic price conditions
exp-004,mb-001,Rice Milling Unit,Milled rice (non-basmati and specialty),"Bangladesh, UAE, Nepal, West Africa",FSSAI; IEC; APEDA registration; phytosanitary certificate,Broken percentage; moisture; fumigation,Export policy volatility and quota conditions,APEDA (Agricultural and Processed Food Products Export Development Authority),APEDA (Agricultural and Processed Food Products Export Development Authority),https://apeda.gov.in/,2026-07-25,66,VST-NEEDS_REVIEW,Central export restrictions on non-basmati rice have been imposed and lifted repeatedly
exp-005,mb-006,Fruit Pulp and Beverage Unit,Aseptic mango and tomato pulp,"United States, European Union, UAE, Japan",FSSAI; IEC; APEDA registration; HACCP; ISO 22000; buyer-specific audits,Brix and acidity specification; microbiological limits; heavy metal limits,Aseptic capability and audit-ready quality systems,APEDA (Agricultural and Processed Food Products Export Development Authority),APEDA (Agricultural and Processed Food Products Export Development Authority),https://apeda.gov.in/,2026-07-25,67,VST-NEEDS_REVIEW,EU market entry requires buyer-led social and quality audits beyond certification
exp-006,mb-024,Garment Manufacturing Unit,Ready-made garments,"United States, European Union, United Kingdom, UAE",IEC; Apparel Export Promotion Council RCMC; buyer social compliance audit (e.g. SEDEX),Restricted substances lists; labelling and fibre content rules,"Social compliance audit readiness, not product quality",Apparel Export Promotion Council,Ministry of Textiles; AEPC,https://texmin.nic.in/,2026-07-25,70,VST-NEEDS_REVIEW,Social compliance is the usual failure point for first-time garment exporters
exp-007,mb-025,Handloom and Handicraft Enterprise,Handloom textiles and handicraft products,"United States, European Union, Japan, Australia",IEC; Export Promotion Council for Handicrafts RCMC; GI certification where applicable,Dye and restricted substance limits; country-of-origin marking,Order-size consistency and lead-time reliability,Export Promotion Council for Handicrafts,Ministry of Textiles; EPCH,https://texmin.nic.in/,2026-07-25,66,VST-NEEDS_REVIEW,GI tagging materially raises realisation in Western markets
exp-008,mb-026,Technical Textiles Unit,"Technical textiles (medical, agro, geo)","European Union, United States, Middle East",IEC; buyer-specified product certification; ISO 9001; CE marking where applicable,Product-specific performance standards; biocompatibility for medical grades,Testing and certification infrastructure access,Ministry of Textiles (National Technical Textiles Mission),Ministry of Textiles,https://texmin.nic.in/,2026-07-25,62,VST-NEEDS_REVIEW,Certification cost is disproportionate for a micro unit; consortium approach is common
exp-009,mb-014,Custom Software Development Firm,Software development and IT services,"United States, United Kingdom, European Union, Australia, Singapore",IEC not required for services; STPI or SEZ registration optional; ISO 27001 commonly required,Data protection compliance (GDPR where EU clients); contractual SLAs,"Client acquisition and data-protection compliance, not physical certification",Software Technology Parks of India; NASSCOM,NASSCOM; Ministry of Electronics and IT,https://nasscom.in/,2026-07-25,71,VST-NEEDS_REVIEW,Services export needs no physical certification; the barrier is trust and compliance
exp-010,mb-016,AI Solutions and Consulting,AI products and services,"United States, United Kingdom, European Union, Singapore",ISO 27001; SOC 2 for enterprise buyers; EU AI Act conformity for in-scope systems,Data protection; emerging AI governance requirements,Enterprise security certification and AI governance readiness,NASSCOM,NASSCOM,https://nasscom.in/,2026-07-25,62,VST-NEEDS_REVIEW,EU AI Act introduces conformity obligations for high-risk systems from 2026 onward
exp-011,mb-010,Tool and Die Making Unit,"Tools, dies and moulds","United States, European Union, Middle East, Southeast Asia",IEC; ISO 9001; material test certificates; buyer-specific PPAP,Dimensional tolerance specification; material traceability,Metrology capability and documentation discipline,Engineering Export Promotion Council,EEPC India; Ministry of Commerce,https://commerce.gov.in/,2026-07-25,64,VST-NEEDS_REVIEW,High value per kilogram makes air freight viable for this category
exp-012,mb-030,Packaging Materials Unit,Corrugated and flexible packaging,"Middle East, Africa, Sri Lanka, Nepal",IEC; food-contact compliance where applicable; FSC certification for the premium segment,Food-contact material rules; migration limits,Freight cost relative to product value,Ministry of Commerce and Industry,Ministry of Commerce and Industry,https://commerce.gov.in/,2026-07-25,60,VST-NEEDS_REVIEW,Low value-to-volume ratio limits viable export distance
