mapping_id,skill_id,skill_name,business_opportunity_name,mapping_type,role_or_application,data_source,source_url,collection_date,confidence_score,verification_status,notes
976c0303-f129-4b7c-ace3-29eb72837e6f,6b6a3246-5d58-4e5e-8841-5249b5ea8ee8,Python Programming,Digital Marketing Agency,Primary,Backend/Data,Manual cross-reference with Package004_Industries,Internal package mapping,2026-07-24,75,VST-NEEDS_REVIEW,[mapping_type]: Primary skill for Digital Marketing Agency
ad5aef23-61de-4f5c-a1c7-5ae4ad85fb36,2165f626-a237-4d19-8158-888051b2c797,Full Stack Web Development,E-commerce Store,Primary,Full Stack,Manual cross-reference with Package004_Industries,Internal package mapping,2026-07-24,75,VST-NEEDS_REVIEW,[mapping_type]: Primary skill for E-commerce Store
e812677d-746d-4dea-9f0d-c0145cca0734,46b1872f-ad46-4d62-b964-85a598daa13f,Database Administration (SQL/NoSQL),Digital Marketing Agency,Secondary,Data Pipeline,Manual cross-reference with Package004_Industries,Internal package mapping,2026-07-24,75,VST-NEEDS_REVIEW,[mapping_type]: Secondary skill for Digital Marketing Agency
2f50cf84-57b3-41c3-8bd3-4415a2764b6d,6d378e94-2808-48ab-88a7-4a8117a12d86,Machine Learning Engineer,AI-Based SaaS Product,Primary,AI Core,Manual cross-reference with Package004_Industries,Internal package mapping,2026-07-24,75,VST-NEEDS_REVIEW,[mapping_type]: Primary skill for AI-Based SaaS Product
2b2443ef-f474-45a1-b848-1416f2a23309,f809e001-d1c7-4b1a-896e-ecc81310cc07,Data Scientist,AI-Based SaaS Product,Primary,Analytics,Manual cross-reference with Package004_Industries,Internal package mapping,2026-07-24,75,VST-NEEDS_REVIEW,[mapping_type]: Primary skill for AI-Based SaaS Product
47b33190-74a7-4037-b62b-ef230984548c,89f0fae4-7470-41a9-8c96-170267d50d6e,CNC Machine Operator,Precision Tool Manufacturing,Primary,Production,Manual cross-reference with Package004_Industries,Internal package mapping,2026-07-24,75,VST-NEEDS_REVIEW,[mapping_type]: Primary skill for Precision Tool Manufacturing
4a5ca174-9a8a-46e0-b728-f7bfbe4a0352,8834c2ff-c6e9-4bb4-89e1-51fd5e1035fb,CAD/CAM Design,Precision Tool Manufacturing,Primary,Design,Manual cross-reference with Package004_Industries,Internal package mapping,2026-07-24,75,VST-NEEDS_REVIEW,[mapping_type]: Primary skill for Precision Tool Manufacturing
01cf7bda-0130-4767-8d6e-ee5c6a267a2e,54808f3c-7c7c-4326-8736-5cdb7c509024,Welding (MIG/TIG/Arc),Metal Fabrication Service,Primary,Production,Manual cross-reference with Package004_Industries,Internal package mapping,2026-07-24,75,VST-NEEDS_REVIEW,[mapping_type]: Primary skill for Metal Fabrication Service
182d7014-c23b-452f-951b-8c7e8c329032,125cc855-d61d-4a47-b55f-47edfc2eb436,Industrial Electrician,Electrical Installation Service,Primary,Service,Manual cross-reference with Package004_Industries,Internal package mapping,2026-07-24,75,VST-NEEDS_REVIEW,[mapping_type]: Primary skill for Electrical Installation Service
cdbd13c3-110e-4b6b-beb3-b3184c2f8f2f,22fcaac1-6b74-4c59-bc65-e16f4cf8b23c,Electrician (Domestic Wiring),Electrical Installation Service,Primary,Service,Manual cross-reference with Package004_Industries,Internal package mapping,2026-07-24,75,VST-NEEDS_REVIEW,[mapping_type]: Primary skill for Electrical Installation Service
8cf46bd7-73cd-4244-ac42-57cc04f9b371,c8bcd555-1120-4d12-90a7-336fe27250bc,Masonry & Brickwork,Construction Service,Primary,On-site,Manual cross-reference with Package004_Industries,Internal package mapping,2026-07-24,75,VST-NEEDS_REVIEW,[mapping_type]: Primary skill for Construction Service
881e3c65-2639-4c8b-972c-92fa93a18d6f,24328d37-c789-4100-9a1d-5ecfdf10f0e5,Plumbing,Plumbing Service,Primary,Service,Manual cross-reference with Package004_Industries,Internal package mapping,2026-07-24,75,VST-NEEDS_REVIEW,[mapping_type]: Primary skill for Plumbing Service
e3a56baf-13f3-4085-b6e5-95e7b30cd87b,ef2400ab-5de1-4caa-ae37-f45fda926ea6,Carpentry,Furniture Manufacturing,Primary,Production,Manual cross-reference with Package004_Industries,Internal package mapping,2026-07-24,75,VST-NEEDS_REVIEW,[mapping_type]: Primary skill for Furniture Manufacturing
e980c42c-c784-4ebc-aca3-4035e5d63049,e9a9d72b-0c80-4932-b907-ffc466d58717,Food Processing & Preservation,Agro-Processing Unit,Primary,Production,Manual cross-reference with Package004_Industries,Internal package mapping,2026-07-24,75,VST-NEEDS_REVIEW,[mapping_type]: Primary skill for Agro-Processing Unit
