mapping_id,package001_dist_id,dist_ref,district_name,state,business_id,business_name,suitability_basis,resource_strength,market_access_score,data_source,source_url,collection_date,confidence_score,verification_status,notes
dmap-001,b6fb561d-e551-4b7a-b15b-6f81e5a3ec20,TG-NZB,Nizamabad,Telangana,mb-004,Spice Grinding and Packing Unit,Nizamabad is a benchmark turmeric market yard; Package005 records it as a major turmeric district,Very High,High,Package001_Geography district master; Package005 crop district attribution,https://msme.gov.in/,2026-07-25,71,VST-NEEDS_REVIEW,Suitability is asserted only where a documented district characteristic drives it; no blanket district-business cross-product is generated
dmap-002,b6fb561d-e551-4b7a-b15b-6f81e5a3ec20,TG-NZB,Nizamabad,Telangana,mb-001,Rice Milling Unit,Major paddy-growing district with established milling activity,High,High,Package001_Geography district master; Package005 crop district attribution,https://msme.gov.in/,2026-07-25,69,VST-NEEDS_REVIEW,Suitability is asserted only where a documented district characteristic drives it; no blanket district-business cross-product is generated
dmap-003,d5299947-775b-49ed-9ddf-68116cd4ea31,AP-GUN,Guntur,Andhra Pradesh,mb-004,Spice Grinding and Packing Unit,Guntur hosts Asia's largest chilli market yard; Package005 records it as a major chilli district,Very High,Very High,Package001_Geography district master; Package005 crop district attribution,https://msme.gov.in/,2026-07-25,72,VST-NEEDS_REVIEW,Suitability is asserted only where a documented district characteristic drives it; no blanket district-business cross-product is generated
dmap-004,d5299947-775b-49ed-9ddf-68116cd4ea31,AP-GUN,Guntur,Andhra Pradesh,mb-002,Dal Milling Unit,Significant pulse acreage in the district and adjoining belt,High,High,Package001_Geography district master; Package005 crop district attribution,https://msme.gov.in/,2026-07-25,67,VST-NEEDS_REVIEW,Suitability is asserted only where a documented district characteristic drives it; no blanket district-business cross-product is generated
dmap-005,155d1569-c077-4433-b4e0-6ceadfd0622a,AP-ATP,Ananthapuramu,Andhra Pradesh,mb-003,Cold-Pressed Oil Unit,Anantapur is India's largest groundnut district by area; Package005 records it,Very High,Medium,Package001_Geography district master; Package005 crop district attribution,https://msme.gov.in/,2026-07-25,71,VST-NEEDS_REVIEW,Suitability is asserted only where a documented district characteristic drives it; no blanket district-business cross-product is generated
dmap-006,b35798a9-d3a2-4ff0-b330-b3a1199c4551,AP-KUR,Kurnool,Andhra Pradesh,mb-002,Dal Milling Unit,Kurnool has substantial chickpea and pulse acreage per Package005,High,Medium,Package001_Geography district master; Package005 crop district attribution,https://msme.gov.in/,2026-07-25,68,VST-NEEDS_REVIEW,Suitability is asserted only where a documented district characteristic drives it; no blanket district-business cross-product is generated
dmap-007,b35798a9-d3a2-4ff0-b330-b3a1199c4551,AP-KUR,Kurnool,Andhra Pradesh,mb-004,Spice Grinding and Packing Unit,Chilli and coriander acreage supports spice processing,High,Medium,Package001_Geography district master; Package005 crop district attribution,https://msme.gov.in/,2026-07-25,66,VST-NEEDS_REVIEW,Suitability is asserted only where a documented district characteristic drives it; no blanket district-business cross-product is generated
dmap-008,086394be-1e67-4761-a069-e9d2dd6f7bd0,TG-KRM,Karimnagar,Telangana,mb-001,Rice Milling Unit,Karimnagar is a major paddy district with dense milling clusters,Very High,High,Package001_Geography district master; Package005 crop district attribution,https://msme.gov.in/,2026-07-25,70,VST-NEEDS_REVIEW,Suitability is asserted only where a documented district characteristic drives it; no blanket district-business cross-product is generated
dmap-009,0cb70c34-070b-4d0b-904a-562214df7d76,TG-NLG,Nalgonda,Telangana,mb-006,Fruit Pulp and Beverage Unit,Nalgonda sweet orange belt supplies juice and pulp processors per Package005,High,Medium,Package001_Geography district master; Package005 crop district attribution,https://msme.gov.in/,2026-07-25,68,VST-NEEDS_REVIEW,Suitability is asserted only where a documented district characteristic drives it; no blanket district-business cross-product is generated
dmap-010,0cb70c34-070b-4d0b-904a-562214df7d76,TG-NLG,Nalgonda,Telangana,mb-027,Cold Storage Facility,Perishable horticulture output creates cold storage demand,Medium,Medium,Package001_Geography district master; Package005 crop district attribution,https://msme.gov.in/,2026-07-25,65,VST-NEEDS_REVIEW,Suitability is asserted only where a documented district characteristic drives it; no blanket district-business cross-product is generated
