scheme_id,scheme_name,scheme_type,objective,beneficiary_eligibility,benefit_amount_inr,application_level,data_source,source_url,collection_date,confidence_score,verification_status,notes,package007_scheme_id,scheme_ownership
as-001,Pradhan Mantri Kisan Samman Nidhi (PM-KISAN),Direct Income Support,Income support for small/marginal farmers,Landholding size-based; all categories,6000 per year (2000 per quarter),Farmer bank account linked,Ministry of Agriculture,https://pmkisan.gov.in/,2026-07-24,78,VST-NEEDS_REVIEW,Largest scheme; 110+ crore enrollments,sch-005,DEPRECATED_REFERENCE
as-002,Pradhan Mantri Fasal Bima Yojana (PMFBY),Crop Insurance,Protect farmers from loss due to crop failure,All farmers (small/marginal/large); loan dependent exception,Premium coverage varies by crop/season,District level; mandatory for loanees,Ministry of Agriculture,https://pmfby.gov.in/,2026-07-24,75,VST-NEEDS_REVIEW,Claims processing improving,sch-006,DEPRECATED_REFERENCE
as-003,Paramparagat Krishi Vikas Yojana (PKVY),Organic Farming Support,Promote natural farming without external inputs,Farmers willing to convert to organic,Per hectare subsidy (cluster model),Village cluster (min 50 farmers),Ministry of Agriculture,https://www.pib.gov.in/,2026-07-24,72,VST-NEEDS_REVIEW,3-year certification pathway,sch-010,DEPRECATED_REFERENCE
as-004,Rashtriya Krishi Vikas Yojana (RKVY),Agricultural Development,State-led agricultural development initiatives,All farmers; state-specific programs,Varies by state and intervention,State-level allocation,Ministry of Agriculture,https://rkvy.nic.in/,2026-07-24,71,VST-NEEDS_REVIEW,Devolved state scheme,PENDING_VERIFICATION,DOMAIN_CANONICAL
as-005,Sub-Mission on Agri-Mechanization (SMAM),Equipment Support,Subsidy for farm machinery purchase,"Small/marginal farmers, SHGs, FPOs",40-50% subsidy on equipment cost,District agriculture office,Ministry of Agriculture,https://www.pmsmsby.gov.in/,2026-07-24,75,VST-NEEDS_REVIEW,Mechanization acceleration,sch-009,DEPRECATED_REFERENCE
as-006,Mission for Integrated Development of Horticulture (MIDH),Horticultural Support,"Promotion of fruits, vegetables, flowers, spices",All horticultural farmers,Per hectare grants (0.5-2 lakh typically),District horticulture dept,Ministry of Agriculture,https://midh.gov.in/,2026-07-24,73,VST-NEEDS_REVIEW,High-value crop promotion,PENDING_VERIFICATION,DOMAIN_CANONICAL
as-007,Pradhan Mantri Krishi Sinchayee Yojana (PMKSY),Irrigation Support,Per-drop-more-crop; micro-irrigation infrastructure,Farmers on command/non-command areas,Up to 60-80% subsidy on drip/sprinkler,Block/district level,Ministry of Jal Shakti,https://pmksy.gov.in/,2026-07-24,74,VST-NEEDS_REVIEW,Water efficiency focus,sch-008,DEPRECATED_REFERENCE
as-008,Agricultural Infrastructure Fund (AIF),Value-chain Infrastructure,"Finance for post-harvest, processing, market linkage","Agri-entities (FPO, cooperatives, PACS, individuals)",Loans at subsidized rates,Bank-led; RBI guidelines,Ministry of Agriculture,https://www.pib.gov.in/,2026-07-24,70,VST-NEEDS_REVIEW,Post-2020 new facility,sch-012,DEPRECATED_REFERENCE
as-009,Kisan Credit Card (KCC),Credit Access,Easy credit access for farming operations,All categories of farmers,Based on landholding; collateral-free,Scheduled commercial banks,NABARD,https://www.nabard.org/,2026-07-24,76,VST-NEEDS_REVIEW,Since 1998; wide reach,sch-007,DEPRECATED_REFERENCE
as-010,Soil Health Card Scheme,Soil Testing Service,Free soil health testing & recommendations,All farmers,Free soil testing (results delivery),District soil testing lab,Ministry of Agriculture,https://www.soilhealth.dac.gov.in/,2026-07-24,74,VST-NEEDS_REVIEW,30+ crore cards issued,sch-011,DEPRECATED_REFERENCE
as-011,National Livestock Mission,Livestock Support,"Genetic improvement, fodder production, animal health","Livestock farmers, dairy operators",Varies by sub-scheme,Veterinary/animal husbandry dept,Ministry of Animal Husbandry,https://www.dahd.nic.in/,2026-07-24,71,VST-NEEDS_REVIEW,Multi-species coverage,PENDING_VERIFICATION,DOMAIN_CANONICAL
as-012,National Fisheries Development Board,Fisheries Support,"Aquaculture, fisheries infrastructure, export support","Fish farmers, aquaculture entrepreneurs",Subsidy/loan support schemes,Fisheries dept,Ministry of Animal Husbandry,https://nfdb.gov.in/,2026-07-24,69,VST-NEEDS_REVIEW,Coastal & inland focus,PENDING_VERIFICATION,DOMAIN_CANONICAL
