organisation,distinct_urls,consuming_packages,rows_citing,trust_score
Package001_Geography district master; scheme guidelines,1,Package007_Government_Schemes;Package008_MSME,556,85
ICAR; Ministry of Agriculture & Farmers Welfare,1,Package005_Agriculture,262,80
Office of Development Commissioner (MSME); MSME-DI project profiles,1,Package007_Government_Schemes;Package008_MSME,246,85
"Wikipedia 'List of revenue divisions in Telangana', compiling: Telangana State Portal (State Profile), Chief Commissioner of Land Administration (ccla.telangana.gov.in), and individual District Revenue Department notifications",1,Package001_Geography,75,45
Package006_Skills_and_Training reconciliation,1,Package007_Government_Schemes;Package008_MSME,69,85
WebSearch aggregation (secondary/portal cross-check; official site inaccessible via WebFetch this session),66,Package002_Education,66,85
Ministry of Agriculture & Farmers Welfare,1,Package005_Agriculture;Package007_Government_Schemes;Package008_MSME,54,85
"WEF Future of Jobs Report 2025, McKinsey Global Institute, NASSCOM AI Adoption Index",1,Package006_Skills_and_Training,45,62
"NASSCOM Industry Skills Mapping, LinkedIn Jobs Report",1,Package006_Skills_and_Training,40,62
Ministry of Food Processing Industries (MoFPI),1,Package005_Agriculture;Package008_MSME,39,85
"Telangana State Portal (telangana.gov.in/about/districts) for district list/HQ; Census of India 2011 for population/literacy/urban%/sex ratio (both via Wikipedia's compiled, footnoted table)",1,Package001_Geography,33,45
"AP Districts (Formation) Act notifications (2022 and Dec-2025 amendments) for district list/codes/HQ; AP Directorate of Economics & Statistics Socio-Economic Survey 2022-23 for population/area (both via Wikipedia's compiled, footnoted table)",1,Package001_Geography,29,45
WebSearch,24,Package003_Healthcare,24,85
NASSCOM,2,Package005_Agriculture;Package006_Skills_and_Training;Package008_MSME,24,62
NCVET National Skills Qualification Framework (NSQF) overview; ValueWeave editorial grouping,1,Package006_Skills_and_Training,24,85
Ministry of Agriculture,11,Package005_Agriculture;Package006_Skills_and_Training;Package007_Government_Schemes,20,85
Package002_Education and Package006 reconciliation,1,Package007_Government_Schemes;Package008_MSME,19,85
ICAR-IISR; Spices Board of India,1,Package005_Agriculture;Package008_MSME,16,80
Ministry of Commerce and Industry,1,Package005_Agriculture;Package008_MSME,13,85
"WebSearch (secondary aggregation of government/NASSCOM sources, industry AI-adoption and market reports, freelance-marketplace/gig-economy data, and portal blogs); direct WebFetch to .gov.in domains blocked by session egress policy",12,Package004_Industries,12,85
DGT,1,Package006_Skills_and_Training,9,85
Reserve Bank of India,1,Package007_Government_Schemes;Package008_MSME,9,82
Official college website; aggregator cross-check,8,Package003_Healthcare,8,55
APEDA (Agricultural and Processed Food Products Export Development Authority),1,Package005_Agriculture;Package008_MSME,8,85
Wikipedia; official college website,8,Package003_Healthcare,8,45
National Scholarship Portal; Package002_Education reconciliation,1,Package007_Government_Schemes,8,85
NABARD,1,Package005_Agriculture;Package007_Government_Schemes;Package008_MSME,8,82
National Medicinal Plants Board,1,Package005_Agriculture,7,85
Ministry of Textiles,1,Package008_MSME,7,85
MeitY; industry associations,1,Package007_Government_Schemes;Package008_MSME,7,85
Ministry of Rural Development,2,Package005_Agriculture;Package007_Government_Schemes;Package008_MSME,6,85
Central Pollution Control Board,1,Package008_MSME,5,85
Department of Animal Husbandry & Dairying,1,Package005_Agriculture,5,85
Department of Financial Services,1,Package007_Government_Schemes,5,85
Ministry of New and Renewable Energy,1,Package007_Government_Schemes;Package008_MSME,5,85
Ministry of Health and Family Welfare,2,Package007_Government_Schemes;Package008_MSME,5,85
Ministry of Social Justice and Empowerment,1,Package007_Government_Schemes,5,85
Wikipedia,4,Package003_Healthcare,4,45
kothagudem.telangana.gov.in (via WebSearch snippet),1,Package003_Healthcare,4,85
State revenue departments; MeeSeva,1,Package007_Government_Schemes,4,85
"Ministry of Micro, Small and Medium Enterprises",2,Package007_Government_Schemes;Package008_MSME,4,85
westgodavari.ap.gov.in (via WebSearch snippet),1,Package003_Healthcare,4,85
SIDBI,1,Package007_Government_Schemes;Package008_MSME,4,82
Ministry of Heavy Industries,1,Package008_MSME,3,85
Ministry of Animal Husbandry,2,Package005_Agriculture,3,85
Ministry of Jal Shakti,1,Package005_Agriculture;Package007_Government_Schemes,3,85
"Aggregator search snippets (edufever, collegedunia)",3,Package003_Healthcare,3,55
FSSAI,2,Package006_Skills_and_Training;Package008_MSME,3,85
GSTN,1,Package007_Government_Schemes;Package008_MSME,3,85
ICSDC,1,Package006_Skills_and_Training,3,55
DPIIT; Startup India,1,Package008_MSME,3,85
Central Drugs Standard Control Organisation,1,Package008_MSME,2,85
Directorate of Cashewnut and Cocoa Development,1,Package005_Agriculture,2,85
Department of Food and Public Distribution,1,Package007_Government_Schemes,2,85
Department of Empowerment of Persons with Disabilities,2,Package007_Government_Schemes,2,85
"Multiple college-listing aggregator sites (tabindia.org, careermarg.com, moksh16.com) via WebSearch snippets",1,Package003_Healthcare,2,45
adilabad.telangana.gov.in; Wikipedia; rimsadilabad.org (via WebSearch snippet),1,Package003_Healthcare,2,45
rmckakinada.com; Wikipedia (via WebSearch snippets),1,Package003_Healthcare,2,45
Jan Suraksha portal; Department of Financial Services,1,Package007_Government_Schemes,2,85
"Ministry of Environment, Forest and Climate Change",1,Package008_MSME,2,85
National Bee Board,1,Package005_Agriculture,2,85
NPTEL official site; SWAYAM NPTEL certification page,1,Package006_Skills_and_Training,2,75
MGNREGA portal; Ministry of Rural Development,1,Package007_Government_Schemes,2,85
Government of Telangana,2,Package008_MSME,2,85
"WebSearch cross-check (telanganaepass.cgg.gov.in listed among results; corroborated by teachersbadi.in, buddy4study.com, leverageedu.com)",1,Package002_Education,2,85
Ministry of Tourism,1,Package008_MSME,2,85
CGTMSE,1,Package007_Government_Schemes;Package008_MSME,2,55
Ministry of Civil Aviation (DGCA); Ministry of Agriculture,1,Package008_MSME,2,85
Directorate General of Foreign Trade,1,Package008_MSME,2,85
IHM,1,Package006_Skills_and_Training,2,75
PMEGP e-portal; KVIC,1,Package007_Government_Schemes;Package008_MSME,2,85
MUDRA; Department of Financial Services,1,Package007_Government_Schemes;Package008_MSME,2,55
Stand-Up India portal,1,Package007_Government_Schemes;Package008_MSME,2,55
Official college website (gmcjagtial.com),1,Package003_Healthcare,1,55
gmcmancherial.org; Grokipedia (via WebSearch snippet),1,Package003_Healthcare,1,55
"WebSearch aggregated (tssdc.in, NSDC state list page, Telangana IT&EC department page)",1,Package006_Skills_and_Training,1,55
WebSearch aggregation summarizing Telangana govt announcements via news and secondary sources,1,Package003_Healthcare,1,85
National Health Mission; Ministry of Health and Family Welfare,1,Package007_Government_Schemes,1,85
State Agriculture Departments,1,Package005_Agriculture,1,85
Agriculture Infrastructure Fund portal,1,Package007_Government_Schemes,1,85
Farm Mechanization portal; Department of Agriculture,1,Package007_Government_Schemes,1,85
"Atal Innovation Mission, NITI Aayog",1,Package008_MSME,1,85
AISHE Official Website,1,Package002_Education,1,85
"WebSearch aggregated (APIIC official site, Wikipedia via search summary, Business Standard, Dhruva Industrial Consultants)",1,Package004_Industries,1,55
"WebSearch aggregated (APIS official site, IndiaFilings, StartupIndia state policy page, StartupFlora, StartupGrantsIndia)",1,Package004_Industries,1,85
ABB Robotics India course booking page; ABB global Customer Certification page,1,Package006_Skills_and_Training,1,55
WebSearch cross-check (multiple secondary sources),1,Package002_Education,1,85
AWS,1,Package006_Skills_and_Training,1,55
"bapatla.ap.gov.in; Medindia (WebSearch snippets only, no direct fetch)",1,Package003_Healthcare,1,85
ISRO/NRSC Bhuvan; ICAR,1,Package005_Agriculture,1,85
"Aggregator search snippets (blog.rmgoe.org, medicalneetug.com)",1,Package003_Healthcare,1,55
WebSearch cross-check (multiple secondary education portals),1,Package002_Education,1,85
CADD Centre official corporate website and network page,1,Package006_Skills_and_Training,1,55
Secondary reporting on AP POLYCET 2026 counselling data; CollegeDekho/Collegedunia aggregation,1,Package006_Skills_and_Training,1,55
Healthcare Sector Skill Council (HSSC) General Duty Assistant Qualification Pack (HSS/Q5101); CBSE vocational curriculum documentation of the GDA job role,1,Package006_Skills_and_Training,1,85
Certiport official Autodesk certification page; CAD training cost guide,1,Package006_Skills_and_Training,1,55
Certiport official program page; aggregator discussion of India pricing,1,Package006_Skills_and_Training,1,55
Official APSCHE CETS EAPCET portal cross-checked via Testbook and Collegedunia,1,Package002_Education,1,85
Official APSCHE CETS LAWCET portal cross-checked via Shiksha and Collegedunia,1,Package002_Education,1,85
WebSearch aggregation summarizing MoHFW/CGHS material via secondary sources,1,Package003_Healthcare,1,85
chittoor.ap.gov.in; Mappls; Medindia (via WebSearch snippets),1,Package003_Healthcare,1,85
Coconut Development Board,1,Package005_Agriculture,1,85
"ICAR, Ministry of Agriculture",1,Package005_Agriculture,1,85
"WebSearch aggregation of platform and industry-blog sources; WebSearch aggregation of live-commerce, video-editing-AI and market-size sources (2026-07-24 pass)",1,Package004_Industries,1,55
Central Silk Board; Ministry of Textiles,1,Package005_Agriculture,1,85
CSC e-Governance Services India Limited,1,Package007_Government_Schemes,1,85
