entity_type,owner_package,owned_attributes,other_packages_may_hold,rationale
District,Package001_Geography,district_name;population;area_sq_km;literacy_rate_pct;sex_ratio;latitude;longitude;mandal_count;district_headquarters,dist_id as a foreign key; district_name denormalised alongside it for readability,Geography is referenced by five other packages and changes only on administrative reorganisation.
State,Package001_Geography,state_name;state_code;capital_city;state_gdp_inr_cr;industrial_policy_name,st_id as a foreign key,Same reasoning as District.
Country,Package001_Geography,country_name;iso_code,country name as free text in export destination lists,Only India is modelled as a first-class Country in v2.0.0; export destinations are ExportCountry.
Institution,Package002_Education,name;university_type;affiliation;established_year;accreditation,institution id as a foreign key,Institutional facts are stable and verifiable; duplicating them invites divergence on accreditation.
Skill,Package006_Skills_and_Training,skill_name;nsqf_level;learning_duration;difficulty_level;automation_risk;salary_range,skill_id as a foreign key; relationship attributes such as criticality and role,Package008 V13 already enforces this. The distinction that matters: 'this business needs Welding' is a relationship Package008 owns; 'Welding is NSQF level 4' is an attribute Package006 owns.
Certification,Package006_Skills_and_Training,certification_name;issuing_body;nsqf_level;validity_period;recognition_level,certification_id as a foreign key,Certification validity changes with regulator decisions.
TrainingProvider,Package006_Skills_and_Training,provider_name;provider_type;jurisdiction,provider_id as a foreign key,Provider networks are restructured periodically.
Industry,Package004_Industries,industry classification names and sector descriptions,category name as a label alongside a reference,"PARTIALLY CONTESTED: Package005, Package006 and Package008 each maintain their own sector taxonomy. See known_overlaps.csv."
BusinessOpportunity,Package004_Industries,name;investment_range_summary;machinery_equipment_summary;raw_materials_summary;licenses_required_summary;training_providers_summary,opportunity id as a foreign key; relationship type qualifiers,Package004 carries sourced investment and machinery detail. Package008 deliberately does not restate it.
MSME,Package008_MSME,business_name;udyam_classification;difficulty;risk_level;technology_level;automation_level;ai_readiness;profitability_outlook,business_id as a foreign key,Package008 is the Business Intelligence Layer; no other package models MSME opportunities.
GovernmentScheme,Package007_Government_Schemes,scheme_name;ministry;objective;benefit_summary;financial_assistance;eligibility;application_mode;official_portal;launch_year,scheme_id as a foreign key; relationship qualifiers such as relevance and applicable_stage,CONTESTED: five packages carry domain scheme slices predating Package007. See known_overlaps.csv and ADR-003.
Crop,Package005_Agriculture,crop_name;scientific_name;season;duration_days;water_requirement_mm;soil_type_preferred;rainfall_mm;avg_yield_tons_per_ha;major_states;major_districts,crop_id as a foreign key,Package008 V13 enforces this already.
Soil,Package005_Agriculture,soil_name;pH_range_min;pH_range_max;texture;soil_color;crop_suitability,soil_id as a foreign key,"Single-package domain, uncontested."
ClimateZone,Package005_Agriculture,zone_name;rainfall_mm_min;rainfall_mm_max;temperature_min_c;temperature_max_c;humidity_percent;growing_seasons,climate_zone_id as a foreign key,"Single-package domain, uncontested."
Machinery,Package005_Agriculture,machinery_name;power_hp;automation_level;ai_readiness;subsidy_scheme;capacity,machinery_id as a foreign key; machinery_name as free text where Package005 has no record,SCOPE-LIMITED: Package005 catalogues agricultural machinery only. 54 of 64 Package008 machinery references correctly have no upstream id. See known_overlaps.csv.
RawMaterial,Package008_MSME,raw_material_name;material_class;supplier_type;availability;seasonality;price_volatility,"crop_id where the input is a crop, in which case Package005 owns it",Non-crop production inputs have no other home in the knowledge base.
Market,Package008_MSME,channel_name;channel_type;buyer_type;entry_barrier;digital_intensity,channel_id as a foreign key,"Single-package domain, uncontested."
ExportCountry,Package001_Geography,country_name,country name as free text in destination lists,NOMINAL: Package001 v1.0.0 holds no country dataset. Ownership is assigned for future consolidation; the 29 ExportCountry entities are derived from Package005 and Package008 destination text. See known_overlaps.csv.
FinancialInstitution,Package007_Government_Schemes,institution_name;institution_type;ownership;priority_sector_lending;scheme_roles,institution reference by name; instrument and typical_use as relationship attributes,CONTESTED: Package008 financial_support overlaps Package007 financial_institutions. See known_overlaps.csv.
