mapping_id,crop_id,crop_name,soil_id,soil_name,suitability_score,suitability_level,data_source,source_url,collection_date,confidence_score,verification_status,notes
csm-001,crop-001,Rice,st-003,Alluvial,95,Optimal,ICAR; Ministry of Agriculture & Farmers Welfare,https://icar.org.in/,2026-07-24,78,VST-NEEDS_REVIEW,Puddled alluvial lowland is the classic rice situation
csm-002,crop-001,Rice,st-007,Clay,82,Suitable,ICAR; Ministry of Agriculture & Farmers Welfare,https://icar.org.in/,2026-07-24,75,VST-NEEDS_REVIEW,High water retention suits transplanted rice
csm-003,crop-002,Wheat,st-003,Alluvial,93,Optimal,ICAR; Ministry of Agriculture & Farmers Welfare,https://icar.org.in/,2026-07-24,78,VST-NEEDS_REVIEW,Indo-Gangetic alluvium is the principal wheat base
csm-004,crop-002,Wheat,st-006,Loamy,85,Optimal,ICAR; Ministry of Agriculture & Farmers Welfare,https://icar.org.in/,2026-07-24,76,VST-NEEDS_REVIEW,Well-drained loam performs comparably under irrigation
csm-005,crop-003,Maize,st-006,Loamy,90,Optimal,ICAR; Ministry of Agriculture & Farmers Welfare,https://icar.org.in/,2026-07-24,77,VST-NEEDS_REVIEW,Free-draining loam avoids waterlogging sensitivity
csm-006,crop-003,Maize,st-002,Red Soil,74,Suitable,ICAR; Ministry of Agriculture & Farmers Welfare,https://icar.org.in/,2026-07-24,74,VST-NEEDS_REVIEW,Workable with organic matter and fertiliser correction
csm-007,crop-004,Barley,st-006,Loamy,86,Optimal,ICAR; Ministry of Agriculture & Farmers Welfare,https://icar.org.in/,2026-07-24,73,VST-NEEDS_REVIEW,Tolerates lighter soils than wheat
csm-008,crop-004,Barley,st-010,Alkaline,66,Marginal,ICAR; Ministry of Agriculture & Farmers Welfare,https://icar.org.in/,2026-07-24,70,VST-NEEDS_REVIEW,Comparatively tolerant of mild alkalinity
csm-009,crop-005,Pearl Millet,st-005,Sandy,88,Optimal,ICAR; Ministry of Agriculture & Farmers Welfare,https://icar.org.in/,2026-07-24,76,VST-NEEDS_REVIEW,Sandy light soils suit the crop's drought strategy
csm-010,crop-005,Pearl Millet,st-002,Red Soil,76,Suitable,ICAR; Ministry of Agriculture & Farmers Welfare,https://icar.org.in/,2026-07-24,74,VST-NEEDS_REVIEW,Common on shallow red soils in rainfed tracts
csm-011,crop-006,Sorghum,st-001,Black Soil,88,Optimal,ICAR; Ministry of Agriculture & Farmers Welfare,https://icar.org.in/,2026-07-24,76,VST-NEEDS_REVIEW,Deep black soils supply the stored moisture the crop needs
csm-012,crop-006,Sorghum,st-002,Red Soil,74,Suitable,ICAR; Ministry of Agriculture & Farmers Welfare,https://icar.org.in/,2026-07-24,74,VST-NEEDS_REVIEW,Rainfed red-soil tracts of the Deccan
csm-013,crop-007,Finger Millet,st-002,Red Soil,86,Optimal,ICAR; Ministry of Agriculture & Farmers Welfare,https://icar.org.in/,2026-07-24,74,VST-NEEDS_REVIEW,Traditional red-soil crop of the southern plateau
csm-014,crop-007,Finger Millet,st-004,Laterite,70,Suitable,ICAR; Ministry of Agriculture & Farmers Welfare,https://icar.org.in/,2026-07-24,71,VST-NEEDS_REVIEW,Grown on lateritic uplands with amendment
csm-015,crop-008,Foxtail Millet,st-002,Red Soil,85,Optimal,ICAR; Ministry of Agriculture & Farmers Welfare,https://icar.org.in/,2026-07-24,70,VST-NEEDS_REVIEW,Shallow red soils of the rainfed south
csm-016,crop-008,Foxtail Millet,st-005,Sandy,74,Suitable,ICAR; Ministry of Agriculture & Farmers Welfare,https://icar.org.in/,2026-07-24,69,VST-NEEDS_REVIEW,Tolerates light textures on low fertility
csm-017,crop-009,Chickpea,st-001,Black Soil,92,Optimal,ICAR; Ministry of Agriculture & Farmers Welfare,https://icar.org.in/,2026-07-24,77,VST-NEEDS_REVIEW,Residual-moisture rabi crop on deep black soils
csm-018,crop-009,Chickpea,st-006,Loamy,78,Suitable,ICAR; Ministry of Agriculture & Farmers Welfare,https://icar.org.in/,2026-07-24,75,VST-NEEDS_REVIEW,Requires assured drainage to avoid wilt
csm-019,crop-010,Pigeon Pea,st-001,Black Soil,90,Optimal,ICAR; Ministry of Agriculture & Farmers Welfare,https://icar.org.in/,2026-07-24,76,VST-NEEDS_REVIEW,Deep soils accommodate the long taproot
csm-020,crop-010,Pigeon Pea,st-002,Red Soil,74,Suitable,ICAR; Ministry of Agriculture & Farmers Welfare,https://icar.org.in/,2026-07-24,74,VST-NEEDS_REVIEW,Widely intercropped on red soils
csm-021,crop-011,Moong (Green Gram),st-006,Loamy,85,Optimal,ICAR; Ministry of Agriculture & Farmers Welfare,https://icar.org.in/,2026-07-24,75,VST-NEEDS_REVIEW,Short duration; needs free drainage
csm-022,crop-011,Moong (Green Gram),st-005,Sandy,74,Suitable,ICAR; Ministry of Agriculture & Farmers Welfare,https://icar.org.in/,2026-07-24,73,VST-NEEDS_REVIEW,Suits light soils in summer catch-crop slots
csm-023,crop-012,Urad (Black Gram),st-006,Loamy,85,Optimal,ICAR; Ministry of Agriculture & Farmers Welfare,https://icar.org.in/,2026-07-24,75,VST-NEEDS_REVIEW,Standard kharif situation
csm-024,crop-012,Urad (Black Gram),st-007,Clay,68,Marginal,ICAR; Ministry of Agriculture & Farmers Welfare,https://icar.org.in/,2026-07-24,72,VST-NEEDS_REVIEW,Tolerates heavier soils better than moong
csm-025,crop-013,Lentil,st-006,Loamy,88,Optimal,ICAR; Ministry of Agriculture & Farmers Welfare,https://icar.org.in/,2026-07-24,75,VST-NEEDS_REVIEW,Cool-season crop on well-drained loam
csm-026,crop-013,Lentil,st-003,Alluvial,84,Suitable,ICAR; Ministry of Agriculture & Farmers Welfare,https://icar.org.in/,2026-07-24,74,VST-NEEDS_REVIEW,Grown widely on Indo-Gangetic alluvium
csm-027,crop-014,Groundnut,st-005,Sandy,90,Optimal,ICAR; Ministry of Agriculture & Farmers Welfare,https://icar.org.in/,2026-07-24,77,VST-NEEDS_REVIEW,Light soils allow pod development and easy harvest
csm-028,crop-014,Groundnut,st-002,Red Soil,78,Suitable,ICAR; Ministry of Agriculture & Farmers Welfare,https://icar.org.in/,2026-07-24,75,VST-NEEDS_REVIEW,Anantapur red sandy loam tract
csm-029,crop-015,Soybean,st-001,Black Soil,90,Optimal,ICAR; Ministry of Agriculture & Farmers Welfare,https://icar.org.in/,2026-07-24,76,VST-NEEDS_REVIEW,Malwa plateau black soils dominate acreage
csm-030,crop-015,Soybean,st-006,Loamy,78,Suitable,ICAR; Ministry of Agriculture & Farmers Welfare,https://icar.org.in/,2026-07-24,74,VST-NEEDS_REVIEW,Performs on loam with assured drainage
csm-031,crop-016,Sunflower,st-006,Loamy,87,Optimal,ICAR; Ministry of Agriculture & Farmers Welfare,https://icar.org.in/,2026-07-24,75,VST-NEEDS_REVIEW,Well-drained loam under rabi irrigation
csm-032,crop-016,Sunflower,st-001,Black Soil,76,Suitable,ICAR; Ministry of Agriculture & Farmers Welfare,https://icar.org.in/,2026-07-24,74,VST-NEEDS_REVIEW,Grown on black soils in the Deccan rabi season
