crop_id,crop_name,scientific_name,category_id,category_name,season,duration_days,water_requirement_mm,soil_type_preferred,rainfall_mm,temperature_min_c,temperature_max_c,avg_yield_tons_per_ha,major_states,major_districts,organic_possible,export_potential,processing_potential,mechanization_level,data_source,source_url,collection_date,confidence_score,verification_status,notes
crop-001,Rice,Oryza sativa,cc-001,Food Grains,Kharif,150,1200,Alluvial,1200,20,35,6.5,"West Bengal, Punjab, Uttar Pradesh, Telangana, Andhra Pradesh","Nalgonda, Karimnagar, Nizamabad, West Godavari, Krishna",Yes,Very High,Very High,High,ICAR; Ministry of Agriculture & Farmers Welfare,https://icar.org.in/,2026-07-24,78,VST-NEEDS_REVIEW,Yield is an all-India irrigated average; district yields vary widely
crop-002,Wheat,Triticum aestivum,cc-001,Food Grains,Rabi,120,450,Alluvial,450,10,25,3.5,"Punjab, Haryana, Uttar Pradesh, Madhya Pradesh",PENDING_VERIFICATION,Yes,High,Very High,Very High,ICAR; Ministry of Agriculture & Farmers Welfare,https://icar.org.in/,2026-07-24,78,VST-NEEDS_REVIEW,Not a significant Telangana/AP crop; district attribution not asserted in this release
crop-003,Maize,Zea mays,cc-001,Food Grains,Kharif,110,500,Sandy Loam,500,15,30,3.2,"Karnataka, Madhya Pradesh, Telangana, Bihar","Karimnagar, Warangal, Medak, Kurnool",Yes,Medium,Very High,High,ICAR; Ministry of Agriculture & Farmers Welfare,https://icar.org.in/,2026-07-24,77,VST-NEEDS_REVIEW,Feed and starch industry demand drives acreage
crop-004,Barley,Hordeum vulgare,cc-001,Food Grains,Rabi,110,350,Loamy,350,5,20,2.6,"Rajasthan, Uttar Pradesh, Madhya Pradesh",PENDING_VERIFICATION,Yes,Low,High,Medium,ICAR; Ministry of Agriculture & Farmers Welfare,https://icar.org.in/,2026-07-24,73,VST-NEEDS_REVIEW,Malting industry is the main organised buyer
crop-005,Pearl Millet,Pennisetum glaucum,cc-002,Millets,Kharif,90,350,Sandy,350,20,40,1.5,"Rajasthan, Maharashtra, Gujarat, Karnataka",PENDING_VERIFICATION,Yes,Medium,High,Medium,ICAR-IIMR,https://icar.org.in/,2026-07-24,76,VST-NEEDS_REVIEW,Most drought-tolerant cereal in the group
crop-006,Sorghum,Sorghum bicolor,cc-002,Millets,Kharif,110,400,Black Soil,400,18,38,1.2,"Maharashtra, Karnataka, Telangana, Andhra Pradesh","Mahbubnagar, Nalgonda, Kurnool, Anantapur",Yes,Medium,High,Medium,ICAR-IIMR,https://icar.org.in/,2026-07-24,76,VST-NEEDS_REVIEW,Dual purpose - grain plus fodder
crop-007,Finger Millet,Eleusine coracana,cc-002,Millets,Kharif,110,450,Red Soil,450,15,30,1.7,"Karnataka, Tamil Nadu, Odisha, Uttarakhand",PENDING_VERIFICATION,Yes,Low,High,Low,ICAR-IIMR,https://icar.org.in/,2026-07-24,74,VST-NEEDS_REVIEW,High calcium; strong local nutrition demand
crop-008,Foxtail Millet,Setaria italica,cc-002,Millets,Kharif,80,300,Red Soil,300,18,35,1.0,"Andhra Pradesh, Telangana, Karnataka","Anantapur, Kurnool, Mahbubnagar",Yes,Medium,High,Low,ICAR-IIMR,https://icar.org.in/,2026-07-24,70,VST-NEEDS_REVIEW,Short duration; fits rainfed and contingency planting
crop-009,Chickpea,Cicer arietinum,cc-003,Pulses,Rabi,110,300,Black Soil,300,10,25,1.1,"Madhya Pradesh, Maharashtra, Rajasthan, Andhra Pradesh","Kurnool, Anantapur, Prakasam",Yes,High,Very High,High,ICAR-IIPR,https://icar.org.in/,2026-07-24,77,VST-NEEDS_REVIEW,Largest pulse by acreage; dal milling demand
crop-010,Pigeon Pea,Cajanus cajan,cc-003,Pulses,Kharif,200,600,Black Soil,600,18,35,0.9,"Maharashtra, Karnataka, Telangana, Madhya Pradesh","Mahbubnagar, Nalgonda, Adilabad",Yes,High,Very High,Medium,ICAR-IIPR,https://icar.org.in/,2026-07-24,76,VST-NEEDS_REVIEW,Long duration; intercropped widely
crop-011,Moong (Green Gram),Vigna radiata,cc-003,Pulses,Kharif,70,350,Sandy Loam,350,20,35,0.7,"Rajasthan, Maharashtra, Karnataka, Andhra Pradesh","Prakasam, Guntur, Kurnool",Yes,High,High,Medium,ICAR-IIPR,https://icar.org.in/,2026-07-24,75,VST-NEEDS_REVIEW,Very short duration; fits as a catch crop
