business_model_id,business_model_name,model_type,description,revenue_pattern,asset_intensity,typical_lead_time_to_revenue,primary_risk,data_source,source_url,collection_date,confidence_score,verification_status,notes
bm-001,Manufacturing Unit,Asset-Based,"Owns plant and machinery, transforms inputs into finished goods",Order or stock-based sales,High,PENDING_VERIFICATION,Capacity utilisation below breakeven,Office of Development Commissioner (MSME); MSME-DI project profiles,https://msme.gov.in/,2026-07-25,76,VST-NEEDS_REVIEW,Classic MSME form; carries the heaviest fixed-cost burden
bm-002,Job Work / Ancillary Unit,Asset-Based,Processes material owned by a principal manufacturer for a conversion fee,Conversion charges per unit,High,PENDING_VERIFICATION,Dependence on one or few principals,Office of Development Commissioner (MSME); MSME-DI project profiles,https://msme.gov.in/,2026-07-25,72,VST-NEEDS_REVIEW,Lower working capital than own-brand manufacture; higher concentration risk
bm-003,Trading Business,Working-Capital-Based,Buys and resells without transformation,Margin on turnover,Low,PENDING_VERIFICATION,Inventory obsolescence and receivable delay,"Ministry of Micro, Small and Medium Enterprises",https://msme.gov.in/,2026-07-25,74,VST-NEEDS_REVIEW,Became Udyam-eligible in 2021; capital sits in stock not plant
bm-004,Service Centre,Skill-Based,Delivers a technical or professional service from a fixed location,Per-job or retainer,Low,PENDING_VERIFICATION,Skill concentration in the founder,"Ministry of Micro, Small and Medium Enterprises",https://msme.gov.in/,2026-07-25,74,VST-NEEDS_REVIEW,Fastest path to revenue among all models
bm-005,Repair and Maintenance Centre,Skill-Based,Restores or maintains customer-owned equipment,Per-job charges plus parts margin,Low,PENDING_VERIFICATION,Technology obsolescence of serviced products,"Ministry of Micro, Small and Medium Enterprises",https://msme.gov.in/,2026-07-25,72,VST-NEEDS_REVIEW,Authorised-service-partner status materially changes economics
bm-006,Cloud Kitchen,Asset-Light Hybrid,"Prepares food for delivery only, without dine-in space","Per-order, platform-mediated",Medium,PENDING_VERIFICATION,Platform commission and rating dependence,Ministry of Food Processing Industries,https://mofpi.gov.in/,2026-07-25,68,VST-NEEDS_REVIEW,FSSAI licence mandatory; rent lower than restaurant format
bm-007,Cold Storage Facility,Infrastructure,Rents temperature-controlled storage capacity,Rental per tonne-month,Very High,PENDING_VERIFICATION,Utilisation seasonality and power cost,Ministry of Agriculture; MoFPI,https://agricoop.gov.in/,2026-07-25,70,VST-NEEDS_REVIEW,"Revenue is rental, not produce sale; Package005 holds the machinery record"
bm-008,Warehouse and Distribution,Infrastructure,Stores and moves goods on behalf of principals,Storage and handling charges,High,PENDING_VERIFICATION,Anchor-client concentration,Ministry of Commerce and Industry,https://commerce.gov.in/,2026-07-25,70,VST-NEEDS_REVIEW,Warehousing Development and Regulatory Authority registration where applicable
bm-009,Software Product Company,IP-Based,Builds and licenses proprietary software,Subscription or licence,Very Low,PENDING_VERIFICATION,Product-market fit failure,NASSCOM,https://nasscom.in/,2026-07-25,72,VST-NEEDS_REVIEW,"Highest scalability, longest revenue lead time"
bm-010,IT Services Firm,Skill-Based,Delivers software and IT work on client specification,Time-and-material or fixed-bid,Very Low,PENDING_VERIFICATION,Billable utilisation and client concentration,NASSCOM,https://nasscom.in/,2026-07-25,74,VST-NEEDS_REVIEW,Revenue starts fastest of the technology models
bm-011,Systems Integrator,Skill-Based,"Specifies, supplies and commissions multi-vendor technical systems",Project value plus AMC,Low,PENDING_VERIFICATION,Project execution and payment milestones,Office of Development Commissioner (MSME); MSME-DI project profiles,https://msme.gov.in/,2026-07-25,68,VST-NEEDS_REVIEW,"Automation, solar EPC and security systems all use this form"
bm-012,Drone Service Provider,Asset-Based Service,"Operates drones for survey, spraying or inspection on contract",Per-acre or per-project,Medium,PENDING_VERIFICATION,DGCA compliance and pilot availability,Ministry of Civil Aviation (DGCA); Ministry of Agriculture,https://www.dgca.gov.in/,2026-07-25,64,VST-NEEDS_REVIEW,Licence-gated; Package005 holds the agricultural drone machinery record
bm-013,Solar EPC Contractor,Project-Based,"Engineers, procures and commissions solar installations",Project value plus O&M,Medium,PENDING_VERIFICATION,Subsidy disbursement timing and price competition,Ministry of New and Renewable Energy,https://mnre.gov.in/,2026-07-25,68,VST-NEEDS_REVIEW,PM Surya Ghar expanded the residential rooftop segment sharply
bm-014,Battery and E-Waste Recycling,Asset-Based,Recovers materials from end-of-life batteries and electronics,Recovered material sales plus EPR credits,High,PENDING_VERIFICATION,Feedstock collection reliability and CPCB compliance,"Ministry of Environment, Forest and Climate Change; CPCB",https://cpcb.nic.in/,2026-07-25,64,VST-NEEDS_REVIEW,EPR obligations on producers created the demand side
bm-015,Food Processing Unit,Asset-Based,Converts agricultural produce into packaged food products,"Product sales, retail or B2B",Medium,PENDING_VERIFICATION,Raw material seasonality and price volatility,Ministry of Food Processing Industries,https://mofpi.gov.in/,2026-07-25,74,VST-NEEDS_REVIEW,Package005 holds the crop and processing-opportunity detail
