source_id,organisation,url,collector,parser,frequency,trust_score,last_collection,next_collection,active,consuming_packages,consuming_dataset_count,rows_citing_source,observed_confidence_avg,trust_rationale,frequency_rationale,pipeline_rationale
src-001,Official college website (gmcjagtial.com),http://gmcjagtial.com/,knowledge_engine.collectors.api_collector.APICollector,knowledge_engine.parsers.html_table_parser.HTMLTableParser,ANNUAL,55,2026-07-22,2027-07-22,TRUE,Package003_Healthcare,1,1,88.0,Tier 3 - other public source,No faster cadence justified by observed change rate,HTML portal page; figures are published in tables
src-002,gmcmancherial.org; Grokipedia (via WebSearch snippet),http://www.gmcmancherial.org/about-us/,knowledge_engine.collectors.api_collector.APICollector,knowledge_engine.parsers.html_table_parser.HTMLTableParser,ANNUAL,55,2026-07-22,2027-07-22,TRUE,Package003_Healthcare,1,1,86.0,Tier 3 - other public source,No faster cadence justified by observed change rate,HTML portal page; figures are published in tables
src-003,"WebSearch aggregated (tssdc.in, NSDC state list page, Telangana IT&EC department page)",http://www.tssdc.in/about-us.php; https://nsdcindia.org/statelist/telangana,knowledge_engine.collectors.api_collector.APICollector,knowledge_engine.parsers.html_table_parser.HTMLTableParser,ANNUAL,55,2026-07-24,2027-07-24,TRUE,Package006_Skills_and_Training,1,1,58.0,Tier 3 - other public source,No faster cadence justified by observed change rate,HTML portal page; figures are published in tables
src-004,WebSearch aggregation summarizing Telangana govt announcements via news and secondary sources,"https://aarogyasri.telangana.gov.in/ ; https://www.policybazaar.com/health-insurance/govt-scheme/rajiv-aarogyasri-scheme-telangana/ ; https://en.wikipedia.org/wiki/Revanth_Reddy (referenced only, not fetched) ; https://telanganaweb.com/rajiv-aarogyasri-scheme-telangana/ ; https://joinditto.in/articles/health-insurance/rajiv-aarogyasri/",knowledge_engine.collectors.api_collector.APICollector,knowledge_engine.parsers.html_table_parser.HTMLTableParser,ANNUAL,85,2026-07-22,2027-07-22,TRUE,Package003_Healthcare,1,1,87.0,Tier 1 - Government of India domain,No faster cadence justified by observed change rate,HTML portal page; figures are published in tables
src-005,National Health Mission; Ministry of Health and Family Welfare,https://ab-hwc.nhp.gov.in/,knowledge_engine.collectors.api_collector.APICollector,knowledge_engine.parsers.html_table_parser.HTMLTableParser,ANNUAL,85,2026-07-25,2027-07-25,TRUE,Package007_Government_Schemes,1,1,72.0,Tier 1 - Government of India domain,No faster cadence justified by observed change rate,HTML portal page; figures are published in tables
src-006,Ministry of Agriculture & Farmers Welfare,https://agricoop.gov.in/,knowledge_engine.collectors.api_collector.APICollector,knowledge_engine.parsers.html_table_parser.HTMLTableParser,ANNUAL,85,2026-07-25,2027-07-25,TRUE,Package005_Agriculture;Package007_Government_Schemes;Package008_MSME,13,54,70.5,Tier 1 - Government of India domain,No faster cadence justified by observed change rate,HTML portal page; figures are published in tables
src-007,State Agriculture Departments,https://agriculture.gov.in/,knowledge_engine.collectors.api_collector.APICollector,knowledge_engine.parsers.html_table_parser.HTMLTableParser,ANNUAL,85,2026-07-24,2027-07-24,TRUE,Package005_Agriculture,1,1,72.0,Tier 1 - Government of India domain,No faster cadence justified by observed change rate,HTML portal page; figures are published in tables
src-008,Agriculture Infrastructure Fund portal,https://agriinfra.dac.gov.in/,knowledge_engine.collectors.api_collector.APICollector,knowledge_engine.parsers.html_table_parser.HTMLTableParser,ANNUAL,85,2026-07-25,2027-07-25,TRUE,Package007_Government_Schemes,1,1,72.0,Tier 1 - Government of India domain,No faster cadence justified by observed change rate,HTML portal page; figures are published in tables
src-009,Farm Mechanization portal; Department of Agriculture,https://agrimachinery.nic.in/,knowledge_engine.collectors.api_collector.APICollector,knowledge_engine.parsers.html_table_parser.HTMLTableParser,ANNUAL,85,2026-07-25,2027-07-25,TRUE,Package007_Government_Schemes,1,1,75.0,Tier 1 - Government of India domain,No faster cadence justified by observed change rate,HTML portal page; figures are published in tables
src-010,"Atal Innovation Mission, NITI Aayog",https://aim.gov.in/,knowledge_engine.collectors.api_collector.APICollector,knowledge_engine.parsers.html_table_parser.HTMLTableParser,ANNUAL,85,2026-07-25,2027-07-25,TRUE,Package008_MSME,1,1,72.0,Tier 1 - Government of India domain,No faster cadence justified by observed change rate,HTML portal page; figures are published in tables
