license_id,license_name,license_type,issuing_authority,jurisdiction,applicability,is_mandatory_when_applicable,renewal_cycle,online_application,official_portal,data_source,source_url,collection_date,confidence_score,verification_status,notes
lic-001,Udyam Registration,Registration,"Ministry of Micro, Small and Medium Enterprises",National,"All MSMEs seeking scheme benefits, priority sector credit or GeM access",Yes,No renewal (permanent),Yes,https://udyamregistration.gov.in/,Udyam Registration portal; Ministry of MSME,https://udyamregistration.gov.in/,2026-07-25,78,VST-NEEDS_REVIEW,"Free, self-declaration based, PAN and GST linked; replaced Udyog Aadhaar"
lic-002,GST Registration,Tax Registration,Goods and Services Tax Network,National,"Enterprises above the turnover threshold, or making inter-state supply",Yes,No renewal,Yes,https://www.gst.gov.in/,GSTN; Central Board of Indirect Taxes and Customs,https://www.gst.gov.in/,2026-07-25,76,VST-NEEDS_REVIEW,Threshold differs for goods and services and for special category states
lic-003,FSSAI Licence / Registration,Sector Licence,Food Safety and Standards Authority of India,National,"Any food business operator: manufacture, processing, storage, distribution, sale",Yes,1 to 5 years,Yes,https://foscos.fssai.gov.in/,FSSAI,https://www.fssai.gov.in/,2026-07-25,75,VST-NEEDS_REVIEW,"Three tiers by turnover and scale: Registration, State Licence, Central Licence"
lic-004,Factory Licence,Establishment Licence,State Directorate of Factories and Boilers,State,Manufacturing units above the worker-count threshold under the Factories Act,Yes,Annual or as prescribed,Varies by state,PENDING_VERIFICATION,Factories Act 1948; state labour departments,https://msme.gov.in/,2026-07-25,70,VST-NEEDS_REVIEW,Threshold depends on worker count and whether power is used
lic-005,Pollution Control Board Consent,Environmental Clearance,State Pollution Control Board,State,"Units in the Red, Orange or Green category per CPCB classification",Yes,As prescribed by category,Yes,https://cpcb.nic.in/,Central Pollution Control Board; state boards,https://cpcb.nic.in/,2026-07-25,72,VST-NEEDS_REVIEW,Consent to Establish then Consent to Operate; White category is exempt
lic-006,Trade Licence,Local Licence,Municipal corporation or local body,Local,Most commercial premises within municipal limits,Yes,Annual,Varies by local body,PENDING_VERIFICATION,State municipal acts,https://msme.gov.in/,2026-07-25,68,VST-NEEDS_REVIEW,"Requirement, fee and process vary widely between local bodies"
lic-007,Fire NOC,Safety Clearance,State Fire and Emergency Services,State,"Premises above prescribed area, height or occupancy thresholds",Yes,As prescribed,Varies by state,PENDING_VERIFICATION,State fire service acts,https://msme.gov.in/,2026-07-25,68,VST-NEEDS_REVIEW,Often a precondition for Factory Licence and Trade Licence
lic-008,BIS Certification (ISI Mark),Product Certification,Bureau of Indian Standards,National,Products under mandatory certification via a Quality Control Order,Yes,As prescribed,Yes,https://www.bis.gov.in/,Bureau of Indian Standards,https://www.bis.gov.in/,2026-07-25,73,VST-NEEDS_REVIEW,Mandatory only for notified products; voluntary otherwise
lic-009,ISO Certification,Management System Certification,Accredited third-party certification body,International,Voluntary; often a buyer or tender requirement,No,3 years with annual surveillance,Yes,PENDING_VERIFICATION,International Organization for Standardization; NABCB,https://nabcb.qci.org.in/,2026-07-25,70,VST-NEEDS_REVIEW,"Not a government licence; ISO 9001 quality, ISO 22000 food, ISO 13485 devices"
lic-010,Drug Manufacturing Licence,Sector Licence,State Drugs Controller / CDSCO,State and National,"Manufacture of drugs, cosmetics or medical devices",Yes,As prescribed,Yes,https://cdsco.gov.in/,Central Drugs Standard Control Organisation,https://cdsco.gov.in/,2026-07-25,70,VST-NEEDS_REVIEW,Qualified technical staff and premises standards are statutory prerequisites
lic-011,Electrical Inspectorate Approval,Safety Clearance,State Electrical Inspectorate,State,Installations above prescribed load or voltage thresholds,Yes,As prescribed,Varies by state,PENDING_VERIFICATION,State electricity departments; CEA regulations,https://msme.gov.in/,2026-07-25,66,VST-NEEDS_REVIEW,Required before energisation of higher-load industrial connections
lic-012,Import Export Code,Trade Registration,Directorate General of Foreign Trade,National,Any enterprise importing or exporting goods or services,Yes,Annual update required,Yes,https://www.dgft.gov.in/,Directorate General of Foreign Trade,https://www.dgft.gov.in/,2026-07-25,75,VST-NEEDS_REVIEW,Mandatory for all cross-border trade; annual electronic update needed to stay active
lic-013,Shops and Establishments Registration,Establishment Licence,State labour department,State,Commercial establishments not covered by the Factories Act,Yes,As prescribed by state,Yes,PENDING_VERIFICATION,State shops and establishments acts,https://msme.gov.in/,2026-07-25,70,VST-NEEDS_REVIEW,Applies to most service and trading businesses
lic-014,EPR Authorisation,Environmental Registration,Central Pollution Control Board,National,"Producers, importers and recyclers of plastic, e-waste, batteries or tyres",Yes,As prescribed,Yes,https://eprplastic.cpcb.gov.in/,Central Pollution Control Board,https://cpcb.nic.in/,2026-07-25,68,VST-NEEDS_REVIEW,Creates the recycler demand side; registration is on the CPCB EPR portal
