mapping_id,crop_id,crop_name,processing_opportunity_id,processing_opportunity_name,package004_opportunity_name,package006_skill_id,package006_skill_name,value_add_stage,data_source,source_url,collection_date,confidence_score,verification_status,notes
abm-001,crop-001,Rice,ap-001,Rice Mill,PENDING_VERIFICATION,e9a9d72b-0c80-4932-b907-ffc466d58717,Food Processing & Preservation,Primary Processing,Ministry of Food Processing Industries (MoFPI),https://mofpi.gov.in/,2026-07-24,70,VST-NEEDS_REVIEW,No rice-milling opportunity exists in Package004 v1.0.0; link left as sentinel
abm-002,crop-002,Wheat,ap-012,Food Packaging Unit,Small-Scale Flour/Atta Milling Unit,e9a9d72b-0c80-4932-b907-ffc466d58717,Food Processing & Preservation,Primary Processing,Ministry of Food Processing Industries (MoFPI),https://mofpi.gov.in/,2026-07-24,72,VST-NEEDS_REVIEW,Package004 atta milling unit is the direct wheat-milling counterpart
abm-003,crop-005,Pearl Millet,ap-004,Millet Processing Unit,Small-Scale Millet Processing Unit,e9a9d72b-0c80-4932-b907-ffc466d58717,Food Processing & Preservation,Primary Processing,Ministry of Food Processing Industries (MoFPI),https://mofpi.gov.in/,2026-07-24,72,VST-NEEDS_REVIEW,Pearl millet is a principal feedstock for the Package004 millet unit
abm-004,crop-006,Sorghum,ap-004,Millet Processing Unit,Small-Scale Millet Processing Unit,e9a9d72b-0c80-4932-b907-ffc466d58717,Food Processing & Preservation,Primary Processing,Ministry of Food Processing Industries (MoFPI),https://mofpi.gov.in/,2026-07-24,71,VST-NEEDS_REVIEW,Sorghum feeds the same dehulling and flour line
abm-005,crop-007,Finger Millet,ap-004,Millet Processing Unit,FPO-Level Primary Millet Processing Unit,e9a9d72b-0c80-4932-b907-ffc466d58717,Food Processing & Preservation,Primary Processing,Ministry of Food Processing Industries (MoFPI),https://mofpi.gov.in/,2026-07-24,71,VST-NEEDS_REVIEW,Finger millet aggregation suits the FPO-scale unit
abm-006,crop-008,Foxtail Millet,ap-004,Millet Processing Unit,FPO-Level Primary Millet Processing Unit,e9a9d72b-0c80-4932-b907-ffc466d58717,Food Processing & Preservation,Primary Processing,Ministry of Food Processing Industries (MoFPI),https://mofpi.gov.in/,2026-07-24,69,VST-NEEDS_REVIEW,Foxtail millet is a nutri-cereal line in the same unit
abm-007,crop-009,Chickpea,ap-002,Dal Mill,PENDING_VERIFICATION,e9a9d72b-0c80-4932-b907-ffc466d58717,Food Processing & Preservation,Primary Processing,Ministry of Food Processing Industries (MoFPI),https://mofpi.gov.in/,2026-07-24,70,VST-NEEDS_REVIEW,No dal-milling opportunity exists in Package004 v1.0.0; link left as sentinel
abm-008,crop-010,Pigeon Pea,ap-002,Dal Mill,PENDING_VERIFICATION,e9a9d72b-0c80-4932-b907-ffc466d58717,Food Processing & Preservation,Primary Processing,Ministry of Food Processing Industries (MoFPI),https://mofpi.gov.in/,2026-07-24,70,VST-NEEDS_REVIEW,Pigeon pea is the primary toor dal feedstock; no Package004 counterpart yet
abm-009,crop-014,Groundnut,ap-003,Cold-Pressed Oil Unit,Cold-Pressed Groundnut/Sesame Oil (Kachi Ghani) Unit,e9a9d72b-0c80-4932-b907-ffc466d58717,Food Processing & Preservation,Primary Processing,Ministry of Food Processing Industries (MoFPI),https://mofpi.gov.in/,2026-07-24,74,VST-NEEDS_REVIEW,Direct one-to-one match with the Package004 kachi ghani unit
abm-010,crop-018,Mustard,ap-003,Cold-Pressed Oil Unit,Cold-Pressed Groundnut/Sesame Oil (Kachi Ghani) Unit,e9a9d72b-0c80-4932-b907-ffc466d58717,Food Processing & Preservation,Primary Processing,Ministry of Food Processing Industries (MoFPI),https://mofpi.gov.in/,2026-07-24,71,VST-NEEDS_REVIEW,Mustard runs on the same cold-press line as groundnut and sesame
