scheme_id,scheme_name,short_name,category_id,category_name,ministry,department,government_level,launch_year,objective,benefit_summary,financial_assistance,subsidy_component,loan_support,coverage,application_mode,official_portal,status,also_in_package,data_source,source_url,collection_date,confidence_score,verification_status,notes
sch-001,Pradhan Mantri Jan Dhan Yojana,PMJDY,cat-018,Financial Inclusion,Ministry of Finance,"Department of Financial Services, Ministry of Finance",Central,2014,"Universal access to banking, remittance, credit, insurance and pension for unbanked households","Zero-balance savings account with RuPay debit card, accident cover and overdraft facility",PENDING_VERIFICATION,No,Overdraft up to a prescribed limit after satisfactory operation,National (all districts),Offline (bank branch); Online (bank portal); Business Correspondent,https://pmjdy.gov.in/,Active,PENDING_VERIFICATION,PMJDY scheme portal; Department of Financial Services,https://pmjdy.gov.in/,2026-07-25,78,VST-NEEDS_REVIEW,Foundational account layer that most DBT schemes credit into
sch-002,Pradhan Mantri Suraksha Bima Yojana,PMSBY,cat-016,Insurance,Ministry of Finance,"Department of Financial Services, Ministry of Finance",Central,2015,Affordable accidental death and disability insurance for bank account holders,Accidental death and permanent disability cover on annual auto-debit premium,PENDING_VERIFICATION,No,No,National; age 18-70 bank account holders,Offline (bank branch); Online (net banking auto-debit),https://jansuraksha.gov.in/,Active,PENDING_VERIFICATION,Jan Suraksha portal; Department of Financial Services,https://jansuraksha.gov.in/,2026-07-25,76,VST-NEEDS_REVIEW,Premium and cover amounts revised periodically; re-verify at portal
sch-003,Pradhan Mantri Jeevan Jyoti Bima Yojana,PMJJBY,cat-016,Insurance,Ministry of Finance,"Department of Financial Services, Ministry of Finance",Central,2015,Affordable life insurance for bank account holders,"Life cover on annual auto-debit premium, renewable yearly",PENDING_VERIFICATION,No,No,National; age 18-50 bank account holders at entry,Offline (bank branch); Online (net banking auto-debit),https://jansuraksha.gov.in/,Active,PENDING_VERIFICATION,Jan Suraksha portal; Department of Financial Services,https://jansuraksha.gov.in/,2026-07-25,76,VST-NEEDS_REVIEW,Entry age capped at 50; cover continues to a prescribed exit age
sch-004,Atal Pension Yojana,APY,cat-012,Senior Citizens,Ministry of Finance,"Department of Financial Services, Ministry of Finance",Central,2015,Guaranteed minimum pension after age 60 for unorganised-sector workers,Defined monthly pension from age 60 based on contribution slab chosen,PENDING_VERIFICATION,No,No,National; age 18-40 at enrolment,Offline (bank branch); Online (net banking),https://www.npscra.nsdl.co.in/scheme-details.php,Active,PENDING_VERIFICATION,PFRDA; NPS Trust,https://www.pfrda.org.in/,2026-07-25,74,VST-NEEDS_REVIEW,Administered by PFRDA; income-tax payers excluded from co-contribution
sch-005,Pradhan Mantri Kisan Samman Nidhi,PM-KISAN,cat-004,Agriculture,Ministry of Agriculture and Farmers Welfare,Department of Agriculture and Farmers Welfare,Central,2019,Direct income support to land-holding farmer families,Income support paid in three equal instalments per year by direct benefit transfer,PENDING_VERIFICATION,No,No,National; land-holding farmer families,Online (PM-KISAN portal); Offline (Common Service Centre; village revenue office),https://pmkisan.gov.in/,Active,Package005_Agriculture,PM-KISAN scheme portal,https://pmkisan.gov.in/,2026-07-25,78,VST-NEEDS_REVIEW,Amount per instalment is set by scheme rules and revised by notification; re-verify at portal
sch-006,Pradhan Mantri Fasal Bima Yojana,PMFBY,cat-004,Agriculture,Ministry of Agriculture and Farmers Welfare,Department of Agriculture and Farmers Welfare,Central,2016,"Crop insurance against yield loss from natural calamity, pest and disease",Sum-insured cover per notified crop with subsidised farmer premium share,PENDING_VERIFICATION,Yes,No,National; notified crops in notified areas,Online (PMFBY portal); Offline (bank; insurance intermediary; CSC),https://pmfby.gov.in/,Active,Package005_Agriculture,PMFBY scheme portal,https://pmfby.gov.in/,2026-07-25,76,VST-NEEDS_REVIEW,"Farmer premium share differs for kharif, rabi and commercial/horticultural crops"
sch-007,Kisan Credit Card,KCC,cat-004,Agriculture,Ministry of Agriculture and Farmers Welfare,Department of Agriculture and Farmers Welfare,Central,1998,Short-term working capital credit for crop production and allied activity,Revolving credit limit with interest subvention and prompt-repayment incentive,PENDING_VERIFICATION,Yes,Yes,National; all categories of farmers including tenant farmers and sharecroppers,Offline (bank branch); Online (bank portal),https://www.nabard.org/,Active,Package005_Agriculture,NABARD; Department of Agriculture,https://www.nabard.org/,2026-07-25,76,VST-NEEDS_REVIEW,Collateral-free up to a prescribed limit; extended to animal husbandry and fisheries
sch-008,Pradhan Mantri Krishi Sinchayee Yojana,PMKSY,cat-004,Agriculture,Ministry of Jal Shakti,Department of Water Resources,Central,2015,Expand irrigation coverage and improve water-use efficiency (Per Drop More Crop),Capital subsidy on micro-irrigation systems and watershed development support,PENDING_VERIFICATION,Yes,No,National; differs by command and non-command area,Offline (district or block agriculture office); Online (state portal),https://pmksy.gov.in/,Active,Package005_Agriculture,PMKSY scheme portal,https://pmksy.gov.in/,2026-07-25,74,VST-NEEDS_REVIEW,Subsidy share differs by state and farmer category (small/marginal vs other)
sch-009,Sub-Mission on Agricultural Mechanization,SMAM,cat-004,Agriculture,Ministry of Agriculture and Farmers Welfare,Department of Agriculture and Farmers Welfare,Central,2014,Increase farm mechanisation reach for small and marginal holdings,Capital subsidy on farm machinery purchase and custom-hiring centre establishment,PENDING_VERIFICATION,Yes,No,"National; individual farmers, SHGs, FPOs and cooperatives",Online (state agriculture portal); Offline (district agriculture office),https://agrimachinery.nic.in/,Active,Package005_Agriculture,Farm Mechanization portal; Department of Agriculture,https://agrimachinery.nic.in/,2026-07-25,75,VST-NEEDS_REVIEW,Subsidy percentage differs for SC/ST/small/marginal/women farmers
sch-010,Paramparagat Krishi Vikas Yojana,PKVY,cat-004,Agriculture,Ministry of Agriculture and Farmers Welfare,Department of Agriculture and Farmers Welfare,Central,2015,Promote organic farming through cluster-based conversion and certification support,Per-hectare assistance across a three-year conversion cycle plus certification support,PENDING_VERIFICATION,Yes,No,National; cluster-based (minimum farmer group per cluster),Offline (district agriculture office); Online (state portal),https://agricoop.gov.in/,Active,Package005_Agriculture,Department of Agriculture and Farmers Welfare,https://agricoop.gov.in/,2026-07-25,72,VST-NEEDS_REVIEW,Operates on a cluster model; individual application is not the route
