step_id,scheme_id,scheme_short_name,step_number,step_name,step_description,channel,responsible_actor,typical_timeline,output_of_step,data_source,source_url,collection_date,confidence_score,verification_status,notes
step-001,sch-005,PM-KISAN,1,Registration,"Farmer registers with land details, Aadhaar and bank account",Online,Farmer (self) or CSC operator,PENDING_VERIFICATION,Registration number generated,MyScheme national scheme platform,https://www.myscheme.gov.in/,2026-07-25,74,VST-NEEDS_REVIEW,Timelines are the bare sentinel where no statutory or published service-standard period was found
step-002,sch-005,PM-KISAN,2,Land record verification,State revenue department verifies landholding against records,Offline,State revenue department,PENDING_VERIFICATION,Land ownership confirmed or query raised,MyScheme national scheme platform,https://www.myscheme.gov.in/,2026-07-25,72,VST-NEEDS_REVIEW,Timelines are the bare sentinel where no statutory or published service-standard period was found
step-003,sch-005,PM-KISAN,3,eKYC completion,Aadhaar-based eKYC completed to activate the beneficiary record,Online,Farmer (self) or CSC operator,PENDING_VERIFICATION,eKYC status marked complete,MyScheme national scheme platform,https://www.myscheme.gov.in/,2026-07-25,73,VST-NEEDS_REVIEW,Timelines are the bare sentinel where no statutory or published service-standard period was found
step-004,sch-005,PM-KISAN,4,State approval,State government approves the verified beneficiary list,Offline,State agriculture department,PENDING_VERIFICATION,Beneficiary added to the payment file,MyScheme national scheme platform,https://www.myscheme.gov.in/,2026-07-25,71,VST-NEEDS_REVIEW,Timelines are the bare sentinel where no statutory or published service-standard period was found
step-005,sch-005,PM-KISAN,5,Instalment credit,Instalment credited by direct benefit transfer,Online,Central government (PFMS),Three instalments per year,Amount credited to bank account,MyScheme national scheme platform,https://www.myscheme.gov.in/,2026-07-25,74,VST-NEEDS_REVIEW,Timelines are the bare sentinel where no statutory or published service-standard period was found
step-006,sch-014,PMEGP,1,Online application,Applicant files the project application with the project report,Online,Applicant,PENDING_VERIFICATION,Application ID generated,MyScheme national scheme platform,https://www.myscheme.gov.in/,2026-07-25,74,VST-NEEDS_REVIEW,Timelines are the bare sentinel where no statutory or published service-standard period was found
step-007,sch-014,PMEGP,2,Agency scrutiny,"KVIC, KVIB or DIC scrutinises and shortlists the application",Offline,KVIC / KVIB / DIC,PENDING_VERIFICATION,Shortlisted for task force interview,MyScheme national scheme platform,https://www.myscheme.gov.in/,2026-07-25,72,VST-NEEDS_REVIEW,Timelines are the bare sentinel where no statutory or published service-standard period was found
step-008,sch-014,PMEGP,3,Task force interview,District task force committee appraises the proposal,District office,District Task Force Committee,PENDING_VERIFICATION,Recommended or rejected,MyScheme national scheme platform,https://www.myscheme.gov.in/,2026-07-25,71,VST-NEEDS_REVIEW,Timelines are the bare sentinel where no statutory or published service-standard period was found
step-009,sch-014,PMEGP,4,Bank appraisal and sanction,Financing bank appraises viability and sanctions the loan,Bank branch,Financing bank,PENDING_VERIFICATION,Loan sanction letter,MyScheme national scheme platform,https://www.myscheme.gov.in/,2026-07-25,73,VST-NEEDS_REVIEW,Timelines are the bare sentinel where no statutory or published service-standard period was found
step-010,sch-014,PMEGP,5,EDP training,Applicant completes entrepreneurship development programme training,Offline,Empanelled training institution,PENDING_VERIFICATION,EDP completion certificate,MyScheme national scheme platform,https://www.myscheme.gov.in/,2026-07-25,71,VST-NEEDS_REVIEW,Timelines are the bare sentinel where no statutory or published service-standard period was found
step-011,sch-014,PMEGP,6,Disbursement and subsidy claim,Loan disbursed and margin money subsidy claimed by the bank,Bank branch,Financing bank; KVIC,PENDING_VERIFICATION,Subsidy parked as back-ended term deposit,MyScheme national scheme platform,https://www.myscheme.gov.in/,2026-07-25,72,VST-NEEDS_REVIEW,Timelines are the bare sentinel where no statutory or published service-standard period was found
step-012,sch-015,PMMY,1,Approach lender,"Borrower approaches a bank, NBFC or MFI, or applies via Jan Samarth",Bank branch,Borrower,PENDING_VERIFICATION,Application accepted,MyScheme national scheme platform,https://www.myscheme.gov.in/,2026-07-25,73,VST-NEEDS_REVIEW,Timelines are the bare sentinel where no statutory or published service-standard period was found
step-013,sch-015,PMMY,2,Document submission,"Identity, address, business and quotation documents submitted",Bank branch,Borrower,PENDING_VERIFICATION,File complete for appraisal,MyScheme national scheme platform,https://www.myscheme.gov.in/,2026-07-25,72,VST-NEEDS_REVIEW,Timelines are the bare sentinel where no statutory or published service-standard period was found
step-014,sch-015,PMMY,3,Credit appraisal,Lender appraises the activity and repayment capacity,Bank branch,Lending institution,PENDING_VERIFICATION,Sanction or rejection,MyScheme national scheme platform,https://www.myscheme.gov.in/,2026-07-25,72,VST-NEEDS_REVIEW,Timelines are the bare sentinel where no statutory or published service-standard period was found
step-015,sch-015,PMMY,4,Disbursement,Loan disbursed to the borrower's account,Bank branch,Lending institution,PENDING_VERIFICATION,Funds credited; MUDRA card issued where applicable,MyScheme national scheme platform,https://www.myscheme.gov.in/,2026-07-25,72,VST-NEEDS_REVIEW,Timelines are the bare sentinel where no statutory or published service-standard period was found
step-016,sch-025,NMMSS,1,State selection examination,Student appears in the state-conducted selection examination,Offline,State examination authority,PENDING_VERIFICATION,Merit list published,MyScheme national scheme platform,https://www.myscheme.gov.in/,2026-07-25,73,VST-NEEDS_REVIEW,Timelines are the bare sentinel where no statutory or published service-standard period was found
