scheme_id,scheme_name,type,jurisdiction,administering_body,target_beneficiaries,support_offered_summary,eligibility_summary,official_website,data_source,source_url,collection_date,confidence_score,verification_status,notes,package007_scheme_id,scheme_ownership
f1554afc-2534-41da-b09b-7a9169f28db6,Pradhan Mantri Kaushal Vikas Yojana 4.0 (PMKVY 4.0) - including Recognition of Prior Learning (RPL),Central Scheme,National,"Ministry of Skill Development and Entrepreneurship (MSDE); implemented via National Skill Development Corporation (NSDC), Sector Skill Councils and empanelled Training Partners",Indian youth and school/college dropouts (broadly aged 15-45) seeking free short-term skill certification; experienced but uncertified workers via the RPL stream,"Free Short Term Training (STT) in NSQF-aligned job roles with certification and placement assistance; Special Projects component for bespoke industry-specific training; Recognition of Prior Learning (RPL) stream assesses and certifies experienced workers (reported across 200+ trades including construction, beauty, tailoring and agriculture) without requiring a full course, with a reported Rs 500 cash reward on clearing assessment and 3-year accidental insurance cover of Rs 2 lakh; PMKVY 4.0 phase runs approximately 2022-2026",Indian nationals with valid Aadhaar meeting the specific job role's eligibility criteria; RPL applicants must have prior work experience in the trade for which certification is sought,https://www.msde.gov.in/offerings/schemes-and-services/details/pradhan-mantri-kaushal-vikas-yojana-4-0-pmkvy-4-0-2021-ITO3ATMtQWa,"WebSearch aggregated (MSDE official site, PIB, MyScheme, YouthPower India, YuvaSathi)",https://www.msde.gov.in/static/uploads/2024/02/PMKVY-4.0-Guidelines_final-copy.pdf; https://www.myscheme.gov.in/schemes/pmkvy-rpl; https://youthpower.in/scheme/pmkvy-rpl; https://www.pib.gov.in/PressReleaseIframePage.aspx?PRID=2100845,2026-07-24,80,VST-NEEDS_REVIEW,"PMKVY 4.0, together with PM-NAPS and the Jan Shikshan Sansthan (JSS) scheme, was folded into the composite Central Sector Scheme 'Skill India Programme' under a 2025 Union Cabinet restructuring (~Rs 8,800 crore combined outlay through FY2025-26, per PIB); confirm whether a PMKVY 5.0 or renamed successor exists post-FY26 via official MSDE notification. | [support_offered_summary]: RPL cash-reward and insurance figures are sourced from secondary aggregator sites (YuvaSathi, YouthPower India), not independently cross-checked against the primary PMKVY 4.0 guidelines PDF text in this session.",sch-021,DEPRECATED_REFERENCE
fa487617-79d1-4e45-9bc6-542e5bcde35c,"Pradhan Mantri National Apprenticeship Promotion Scheme (PM-NAPS; formerly National Apprenticeship Promotion Scheme, NAPS)",Central Scheme,National,"Ministry of Skill Development and Entrepreneurship (MSDE), Directorate General of Training (DGT); implemented via Regional Directorates of Skill Development and Entrepreneurship (RDSDE)","Apprentices engaged under the Apprentices Act, 1961 (as amended 2014) in Central Government 'Designated Trades' and state-notified optional trades, and the establishments employing them","Government reimburses 25% of the prescribed stipend (capped at Rs 1,500 per apprentice per month) to employers via Direct Benefit Transfer (DBT); reimbursement of basic training cost for apprentices who did not undergo formal trade training beforehand; in FY2024-25 the scheme reportedly engaged over 18 lakh apprentices across nearly 75,000 establishments, with more than Rs 3,200 crore in stipend reimbursement disbursed that year","Establishments (public/private) engaging apprentices in Central Government Designated Trades or state-notified optional trades under the Apprentices Act, 1961; apprentice minimum age and qualification vary by trade",PENDING_VERIFICATION,"WebSearch aggregated (Careers360, TMS, sarkariyojana.com, Uttarakhand Skill Development Dept portal, PIB)",https://news.careers360.com/centre-recommends-30-percent-hike-in-stipend-under-national-apprenticeship-promotion-scheme; https://dsde.uk.gov.in/naps/; https://tmservices.co.in/national-apprenticeship-promotion-scheme-naps/; https://www.pib.gov.in/PressReleaseIframePage.aspx?PRID=2100845,2026-07-24,75,VST-NEEDS_REVIEW,"[official_website]: no dedicated central NAPS/PM-NAPS portal URL was returned in this session's searches; apprenticeship registration is widely referenced elsewhere as routed via an 'apprenticeshipindia.gov.in'-style portal but this was not independently confirmed here, so left as PENDING_VERIFICATION. | Renamed 'Pradhan Mantri National Apprenticeship Promotion Scheme (PM-NAPS)' as part of the 2025 Cabinet restructuring folding it into the composite 'Skill India Programme' alongside PMKVY 4.0 and JSS; both 'NAPS' and 'PM-NAPS' terminology still circulate. A reported 30% stipend-hike recommendation was found but not confirmed as implemented/notified - treat any figure above the Rs 1,500/month cap as unverified.",sch-022,DEPRECATED_REFERENCE
85313bfd-ac03-448c-8450-f65063e49f19,Deen Dayal Upadhyaya Grameen Kaushalya Yojana (DDU-GKY),Central Scheme,National,"Ministry of Rural Development (MoRD), under the Deendayal Antyodaya Yojana - National Rural Livelihoods Mission (DAY-NRLM)","Rural poor youth aged 15-35 (extended up to 45 for special/vulnerable groups including women, persons with disabilities, transgender persons, PVTGs, rehabilitated bonded labourers, trafficking survivors, manual scavengers and HIV-positive individuals)","Free residential skill training and placement-linked training across sectors such as retail, hospitality, construction and IT-ITeS; free boarding and lodging during training; benefit disbursement via digital voucher directly to the beneficiary's bank account; post-placement tracking and migration support for placed candidates",Member of a rural poor/BPL household aged 15-35 (extended to 45 for specified vulnerable categories); typically mobilised via Self-Help Group/Gram Panchayat/NRLM convergence structures,PENDING_VERIFICATION,"WebSearch aggregated (Wikipedia summary via search, apnaafatehpur.in, bharatmadad.com, projectsarthi.com)",https://en.wikipedia.org/wiki/Deen_Dayal_Upadhyaya_Grameen_Kaushalya_Yojana; https://bharatmadad.com/sarkari-yojana/ddu-grameen-kaushalya-yojana-2026/,2026-07-24,66,VST-NEEDS_REVIEW,"[official_website]: commonly cited elsewhere as a '.gov.in' domain but no exact URL was returned in this session's search results, so left as PENDING_VERIFICATION rather than asserted; recommend direct confirmation. Sources for this row are secondary/aggregator sites and a Wikipedia summary rather than a directly fetched MoRD circular (WebFetch to .gov.in domains is blocked in this environment), hence confidence held at the lower end of the Tier 2/3 band.",sch-023,DEPRECATED_REFERENCE
8ff0a75c-d24d-4edb-904c-88bc56ff6ba8,National Apprenticeship Training Scheme (NATS),Central Scheme,National,"Board of Apprenticeship Training (BOAT) / Board of Practical Training (BOPT), Ministry of Education","Diploma holders, engineering/general graduates and vocational-stream students seeking Graduate, Technician and Technician (Vocational) Apprenticeship placements","One-year structured on-the-job training at PSUs and private establishments with a monthly stipend (sources report differing ranges, roughly Rs 3,542-12,300 depending on qualification/establishment and source); Certificate of Proficiency awarded on completion, registrable at employment exchanges as valid work experience; managed via the relaunched NATS 2.0 portal (launched 30 July 2024); a Lok Sabha reply dated 23 March 2026 cited 5,23,024 apprentices engaged under NATS during 2025 across all States/UTs","Engineering/diploma/degree graduates and notified vocational-stream students, generally within a specified window (commonly cited as up to 1-3 years) after completing their qualification",https://nats.education.gov.in/,"WebSearch aggregated (schemesinindia.in, Bajaj Finserv, alp.consulting, govtschemesindia.com)",https://www.bajajfinserv.in/nats-apprenticeships; https://schemesinindia.in/central/nats-national-apprenticeship-training-scheme; https://alp.consulting/nats-vs-naps-apprenticeship-scheme/,2026-07-24,72,VST-NEEDS_REVIEW,"Distinct from NAPS/PM-NAPS: NATS (Ministry of Education/BOAT) targets diploma/degree graduates while NAPS/PM-NAPS (MSDE/DGT) targets ITI/trade apprentices; no evidence was found in this session's searches of the two schemes merging. | [support_offered_summary]: secondary sources report inconsistent stipend bands (e.g. Rs 3,542-9,000 vs Rs 6,800-12,300); exact current official stipend slabs should be confirmed directly against nats.education.gov.in.",PENDING_VERIFICATION,DOMAIN_CANONICAL
7c65e8c6-eb4a-4a0f-b200-28c30c1cd5ef,Telangana State Skill Development Corporation (TSSDC),State Scheme,Telangana,Government of Telangana; specific nodal administering department not confirmed in available sources,Telangana youth and jobseekers seeking vocational skilling and employability training,"Operates as Telangana's state skill development corporation (branded 'Telangana Skill Hub'), coordinating state-level vocational skilling and training delivery for Telangana youth; distinct from TASK (Telangana Academy for Skill and Knowledge), a separate IT&EC-department body focused primarily on engineering/degree-college student employability skilling",PENDING_VERIFICATION,http://www.tssdc.in/,"WebSearch aggregated (tssdc.in, NSDC state list page, Telangana IT&EC department page)",http://www.tssdc.in/about-us.php; https://nsdcindia.org/statelist/telangana,2026-07-24,58,VST-NEEDS_REVIEW,"[eligibility_summary]: not itemized in available sources within this session's search budget - left PENDING_VERIFICATION. | [support_offered_summary]: specific flagship programme names, course catalogue and current funding outlay could not be confirmed; only the corporation's identity, branding and general mandate were established from available search snippets. | [administering_body]: exact nodal department (e.g. Labour/IT&EC) not confirmed. | tssdc.in serves content over plain HTTP (not HTTPS), which may indicate an outdated or lightly-maintained portal; recommend verifying TSSDC remains the current, active Telangana state skill body (as opposed to having been superseded/absorbed by TASK or a restructured entity) before relying further on this row. Session's WebSearch budget was exhausted before a dedicated follow-up query on TSSDC could be run.",PENDING_VERIFICATION,DOMAIN_CANONICAL
b654ebfd-d4d6-4524-9e3f-13bc66d7299e,Andhra Pradesh State Skill Development Corporation (APSSDC),State Scheme,Andhra Pradesh,Government of Andhra Pradesh (established 2014 as the state's executive agency for skill development),"Unemployed youth, ITI/polytechnic/engineering/degree students, school dropouts and women across Andhra Pradesh","Implements central schemes (e.g. PMKVY, ESDM skilling) alongside state flagship initiatives including the Naipunyam Andhra Pradesh scheme (formulated 2025, offering specialised training in AI, renewable energy and IT), a Deep-Tech Skilling Initiative launched in 2026 targeting 2 lakh learners in 2026-27 and scaling to 10 lakh over 5 years (quantum technologies, AI, cybersecurity, data analytics, entrepreneurship), CM Skill Excellence Centres, Employability Skill Centres (ESC) and Youth Training Centres (YTCs); operates the Naipunyam and Skill Universe portals with a stated ambition of 20 lakh jobs by 2030","Andhra Pradesh resident youth/students/jobseekers; specific age, education and income eligibility vary by individual programme (e.g. Naipunyam, Deep-Tech Skilling, ESC)",PENDING_VERIFICATION,"WebSearch aggregated (The Hans India, aimindia.in, tirupati.ap.gov.in district portal, CBInsights)",https://www.thehansindia.com/amp/andhra-pradesh/ap-launches-deep-tech-skilling-push-targeting-10-lakh-learners-1074646; https://aimindia.in/ap-skill-development/; https://tirupati.ap.gov.in/apssdc/,2026-07-24,66,VST-NEEDS_REVIEW,"[official_website]: commonly cited elsewhere as an 'apssdc.in'-style domain, but this exact domain was not returned as a confirmed link in this session's search results (only a district-level sub-portal, tirupati.ap.gov.in/apssdc, was confirmed) - left PENDING_VERIFICATION rather than asserted. | Figures for the Deep-Tech Skilling Initiative (2 lakh/10 lakh learner targets) and the '20 lakh jobs by 2030' goal are drawn from news/secondary aggregator coverage, not a primary APSSDC notification.",PENDING_VERIFICATION,DOMAIN_CANONICAL
85cfc3b5-56e0-4bc0-98ca-510b6c77acc5,Tool Rooms & MSME Technology Centres Skill Training Scheme,Training Institute Scheme,National,"Ministry of Micro, Small and Medium Enterprises (MoMSME), Office of the Development Commissioner (MSME); delivered through a network of Tool Rooms and MSME Technology Centres (e.g. Central Tool Room & Training Centre Bhubaneswar and other Centrally Funded Technical Institutes) in public-private-partnership mode","MSME entrepreneurs and employees, ITI/diploma/engineering pass-outs and industry personnel seeking tool & die-making, precision machining and advanced manufacturing skills","Long-term diploma-level training courses (e.g. tool & die making) and short-term skill-upgradation courses in machining, fitting, CAD/CAM, CNC machining, 3D printing, robotics and process automation; also provides tooling design/consultancy and testing services to MSMEs; aims to bridge skill gaps and build technical, managerial and entrepreneurial capability among target beneficiaries","Varies by course - long-term diploma courses typically require ITI/Class 10-12 completion; short-term upgradation courses are open to existing MSME workers, entrepreneurs and engineering/ITI students; specific admission criteria are set by each individual Tool Room/Technology Centre",https://www.dcmsme.gov.in/,"WebSearch aggregated (dcmsme.gov.in course/scheme PDFs, Grainmart News, IndiaFilings)",https://dcmsme.gov.in/Courses-Details..pdf; https://www.dcmsme.gov.in/schemes/mtr_Guidelines.pdf; https://www.indiafilings.com/learn/tool-rooms-msme-technology-centres,2026-07-24,72,VST-NEEDS_REVIEW,"Distinct from PMEGP/CGTMSE (funding-focused instruments already catalogued in Package004) - this row covers the MSME Ministry's dedicated skill-training/technology-centre infrastructure (Tool Rooms and MSME Technology Centres), a genuinely separate skill-upgradation instrument. Course fee structures, specific stipends (if any) and the current course catalogue by individual Tool Room were not itemized with confidence in available sources.",PENDING_VERIFICATION,DOMAIN_CANONICAL
4a5c861f-a578-4e96-ba5e-06cfd7ded650,Rural Self Employment Training Institutes (RSETI),Training Institute Scheme,National,"Ministry of Rural Development (funding), under the Deendayal Antyodaya Yojana - National Rural Livelihoods Mission (DAY-NRLM); each RSETI is set up and operated by a Sponsor (Lead) Bank in its lead district",Rural unemployed youth aged 18-45 with an aptitude for self-employment or wage employment,"Free short-term residential skill-cum-entrepreneurship development training (minimum 6 days to maximum 6 weeks) across 73 NSQF-aligned courses spanning agriculture, manufacturing and services; free food and accommodation during training; post-training credit-linkage assistance from the sponsor bank to help trainees start micro-enterprises; approximately 590 RSETIs reported functioning across 572 districts in 33 States/UTs",Rural youth aged 18-45 with basic aptitude in the chosen trade; priority typically given to BPL/poor households; training provided free of separate application fee,PENDING_VERIFICATION,"WebSearch aggregated (rural.gov.in press release, PIB press release, DD India feature)",https://rural.gov.in/en/press-release/implementation-rural-self-employment-training-institute; https://www.pib.gov.in/PressReleseDetailm.aspx?PRID=2082686; https://ddindia.co.in/2026/07/journeys-of-grit-pathways-of-growth-how-rural-self-employment-training-institutes-are-transforming-aspirations-into-sustainable-enterprises/,2026-07-24,76,VST-NEEDS_REVIEW,"[official_website]: no single dedicated national RSETI portal URL was confirmed in this session's searches (individual state RSETI/SRLM sites exist, e.g. jkbrseti.com, hsrlm.gov.in) - left PENDING_VERIFICATION rather than asserting an unconfirmed domain. Scale figures (590 RSETIs, 572 districts, 33 States/UTs, 73 courses) are drawn from a July 2026 DD India feature and PIB press releases (Tier 1/4 mix).",PENDING_VERIFICATION,DOMAIN_CANONICAL
bdda0042-792c-4745-8bc7-061eae0202d8,"Skill Loan Scheme (IBA Model Scheme for Skill Development, NSDC-linked)",Skill Loan Scheme,National,"Indian Banks' Association (IBA) model scheme, approved for implementation by member banks and other financial institutions as advised by the Reserve Bank of India (RBI); courses financed are typically affiliated with NSDC-approved Sector Skill Councils, State Skill Missions or State Skill Corporations","Any Indian national securing admission in an NSQF-aligned skill/vocational course at an ITI, polytechnic, recognised school/college, or an NSDC/Sector-Skill-Council/State-Skill-Mission-affiliated training partner; no specific age restriction reported","Collateral-free loan reportedly ranging from Rs 5,000 up to Rs 1.5 lakh under the original IBA model (one secondary source cites this has since been increased to Rs 7.5 lakh - unconfirmed), covering course/exam fees and related costs; repayment period up to 3 years for loans up to Rs 50,000, with longer tenures available for higher loan amounts; no minimum course duration requirement, but the course itself must be NSQF-aligned",Admission secured in an eligible NSQF-aligned skill development course; available to Indian nationals through any IBA member bank or RBI-notified lending institution,PENDING_VERIFICATION,"WebSearch aggregated (Vajiram & Ravi, BankBazaar, National Skills Network, Indian Bank)",https://vajiramandravi.com/current-affairs/skill-loan-scheme/; https://www.bankbazaar.com/education-loan/skill-loan-scheme.html; https://nationalskillsnetwork.in/how-to-apply-for-a-skill-loan-to-enroll-in-skill-development-courses/,2026-07-24,64,VST-NEEDS_REVIEW,"[support_offered_summary]: loan-ceiling figures conflict across sources - most describe the ceiling as Rs 1.5 lakh, one (BankBazaar) states this has been 'increased to Rs 7.5 lakh'; the higher figure is unverified and should be checked against the current IBA model scheme document before use. | [official_website]: no single dedicated portal exists since the scheme is implemented bank-by-bank under an IBA model framework - left PENDING_VERIFICATION rather than citing one bank's page as canonical.",sch-024,DEPRECATED_REFERENCE
c00674d1-2eee-43f4-b22c-99f0a89dcd7b,Jan Shikshan Sansthan (JSS) Scheme,Central Scheme,National,"Ministry of Skill Development and Entrepreneurship (MSDE), implemented through a network of registered NGOs at the district level","Non-literate, neo-literate and school-dropout youth and adults aged 15-45, with a strong focus on women, rural populations and other disadvantaged/marginalised communities","Community-based, non-formal, doorstep vocational training delivered with flexible schedules at low cost, in trades suited to local employment/livelihood needs; 294 JSSs reported operating across 26 States and 7 Union Territories; now administratively combined under the composite Central Sector Scheme 'Skill India Programme'","Age 15-45, with priority given to non-literate/neo-literate individuals, school dropouts, women and economically disadvantaged/marginalised community members; no formal minimum educational qualification required",PENDING_VERIFICATION,"WebSearch aggregated (Devdiscourse, IndiaFilings, Vikaspedia, PIB)",https://www.devdiscourse.com/article/law-order/3820195-msde-reviews-jan-shikshan-sansthan-rollout-pushes-livelihood-reforms; https://www.indiafilings.com/learn/jan-shikshan-sansthan-jss; https://vikaspedia.in/social-welfare/skill-development/jan-shikshan-sansthan; https://www.pib.gov.in/PressReleaseIframePage.aspx?PRID=2100845,2026-07-24,72,VST-NEEDS_REVIEW,"[official_website]: no dedicated JSS portal URL was confirmed in this session's search results - left PENDING_VERIFICATION. | JSS is now one of three components (with PMKVY 4.0 and PM-NAPS) folded into the composite 'Skill India Programme' Central Sector Scheme per a 2025 Cabinet restructuring with a combined ~Rs 8,800 crore outlay through FY2025-26 (per PIB press release).",PENDING_VERIFICATION,DOMAIN_CANONICAL
